problem,method,divergence_file,divergence_rows,final_time,final_time_reached,final_L1_fv,final_L2_fv,final_Linf_fv,final_L2_norm_fv,energy_initial,energy_final,energy_drift_reported,energy_drift_absolute,min_pressure,min_density,failure_time,failure_reason,cleaning_subcycles_total,projection_iterations_total
orszag_tang,none,results/mhd_runner/divergence/mhd_ot_none.csv,413,0.5,1,2.0479,4.84342,68.1899,0.393323,0.349257,0.349258,4.69155e-06,1.0000000000287557e-06,0.00173571,0.0698018,,,0,0
orszag_tang,hyperbolic_glm,results/mhd_runner/divergence/mhd_ot_hyperbolic_glm.csv,402,0.5,1,0.168802,0.309454,3.34374,0.0223748,0.349257,0.349257,-7.31128e-15,0.0,0.0429204,0.10898,,,801,0
orszag_tang,mixed_glm,results/mhd_runner/divergence/mhd_ot_mixed_glm.csv,404,0.5,1,0.225808,0.361722,4.01926,0.0205313,0.349257,0.349257,-7.62916e-15,0.0,0.039752,0.107029,,,805,0
orszag_tang,parabolic,results/mhd_runner/divergence/mhd_ot_parabolic.csv,526,0.5,1,0.134386,0.275355,2.98823,0.00958272,0.349257,0.334359,-0.0426548,-0.014897999999999967,0.000194749,0.0439153,,,1834,0
orszag_tang,elliptic_projection,results/mhd_runner/divergence/mhd_ot_elliptic_projection.csv,526,0.5,1,2.47858e-09,3.21586e-09,2.15423e-08,3.15648e-10,0.349257,0.336873,-0.0354565,-0.012384000000000006,0.000178167,0.0394028,,,525,450682
orszag_tang,powell_source,results/mhd_runner/divergence/mhd_ot_powell_source.csv,43,0.0570206,0,1.04311,5.02685,127.446,0.114496,0.349257,0.349487,0.000658492,0.00023000000000000798,1e-20,0.188596,0.0570206,cleaning_induced_failure:non_positive_pressure:retries=0,42,0
orszag_tang,powell_source_subcycled,results/mhd_runner/divergence/mhd_ot_powell_source_subcycled.csv,43,0.0564168,0,1.06749,5.30815,138.797,0.116485,0.349257,0.349556,0.000856644,0.0002989999999999937,1e-20,0.188711,0.0564168,cleaning_induced_failure:non_positive_pressure:retries=0,59,0
orszag_tang,powell_source_limited,results/mhd_runner/divergence/mhd_ot_powell_source_limited.csv,584,0.143799,0,333.512,971.979,14268.0,5.26769,0.349257,23.0786,65.0792,22.729343,1e-20,0.0144613,0.143799,negative_pressure,583,0
orszag_tang,mixed_eglm,results/mhd_runner/divergence/mhd_ot_mixed_eglm.csv,405,0.5,1,0.226037,0.381749,6.2081,0.0383411,0.349257,0.348875,-0.00109154,-0.00038199999999999346,0.041631,0.10343,,,807,0
orszag_tang,gi_mixed_eglm,results/mhd_runner/divergence/mhd_ot_gi_mixed_eglm.csv,405,0.5,1,0.222591,0.370545,4.68723,0.0254456,0.349257,0.346775,-0.00710633,-0.0024819999999999842,0.0422739,0.110479,,,807,0
