problem,method,completed,final_time,final_L2_norm_fv,final_Linf_norm_fv,min_pressure,mass_drift,energy_drift,has_nonfinite,has_negative_density,has_negative_pressure
orszag_tang,none,1,0.5,0.393323,16.6776,0.000377497,0.0,2.8632210665176523e-06,0,0,0
orszag_tang,hyperbolic_glm,1,0.5,0.0223748,0.966219,0.0108067,0.0,0.0,0,0,0
orszag_tang,mixed_glm,1,0.5,0.0205313,0.568541,0.0107964,0.0,0.0,0,0,0
orszag_tang,mixed_eglm,1,0.5,0.0383411,4.12662,0.0110657,0.0,-0.001093750447378273,0,0,0
orszag_tang,gi_mixed_eglm,1,0.5,0.0254456,1.12568,0.0109507,0.0,-0.007106514686892416,0,0,0
orszag_tang,parabolic,1,0.5,0.00958272,0.3189,8.92614e-05,0.0,-0.042656267447753284,0,0,0
orszag_tang,elliptic_projection,1,0.5,3.15648e-10,3.27091e-08,7.82145e-05,0.0,-0.035458129686735,0,0,0
orszag_tang,powell_source,0,0.0570206,0.114496,2.60375,1e-20,0.0,0.0006585408452801461,0,0,1
field_loop,none,1,0.5,2.93772,184.883,0.00203745,0.0,0.00044799999999991515,0,0,0
field_loop,hyperbolic_glm,1,0.5,0.0340883,0.195718,0.999999,0.0,0.0,0,0,0
field_loop,mixed_glm,1,0.5,0.0298748,0.80185,0.999999,0.0,0.0,0,0,0
field_loop,mixed_eglm,1,0.5,0.0298748,0.801851,0.999999,0.0,0.0,0,0,0
field_loop,gi_mixed_eglm,1,0.5,0.0236891,0.616511,0.999999,0.0,0.0,0,0,0
field_loop,parabolic,1,0.5,0.0354337,0.427548,0.999999,0.0,0.0,0,0,0
field_loop,elliptic_projection,1,0.5,1.10761e-05,6.89798e-05,0.999999,0.0,0.0,0,0,0
field_loop,powell_source,1,0.5,0.549435,22.6019,0.999999,0.0,0.0,0,0,0
divergence_advection,none,1,0.5,0.00169634,0.0226025,0.89855,0.0,0.0,0,0,0
divergence_advection,hyperbolic_glm,1,0.5,0.000174024,0.000502365,0.974973,0.0,0.0,0,0,0
divergence_advection,mixed_glm,1,0.5,5.43888e-05,0.00018175,0.977135,0.0,0.0,0,0,0
divergence_advection,mixed_eglm,1,0.5,5.21224e-05,0.000145413,0.982594,0.0,-3.807203228364206e-06,0,0,0
divergence_advection,gi_mixed_eglm,1,0.5,4.81601e-05,0.000127558,0.98297,0.0,-7.614406456897486e-06,0,0,0
divergence_advection,parabolic,1,0.5,5.91111e-05,0.000145152,0.97586,0.0,-7.614406456897486e-06,0,0,0
divergence_advection,elliptic_projection,1,0.5,3.36703e-11,1.6638e-10,0.982363,0.0,-7.614406456897486e-06,0,0,0
divergence_advection,powell_source,1,0.5,0.000369694,0.00218089,0.982534,0.0,-7.614406456897486e-06,0,0,0
blast_wave,none,1,0.2,0.0129183,0.166453,0.0979967,0.0,0.0,0,0,0
blast_wave,hyperbolic_glm,1,0.2,0.00175115,0.01213,0.0817336,0.0,-0.07940867957402184,0,0,0
blast_wave,mixed_glm,1,0.2,0.0017776,0.012477,0.0813097,0.0,-0.07941756893700995,0,0,0
blast_wave,mixed_eglm,1,0.2,0.00203295,0.0171402,0.000813365,0.0,-0.08128433516454207,0,0,0
blast_wave,gi_mixed_eglm,0,0.0169524,0.00411185,0.0558369,1e-20,0.0,-0.0029690472380750265,0,0,1
blast_wave,parabolic,1,0.2,0.0313472,2.05998,0.000543396,0.0,-0.007342613828293203,0,0,0
blast_wave,elliptic_projection,1,0.2,3.33313e-11,4.70563e-10,0.000676057,0.0,-0.0025512471776273846,0,0,0
blast_wave,powell_source,0,0.00997697,0.175191,8.48346,1e-20,0.0,0.0031023876828986372,0,0,1
