problem,method,completed,final_time,final_L2_norm_fv,final_Linf_norm_fv,min_pressure,mass_drift,energy_drift,has_nonfinite,has_negative_density,has_negative_pressure
brio_wu,none,1,0.2,0.0,0.0,0.0758094,0.0,0.0,0,0,0
brio_wu,hyperbolic_glm,1,0.2,0.0,0.0,0.0758094,0.0,0.0,0,0,0
brio_wu,mixed_glm,1,0.2,0.0,0.0,0.0758094,0.0,0.0,0,0,0
brio_wu,mixed_eglm,1,0.2,0.0,0.0,0.0758094,0.0,0.0,0,0,0
brio_wu,gi_mixed_eglm,1,0.2,0.0,0.0,0.0758094,0.0,0.0,0,0,0
brio_wu,parabolic,1,0.2,0.0,0.0,,,,0,0,0
brio_wu,elliptic_projection,1,0.2,0.0,0.0,,,,0,0,0
brio_wu,powell_source,1,0.2,0.0,0.0,,,,0,0,0
orszag_tang,none,1,0.5,0.106175,4.73466,0.0171557,0.0,0.0,0,0,0
orszag_tang,hyperbolic_glm,1,0.5,0.0118678,0.3033,0.0165507,0.0,0.0,0,0,0
orszag_tang,mixed_glm,1,0.5,0.0150716,0.353548,0.0168119,0.0,0.0,0,0,0
orszag_tang,mixed_eglm,1,0.5,0.0147584,0.410477,0.0166745,0.0,-0.0004867475812940141,0,0,0
orszag_tang,gi_mixed_eglm,1,0.5,0.0161933,0.74242,0.0166159,0.0,-0.003387190521592952,0,0,0
orszag_tang,parabolic,1,0.5,,0.0,,,,0,0,0
orszag_tang,elliptic_projection,1,0.5,,0.0,,,,0,0,0
orszag_tang,powell_source,1,0.5,,0.0,,,,0,0,0
field_loop,none,1,0.5,1.63341,41.2016,0.999995,0.0,0.0,0,0,0
field_loop,hyperbolic_glm,1,0.5,0.0463918,0.441176,1.0,0.0,0.0,0,0,0
field_loop,mixed_glm,1,0.5,0.0269158,0.670447,1.0,0.0,0.0,0,0,0
field_loop,mixed_eglm,1,0.5,0.0269158,0.670447,1.0,0.0,0.0,0,0,0
field_loop,gi_mixed_eglm,1,0.5,0.0238367,0.354904,1.0,0.0,0.0,0,0,0
divergence_advection,none,1,0.5,0.000447296,0.00280685,0.924421,0.0,0.0,0,0,0
divergence_advection,hyperbolic_glm,1,0.5,0.000201315,0.000609611,0.97973,0.0,0.0,0,0,0
divergence_advection,mixed_glm,1,0.5,5.36364e-05,0.000156046,0.977977,0.0,0.0,0,0,0
divergence_advection,mixed_eglm,1,0.5,5.28019e-05,0.000131198,0.98403,0.0,-3.807203228364206e-06,0,0,0
divergence_advection,gi_mixed_eglm,1,0.5,4.87626e-05,0.000117266,0.984518,0.0,-7.614406456897486e-06,0,0,0
