x,rho,u,v,w,p,Bx,By,Bz
-4.9875000000e-01,1.0111269095e+00,-1.6988863775e-02,4.7130097190e-03,0.0000000000e+00,1.0109886024e+00,7.6551896661e-01,1.0086519249e+00,0.0000000000e+00
-4.9625000000e-01,1.0109652222e+00,-1.7600890546e-02,3.7802118634e-03,0.0000000000e+00,1.0122232533e+00,7.6495598141e-01,1.0083153509e+00,0.0000000000e+00
-4.9375000000e-01,1.0106221795e+00,-1.8141261473e-02,3.0356863623e-03,0.0000000000e+00,1.0131961410e+00,7.6438002953e-01,1.0081205309e+00,0.0000000000e+00
-4.9125000000e-01,1.0102716521e+00,-1.8660972413e-02,2.3007864340e-03,0.0000000000e+00,1.0141639936e+00,7.6379167856e-01,1.0079057767e+00,0.0000000000e+00
-4.8875000000e-01,1.0099157740e+00,-1.9159174224e-02,1.5772953548e-03,0.0000000000e+00,1.0151267563e+00,7.6319150834e-01,1.0076706018e+00,0.0000000000e+00
-4.8625000000e-01,1.0095553929e+00,-1.9635084898e-02,8.6684442503e-04,0.0000000000e+00,1.0160842545e+00,7.6258011037e-01,1.0074146504e+00,0.0000000000e+00
-4.8375000000e-01,1.0091912769e+00,-2.0087990621e-02,1.7091208000e-04,0.0000000000e+00,1.0170361948e+00,7.6195808723e-01,1.0071376967e+00,0.0000000000e+00
-4.8125000000e-01,1.0088241360e+00,-2.0517245779e-02,-5.0917587938e-04,0.0000000000e+00,1.0179821680e+00,7.6132605198e-01,1.0068396433e+00,0.0000000000e+00
-4.7875000000e-01,1.0084546270e+00,-2.0922272385e-02,-1.1722440938e-03,0.0000000000e+00,1.0189216535e+00,7.6068462757e-01,1.0065205178e+00,0.0000000000e+00
-4.7625000000e-01,1.0080833538e+00,-2.1302558472e-02,-1.8172617668e-03,0.0000000000e+00,1.0198540279e+00,7.6003444619e-01,1.0061804664e+00,0.0000000000e+00
-4.7375000000e-01,1.0077108740e+00,-2.1657654717e-02,-2.4433302775e-03,0.0000000000e+00,1.0207785807e+00,7.5937614871e-01,1.0058197424e+00,0.0000000000e+00
-4.7125000000e-01,1.0073377102e+00,-2.1987168267e-02,-3.0496605368e-03,0.0000000000e+00,1.0216945401e+00,7.5871038397e-01,1.0054386866e+00,0.0000000000e+00
-4.6875000000e-01,1.0069643666e+00,-2.2290752796e-02,-3.6355365025e-03,0.0000000000e+00,1.0226011125e+00,7.5803780821e-01,1.0050376962e+00,0.0000000000e+00
-4.6625000000e-01,1.0065913566e+00,-2.2568094348e-02,-4.2002635890e-03,0.0000000000e+00,1.0234975370e+00,7.5735908437e-01,1.0046171820e+00,0.0000000000e+00
-4.6375000000e-01,1.0062192324e+00,-2.2818893844e-02,-4.7431056306e-03,0.0000000000e+00,1.0243831489e+00,7.5667488146e-01,1.0041775173e+00,0.0000000000e+00
-4.6125000000e-01,1.0058486135e+00,-2.3042848934e-02,-5.2632207402e-03,0.0000000000e+00,1.0252574419e+00,7.5598587391e-01,1.0037189857e+00,0.0000000000e+00
-4.5875000000e-01,1.0054802078e+00,-2.3239639581e-02,-5.7596126121e-03,0.0000000000e+00,1.0261201116e+00,7.5529274087e-01,1.0032417423e+00,0.0000000000e+00
-4.5625000000e-01,1.0051148134e+00,-2.3408922681e-02,-6.2311164970e-03,0.0000000000e+00,1.0269710619e+00,7.5459616557e-01,1.0027458030e+00,0.0000000000e+00
-4.5375000000e-01,1.0047532947e+00,-2.3550340223e-02,-6.6764357396e-03,0.0000000000e+00,1.0278103605e+00,7.5389683464e-01,1.0022310742e+00,0.0000000000e+00
-4.5125000000e-01,1.0043965328e+00,-2.3663542980e-02,-7.0942348482e-03,0.0000000000e+00,1.0286381399e+00,7.5319543742e-01,1.0016974270e+00,0.0000000000e+00
-4.4875000000e-01,1.0040453558e+00,-2.3748227833e-02,-7.4832807367e-03,0.0000000000e+00,1.0294544545e+00,7.5249266530e-01,1.0011448099e+00,0.0000000000e+00
-4.4625000000e-01,1.0037004586e+00,-2.3804182845e-02,-7.8426093810e-03,0.0000000000e+00,1.0302591198e+00,7.5178921100e-01,1.0005733796e+00,0.0000000000e+00
-4.4375000000e-01,1.0033623294e+00,-2.3831331408e-02,-8.1716856401e-03,0.0000000000e+00,1.0310515634e+00,7.5108576794e-01,9.9998362662e-01,0.0000000000e+00
-4.4125000000e-01,1.0030311981e+00,-2.3829766222e-02,-8.4705229682e-03,0.0000000000e+00,1.0318307214e+00,7.5038302951e-01,9.9937646706e-01,0.0000000000e+00
-4.3875000000e-01,1.0027070194e+00,-2.3799765871e-02,-8.7397377881e-03,0.0000000000e+00,1.0325950005e+00,7.4968168842e-01,9.9875328317e-01,0.0000000000e+00
