x,rho,u,v,w,p,Bx,By,Bz
-4.9875000000e-01,9.9684412886e-01,2.9318707759e-02,4.7077942982e-02,0.0000000000e+00,9.9256888752e-01,7.5078536587e-01,1.0138901985e+00,0.0000000000e+00
-4.9625000000e-01,9.9755080407e-01,2.9310521313e-02,4.8011305890e-02,0.0000000000e+00,9.9309036709e-01,7.5235532254e-01,1.0138946619e+00,0.0000000000e+00
-4.9375000000e-01,9.9842641498e-01,2.9098422374e-02,4.8231450847e-02,0.0000000000e+00,9.9455911515e-01,7.5392295479e-01,1.0132906958e+00,0.0000000000e+00
-4.9125000000e-01,9.9922241273e-01,2.8864060679e-02,4.8403919740e-02,0.0000000000e+00,9.9607396524e-01,7.5548671555e-01,1.0126625006e+00,0.0000000000e+00
-4.8875000000e-01,1.0000075869e+00,2.8612738550e-02,4.8535374918e-02,0.0000000000e+00,9.9761854120e-01,7.5704506160e-01,1.0120158959e+00,0.0000000000e+00
-4.8625000000e-01,1.0007989200e+00,2.8344574902e-02,4.8625457531e-02,0.0000000000e+00,9.9919049037e-01,7.5859645501e-01,1.0113518595e+00,0.0000000000e+00
-4.8375000000e-01,1.0015983842e+00,2.8059649141e-02,4.8673793476e-02,0.0000000000e+00,1.0007875646e+00,7.6013936477e-01,1.0106713518e+00,0.0000000000e+00
-4.8125000000e-01,1.0024052316e+00,2.7758060149e-02,4.8680063451e-02,0.0000000000e+00,1.0024074698e+00,7.6167226819e-01,1.0099753596e+00,0.0000000000e+00
-4.7875000000e-01,1.0032183325e+00,2.7439925679e-02,4.8643998662e-02,0.0000000000e+00,1.0040478654e+00,7.6319365250e-01,1.0092648958e+00,0.0000000000e+00
-4.7625000000e-01,1.0040365080e+00,2.7105379580e-02,4.8565372628e-02,0.0000000000e+00,1.0057063583e+00,7.6470201626e-01,1.0085410041e+00,0.0000000000e+00
-4.7375000000e-01,1.0048585614e+00,2.6754567624e-02,4.8443983602e-02,0.0000000000e+00,1.0073804878e+00,7.6619587091e-01,1.0078047725e+00,0.0000000000e+00
-4.7125000000e-01,1.0056832662e+00,2.6387638518e-02,4.8279619962e-02,0.0000000000e+00,1.0090676935e+00,7.6767374219e-01,1.0070573591e+00,0.0000000000e+00
