x,rho,u,v,w,p,Bx,By,Bz
-4.9875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.9625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.9375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.9125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.8875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.8625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.8375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.8125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.7875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.7625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.7375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.7125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.6875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.6625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.6375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.6125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.5875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.5625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.5375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.5125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.4875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.4625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.4375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.4125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.3875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.3625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.3375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.3125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.2875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.2625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.2375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.2125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.1875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.1625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.1375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.1125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.0875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.0625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.0375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-4.0125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.9875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.9625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.9375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.9125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.8875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.8625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.8375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.8125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.7875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.7625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.7375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.7125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.6875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.6625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.6375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.6125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.5875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.5625000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.5375000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.5125000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.4875000000e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.4625000000e-01,1.0000000000e+00,3.5794166966e-18,-1.7897083483e-18,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.4375000000e-01,1.0000000000e+00,1.7437350462e-16,-4.8542680368e-17,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.4125000000e-01,1.0000000000e+00,5.8609232914e-16,-1.3751935434e-16,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.3875000000e-01,1.0000000000e+00,1.5137745564e-15,-4.6384093414e-16,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.3625000000e-01,1.0000000000e+00,3.7503236483e-15,-1.1479698883e-15,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.3375000000e-01,1.0000000000e+00,9.1134134831e-15,-2.5934066705e-15,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.3125000000e-01,1.0000000000e+00,2.1696860652e-14,-6.0444787371e-15,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.2875000000e-01,1.0000000000e+00,5.0468567352e-14,-1.4304034982e-14,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.2625000000e-01,1.0000000000e+00,1.1573779678e-13,-3.2764860354e-14,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.2375000000e-01,1.0000000000e+00,2.6230324145e-13,-7.4020532084e-14,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.2125000000e-01,1.0000000000e+00,5.8770229915e-13,-1.6607011372e-13,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.1875000000e-01,1.0000000000e+00,1.3016923339e-12,-3.6837840193e-13,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.1625000000e-01,1.0000000000e+00,2.8500485867e-12,-8.0681089775e-13,0.0000000000e+00,1.0000000000e+00,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.1375000000e-01,1.0000000000e+00,6.1676657620e-12,-1.7457586943e-12,0.0000000000e+00,9.9999999999e-01,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
-3.1125000000e-01,9.9999999999e-01,1.3190777767e-11,-3.7336721949e-12,0.0000000000e+00,9.9999999999e-01,7.5000000000e-01,9.9999999999e-01,0.0000000000e+00
-3.0875000000e-01,9.9999999998e-01,2.7880052485e-11,-7.8914387063e-12,0.0000000000e+00,9.9999999997e-01,7.5000000000e-01,9.9999999998e-01,0.0000000000e+00
-3.0625000000e-01,9.9999999997e-01,5.8232693252e-11,-1.6482441593e-11,0.0000000000e+00,9.9999999994e-01,7.5000000000e-01,9.9999999996e-01,0.0000000000e+00
-3.0375000000e-01,9.9999999993e-01,1.2019118056e-10,-3.4019219187e-11,0.0000000000e+00,9.9999999987e-01,7.5000000000e-01,9.9999999992e-01,0.0000000000e+00
