step,time,L1,L2,Linf
0,0,0.199938,0.420742,1.21133
1,3.1248e-05,0.199838,0.420428,1.21015
2,6.24961e-05,0.199738,0.420114,1.20897
3,9.37441e-05,0.199639,0.4198,1.2078
4,0.000124992,0.19954,0.419487,1.20663
5,0.00015624,0.199441,0.419175,1.20546
6,0.000187488,0.199342,0.418863,1.20429
7,0.000218736,0.199243,0.418552,1.20312
8,0.000249984,0.199144,0.418241,1.20195
9,0.000281232,0.199046,0.417931,1.20079
10,0.00031248,0.198948,0.417621,1.19963
11,0.000343729,0.198849,0.417312,1.19847
12,0.000374977,0.198751,0.417004,1.19731
13,0.000406225,0.198654,0.416695,1.19615
14,0.000437473,0.198556,0.416388,1.195
15,0.000468721,0.198458,0.416081,1.19384
16,0.000499969,0.198361,0.415774,1.19269
17,0.000531217,0.198263,0.415468,1.19154
18,0.000562465,0.198166,0.415163,1.19039
19,0.000593713,0.198069,0.414858,1.18924
20,0.000624961,0.197972,0.414554,1.1881
21,0.000656209,0.197876,0.41425,1.18695
22,0.000687457,0.197779,0.413946,1.18581
23,0.000718705,0.197682,0.413644,1.18467
24,0.000749953,0.197586,0.413341,1.18353
25,0.000781201,0.19749,0.41304,1.18239
26,0.000812449,0.197394,0.412738,1.18126
27,0.000843697,0.197298,0.412437,1.18012
28,0.000874945,0.197202,0.412137,1.17899
29,0.000906193,0.197107,0.411837,1.17786
30,0.000937441,0.197011,0.411538,1.17673
31,0.000968689,0.196916,0.411239,1.1756
32,0.000999938,0.196821,0.410941,1.17447
33,0.00103119,0.196725,0.410643,1.17335
34,0.00106243,0.196631,0.410346,1.17223
35,0.00109368,0.196536,0.410049,1.17111
36,0.00112493,0.196441,0.409753,1.16999
37,0.00115618,0.196347,0.409457,1.16887
38,0.00118743,0.196252,0.409162,1.16775
39,0.00121867,0.196158,0.408867,1.16664
40,0.00124992,0.196064,0.408573,1.16552
41,0.00128117,0.19597,0.408279,1.16441
42,0.00131242,0.195876,0.407986,1.1633
43,0.00134367,0.195782,0.407693,1.16219
44,0.00137491,0.195689,0.407401,1.16108
45,0.00140616,0.195595,0.407109,1.15998
46,0.00143741,0.195502,0.406818,1.15888
47,0.00146866,0.195409,0.406527,1.15777
48,0.00149991,0.195316,0.406237,1.15667
49,0.00153115,0.195223,0.405947,1.15557
50,0.0015624,0.19513,0.405658,1.15448
51,0.00159365,0.195037,0.405369,1.15338
52,0.0016249,0.194945,0.40508,1.15228
53,0.00165615,0.194852,0.404792,1.15119
54,0.00168739,0.19476,0.404505,1.1501
55,0.00171864,0.194668,0.404218,1.14901
56,0.00174989,0.194576,0.403931,1.14792
57,0.00178114,0.194484,0.403645,1.14683
58,0.00181239,0.194392,0.40336,1.14575
59,0.00184363,0.194301,0.403075,1.14467
60,0.00187488,0.194209,0.40279,1.14358
61,0.00190613,0.194118,0.402506,1.1425
62,0.00193738,0.194027,0.402222,1.14142
63,0.00196863,0.193936,0.401939,1.14035
64,0.00199988,0.193845,0.401656,1.13927
65,0.00203112,0.193754,0.401374,1.1382
66,0.00206237,0.193663,0.401092,1.13712
67,0.00209362,0.193573,0.40081,1.13605
68,0.00212487,0.193482,0.40053,1.13498
69,0.00215612,0.193392,0.400249,1.13391
70,0.00218736,0.193302,0.399969,1.13285
71,0.00221861,0.193211,0.399689,1.13178
72,0.00224986,0.193122,0.39941,1.13072
73,0.00228111,0.193032,0.399132,1.12965
74,0.00231236,0.192942,0.398854,1.12859
75,0.0023436,0.192852,0.398576,1.12753
76,0.00237485,0.192763,0.398298,1.12648
77,0.0024061,0.192674,0.398022,1.12542
78,0.00243735,0.192584,0.397745,1.12437
79,0.0024686,0.192495,0.397469,1.12331
80,0.00249984,0.192406,0.397194,1.12226
81,0.00253109,0.192318,0.396919,1.12121
82,0.00256234,0.192229,0.396644,1.12016
83,0.00259359,0.19214,0.39637,1.11911
84,0.00262484,0.192052,0.396096,1.11807
85,0.00265608,0.191963,0.395823,1.11702
86,0.00268733,0.191875,0.39555,1.11598
87,0.00271858,0.191787,0.395278,1.11494
88,0.00274983,0.191699,0.395006,1.1139
89,0.00278108,0.191611,0.394734,1.11286
90,0.00281232,0.191524,0.394463,1.11182
91,0.00284357,0.191436,0.394192,1.11079
92,0.00287482,0.191348,0.393922,1.10975
93,0.00290607,0.191261,0.393652,1.10872
94,0.00293732,0.191174,0.393383,1.10769
95,0.00296856,0.191087,0.393114,1.10666
96,0.00299981,0.191,0.392845,1.10563
97,0.00303106,0.190913,0.392577,1.1046
98,0.00306231,0.190826,0.39231,1.10358
99,0.00309356,0.190739,0.392042,1.10255
100,0.0031248,0.190653,0.391776,1.10153
101,0.00315605,0.190566,0.391509,1.10051
102,0.0031873,0.19048,0.391243,1.0995
103,0.00321855,0.190394,0.390978,1.09853
104,0.0032498,0.190308,0.390712,1.09756
105,0.00328104,0.190222,0.390448,1.09659
106,0.00331229,0.190136,0.390183,1.09562
107,0.00334354,0.19005,0.38992,1.09465
108,0.00337479,0.189964,0.389656,1.09369
109,0.00340604,0.189879,0.389393,1.09273
110,0.00343729,0.189794,0.38913,1.09176
111,0.00346853,0.189708,0.388868,1.0908
112,0.00349978,0.189623,0.388606,1.08984
113,0.00353103,0.189538,0.388345,1.08888
114,0.00356228,0.189453,0.388084,1.08793
115,0.00359353,0.189368,0.387823,1.08697
116,0.00362477,0.189284,0.387563,1.08602
117,0.00365602,0.189199,0.387303,1.08506
118,0.00368727,0.189115,0.387044,1.08411
119,0.00371852,0.18903,0.386785,1.08316
120,0.00374977,0.188946,0.386526,1.08221
121,0.00378101,0.188862,0.386268,1.08126
122,0.00381226,0.188778,0.386011,1.08031
123,0.00384351,0.188694,0.385753,1.07937
124,0.00387476,0.18861,0.385496,1.07842
125,0.00390601,0.188526,0.38524,1.07748
126,0.00393725,0.188443,0.384983,1.07654
127,0.0039685,0.188359,0.384728,1.0756
128,0.00399975,0.188276,0.384472,1.07466
129,0.004031,0.188193,0.384217,1.07372
130,0.00406225,0.18811,0.383963,1.07278
131,0.00409349,0.188027,0.383709,1.07184
132,0.00412474,0.187944,0.383455,1.07091
133,0.00415599,0.187861,0.383201,1.06998
134,0.00418724,0.187778,0.382948,1.06904
135,0.00421849,0.187696,0.382696,1.06811
136,0.00424973,0.187613,0.382443,1.06718
137,0.00428098,0.187531,0.382192,1.06625
138,0.00431223,0.187448,0.38194,1.06532
139,0.00434348,0.187366,0.381689,1.0644
140,0.00437473,0.187284,0.381438,1.06347
141,0.00440597,0.187202,0.381188,1.06255
142,0.00443722,0.18712,0.380938,1.06162
143,0.00446847,0.187039,0.380689,1.0607
144,0.00449972,0.186957,0.380439,1.05978
145,0.00453097,0.186876,0.380191,1.05886
146,0.00456221,0.186794,0.379942,1.05794
147,0.00459346,0.186713,0.379694,1.05703
148,0.00462471,0.186632,0.379447,1.05611
149,0.00465596,0.186551,0.379199,1.0552
150,0.00468721,0.18647,0.378952,1.05428
151,0.00471846,0.186389,0.378706,1.05337
152,0.0047497,0.186308,0.37846,1.05246
153,0.00478095,0.186227,0.378214,1.05155
154,0.0048122,0.186147,0.377968,1.05064
155,0.00484345,0.186066,0.377723,1.04973
156,0.0048747,0.185986,0.377479,1.04883
157,0.00490594,0.185906,0.377234,1.04792
158,0.00493719,0.185825,0.37699,1.04702
159,0.00496844,0.185745,0.376747,1.04612
160,0.00499969,0.185665,0.376504,1.04521
161,0.00503094,0.185586,0.376261,1.04431
162,0.00506218,0.185506,0.376018,1.04341
163,0.00509343,0.185426,0.375776,1.04252
164,0.00512468,0.185347,0.375535,1.04162
165,0.00515593,0.185267,0.375293,1.04072
166,0.00518718,0.185188,0.375052,1.03983
167,0.00521842,0.185109,0.374811,1.03893
168,0.00524967,0.18503,0.374571,1.03804
169,0.00528092,0.184951,0.374331,1.03715
170,0.00531217,0.184872,0.374092,1.03626
171,0.00534342,0.184793,0.373852,1.03537
172,0.00537466,0.184714,0.373614,1.03448
173,0.00540591,0.184635,0.373375,1.0336
174,0.00543716,0.184557,0.373137,1.03271
175,0.00546841,0.184478,0.372899,1.03183
176,0.00549966,0.1844,0.372662,1.03094
177,0.0055309,0.184322,0.372425,1.03006
178,0.00556215,0.184244,0.372188,1.02918
179,0.0055934,0.184166,0.371951,1.0283
180,0.00562465,0.184088,0.371715,1.02742
181,0.0056559,0.18401,0.37148,1.02654
182,0.00568714,0.183932,0.371244,1.02567
183,0.00571839,0.183855,0.371009,1.02479
184,0.00574964,0.183777,0.370775,1.02392
185,0.00578089,0.1837,0.37054,1.02305
186,0.00581214,0.183622,0.370306,1.02217
187,0.00584338,0.183545,0.370073,1.0213
188,0.00587463,0.183468,0.369839,1.02043
189,0.00590588,0.183391,0.369606,1.01956
190,0.00593713,0.183314,0.369374,1.0187
191,0.00596838,0.183237,0.369142,1.01783
192,0.00599963,0.18316,0.36891,1.01697
193,0.00603087,0.183084,0.368678,1.0161
194,0.00606212,0.183007,0.368447,1.01524
195,0.00609337,0.182931,0.368216,1.01438
196,0.00612462,0.182854,0.367985,1.01352
197,0.00615587,0.182778,0.367755,1.01266
198,0.00618711,0.182702,0.367525,1.0118
199,0.00621836,0.182626,0.367296,1.01094
200,0.00624961,0.18255,0.367066,1.01008
201,0.00628086,0.182474,0.366838,1.00923
202,0.00631211,0.182398,0.366609,1.00837
203,0.00634335,0.182322,0.366381,1.00752
204,0.0063746,0.182247,0.366153,1.00667
205,0.00640585,0.182171,0.365925,1.00582
206,0.0064371,0.182096,0.365698,1.00497
207,0.00646835,0.18202,0.365471,1.00412
208,0.00649959,0.181945,0.365245,1.00327
209,0.00653084,0.18187,0.365018,1.00243
210,0.00656209,0.181795,0.364792,1.00159
211,0.00659334,0.18172,0.364567,1.00078
212,0.00662459,0.181645,0.364342,0.999976
213,0.00665583,0.18157,0.364117,0.999171
214,0.00668708,0.181496,0.363892,0.998367
215,0.00671833,0.181421,0.363668,0.997564
216,0.00674958,0.181347,0.363444,0.996762
217,0.00678083,0.181272,0.36322,0.99596
218,0.00681207,0.181198,0.362997,0.99516
219,0.00684332,0.181124,0.362774,0.994361
220,0.00687457,0.18105,0.362551,0.993562
221,0.00690582,0.180976,0.362329,0.992765
222,0.00693707,0.180902,0.362106,0.991969
223,0.00696831,0.180828,0.361885,0.991173
224,0.00699956,0.180754,0.361663,0.990379
225,0.00703081,0.18068,0.361442,0.989585
226,0.00706206,0.180607,0.361221,0.988792
227,0.00709331,0.180533,0.361001,0.988001
228,0.00712455,0.18046,0.360781,0.98721
229,0.0071558,0.180386,0.360561,0.98642
230,0.00718705,0.180313,0.360341,0.985631
231,0.0072183,0.18024,0.360122,0.984843
232,0.00724955,0.180167,0.359903,0.984056
233,0.00728079,0.180094,0.359684,0.98327
234,0.00731204,0.180021,0.359466,0.982485
235,0.00734329,0.179948,0.359248,0.9817
236,0.00737454,0.179876,0.35903,0.980917
237,0.00740579,0.179803,0.358813,0.980135
238,0.00743704,0.17973,0.358596,0.979353
239,0.00746828,0.179658,0.358379,0.978573
240,0.00749953,0.179586,0.358163,0.977793
241,0.00753078,0.179513,0.357947,0.977015
242,0.00756203,0.179441,0.357731,0.976237
243,0.00759328,0.179369,0.357515,0.97546
244,0.00762452,0.179297,0.3573,0.974684
245,0.00765577,0.179225,0.357085,0.973909
246,0.00768702,0.179153,0.35687,0.973135
247,0.00771827,0.179082,0.356656,0.972362
248,0.00774952,0.17901,0.356442,0.97159
249,0.00778076,0.178938,0.356228,0.970818
250,0.00781201,0.178867,0.356015,0.970048
251,0.00784326,0.178795,0.355801,0.969278
252,0.00787451,0.178724,0.355589,0.96851
253,0.00790576,0.178653,0.355376,0.967742
254,0.007937,0.178582,0.355164,0.966975
255,0.00796825,0.178511,0.354952,0.966209
256,0.0079995,0.17844,0.35474,0.965444
257,0.00803075,0.178369,0.354529,0.96468
258,0.008062,0.178298,0.354318,0.963917
259,0.00809324,0.178227,0.354107,0.963155
260,0.00812449,0.178157,0.353896,0.962394
261,0.00815574,0.178086,0.353686,0.961633
262,0.00818699,0.178016,0.353476,0.960874
263,0.00821824,0.177945,0.353267,0.960115
264,0.00824948,0.177875,0.353057,0.959357
265,0.00828073,0.177805,0.352848,0.9586
266,0.00831198,0.177735,0.352639,0.957844
267,0.00834323,0.177664,0.352431,0.957089
268,0.00837448,0.177595,0.352223,0.956335
269,0.00840572,0.177525,0.352015,0.955582
270,0.00843697,0.177455,0.351807,0.95483
271,0.00846822,0.177385,0.3516,0.954078
272,0.00849947,0.177315,0.351393,0.953327
273,0.00853072,0.177246,0.351186,0.952578
274,0.00856196,0.177176,0.35098,0.951829
275,0.00859321,0.177107,0.350773,0.951081
276,0.00862446,0.177038,0.350568,0.950334
277,0.00865571,0.176968,0.350362,0.949588
278,0.00868696,0.176899,0.350157,0.948842
279,0.00871821,0.17683,0.349951,0.948098
280,0.00874945,0.176761,0.349747,0.947354
281,0.0087807,0.176692,0.349542,0.946612
282,0.00881195,0.176623,0.349338,0.94587
283,0.0088432,0.176555,0.349134,0.945129
284,0.00887445,0.176486,0.34893,0.944389
285,0.00890569,0.176417,0.348727,0.94365
286,0.00893694,0.176349,0.348524,0.942911
287,0.00896819,0.17628,0.348321,0.942174
288,0.00899944,0.176212,0.348118,0.941437
289,0.00903069,0.176144,0.347916,0.940702
290,0.00906193,0.176076,0.347714,0.939967
291,0.00909318,0.176007,0.347512,0.939233
292,0.00912443,0.175939,0.347311,0.9385
293,0.00915568,0.175871,0.34711,0.937767
294,0.00918693,0.175804,0.346909,0.937036
295,0.00921817,0.175736,0.346708,0.936306
296,0.00924942,0.175668,0.346507,0.935576
297,0.00928067,0.1756,0.346307,0.934847
298,0.00931192,0.175533,0.346108,0.934119
299,0.00934317,0.175465,0.345908,0.933392
300,0.00937441,0.175398,0.345709,0.932666
301,0.00940566,0.175331,0.34551,0.93194
302,0.00943691,0.175263,0.345311,0.931216
303,0.00946816,0.175196,0.345112,0.930492
304,0.00949941,0.175129,0.344914,0.929769
305,0.00953065,0.175062,0.344716,0.929047
306,0.0095619,0.174995,0.344518,0.928326
307,0.00959315,0.174928,0.344321,0.927606
308,0.0096244,0.174861,0.344124,0.926887
309,0.00965565,0.174795,0.343927,0.926168
310,0.00968689,0.174728,0.34373,0.92545
311,0.00971814,0.174661,0.343534,0.924733
312,0.00974939,0.174595,0.343337,0.924017
313,0.00978064,0.174529,0.343142,0.923302
314,0.00981189,0.174462,0.342946,0.922588
315,0.00984313,0.174396,0.342751,0.921874
316,0.00987438,0.17433,0.342555,0.921161
317,0.00990563,0.174264,0.342361,0.920449
318,0.00993688,0.174198,0.342166,0.919738
319,0.00996813,0.174132,0.341972,0.919028
320,0.00999938,0.174066,0.341778,0.918319
321,0.0100306,0.174,0.341584,0.91761
322,0.0100619,0.173934,0.34139,0.916903
323,0.0100931,0.173869,0.341197,0.916207
324,0.0101244,0.173803,0.341004,0.915531
325,0.0101556,0.173737,0.340811,0.914856
326,0.0101869,0.173672,0.340618,0.914181
327,0.0102181,0.173607,0.340426,0.913507
328,0.0102494,0.173541,0.340234,0.912834
329,0.0102806,0.173476,0.340042,0.912162
330,0.0103119,0.173411,0.339851,0.91149
331,0.0103431,0.173346,0.33966,0.910819
332,0.0103744,0.173281,0.339468,0.910149
333,0.0104056,0.173216,0.339278,0.909479
334,0.0104368,0.173151,0.339087,0.908811
335,0.0104681,0.173086,0.338897,0.908143
336,0.0104993,0.173022,0.338707,0.907475
337,0.0105306,0.172957,0.338517,0.906809
338,0.0105618,0.172892,0.338328,0.906143
339,0.0105931,0.172828,0.338138,0.905478
340,0.0106243,0.172763,0.337949,0.904813
341,0.0106556,0.172699,0.33776,0.90415
342,0.0106868,0.172635,0.337572,0.903487
343,0.0107181,0.172571,0.337384,0.902824
344,0.0107493,0.172506,0.337195,0.902163
345,0.0107806,0.172442,0.337008,0.901502
346,0.0108118,0.172378,0.33682,0.900842
347,0.0108431,0.172314,0.336633,0.900183
348,0.0108743,0.172251,0.336446,0.899524
349,0.0109056,0.172187,0.336259,0.898866
350,0.0109368,0.172123,0.336072,0.898209
351,0.0109681,0.172059,0.335886,0.897552
352,0.0109993,0.171996,0.3357,0.896897
353,0.0110306,0.171932,0.335514,0.896242
354,0.0110618,0.171869,0.335328,0.895587
355,0.0110931,0.171806,0.335143,0.894934
356,0.0111243,0.171742,0.334958,0.894281
357,0.0111556,0.171679,0.334773,0.893628
358,0.0111868,0.171616,0.334588,0.892977
359,0.011218,0.171553,0.334404,0.892326
360,0.0112493,0.17149,0.334219,0.891676
361,0.0112805,0.171427,0.334035,0.891027
362,0.0113118,0.171364,0.333852,0.890378
363,0.011343,0.171301,0.333668,0.88973
364,0.0113743,0.171238,0.333485,0.889083
365,0.0114055,0.171176,0.333302,0.888436
366,0.0114368,0.171113,0.333119,0.88779
367,0.011468,0.171051,0.332936,0.887145
368,0.0114993,0.170988,0.332754,0.8865
369,0.0115305,0.170926,0.332572,0.885857
370,0.0115618,0.170863,0.33239,0.885214
371,0.011593,0.170801,0.332208,0.884571
372,0.0116243,0.170739,0.332027,0.88393
373,0.0116555,0.170677,0.331846,0.883289
374,0.0116868,0.170615,0.331665,0.882648
375,0.011718,0.170553,0.331484,0.882009
376,0.0117493,0.170491,0.331304,0.88137
377,0.0117805,0.170429,0.331123,0.880732
378,0.0118118,0.170367,0.330943,0.880094
379,0.011843,0.170306,0.330764,0.879457
380,0.0118743,0.170244,0.330584,0.878821
381,0.0119055,0.170182,0.330405,0.878186
382,0.0119368,0.170121,0.330226,0.877551
383,0.011968,0.170059,0.330047,0.876917
384,0.0119993,0.169998,0.329868,0.876283
385,0.0120305,0.169937,0.32969,0.875651
386,0.0120617,0.169875,0.329511,0.875019
387,0.012093,0.169814,0.329333,0.874387
388,0.0121242,0.169753,0.329156,0.873757
389,0.0121555,0.169692,0.328978,0.873127
390,0.0121867,0.169631,0.328801,0.872497
391,0.012218,0.16957,0.328624,0.871869
392,0.0122492,0.169509,0.328447,0.871241
393,0.0122805,0.169449,0.32827,0.870614
394,0.0123117,0.169388,0.328094,0.869987
395,0.012343,0.169327,0.327917,0.869361
396,0.0123742,0.169267,0.327741,0.868736
397,0.0124055,0.169206,0.327566,0.868111
398,0.0124367,0.169146,0.32739,0.867488
399,0.012468,0.169085,0.327215,0.866864
400,0.0124992,0.169025,0.32704,0.866242
401,0.0125305,0.168965,0.326865,0.86562
402,0.0125617,0.168904,0.32669,0.864999
403,0.012593,0.168844,0.326516,0.864378
404,0.0126242,0.168784,0.326341,0.863759
405,0.0126555,0.168724,0.326167,0.863139
406,0.0126867,0.168664,0.325993,0.862521
407,0.012718,0.168604,0.32582,0.861903
408,0.0127492,0.168544,0.325646,0.861286
409,0.0127805,0.168485,0.325473,0.860669
410,0.0128117,0.168425,0.3253,0.860054
411,0.0128429,0.168365,0.325128,0.859438
412,0.0128742,0.168306,0.324955,0.858824
413,0.0129054,0.168246,0.324783,0.85821
414,0.0129367,0.168187,0.324611,0.857597
415,0.0129679,0.168127,0.324439,0.856985
416,0.0129992,0.168068,0.324267,0.856373
417,0.0130304,0.168009,0.324096,0.855761
418,0.0130617,0.16795,0.323924,0.855151
419,0.0130929,0.167891,0.323753,0.854541
420,0.0131242,0.167831,0.323582,0.853932
421,0.0131554,0.167772,0.323412,0.853323
422,0.0131867,0.167714,0.323241,0.852715
423,0.0132179,0.167655,0.323071,0.852108
424,0.0132492,0.167596,0.322901,0.851502
425,0.0132804,0.167537,0.322731,0.850896
426,0.0133117,0.167478,0.322562,0.85029
427,0.0133429,0.16742,0.322393,0.849686
428,0.0133742,0.167361,0.322223,0.849082
429,0.0134054,0.167303,0.322054,0.848478
430,0.0134367,0.167244,0.321886,0.847876
431,0.0134679,0.167186,0.321717,0.847274
432,0.0134992,0.167127,0.321549,0.846672
433,0.0135304,0.167069,0.321381,0.846072
434,0.0135617,0.167011,0.321213,0.845472
435,0.0135929,0.166953,0.321045,0.844872
436,0.0136241,0.166895,0.320877,0.844273
437,0.0136554,0.166837,0.32071,0.843675
438,0.0136866,0.166779,0.320543,0.843078
439,0.0137179,0.166721,0.320376,0.842481
440,0.0137491,0.166663,0.320209,0.841885
441,0.0137804,0.166605,0.320043,0.841303
442,0.0138116,0.166548,0.319877,0.840732
443,0.0138429,0.16649,0.319711,0.840162
444,0.0138741,0.166432,0.319545,0.839593
445,0.0139054,0.166375,0.319379,0.839024
446,0.0139366,0.166317,0.319213,0.838455
447,0.0139679,0.16626,0.319048,0.837887
448,0.0139991,0.166202,0.318883,0.83732
449,0.0140304,0.166145,0.318718,0.836753
450,0.0140616,0.166088,0.318553,0.836187
451,0.0140929,0.166031,0.318389,0.835622
452,0.0141241,0.165974,0.318225,0.835057
453,0.0141554,0.165917,0.31806,0.834492
454,0.0141866,0.165859,0.317897,0.833928
455,0.0142179,0.165803,0.317733,0.833365
456,0.0142491,0.165746,0.317569,0.832802
457,0.0142804,0.165689,0.317406,0.83224
458,0.0143116,0.165632,0.317243,0.831678
459,0.0143429,0.165575,0.31708,0.831117
460,0.0143741,0.165519,0.316917,0.830557
461,0.0144053,0.165462,0.316755,0.829997
462,0.0144366,0.165405,0.316592,0.829437
463,0.0144678,0.165349,0.31643,0.828878
464,0.0144991,0.165293,0.316268,0.82832
465,0.0145303,0.165236,0.316106,0.827762
466,0.0145616,0.16518,0.315945,0.827205
467,0.0145928,0.165124,0.315783,0.826649
468,0.0146241,0.165067,0.315622,0.826093
469,0.0146553,0.165011,0.315461,0.825537
470,0.0146866,0.164955,0.3153,0.824982
