step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
0,0,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
1,0.00195312,0.00195312,0.0395417,0.139381,0.948629,0.000298537,0.00104321,0.00700137
2,0.00390625,0.00195312,0.0394712,0.138855,0.943286,0.000298035,0.0010394,0.00696241
3,0.00585938,0.00195312,0.0393714,0.138125,0.935872,0.000297322,0.00103409,0.00690864
4,0.0078125,0.00195312,0.0392426,0.137194,0.926426,0.000296402,0.00102732,0.00684034
5,0.00976562,0.00195312,0.0390852,0.136067,0.914997,0.000295276,0.00101913,0.00675783
6,0.0117188,0.00195312,0.0388999,0.134752,0.901636,0.000293949,0.00100956,0.0066615
7,0.0136719,0.00195312,0.0386869,0.133255,0.886628,0.000292422,0.000998667,0.00655175
8,0.015625,0.00195312,0.0384472,0.131583,0.870026,0.000290702,0.000986496,0.00642901
9,0.0175781,0.00195312,0.0381811,0.129745,0.851733,0.000288792,0.000973111,0.00629377
10,0.0195312,0.00195312,0.0378896,0.12775,0.831815,0.000286697,0.000958578,0.00614655
11,0.0214844,0.00195312,0.0375732,0.125608,0.810347,0.000284422,0.000942968,0.00598787
12,0.0234375,0.00195312,0.0372328,0.123329,0.787403,0.000281972,0.000926356,0.0058183
13,0.0253906,0.00195312,0.0368692,0.120925,0.763064,0.000279352,0.000908821,0.00564528
14,0.0273438,0.00195312,0.0364833,0.118406,0.737411,0.000276569,0.00089045,0.00546941
15,0.0292969,0.00195312,0.036076,0.115786,0.711909,0.00027363,0.00087133,0.00528481
16,0.03125,0.00195312,0.0356483,0.113077,0.686019,0.000270539,0.000851555,0.00509206
17,0.0332031,0.00195312,0.035201,0.110292,0.659099,0.000267304,0.000831223,0.00489171
18,0.0351562,0.00195312,0.0347352,0.107446,0.631228,0.000263932,0.000810435,0.0046867
19,0.0371094,0.00195312,0.0342519,0.104553,0.602865,0.000260429,0.000789298,0.00449243
20,0.0390625,0.00195312,0.0337521,0.101629,0.576145,0.000256802,0.000767919,0.00429237
21,0.0410156,0.00195312,0.0332368,0.0986876,0.548701,0.000253059,0.000746414,0.00409317
