step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
0,0,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
1,0.00195312,0.00195312,0.0395417,0.139381,0.948629,0.000298537,0.00104321,0.00700137
2,0.00390625,0.00195312,0.0394726,0.138865,0.943387,0.000298045,0.00103947,0.00696314
3,0.00585938,0.00195312,0.039377,0.138164,0.936269,0.000297363,0.00103438,0.00691148
4,0.0078125,0.00195312,0.0392564,0.13729,0.927403,0.000296501,0.00102802,0.00684732
5,0.00976562,0.00195312,0.0391124,0.136256,0.916913,0.000295471,0.00102051,0.00677155
6,0.0117188,0.00195312,0.0389465,0.135075,0.904926,0.000294284,0.00101192,0.00668504
7,0.0136719,0.00195312,0.0387604,0.13376,0.891618,0.00029295,0.00100235,0.00658868
8,0.015625,0.00195312,0.0385554,0.132323,0.877362,0.000291481,0.000991886,0.0064833
9,0.0175781,0.00195312,0.0383331,0.130777,0.861998,0.000289885,0.000980623,0.00636974
10,0.0195312,0.00195312,0.0380947,0.129132,0.845636,0.000288174,0.000968643,0.0062488
11,0.0214844,0.00195312,0.0378417,0.127401,0.828379,0.000286356,0.00095603,0.00612127
12,0.0234375,0.00195312,0.0375754,0.125594,0.810332,0.00028444,0.000942863,0.00598791
13,0.0253906,0.00195312,0.0372969,0.123723,0.791591,0.000282436,0.00092922,0.00584944
14,0.0273438,0.00195312,0.0370078,0.121798,0.772253,0.000280353,0.000915176,0.00570754
15,0.0292969,0.00195312,0.0367089,0.119828,0.752409,0.000278199,0.0009008,0.00557131
16,0.03125,0.00195312,0.0364015,0.117822,0.732145,0.000275981,0.000886161,0.00543196
17,0.0332031,0.00195312,0.0360866,0.11579,0.712565,0.000273708,0.000871321,0.00529004
18,0.0351562,0.00195312,0.0357652,0.113739,0.693223,0.000271385,0.00085634,0.00514609
19,0.0371094,0.00195312,0.0354384,0.111678,0.67367,0.000269022,0.000841275,0.0050006
20,0.0390625,0.00195312,0.035107,0.109613,0.653968,0.000266624,0.000826176,0.00485406
21,0.0410156,0.00195312,0.0347721,0.107551,0.634179,0.000264197,0.000811093,0.00470692
