step,time,L1,L2,Linf
0,0,0.035395,0.12495,0.85109
1,0.00195312,0.0353413,0.124666,0.848636
2,0.00390625,0.0352626,0.124205,0.844424
3,0.00585938,0.0351603,0.123577,0.838563
4,0.0078125,0.0350359,0.122796,0.831162
5,0.00976562,0.034891,0.121871,0.822327
6,0.0117188,0.034727,0.120815,0.812165
7,0.0136719,0.0345453,0.119639,0.800779
8,0.015625,0.0343473,0.118354,0.788271
9,0.0175781,0.0341342,0.11697,0.774743
10,0.0195312,0.0339075,0.115499,0.76029
11,0.0214844,0.0336682,0.113951,0.745009
12,0.0234375,0.0334177,0.112335,0.728991
13,0.0253906,0.033157,0.110662,0.712326
14,0.0273438,0.0328873,0.108939,0.6951
15,0.0292969,0.0326096,0.107177,0.677396
16,0.03125,0.0323249,0.105383,0.660101
17,0.0332031,0.0320343,0.103566,0.6432
18,0.0351562,0.0317386,0.101732,0.626024
19,0.0371094,0.0314386,0.0998879,0.608634
20,0.0390625,0.0311353,0.098041,0.591088
21,0.0410156,0.0308294,0.0961967,0.573443
22,0.0429688,0.0305216,0.0943605,0.55575
23,0.0449219,0.0302126,0.0925375,0.539199
24,0.046875,0.0299031,0.0907322,0.523205
25,0.0488281,0.0295936,0.0889484,0.507235
26,0.0507812,0.0292848,0.08719,0.491327
27,0.0527344,0.0289771,0.08546,0.475516
28,0.0546875,0.028671,0.0837613,0.461231
29,0.0566406,0.028367,0.082096,0.447311
30,0.0585938,0.0280655,0.0804663,0.433494
31,0.0605469,0.0277668,0.0788737,0.419804
32,0.0625,0.0274713,0.0773196,0.407587
33,0.0644531,0.0271793,0.0758047,0.395725
34,0.0664062,0.0268911,0.0743299,0.383967
35,0.0683594,0.0266069,0.0728954,0.372602
36,0.0703125,0.0263269,0.0715015,0.362531
37,0.0722656,0.0260513,0.0701479,0.352531
38,0.0742188,0.0257802,0.0688345,0.342616
39,0.0761719,0.0255139,0.0675607,0.3336
40,0.078125,0.0252524,0.0663258,0.325137
