step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
0,0,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
1,0.00195312,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
2,0.00390625,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
3,0.00585938,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
4,0.0078125,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
5,0.00976562,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
6,0.0117188,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
7,0.0136719,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
8,0.015625,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
9,0.0175781,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
10,0.0195312,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
11,0.0214844,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
12,0.0234375,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
13,0.0253906,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
14,0.0273438,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
15,0.0292969,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
16,0.03125,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
17,0.0332031,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
18,0.0351562,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
19,0.0371094,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
20,0.0390625,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
21,0.0410156,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
22,0.0429688,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
23,0.0449219,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
24,0.046875,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
25,0.0488281,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
26,0.0507812,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
27,0.0527344,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
28,0.0546875,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
29,0.0566406,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
30,0.0585938,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
31,0.0605469,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
32,0.0625,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
33,0.0644531,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
34,0.0664062,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
35,0.0683594,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
36,0.0703125,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
37,0.0722656,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
38,0.0742188,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
39,0.0761719,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
40,0.078125,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
41,0.0800781,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
42,0.0820312,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
43,0.0839844,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
44,0.0859375,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
45,0.0878906,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
46,0.0898438,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
47,0.0917969,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
48,0.09375,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
49,0.0957031,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
50,0.0976562,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
51,0.0996094,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
52,0.101562,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
53,0.103516,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
54,0.105469,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
55,0.107422,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
56,0.109375,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
57,0.111328,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
58,0.113281,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
59,0.115234,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
60,0.117188,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
61,0.119141,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
62,0.121094,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
63,0.123047,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
64,0.125,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
65,0.126953,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
66,0.128906,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
67,0.130859,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
68,0.132812,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
69,0.134766,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
70,0.136719,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
71,0.138672,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
72,0.140625,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
73,0.142578,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
74,0.144531,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
75,0.146484,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
76,0.148438,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
77,0.150391,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
78,0.152344,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
79,0.154297,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
80,0.15625,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
81,0.158203,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
82,0.160156,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
83,0.162109,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
84,0.164062,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
85,0.166016,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
86,0.167969,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
87,0.169922,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
88,0.171875,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
89,0.173828,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
90,0.175781,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
91,0.177734,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
92,0.179688,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
93,0.181641,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
94,0.183594,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
95,0.185547,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
96,0.1875,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
97,0.189453,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
98,0.191406,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
99,0.193359,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
100,0.195312,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
101,0.197266,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
102,0.199219,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
103,0.201172,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
104,0.203125,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
105,0.205078,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
106,0.207031,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
