step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
0,0,0.000190694,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527,0.0396506,0.140103,0.984753,0.000299321,0.00104839,0.0072322
1,0.000190694,0.000190694,0.0395224,0.139275,0.947691,0.000298395,0.00104243,0.00699556,0.0395902,0.139677,0.980146,0.000298888,0.00104529,0.00719951
2,0.000381388,0.000190694,0.0394626,0.138854,0.943543,0.000297966,0.00103937,0.00696603,0.03953,0.139254,0.975569,0.000298457,0.00104221,0.00716703
3,0.000572082,0.000190694,0.0394031,0.138435,0.939422,0.000297539,0.00103633,0.00693669,0.0394702,0.138833,0.971024,0.000298027,0.00103915,0.00713477
4,0.000762777,0.000190694,0.0393438,0.138019,0.935327,0.000297114,0.0010333,0.00690753,0.0394105,0.138414,0.96653,0.0002976,0.00103611,0.00710271
5,0.000953471,0.000190694,0.0392848,0.137606,0.931259,0.000296691,0.00103029,0.00687855,0.0393512,0.137998,0.962187,0.000297174,0.00103308,0.00707087
6,0.00114416,0.000190694,0.0392261,0.137195,0.927216,0.000296269,0.0010273,0.00684974,0.0392921,0.137585,0.957873,0.00029675,0.00103007,0.00703923
7,0.00133486,0.000190694,0.0391676,0.136786,0.923199,0.00029585,0.00102432,0.00682112,0.0392333,0.137174,0.953586,0.000296328,0.00102708,0.0070078
8,0.00152555,0.000190694,0.0391094,0.13638,0.919283,0.000295432,0.00102137,0.00679267,0.0391748,0.136765,0.949328,0.000295908,0.00102411,0.00697658
9,0.00171625,0.000190694,0.0390514,0.135977,0.915461,0.000295016,0.00101843,0.0067644,0.0391166,0.136359,0.945096,0.00029549,0.00102115,0.00694555
10,0.00190694,0.000190694,0.0389937,0.135575,0.911663,0.000294602,0.00101551,0.0067363,0.0390586,0.135956,0.940892,0.000295074,0.00101821,0.00691473
11,0.00209764,0.000190694,0.0389363,0.135177,0.907888,0.000294189,0.0010126,0.00670837,0.0390008,0.135554,0.936715,0.000294659,0.00101529,0.0068841
12,0.00228833,0.000190694,0.0388791,0.13478,0.904136,0.000293778,0.00100971,0.00668061,0.0389433,0.135156,0.932564,0.000294246,0.00101239,0.00685367
