step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
0,0,0.00195312,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527
1,0.00195312,0.00195312,0.0395944,0.139797,0.954076,0.000298912,0.00104623,0.00703763
2,0.00390625,0.00195312,0.039617,0.139896,0.955767,0.000299078,0.00104695,0.00703755
3,0.00585938,0.00195312,0.0396377,0.139995,0.957198,0.000299229,0.00104767,0.00705028
4,0.0078125,0.00195312,0.0396464,0.140094,0.956925,0.000299292,0.0010484,0.00706088
5,0.00976562,0.00195312,0.0396755,0.140194,0.958259,0.000299504,0.00104912,0.00705825
6,0.0117188,0.00195312,0.0396914,0.140293,0.960164,0.00029962,0.00104984,0.00706938
7,0.0136719,0.00195312,0.0397077,0.140393,0.960205,0.00029974,0.00105057,0.00708237
8,0.015625,0.00195312,0.0397325,0.140493,0.959843,0.00029992,0.0010513,0.007082
9,0.0175781,0.00195312,0.0397435,0.140593,0.960739,0.0003,0.00105202,0.00708304
10,0.0195312,0.00195312,0.039768,0.140693,0.963773,0.000300179,0.00105275,0.00708721
11,0.0214844,0.00195312,0.0397879,0.140793,0.96525,0.000300325,0.00105348,0.00710906
12,0.0234375,0.00195312,0.0397983,0.140894,0.964854,0.0003004,0.00105422,0.00711897
13,0.0253906,0.00195312,0.0398268,0.140994,0.966451,0.000300608,0.00105495,0.00711545
14,0.0273438,0.00195312,0.0398418,0.141095,0.968269,0.000300718,0.00105568,0.00712849
15,0.0292969,0.00195312,0.03986,0.141196,0.968194,0.000300851,0.00105642,0.00714084
16,0.03125,0.00195312,0.039884,0.141298,0.967949,0.000301026,0.00105715,0.00713962
17,0.0332031,0.00195312,0.0398941,0.141399,0.968877,0.0003011,0.00105789,0.00713895
18,0.0351562,0.00195312,0.0399205,0.1415,0.972051,0.000301292,0.00105863,0.00714593
19,0.0371094,0.00195312,0.0399397,0.141602,0.973432,0.000301432,0.00105937,0.00716879
20,0.0390625,0.00195312,0.0399518,0.141704,0.972911,0.00030152,0.00106011,0.00717799
21,0.0410156,0.00195312,0.0399796,0.141806,0.974778,0.000301723,0.00106085,0.00717356
22,0.0429688,0.00195312,0.0399938,0.141908,0.976505,0.000301827,0.0010616,0.00718857
23,0.0449219,0.00195312,0.0400139,0.142011,0.976311,0.000301973,0.00106234,0.00720026
24,0.046875,0.00195312,0.0400372,0.142113,0.976188,0.000302143,0.00106309,0.00719816
25,0.0488281,0.00195312,0.0400464,0.142216,0.977204,0.000302211,0.00106383,0.00719839
26,0.0507812,0.00195312,0.0400747,0.142319,0.980465,0.000302417,0.00106458,0.00720686
27,0.0527344,0.00195312,0.0400931,0.142422,0.981747,0.000302552,0.00106533,0.00722949
28,0.0546875,0.00195312,0.040107,0.142525,0.981099,0.000302652,0.00106608,0.00723797
29,0.0566406,0.00195312,0.0401341,0.142629,0.983241,0.00030285,0.00106683,0.0072326
30,0.0585938,0.00195312,0.0401475,0.142732,0.984877,0.000302948,0.00106759,0.00724963
31,0.0605469,0.00195312,0.0401695,0.142836,0.98456,0.000303108,0.00106834,0.00726063
32,0.0625,0.00195312,0.0401919,0.14294,0.984563,0.000303272,0.0010691,0.00725764
33,0.0644531,0.00195312,0.0402011,0.143044,0.985827,0.000303339,0.00106986,0.0072588
34,0.0664062,0.00195312,0.0402306,0.143148,0.989018,0.000303554,0.00107061,0.00726907
35,0.0683594,0.00195312,0.0402482,0.143253,0.9902,0.000303682,0.00107137,0.00729119
36,0.0703125,0.00195312,0.0402639,0.143357,0.98942,0.000303796,0.00107213,0.00729894
37,0.0722656,0.00195312,0.0402903,0.143462,0.991845,0.000303989,0.0010729,0.0072926
38,0.0742188,0.00195312,0.0403027,0.143567,0.993386,0.00030408,0.00107366,0.00731169
39,0.0761719,0.00195312,0.0403267,0.143672,0.992943,0.000304255,0.00107442,0.007322
40,0.078125,0.00195312,0.0403484,0.143778,0.993076,0.000304413,0.00107519,0.00731808
41,0.0800781,0.00195312,0.0403589,0.143883,0.994595,0.00030449,0.00107596,0.00732021
42,0.0820312,0.00195312,0.0403882,0.143989,0.997715,0.000304703,0.00107673,0.00733233
43,0.0839844,0.00195312,0.0404048,0.144095,0.998793,0.000304825,0.0010775,0.00735392
44,0.0859375,0.00195312,0.0404225,0.144201,0.997879,0.000304953,0.00107827,0.00736091
45,0.0878906,0.00195312,0.0404481,0.144307,1.00059,0.00030514,0.00107904,0.00735358
46,0.0898438,0.00195312,0.0404597,0.144414,1.00204,0.000305224,0.00107981,0.00737478
47,0.0917969,0.00195312,0.0404857,0.14452,1.00147,0.000305413,0.00108059,0.00738438
48,0.09375,0.00195312,0.0405065,0.144627,1.00173,0.000305565,0.00108136,0.00737952
49,0.0957031,0.00195312,0.0405187,0.144734,1.00351,0.000305654,0.00108214,0.00738264
50,0.0976562,0.00195312,0.0405475,0.144841,1.00656,0.000305864,0.00108292,0.00739665
51,0.0996094,0.00195312,0.0405632,0.144948,1.00753,0.000305979,0.0010837,0.0074177
52,0.101562,0.00195312,0.0405829,0.145056,1.00648,0.000306122,0.00108448,0.00742391
53,0.103516,0.00195312,0.0406077,0.145164,1.00949,0.000306303,0.00108527,0.00741557
54,0.105469,0.00195312,0.0406182,0.145272,1.01083,0.00030638,0.00108605,0.00743893
55,0.107422,0.00195312,0.0406464,0.14538,1.01013,0.000306585,0.00108684,0.0074478
56,0.109375,0.00195312,0.0406663,0.145488,1.01054,0.00030673,0.00108762,0.00744342
57,0.111328,0.00195312,0.0406804,0.145596,1.01258,0.000306833,0.00108841,0.00744612
58,0.113281,0.00195312,0.0407085,0.145705,1.01555,0.000307037,0.0010892,0.00746207
59,0.115234,0.00195312,0.0407233,0.145814,1.01642,0.000307146,0.00108999,0.00748257
60,0.117188,0.00195312,0.0407451,0.145923,1.01522,0.000307304,0.00109078,0.00748797
61,0.119141,0.00195312,0.040769,0.146032,1.01854,0.000307478,0.00109158,0.00748082
62,0.121094,0.00195312,0.0407797,0.146141,1.01978,0.000307557,0.00109237,0.00750417
63,0.123047,0.00195312,0.0408089,0.146251,1.01912,0.000307769,0.00109317,0.00751228
64,0.125,0.00195312,0.0408279,0.146361,1.01949,0.000307908,0.00109396,0.00750884
65,0.126953,0.00195312,0.0408439,0.146471,1.02181,0.000308024,0.00109476,0.00751067
66,0.128906,0.00195312,0.0408713,0.146581,1.0247,0.000308223,0.00109556,0.00752861
67,0.130859,0.00195312,0.0408851,0.146691,1.02545,0.000308324,0.00109637,0.00754853
68,0.132812,0.00195312,0.0409091,0.146802,1.02443,0.000308498,0.00109717,0.00755311
69,0.134766,0.00195312,0.0409321,0.146913,1.02774,0.000308666,0.00109797,0.00754769
70,0.136719,0.00195312,0.0409439,0.147023,1.02888,0.000308753,0.00109878,0.00757052
71,0.138672,0.00195312,0.0409732,0.147135,1.02835,0.000308966,0.00109959,0.00757786
72,0.140625,0.00195312,0.0409912,0.147246,1.0286,0.000309097,0.00110039,0.0075754
73,0.142578,0.00195312,0.0410093,0.147357,1.03119,0.000309229,0.0011012,0.00757633
74,0.144531,0.00195312,0.0410359,0.147469,1.03401,0.000309422,0.00110202,0.0075963
75,0.146484,0.00195312,0.0410486,0.147581,1.03465,0.000309516,0.00110283,0.00761564
76,0.148438,0.00195312,0.0410749,0.147693,1.03387,0.000309706,0.00110364,0.00761938
77,0.150391,0.00195312,0.0410969,0.147805,1.0371,0.000309867,0.00110446,0.00761571
78,0.152344,0.00195312,0.0411103,0.147918,1.03813,0.000309965,0.00110528,0.00763802
79,0.154297,0.00195312,0.0411393,0.148031,1.03774,0.000310175,0.00110609,0.00764456
80,0.15625,0.00195312,0.0411563,0.148143,1.03786,0.0003103,0.00110691,0.00764311
81,0.158203,0.00195312,0.0411766,0.148256,1.04074,0.000310447,0.00110773,0.00764313
82,0.160156,0.00195312,0.0412023,0.14837,1.04348,0.000310634,0.00110856,0.00766516
83,0.162109,0.00195312,0.041214,0.148483,1.044,0.00031072,0.00110938,0.00768391
84,0.164062,0.00195312,0.0412426,0.148597,1.04347,0.000310927,0.00111021,0.00768678
85,0.166016,0.00195312,0.0412636,0.148711,1.04663,0.000311081,0.00111103,0.00768492
86,0.167969,0.00195312,0.0412789,0.148825,1.04755,0.000311192,0.00111186,0.00770668
87,0.169922,0.00195312,0.0413073,0.148939,1.04729,0.000311398,0.00111269,0.00771242
88,0.171875,0.00195312,0.0413232,0.149054,1.04729,0.000311515,0.00111352,0.00771201
89,0.173828,0.00195312,0.0413457,0.149168,1.05046,0.000311678,0.00111436,0.00771129
90,0.175781,0.00195312,0.0413705,0.149283,1.05312,0.000311859,0.00111519,0.00773525
91,0.177734,0.00195312,0.0413828,0.149398,1.05352,0.000311949,0.00111603,0.00775338
92,0.179688,0.00195312,0.0414121,0.149514,1.05324,0.000312161,0.00111686,0.00775537
93,0.181641,0.00195312,0.0414321,0.149629,1.05632,0.000312307,0.0011177,0.00775534
94,0.183594,0.00195312,0.0414493,0.149745,1.05713,0.000312432,0.00111854,0.00777656
95,0.185547,0.00195312,0.0414772,0.149861,1.05702,0.000312635,0.00111938,0.00778146
96,0.1875,0.00195312,0.0414919,0.149977,1.05689,0.000312743,0.00112023,0.00778213
97,0.189453,0.00195312,0.0415168,0.150093,1.06036,0.000312923,0.00112107,0.00778139
98,0.191406,0.00195312,0.0415406,0.15021,1.06293,0.000313097,0.00112192,0.00780657
99,0.193359,0.00195312,0.0415541,0.150327,1.0632,0.000313196,0.00112276,0.00782408
100,0.195312,0.00195312,0.0415835,0.150444,1.06318,0.000313409,0.00112361,0.00782516
101,0.197266,0.00195312,0.0416025,0.150561,1.06619,0.000313547,0.00112446,0.00782702
102,0.199219,0.00195312,0.0416218,0.150678,1.06688,0.000313688,0.00112532,0.00784766
103,0.201172,0.00195312,0.0416489,0.150796,1.06692,0.000313884,0.00112617,0.00785172
104,0.203125,0.00195312,0.0416625,0.150914,1.06678,0.000313984,0.00112702,0.0078535
105,0.205078,0.00195312,0.0416898,0.151032,1.07043,0.000314182,0.00112788,0.00785273
106,0.207031,0.00195312,0.0417127,0.15115,1.07291,0.000314349,0.00112874,0.00787918
107,0.208984,0.00195312,0.0417277,0.151268,1.07306,0.000314459,0.0011296,0.00789604
108,0.210938,0.00195312,0.0417569,0.151387,1.0733,0.00031467,0.00113046,0.0078962
109,0.212891,0.00195312,0.0417747,0.151506,1.07623,0.0003148,0.00113132,0.00789998
110,0.214844,0.00195312,0.0417964,0.151625,1.0768,0.000314957,0.00113219,0.00792004
111,0.216797,0.00195312,0.0418226,0.151744,1.07701,0.000315148,0.00113305,0.00792323
112,0.21875,0.00195312,0.0418357,0.151864,1.07685,0.000315245,0.00113392,0.00792616
113,0.220703,0.00195312,0.0418649,0.151983,1.08069,0.000315455,0.00113479,0.00792534
114,0.222656,0.00195312,0.0418866,0.152103,1.08308,0.000315614,0.00113566,0.0079531
115,0.224609,0.00195312,0.0419035,0.152224,1.0831,0.000315737,0.00113653,0.00796931
116,0.226562,0.00195312,0.0419323,0.152344,1.08361,0.000315946,0.0011374,0.00796851
117,0.228516,0.00195312,0.0419489,0.152465,1.08646,0.000316067,0.00113828,0.00797426
118,0.230469,0.00195312,0.0419729,0.152585,1.08691,0.000316241,0.00113916,0.00799373
119,0.232422,0.00195312,0.0419982,0.152707,1.08727,0.000316425,0.00114003,0.00799602
120,0.234375,0.00195312,0.0420122,0.152828,1.08711,0.000316528,0.00114091,0.00800015
121,0.236328,0.00195312,0.0420419,0.152949,1.09113,0.000316743,0.0011418,0.00799927
122,0.238281,0.00195312,0.0420625,0.153071,1.09343,0.000316893,0.00114268,0.00802837
123,0.240234,0.00195312,0.0420815,0.153193,1.09332,0.000317031,0.00114356,0.0080439
124,0.242188,0.00195312,0.0421096,0.153315,1.0941,0.000317235,0.00114445,0.00804213
125,0.244141,0.00195312,0.042125,0.153438,1.09687,0.000317348,0.00114534,0.00804989
126,0.246094,0.00195312,0.0421515,0.15356,1.0972,0.00031754,0.00114623,0.00806875
127,0.248047,0.00195312,0.0421759,0.153683,1.09773,0.000317717,0.00114712,0.00807013
128,0.25,0.00195312,0.0421912,0.153806,1.09756,0.000317829,0.00114801,0.0080755
129,0.251953,0.00195312,0.0422209,0.153929,1.10177,0.000318044,0.0011489,0.00807454
130,0.253906,0.00195312,0.0422404,0.154053,1.10398,0.000318187,0.0011498,0.00810502
131,0.255859,0.00195312,0.0422616,0.154177,1.10373,0.00031834,0.0011507,0.00811987
132,0.257812,0.00195312,0.042289,0.154301,1.10479,0.000318539,0.0011516,0.0081171
133,0.259766,0.00195312,0.0423033,0.154425,1.10748,0.000318644,0.0011525,0.00812691
134,0.261719,0.00195312,0.0423323,0.154549,1.10768,0.000318853,0.0011534,0.00814516
135,0.263672,0.00195312,0.0423555,0.154674,1.10838,0.000319023,0.00115431,0.0081456
