step,time,L1,L2,Linf
0,0,0.199938,0.420742,1.21133
1,0.001,0.199838,0.420427,1.21015
2,0.002,0.199658,0.419861,1.20803
3,0.003,0.1994,0.419046,1.20497
4,0.004,0.199062,0.417984,1.20098
5,0.005,0.198647,0.416677,1.19607
6,0.006,0.198153,0.415129,1.19024
7,0.007,0.197583,0.413344,1.1835
8,0.008,0.196937,0.411326,1.17586
9,0.009,0.196216,0.409079,1.16734
10,0.01,0.19542,0.406609,1.15793
11,0.011,0.194552,0.403921,1.14765
12,0.012,0.193611,0.401022,1.13653
13,0.013,0.1926,0.397919,1.12456
14,0.014,0.191519,0.394619,1.11177
15,0.015,0.19037,0.391128,1.09862
16,0.016,0.189154,0.387456,1.08499
17,0.017,0.187873,0.38361,1.07062
18,0.018,0.186529,0.379601,1.05552
19,0.019,0.185122,0.375435,1.03972
20,0.02,0.183656,0.371125,1.02337
21,0.021,0.18213,0.366679,1.0072
22,0.022,0.180548,0.362107,0.990403
23,0.023,0.178911,0.357422,0.972989
24,0.024,0.177221,0.352633,0.955475
25,0.025,0.175479,0.347753,0.938069
26,0.026,0.173688,0.342792,0.920117
27,0.027,0.17185,0.337764,0.902374
28,0.028,0.169967,0.332679,0.884702
29,0.029,0.168041,0.327552,0.866852
30,0.03,0.166073,0.322394,0.849645
31,0.031,0.164066,0.317219,0.832297
32,0.032,0.162022,0.31204,0.815709
33,0.033,0.159943,0.30687,0.799353
34,0.034,0.157832,0.301724,0.783501
35,0.035,0.15569,0.296614,0.768506
36,0.036,0.153519,0.291554,0.753872
37,0.037,0.151322,0.286559,0.740101
38,0.038,0.1491,0.281642,0.72722
39,0.039,0.146856,0.276817,0.714891
40,0.04,0.144592,0.272097,0.703306
41,0.041,0.14231,0.267496,0.692833
42,0.042,0.140012,0.263027,0.68291
43,0.043,0.1377,0.258702,0.6735
44,0.044,0.135376,0.254535,0.665311
45,0.045,0.133042,0.250537,0.65756
46,0.046,0.1307,0.24672,0.650179
47,0.047,0.128352,0.243093,0.643937
48,0.048,0.126,0.239667,0.637922
49,0.049,0.123646,0.23645,0.632414
50,0.05,0.121291,0.233449,0.627608
51,0.051,0.11895,0.230673,0.622809
52,0.052,0.116962,0.228125,0.618984
53,0.053,0.115443,0.225809,0.615086
54,0.054,0.114322,0.223729,0.61182
55,0.055,0.113545,0.221886,0.608656
56,0.056,0.113094,0.220278,0.605898
57,0.057,0.112898,0.218906,0.603311
58,0.058,0.112938,0.217764,0.601017
59,0.059,0.113196,0.21685,0.598866
60,0.06,0.113646,0.216157,0.596993
61,0.061,0.114265,0.215678,0.595152
62,0.062,0.115026,0.215406,0.593664
63,0.063,0.115902,0.21533,0.592024
64,0.064,0.116866,0.215443,0.590887
65,0.065,0.11795,0.215733,0.589354
66,0.066,0.119129,0.216189,0.588541
67,0.067,0.120337,0.216799,0.587282
68,0.068,0.121639,0.217553,0.586523
69,0.069,0.12299,0.218439,0.585564
70,0.07,0.124344,0.219444,0.584746
71,0.071,0.125799,0.220557,0.584068
72,0.072,0.127204,0.221767,0.58314
73,0.073,0.128717,0.223063,0.582725
74,0.074,0.130168,0.224433,0.58186
75,0.075,0.131701,0.225868,0.581482
76,0.076,0.13317,0.227357,0.580869
77,0.077,0.134713,0.228891,0.580294
78,0.078,0.136176,0.230461,0.579922
79,0.079,0.137722,0.232059,0.579127
80,0.08,0.139167,0.233677,0.578986
81,0.081,0.140699,0.235307,0.578396
82,0.082,0.142139,0.236943,0.578038
83,0.083,0.14362,0.238578,0.577674
84,0.084,0.14505,0.240208,0.577056
85,0.085,0.146467,0.241826,0.576913
86,0.086,0.147882,0.243427,0.576322
87,0.087,0.149222,0.245009,0.576099
88,0.088,0.15062,0.246566,0.575726
89,0.089,0.151913,0.248095,0.575222
