step,time,L1,L2,Linf
0,0,0.199938,0.420742,1.21133
1,0.001,0.199838,0.420427,1.21015
2,0.002,0.19966,0.419867,1.20805
3,0.003,0.199407,0.419071,1.20506
4,0.004,0.199082,0.418045,1.20121
5,0.005,0.198685,0.416798,1.19653
6,0.006,0.19822,0.415338,1.19103
7,0.007,0.197689,0.413675,1.18475
8,0.008,0.197094,0.411816,1.17772
9,0.009,0.196439,0.409771,1.16997
10,0.01,0.195724,0.407549,1.16152
11,0.011,0.194953,0.405158,1.1524
12,0.012,0.194127,0.402608,1.14263
13,0.013,0.19325,0.399909,1.13226
14,0.014,0.192324,0.397068,1.1213
15,0.015,0.191351,0.394096,1.10978
16,0.016,0.190333,0.391002,1.09818
17,0.017,0.189273,0.387794,1.08629
18,0.018,0.188173,0.384481,1.07394
19,0.019,0.187036,0.381073,1.06115
20,0.02,0.185863,0.377579,1.04796
21,0.021,0.184657,0.374006,1.03439
22,0.022,0.18342,0.370364,1.02066
23,0.023,0.182154,0.36666,1.0072
24,0.024,0.180862,0.362902,0.993431
25,0.025,0.179546,0.3591,0.979378
26,0.026,0.178207,0.355259,0.965062
27,0.027,0.176847,0.351388,0.951009
28,0.028,0.175469,0.347494,0.937119
29,0.029,0.174075,0.343584,0.92302
30,0.03,0.172666,0.339664,0.908731
31,0.031,0.171244,0.335741,0.895011
32,0.032,0.169812,0.33182,0.881333
33,0.033,0.16837,0.327909,0.867506
34,0.034,0.16692,0.324011,0.854077
35,0.035,0.165465,0.320133,0.840963
36,0.036,0.164005,0.31628,0.827728
37,0.037,0.162543,0.312455,0.815046
38,0.038,0.161079,0.308663,0.802585
39,0.039,0.159615,0.304909,0.790051
40,0.04,0.158152,0.301195,0.778386
41,0.041,0.156692,0.297526,0.766619
42,0.042,0.155237,0.293904,0.75531
43,0.043,0.153786,0.290332,0.744341
44,0.044,0.152341,0.286813,0.73346
45,0.045,0.150904,0.283349,0.723272
46,0.046,0.149476,0.279941,0.712983
47,0.047,0.148057,0.276591,0.703436
48,0.048,0.146648,0.273301,0.693893
49,0.049,0.14525,0.270071,0.684809
50,0.05,0.143864,0.266903,0.675976
51,0.051,0.142492,0.263797,0.667334
52,0.052,0.141132,0.260754,0.659169
53,0.053,0.139787,0.257773,0.650929
54,0.054,0.138456,0.254856,0.643387
55,0.055,0.137141,0.252,0.635718
56,0.056,0.135842,0.249207,0.628535
57,0.057,0.13456,0.246475,0.621436
58,0.058,0.133294,0.243804,0.614509
59,0.059,0.132045,0.241193,0.607937
60,0.06,0.130814,0.238641,0.601228
61,0.061,0.129601,0.236147,0.595124
62,0.062,0.128406,0.23371,0.588894
63,0.063,0.127229,0.231328,0.5829
64,0.064,0.126072,0.229001,0.577113
65,0.065,0.124933,0.226726,0.571183
66,0.066,0.123813,0.224503,0.565802
67,0.067,0.122712,0.22233,0.560275
68,0.068,0.12163,0.220205,0.554886
69,0.069,0.120567,0.218128,0.549733
70,0.07,0.119524,0.216096,0.544434
71,0.071,0.1185,0.214108,0.539496
72,0.072,0.117495,0.212162,0.534541
73,0.073,0.116509,0.210257,0.529513
74,0.074,0.115542,0.208392,0.524878
75,0.075,0.114594,0.206564,0.520097
76,0.076,0.113665,0.204774,0.515405
77,0.077,0.112755,0.203018,0.510923
78,0.078,0.111863,0.201297,0.5063
79,0.079,0.110989,0.199608,0.501889
80,0.08,0.110134,0.19795,0.497546
81,0.081,0.109296,0.196322,0.493066
82,0.082,0.108477,0.194723,0.488894
83,0.083,0.107675,0.193152,0.484677
84,0.084,0.10689,0.191607,0.480329
85,0.085,0.106122,0.190089,0.476362
86,0.086,0.105371,0.188594,0.472264
87,0.087,0.104636,0.187124,0.468108
88,0.088,0.103917,0.185677,0.464249
89,0.089,0.103215,0.184251,0.460263
