step,time,L1,L2,Linf
0,0,0.199938,0.420742,1.21133
1,0.001,0.199938,0.420742,1.21133
2,0.002,0.199938,0.420742,1.21133
3,0.003,0.199938,0.420742,1.21133
4,0.004,0.199938,0.420742,1.21133
5,0.005,0.199938,0.420742,1.21133
6,0.006,0.199938,0.420742,1.21133
7,0.007,0.199938,0.420742,1.21133
8,0.008,0.199938,0.420742,1.21133
9,0.009,0.199938,0.420742,1.21133
10,0.01,0.199938,0.420742,1.21133
11,0.011,0.199938,0.420742,1.21133
12,0.012,0.199938,0.420742,1.21133
13,0.013,0.199938,0.420742,1.21133
14,0.014,0.199938,0.420742,1.21133
15,0.015,0.199938,0.420742,1.21133
16,0.016,0.199938,0.420742,1.21133
17,0.017,0.199938,0.420742,1.21133
18,0.018,0.199938,0.420742,1.21133
19,0.019,0.199938,0.420742,1.21133
20,0.02,0.199938,0.420742,1.21133
21,0.021,0.199938,0.420742,1.21133
22,0.022,0.199938,0.420742,1.21133
23,0.023,0.199938,0.420742,1.21133
24,0.024,0.199938,0.420742,1.21133
25,0.025,0.199938,0.420742,1.21133
26,0.026,0.199938,0.420742,1.21133
27,0.027,0.199938,0.420742,1.21133
28,0.028,0.199938,0.420742,1.21133
29,0.029,0.199938,0.420742,1.21133
30,0.03,0.199938,0.420742,1.21133
31,0.031,0.199938,0.420742,1.21133
32,0.032,0.199938,0.420742,1.21133
33,0.033,0.199938,0.420742,1.21133
34,0.034,0.199938,0.420742,1.21133
35,0.035,0.199938,0.420742,1.21133
36,0.036,0.199938,0.420742,1.21133
37,0.037,0.199938,0.420742,1.21133
38,0.038,0.199938,0.420742,1.21133
39,0.039,0.199938,0.420742,1.21133
40,0.04,0.199938,0.420742,1.21133
41,0.041,0.199938,0.420742,1.21133
42,0.042,0.199938,0.420742,1.21133
43,0.043,0.199938,0.420742,1.21133
44,0.044,0.199938,0.420742,1.21133
45,0.045,0.199938,0.420742,1.21133
46,0.046,0.199938,0.420742,1.21133
47,0.047,0.199938,0.420742,1.21133
48,0.048,0.199938,0.420742,1.21133
49,0.049,0.199938,0.420742,1.21133
50,0.05,0.199938,0.420742,1.21133
51,0.051,0.199938,0.420742,1.21133
52,0.052,0.199938,0.420742,1.21133
53,0.053,0.199938,0.420742,1.21133
54,0.054,0.199938,0.420742,1.21133
55,0.055,0.199938,0.420742,1.21133
56,0.056,0.199938,0.420742,1.21133
57,0.057,0.199938,0.420742,1.21133
58,0.058,0.199938,0.420742,1.21133
59,0.059,0.199938,0.420742,1.21133
60,0.06,0.199938,0.420742,1.21133
61,0.061,0.199938,0.420742,1.21133
62,0.062,0.199938,0.420742,1.21133
63,0.063,0.199938,0.420742,1.21133
64,0.064,0.199938,0.420742,1.21133
65,0.065,0.199938,0.420742,1.21133
66,0.066,0.199938,0.420742,1.21133
67,0.067,0.199938,0.420742,1.21133
68,0.068,0.199938,0.420742,1.21133
69,0.069,0.199938,0.420742,1.21133
70,0.07,0.199938,0.420742,1.21133
71,0.071,0.199938,0.420742,1.21133
72,0.072,0.199938,0.420742,1.21133
73,0.073,0.199938,0.420742,1.21133
74,0.074,0.199938,0.420742,1.21133
75,0.075,0.199938,0.420742,1.21133
76,0.076,0.199938,0.420742,1.21133
77,0.077,0.199938,0.420742,1.21133
78,0.078,0.199938,0.420742,1.21133
79,0.079,0.199938,0.420742,1.21133
80,0.08,0.199938,0.420742,1.21133
81,0.081,0.199938,0.420742,1.21133
82,0.082,0.199938,0.420742,1.21133
83,0.083,0.199938,0.420742,1.21133
84,0.084,0.199938,0.420742,1.21133
85,0.085,0.199938,0.420742,1.21133
86,0.086,0.199938,0.420742,1.21133
87,0.087,0.199938,0.420742,1.21133
88,0.088,0.199938,0.420742,1.21133
89,0.089,0.199938,0.420742,1.21133
90,0.09,0.199938,0.420742,1.21133
91,0.091,0.199938,0.420742,1.21133
92,0.092,0.199938,0.420742,1.21133
93,0.093,0.199938,0.420742,1.21133
94,0.094,0.199938,0.420742,1.21133
95,0.095,0.199938,0.420742,1.21133
96,0.096,0.199938,0.420742,1.21133
97,0.097,0.199938,0.420742,1.21133
98,0.098,0.199938,0.420742,1.21133
99,0.099,0.199938,0.420742,1.21133
100,0.1,0.199938,0.420742,1.21133
101,0.101,0.199938,0.420742,1.21133
102,0.102,0.199938,0.420742,1.21133
103,0.103,0.199938,0.420742,1.21133
104,0.104,0.199938,0.420742,1.21133
105,0.105,0.199938,0.420742,1.21133
106,0.106,0.199938,0.420742,1.21133
107,0.107,0.199938,0.420742,1.21133
108,0.108,0.199938,0.420742,1.21133
109,0.109,0.199938,0.420742,1.21133
110,0.11,0.199938,0.420742,1.21133
111,0.111,0.199938,0.420742,1.21133
112,0.112,0.199938,0.420742,1.21133
113,0.113,0.199938,0.420742,1.21133
114,0.114,0.199938,0.420742,1.21133
115,0.115,0.199938,0.420742,1.21133
116,0.116,0.199938,0.420742,1.21133
117,0.117,0.199938,0.420742,1.21133
118,0.118,0.199938,0.420742,1.21133
119,0.119,0.199938,0.420742,1.21133
120,0.12,0.199938,0.420742,1.21133
121,0.121,0.199938,0.420742,1.21133
122,0.122,0.199938,0.420742,1.21133
123,0.123,0.199938,0.420742,1.21133
124,0.124,0.199938,0.420742,1.21133
125,0.125,0.199938,0.420742,1.21133
126,0.126,0.199938,0.420742,1.21133
127,0.127,0.199938,0.420742,1.21133
128,0.128,0.199938,0.420742,1.21133
129,0.129,0.199938,0.420742,1.21133
130,0.13,0.199938,0.420742,1.21133
131,0.131,0.199938,0.420742,1.21133
132,0.132,0.199938,0.420742,1.21133
133,0.133,0.199938,0.420742,1.21133
134,0.134,0.199938,0.420742,1.21133
135,0.135,0.199938,0.420742,1.21133
136,0.136,0.199938,0.420742,1.21133
137,0.137,0.199938,0.420742,1.21133
138,0.138,0.199938,0.420742,1.21133
139,0.139,0.199938,0.420742,1.21133
140,0.14,0.199938,0.420742,1.21133
141,0.141,0.199938,0.420742,1.21133
142,0.142,0.199938,0.420742,1.21133
143,0.143,0.199938,0.420742,1.21133
144,0.144,0.199938,0.420742,1.21133
145,0.145,0.199938,0.420742,1.21133
146,0.146,0.199938,0.420742,1.21133
147,0.147,0.199938,0.420742,1.21133
148,0.148,0.199938,0.420742,1.21133
149,0.149,0.199938,0.420742,1.21133
150,0.15,0.199938,0.420742,1.21133
151,0.151,0.199938,0.420742,1.21133
152,0.152,0.199938,0.420742,1.21133
153,0.153,0.199938,0.420742,1.21133
154,0.154,0.199938,0.420742,1.21133
155,0.155,0.199938,0.420742,1.21133
156,0.156,0.199938,0.420742,1.21133
157,0.157,0.199938,0.420742,1.21133
158,0.158,0.199938,0.420742,1.21133
159,0.159,0.199938,0.420742,1.21133
160,0.16,0.199938,0.420742,1.21133
161,0.161,0.199938,0.420742,1.21133
162,0.162,0.199938,0.420742,1.21133
163,0.163,0.199938,0.420742,1.21133
164,0.164,0.199938,0.420742,1.21133
165,0.165,0.199938,0.420742,1.21133
166,0.166,0.199938,0.420742,1.21133
167,0.167,0.199938,0.420742,1.21133
168,0.168,0.199938,0.420742,1.21133
169,0.169,0.199938,0.420742,1.21133
170,0.17,0.199938,0.420742,1.21133
171,0.171,0.199938,0.420742,1.21133
172,0.172,0.199938,0.420742,1.21133
173,0.173,0.199938,0.420742,1.21133
174,0.174,0.199938,0.420742,1.21133
175,0.175,0.199938,0.420742,1.21133
176,0.176,0.199938,0.420742,1.21133
177,0.177,0.199938,0.420742,1.21133
178,0.178,0.199938,0.420742,1.21133
179,0.179,0.199938,0.420742,1.21133
180,0.18,0.199938,0.420742,1.21133
181,0.181,0.199938,0.420742,1.21133
182,0.182,0.199938,0.420742,1.21133
183,0.183,0.199938,0.420742,1.21133
184,0.184,0.199938,0.420742,1.21133
185,0.185,0.199938,0.420742,1.21133
186,0.186,0.199938,0.420742,1.21133
187,0.187,0.199938,0.420742,1.21133
188,0.188,0.199938,0.420742,1.21133
189,0.189,0.199938,0.420742,1.21133
190,0.19,0.199938,0.420742,1.21133
191,0.191,0.199938,0.420742,1.21133
192,0.192,0.199938,0.420742,1.21133
193,0.193,0.199938,0.420742,1.21133
194,0.194,0.199938,0.420742,1.21133
195,0.195,0.199938,0.420742,1.21133
196,0.196,0.199938,0.420742,1.21133
197,0.197,0.199938,0.420742,1.21133
