step,time,L1,L2,Linf
0,0,0.199938,0.420742,1.21133
1,3.1248e-05,0.199838,0.420427,1.21015
2,6.24961e-05,0.199738,0.420113,1.20897
3,9.37441e-05,0.199638,0.419799,1.20779
4,0.000124992,0.199539,0.419485,1.20662
5,0.00015624,0.19944,0.419173,1.20545
6,0.000187488,0.199341,0.41886,1.20427
7,0.000218736,0.199242,0.418548,1.2031
8,0.000249984,0.199143,0.418237,1.20194
9,0.000281232,0.199044,0.417927,1.20077
10,0.00031248,0.198946,0.417616,1.19961
11,0.000343729,0.198847,0.417307,1.19844
12,0.000374977,0.198749,0.416998,1.19728
13,0.000406225,0.198651,0.416689,1.19612
14,0.000437473,0.198553,0.416381,1.19497
15,0.000468721,0.198455,0.416074,1.19381
16,0.000499969,0.198358,0.415767,1.19266
17,0.000531217,0.19826,0.41546,1.1915
18,0.000562465,0.198163,0.415155,1.19035
19,0.000593713,0.198066,0.414849,1.1892
20,0.000624961,0.197969,0.414544,1.18806
21,0.000656209,0.197872,0.41424,1.18691
22,0.000687457,0.197775,0.413936,1.18576
23,0.000718705,0.197678,0.413633,1.18462
24,0.000749953,0.197582,0.41333,1.18348
25,0.000781201,0.197486,0.413028,1.18234
26,0.000812449,0.197389,0.412726,1.1812
27,0.000843697,0.197293,0.412425,1.18007
28,0.000874945,0.197197,0.412124,1.17893
29,0.000906193,0.197102,0.411824,1.1778
30,0.000937441,0.197006,0.411525,1.17667
31,0.000968689,0.19691,0.411225,1.17554
32,0.000999938,0.196815,0.410927,1.17441
33,0.00103119,0.19672,0.410629,1.17328
34,0.00106243,0.196625,0.410331,1.17216
35,0.00109368,0.19653,0.410034,1.17104
36,0.00112493,0.196435,0.409737,1.16991
37,0.00115618,0.19634,0.409441,1.16879
38,0.00118743,0.196246,0.409145,1.16768
39,0.00121867,0.196151,0.40885,1.16656
40,0.00124992,0.196057,0.408555,1.16544
41,0.00128117,0.195963,0.408261,1.16433
42,0.00131242,0.195869,0.407968,1.16322
43,0.00134367,0.195775,0.407674,1.16211
44,0.00137491,0.195681,0.407382,1.161
45,0.00140616,0.195588,0.40709,1.15989
46,0.00143741,0.195494,0.406798,1.15878
47,0.00146866,0.195401,0.406507,1.15768
48,0.00149991,0.195308,0.406216,1.15658
49,0.00153115,0.195215,0.405926,1.15548
50,0.0015624,0.195122,0.405636,1.15438
51,0.00159365,0.195029,0.405347,1.15328
52,0.0016249,0.194936,0.405058,1.15218
53,0.00165615,0.194844,0.40477,1.15109
54,0.00168739,0.194751,0.404482,1.14999
55,0.00171864,0.194659,0.404194,1.1489
56,0.00174989,0.194567,0.403908,1.14781
57,0.00178114,0.194475,0.403621,1.14672
58,0.00181239,0.194383,0.403335,1.14564
59,0.00184363,0.194291,0.40305,1.14455
60,0.00187488,0.1942,0.402765,1.14347
61,0.00190613,0.194108,0.40248,1.14239
62,0.00193738,0.194017,0.402196,1.1413
63,0.00196863,0.193926,0.401913,1.14023
64,0.00199988,0.193834,0.401629,1.13915
65,0.00203112,0.193743,0.401347,1.13807
66,0.00206237,0.193653,0.401065,1.137
67,0.00209362,0.193562,0.400783,1.13592
68,0.00212487,0.193471,0.400502,1.13485
69,0.00215612,0.193381,0.400221,1.13378
70,0.00218736,0.19329,0.39994,1.13271
71,0.00221861,0.1932,0.399661,1.13165
72,0.00224986,0.19311,0.399381,1.13058
73,0.00228111,0.19302,0.399102,1.12952
74,0.00231236,0.19293,0.398824,1.12845
75,0.0023436,0.192841,0.398545,1.12739
76,0.00237485,0.192751,0.398268,1.12633
