step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
0,0,0.000976562,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527,0.0396506,0.140103,0.984753,0.000299321,0.00104839,0.0072322
1,0.000976562,0.000976562,0.0395621,0.139539,0.950247,0.000298681,0.00104436,0.00701332,0.0396301,0.139944,0.983004,0.000299176,0.00104724,0.00721949
2,0.00195312,0.000976562,0.0395345,0.13933,0.94812,0.000298485,0.00104284,0.00699774,0.0396024,0.139733,0.980723,0.000298979,0.00104571,0.00720301
3,0.00292969,0.000976562,0.0394998,0.139071,0.945501,0.000298238,0.00104096,0.00697864,0.0395675,0.139473,0.977926,0.000298731,0.00104382,0.00718291
4,0.00390625,0.000976562,0.0394583,0.138765,0.942406,0.000297942,0.00103874,0.00695613,0.0395259,0.139165,0.974632,0.000298434,0.00104158,0.00715928
5,0.00488281,0.000976562,0.0394103,0.138412,0.938852,0.000297599,0.00103618,0.00693035,0.0394776,0.138811,0.970857,0.00029809,0.00103901,0.00713226
6,0.00585938,0.000976562,0.0393558,0.138016,0.934855,0.00029721,0.0010333,0.00690139,0.0394229,0.138412,0.966618,0.000297699,0.00103612,0.00710197
7,0.00683594,0.000976562,0.0392952,0.137577,0.93043,0.000296777,0.00103011,0.00686938,0.039362,0.137971,0.961933,0.000297263,0.00103291,0.00706852
8,0.0078125,0.000976562,0.0392286,0.137096,0.925594,0.000296301,0.00102661,0.00683442,0.039295,0.137489,0.956825,0.000296785,0.00102941,0.00703204
9,0.00878906,0.000976562,0.0391562,0.136577,0.920361,0.000295783,0.00102284,0.00679663,0.0392223,0.136967,0.951446,0.000296264,0.00102561,0.00699263
10,0.00976562,0.000976562,0.0390783,0.13602,0.914748,0.000295226,0.00101879,0.00675612,0.0391439,0.136408,0.945685,0.000295703,0.00102155,0.00695041
11,0.0107422,0.000976562,0.038995,0.135427,0.908769,0.000294629,0.00101447,0.00671299,0.0390602,0.135812,0.939557,0.000295104,0.00101721,0.0069055
12,0.0117188,0.000976562,0.0389066,0.134799,0.90244,0.000293996,0.0010099,0.00666736,0.0389712,0.135182,0.933078,0.000294466,0.00101263,0.00685802
13,0.0126953,0.000976562,0.0388132,0.134139,0.895823,0.000293326,0.0010051,0.00661932,0.0388772,0.134519,0.926263,0.000293793,0.00100781,0.00680806
14,0.0136719,0.000976562,0.0387149,0.133448,0.889022,0.000292622,0.00100007,0.00656898,0.0387784,0.133825,0.919126,0.000293084,0.00100275,0.00675574
15,0.0146484,0.000976562,0.0386121,0.132726,0.881924,0.000291884,0.000994818,0.00651645,0.038675,0.133101,0.911682,0.000292343,0.000997485,0.00670117
16,0.015625,0.000976562,0.0385049,0.131977,0.874544,0.000291115,0.000989363,0.00646182,0.0385672,0.132349,0.903947,0.000291569,0.00099201,0.00664446
17,0.0166016,0.000976562,0.0383935,0.131202,0.866893,0.000290316,0.000983714,0.00640521,0.0384552,0.13157,0.895934,0.000290764,0.00098634,0.00658837
18,0.0175781,0.000976562,0.0382781,0.130401,0.858987,0.000289487,0.000977882,0.0063467,0.038339,0.130766,0.887657,0.000289931,0.000980486,0.00653189
19,0.0185547,0.000976562,0.0381587,0.129577,0.850837,0.00028863,0.000971877,0.00628639,0.038219,0.129939,0.87913,0.000289069,0.00097446,0.00647367
20,0.0195312,0.000976562,0.0380357,0.12873,0.842456,0.000287746,0.000965711,0.00622438,0.0380954,0.129089,0.870368,0.00028818,0.000968271,0.00641379
