step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
0,0,0.000976562,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527,0.0396506,0.140103,0.984753,0.000299321,0.00104839,0.0072322
1,0.000976562,0.000976562,0.0395621,0.139539,0.950247,0.000298681,0.00104436,0.00701332,0.0396301,0.139944,0.983004,0.000299176,0.00104724,0.00721949
2,0.00195312,0.000976562,0.0395343,0.139329,0.948102,0.000298484,0.00104283,0.00699761,0.0396022,0.139731,0.980707,0.000298977,0.0010457,0.0072029
3,0.00292969,0.000976562,0.0394991,0.139066,0.945435,0.000298233,0.00104093,0.00697816,0.0395668,0.139467,0.977865,0.000298726,0.00104378,0.00718247
4,0.00390625,0.000976562,0.0394565,0.138752,0.942251,0.000297929,0.00103865,0.00695501,0.0395241,0.139152,0.974485,0.000298421,0.00104149,0.00715823
5,0.00488281,0.000976562,0.0394067,0.138387,0.938554,0.000297574,0.001036,0.00692819,0.039474,0.138786,0.97057,0.000298064,0.00103883,0.00713022
6,0.00585938,0.000976562,0.0393496,0.137972,0.93435,0.000297166,0.00103298,0.00689775,0.0394167,0.138369,0.966129,0.000297655,0.0010358,0.00709848
7,0.00683594,0.000976562,0.0392854,0.137508,0.929645,0.000296707,0.0010296,0.00686372,0.0393521,0.137902,0.961166,0.000297193,0.00103241,0.00706306
8,0.0078125,0.000976562,0.039214,0.136995,0.924445,0.000296197,0.00102587,0.00682615,0.0392804,0.137387,0.955705,0.00029668,0.00102866,0.007024
9,0.00878906,0.000976562,0.0391356,0.136433,0.918756,0.000295635,0.00102179,0.00678508,0.0392016,0.136823,0.949878,0.000296116,0.00102456,0.00698135
10,0.00976562,0.000976562,0.0390501,0.135824,0.912586,0.000295024,0.00101736,0.00674057,0.0391157,0.136212,0.943567,0.000295501,0.00102012,0.00693516
11,0.0107422,0.000976562,0.0389578,0.135169,0.905942,0.000294363,0.00101259,0.00669266,0.0390228,0.135554,0.936782,0.000294836,0.00101533,0.00688549
12,0.0117188,0.000976562,0.0388586,0.134468,0.898831,0.000293652,0.00100749,0.0066414,0.038923,0.13485,0.929529,0.000294121,0.00101021,0.00683238
13,0.0126953,0.000976562,0.0387526,0.133722,0.891377,0.000292892,0.00100206,0.00658685,0.0388164,0.134101,0.921816,0.000293357,0.00100476,0.00677591
14,0.0136719,0.000976562,0.0386399,0.132933,0.883561,0.000292084,0.000996313,0.00652907,0.0387031,0.133308,0.913652,0.000292544,0.00099899,0.00671613
15,0.0146484,0.000976562,0.0385205,0.1321,0.875316,0.000291228,0.000990253,0.00646812,0.0385831,0.132473,0.905045,0.000291683,0.000992908,0.0066531
16,0.015625,0.000976562,0.0383947,0.131226,0.86665,0.000290324,0.000983888,0.00640406,0.0384565,0.131595,0.896005,0.000290775,0.000986519,0.00658689
17,0.0166016,0.000976562,0.0382624,0.130312,0.857571,0.000289374,0.000977226,0.00633695,0.0383235,0.130677,0.886539,0.00028982,0.000979833,0.00652049
18,0.0175781,0.000976562,0.0381237,0.129357,0.848089,0.000288378,0.000970276,0.00626686,0.0381842,0.129719,0.876659,0.000288819,0.000972858,0.00645261
19,0.0185547,0.000976562,0.0379788,0.128365,0.838211,0.000287337,0.000963045,0.00619385,0.0380385,0.128723,0.866372,0.000287772,0.000965602,0.00638189
20,0.0195312,0.000976562,0.0378276,0.127335,0.827948,0.00028625,0.000955542,0.00611799,0.0378867,0.12769,0.85569,0.00028668,0.000958073,0.0063084
