step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
0,0,0.000976562,0.0395825,0.139698,0.951866,0.000298826,0.00104551,0.00702527,0.0396506,0.140103,0.984753,0.000299321,0.00104839,0.0072322
1,0.000976562,0.000976562,0.0395621,0.139539,0.950247,0.000298681,0.00104436,0.00701332,0.0396301,0.139944,0.983004,0.000299176,0.00104724,0.00721949
2,0.00195312,0.000976562,0.0395345,0.13933,0.948115,0.000298485,0.00104284,0.0069977,0.0396024,0.139733,0.98072,0.000298979,0.00104571,0.00720299
3,0.00292969,0.000976562,0.0394998,0.139071,0.945486,0.000298238,0.00104096,0.00697852,0.0395675,0.139473,0.977918,0.000298731,0.00104382,0.00718284
4,0.00390625,0.000976562,0.0394583,0.138764,0.942376,0.000297942,0.00103874,0.00695591,0.0395259,0.139165,0.974616,0.000298434,0.00104158,0.00715915
5,0.00488281,0.000976562,0.0394102,0.138412,0.938803,0.000297599,0.00103618,0.00692998,0.0394776,0.13881,0.97083,0.00029809,0.00103901,0.00713205
6,0.00585938,0.000976562,0.0393557,0.138015,0.934782,0.00029721,0.00103329,0.00690084,0.0394229,0.138412,0.96658,0.000297699,0.00103611,0.00710166
7,0.00683594,0.000976562,0.0392951,0.137576,0.930329,0.000296777,0.0010301,0.00686862,0.0393619,0.13797,0.96188,0.000297263,0.00103291,0.0070681
8,0.0078125,0.000976562,0.0392284,0.137095,0.925462,0.0002963,0.0010266,0.00683343,0.0392949,0.137488,0.95675,0.000296784,0.0010294,0.00703149
9,0.00878906,0.000976562,0.039156,0.136575,0.920196,0.000295782,0.00102282,0.00679539,0.0392221,0.136966,0.951324,0.000296263,0.0010256,0.00699195
10,0.00976562,0.000976562,0.039078,0.136018,0.914546,0.000295224,0.00101877,0.0067546,0.0391437,0.136406,0.945537,0.000295702,0.00102153,0.0069496
11,0.0107422,0.000976562,0.0389946,0.135424,0.908529,0.000294627,0.00101445,0.00671118,0.0390598,0.135809,0.939382,0.000295102,0.00101719,0.00690455
12,0.0117188,0.000976562,0.038906,0.134796,0.902161,0.000293992,0.00100988,0.00666524,0.0389707,0.135179,0.932875,0.000294464,0.0010126,0.00685691
13,0.0126953,0.000976562,0.0388124,0.134134,0.895456,0.000293322,0.00100506,0.00661689,0.0388766,0.134515,0.926031,0.000293789,0.00100777,0.00680681
14,0.0136719,0.000976562,0.038714,0.133442,0.888582,0.000292616,0.00100002,0.00656623,0.0387776,0.133819,0.918866,0.00029308,0.00100271,0.00675436
15,0.0146484,0.000976562,0.0386109,0.132719,0.881432,0.000291877,0.000994764,0.00651338,0.038674,0.133094,0.911395,0.000292337,0.000997433,0.00669966
16,0.015625,0.000976562,0.0385035,0.131969,0.873999,0.000291106,0.000989298,0.00645844,0.0385659,0.132341,0.903633,0.000291561,0.000991948,0.00664283
17,0.0166016,0.000976562,0.0383917,0.131192,0.866297,0.000290305,0.000983637,0.00640152,0.0384536,0.13156,0.895595,0.000290755,0.000986266,0.00658397
18,0.0175781,0.000976562,0.0382759,0.130389,0.85834,0.000289473,0.000977792,0.00634271,0.0383371,0.130755,0.887295,0.000289919,0.000980399,0.00652567
19,0.0185547,0.000976562,0.0381562,0.129563,0.850141,0.000288613,0.000971772,0.00628212,0.0382168,0.129925,0.878748,0.000289055,0.000974358,0.00646694
20,0.0195312,0.000976562,0.0380327,0.128714,0.841715,0.000287726,0.000965589,0.00621984,0.0380927,0.129073,0.869968,0.000288163,0.000968152,0.00640656
