i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
0,0,0.00390625,0.00390625,1.00001,6.81451e-06,0,-1.68103e-06,6.87552e-05,5.37143e-07,4.14509e-05,3.23831e-07,6.25069e-21,1.00001
1,0,0.0117188,0.00390625,1.00001,7.25273e-06,0,-3.95962e-06,0.000161785,1.26393e-06,0.000133982,1.04672e-06,1.33455e-20,1.00001
2,0,0.0195312,0.00390625,1.00001,7.91846e-06,0,-6.29373e-06,0.000256424,2.00328e-06,0.000227932,1.78069e-06,2.81444e-20,1.00001
3,0,0.0273438,0.00390625,1.00002,8.82158e-06,0,-8.71181e-06,0.00035346,2.76136e-06,0.000324098,2.53197e-06,5.86271e-20,1.00002
4,0,0.0351562,0.00390625,1.00002,9.97521e-06,0,-1.12415e-05,0.000453646,3.54405e-06,0.000423243,3.30653e-06,1.20629e-19,1.00002
5,0,0.0429688,0.00390625,1.00002,1.13957e-05,0,-1.39091e-05,0.000557683,4.35682e-06,0.000526086,4.10997e-06,2.45161e-19,1.00002
6,0,0.0507812,0.00390625,1.00002,1.31024e-05,0,-1.67398e-05,0.00066621,5.20466e-06,0.000633281,4.94741e-06,4.92149e-19,1.00002
7,0,0.0585938,0.00390625,1.00002,1.51176e-05,0,-1.97565e-05,0.000779786,6.09195e-06,0.00074541,5.82339e-06,9.75855e-19,1.00002
8,0,0.0664062,0.00390625,1.00002,1.74664e-05,0,-2.29804e-05,0.000898888,7.02239e-06,0.000862971,6.7418e-06,1.91125e-18,1.00002
9,0,0.0742188,0.00390625,1.00003,2.01765e-05,0,-2.64298e-05,0.00102389,7.99896e-06,0.000986368,7.70579e-06,3.69735e-18,1.00003
10,0,0.0820312,0.00390625,1.00003,2.32781e-05,0,-3.01205e-05,0.00115508,9.0238e-06,0.0011159,8.7177e-06,7.06486e-18,1.00003
11,0,0.0898438,0.00390625,1.00003,2.68034e-05,0,-3.40653e-05,0.00129261,1.00982e-05,0.00125176,9.77901e-06,1.33339e-17,1.00003
12,0,0.0976562,0.00390625,1.00004,3.07867e-05,0,-3.82735e-05,0.00143654,1.12226e-05,0.00139401,1.08903e-05,2.48568e-17,1.00004
13,0,0.105469,0.00390625,1.00004,3.52639e-05,0,-4.27509e-05,0.0015868,1.23964e-05,0.00154263,1.20513e-05,4.57689e-17,1.00004
14,0,0.113281,0.00390625,1.00004,4.02723e-05,0,-4.74999e-05,0.00174321,1.36182e-05,0.00169743,1.32606e-05,8.32397e-17,1.00004
15,0,0.121094,0.00390625,1.00005,4.58505e-05,0,-5.25187e-05,0.00190547,1.48858e-05,0.00185815,1.45161e-05,1.49528e-16,1.00005
16,0,0.128906,0.00390625,1.00005,5.20375e-05,0,-5.78017e-05,0.00207318,1.61959e-05,0.00202439,1.58147e-05,2.65306e-16,1.00005
17,0,0.136719,0.00390625,1.00006,5.88733e-05,0,-6.33391e-05,0.00224581,1.75444e-05,0.00219563,1.71524e-05,4.64943e-16,1.00006
18,0,0.144531,0.00390625,1.00006,6.63975e-05,0,-6.91174e-05,0.00242276,1.89266e-05,0.00237126,1.85243e-05,8.04786e-16,1.00006
19,0,0.152344,0.00390625,1.00007,7.465e-05,0,-7.51188e-05,0.00260329,2.03369e-05,0.00255056,1.9925e-05,1.3759e-15,1.00007
20,0,0.160156,0.00390625,1.00007,8.36698e-05,0,-8.13218e-05,0.00278662,2.1769e-05,0.00273273,2.13479e-05,2.32336e-15,1.00007
21,0,0.167969,0.00390625,1.00008,9.34952e-05,0,-8.77009e-05,0.00297188,2.32161e-05,0.00291686,2.27863e-05,3.87498e-15,1.00008
22,0,0.175781,0.00390625,1.00008,0.000104163,0,-9.42273e-05,0.00315812,2.46709e-05,0.00310201,2.42325e-05,6.38324e-15,1.00008
23,0,0.183594,0.00390625,1.00008,0.000115709,0,-0.000100868,0.00334435,2.61255e-05,0.00328713,2.56786e-05,1.03856e-14,1.00008
24,0,0.191406,0.00390625,1.00009,0.000128165,0,-0.000107589,0.00352953,2.7572e-05,0.00347116,2.71161e-05,1.66892e-14,1.00009
25,0,0.199219,0.00390625,1.00009,0.000141564,0,-0.000114351,0.00371258,2.90019e-05,0.00365297,2.85362e-05,2.64883e-14,1.00009
26,0,0.207031,0.00390625,1.0001,0.000155933,0,-0.000121113,0.00389241,3.04066e-05,0.00383141,2.993e-05,4.15223e-14,1.0001
27,0,0.214844,0.00390625,1.0001,0.000171297,0,-0.000127833,0.0040679,3.17774e-05,0.0040053,3.12883e-05,6.42863e-14,1.0001
28,0,0.222656,0.00390625,1.0001,0.000187677,0,-0.000134465,0.00423793,3.31055e-05,0.00417345,3.26018e-05,9.83015e-14,1.0001
29,0,0.230469,0.00390625,1.0001,0.000205091,0,-0.000140964,0.00440137,3.43822e-05,0.00433467,3.38611e-05,1.48458e-13,1.0001
30,0,0.238281,0.00390625,1.0001,0.000223551,0,-0.000147282,0.00455712,3.55988e-05,0.00448775,3.50569e-05,2.21436e-13,1.0001
31,0,0.246094,0.00390625,1.0001,0.000243065,0,-0.00015337,0.00470406,3.67466e-05,0.0046315,3.61799e-05,3.26203e-13,1.0001
32,0,0.253906,0.00390625,1.0001,0.000263636,0,-0.000159181,0.00484112,3.78173e-05,0.00476476,3.72208e-05,4.74594e-13,1.0001
33,0,0.261719,0.00390625,1.0001,0.00028526,0,-0.000164666,0.00496723,3.88025e-05,0.00488635,3.81707e-05,6.81939e-13,1.0001
34,0,0.269531,0.00390625,1.0001,0.000307925,0,-0.000169776,0.00508135,3.96941e-05,0.00499514,3.90206e-05,9.67734e-13,1.0001
35,0,0.277344,0.00390625,1.0001,0.000331614,0,-0.000174463,0.00518249,4.04843e-05,0.00509001,3.97618e-05,1.35628e-12,1.0001
36,0,0.285156,0.00390625,1.00009,0.000356301,0,-0.00017868,0.00526967,4.11654e-05,0.00516988,4.03859e-05,1.87724e-12,1.00009
37,0,0.292969,0.00390625,1.00009,0.00038195,0,-0.000182381,0.00534195,4.17302e-05,0.00523369,4.08846e-05,2.56606e-12,1.00009
38,0,0.300781,0.00390625,1.00008,0.000408516,0,-0.000185522,0.00539841,4.21716e-05,0.00528043,4.12499e-05,3.46405e-12,1.00008
39,0,0.308594,0.00390625,1.00008,0.000435944,0,-0.000188059,0.00543821,4.24828e-05,0.00530913,4.14744e-05,4.61814e-12,1.00008
40,0,0.316406,0.00390625,1.00007,0.000464167,0,-0.000189952,0.00546051,4.26573e-05,0.00531886,4.15508e-05,6.08012e-12,1.00007
41,0,0.324219,0.00390625,1.00006,0.000493104,0,-0.000191162,0.00546453,4.26892e-05,0.00530875,4.14722e-05,7.9052e-12,1.00006
42,0,0.332031,0.00390625,1.00005,0.000522662,0,-0.000191653,0.00544956,4.25727e-05,0.00527802,4.12326e-05,1.015e-11,1.00005
43,0,0.339844,0.00390625,1.00004,0.000552733,0,-0.000191391,0.00541493,4.23026e-05,0.00522592,4.08261e-05,1.28695e-11,1.00004
44,0,0.347656,0.00390625,1.00002,0.000583195,0,-0.000190348,0.00536003,4.18743e-05,0.00515184,4.02478e-05,1.61138e-11,1.00002
45,0,0.355469,0.00390625,1.00001,0.000613909,0,-0.000188496,0.00528433,4.12834e-05,0.00505524,3.94937e-05,1.99236e-11,1.00001
46,0,0.363281,0.00390625,0.999995,0.00064472,0,-0.000185815,0.00518739,4.05267e-05,0.00493572,3.85605e-05,2.43256e-11,0.999996
47,0,0.371094,0.00390625,0.99998,0.000675458,0,-0.000182287,0.00506886,3.96013e-05,0.00479301,3.74461e-05,2.93278e-11,0.999981
48,0,0.378906,0.00390625,0.999965,0.000705936,0,-0.000177901,0.00492851,3.85053e-05,0.00462701,3.61498e-05,3.49146e-11,0.999965
49,0,0.386719,0.00390625,0.999949,0.000735953,0,-0.000172649,0.00476622,3.7238e-05,0.00443778,3.46719e-05,4.1043e-11,0.999949
50,0,0.394531,0.00390625,0.999933,0.000765295,0,-0.000166534,0.00458203,3.57995e-05,0.00422561,3.30148e-05,4.76394e-11,0.999933
51,0,0.402344,0.00390625,0.999916,0.000793735,0,-0.00015956,0.00437611,3.41912e-05,0.00399096,3.1182e-05,5.45983e-11,0.999917
52,0,0.410156,0.00390625,0.9999,0.000821037,0,-0.000151744,0.00414883,3.2416e-05,0.00373456,2.91792e-05,6.17831e-11,0.9999
53,0,0.417969,0.00390625,0.999884,0.000846962,0,-0.000143107,0.00390074,3.04781e-05,0.00345736,2.70138e-05,6.90281e-11,0.999884
54,0,0.425781,0.00390625,0.999869,0.000871264,0,-0.000133679,0.00363258,2.83833e-05,0.00316055,2.4695e-05,7.61444e-11,0.999869
55,0,0.433594,0.00390625,0.999854,0.000893704,0,-0.000123498,0.00334531,2.61391e-05,0.00284556,2.22342e-05,8.29264e-11,0.999854
56,0,0.441406,0.00390625,0.99984,0.000914047,0,-0.000112613,0.0030401,2.37546e-05,0.00251407,1.96443e-05,8.91616e-11,0.99984
57,0,0.449219,0.00390625,0.999827,0.000932071,0,-0.000101077,0.00271833,2.12406e-05,0.00216797,1.69402e-05,9.46411e-11,0.999827
58,0,0.457031,0.00390625,0.999815,0.000947571,0,-8.89537e-05,0.0023816,1.86097e-05,0.00180935,1.41382e-05,9.91707e-11,0.999816
59,0,0.464844,0.00390625,0.999805,0.000960363,0,-7.63146e-05,0.0020317,1.58757e-05,0.0014405,1.12561e-05,1.02582e-10,0.999806
60,0,0.472656,0.00390625,0.999797,0.000970293,0,-6.32371e-05,0.00167061,1.30543e-05,0.0010638,8.31261e-06,1.04744e-10,0.999797
61,0,0.480469,0.00390625,0.99979,0.000977233,0,-4.98048e-05,0.00130047,1.01621e-05,0.000681768,5.32743e-06,1.05569e-10,0.99979
62,0,0.488281,0.00390625,0.999785,0.000981093,0,-3.61066e-05,0.000923572,7.21695e-06,0.000296972,2.32059e-06,1.05019e-10,0.999785
63,0,0.496094,0.00390625,0.999782,0.00098182,0,-2.2235e-05,0.000542282,4.2375e-06,-8.80115e-05,6.87739e-07,1.03112e-10,0.999782
64,0,0.503906,0.00390625,0.999781,0.000979398,0,-8.28499e-06,0.000159055,1.24289e-06,-0.000470632,3.67762e-06,9.99146e-11,0.999781
65,0,0.511719,0.00390625,0.999781,0.000973852,0,5.64731e-06,-0.000223631,1.7475e-06,-0.000848411,6.62966e-06,9.55439e-11,0.999782
66,0,0.519531,0.00390625,0.999784,0.000965246,0,1.94661e-05,-0.000603305,4.71433e-06,-0.00121898,9.52535e-06,9.01572e-11,0.999784
67,0,0.527344,0.00390625,0.999789,0.000953679,0,3.30774e-05,-0.000977544,7.63868e-06,-0.00158013,1.23473e-05,8.39438e-11,0.999789
68,0,0.535156,0.00390625,0.999795,0.000939288,0,4.63903e-05,-0.00134401,1.05022e-05,-0.00192979,1.50796e-05,7.71136e-11,0.999795
69,0,0.542969,0.00390625,0.999803,0.000922238,0,5.93184e-05,-0.00170049,1.32877e-05,-0.00226614,1.77077e-05,6.98854e-11,0.999803
70,0,0.550781,0.00390625,0.999813,0.000902723,0,7.17807e-05,-0.00204491,1.59788e-05,-0.00258753,2.02189e-05,6.24755e-11,0.999813
71,0,0.558594,0.00390625,0.999824,0.000880956,0,8.37028e-05,-0.00237537,1.85609e-05,-0.00289255,2.2602e-05,5.50871e-11,0.999824
72,0,0.566406,0.00390625,0.999836,0.000857171,0,9.50176e-05,-0.00269018,2.10205e-05,-0.00318,2.48478e-05,4.79016e-11,0.999836
73,0,0.574219,0.00390625,0.999849,0.000831609,0,0.000105666,-0.00298784,2.3346e-05,-0.00344892,2.69487e-05,4.10718e-11,0.99985
74,0,0.582031,0.00390625,0.999863,0.000804521,0,0.000115597,-0.00326707,2.55275e-05,-0.00369853,2.88987e-05,3.47183e-11,0.999864
75,0,0.589844,0.00390625,0.999878,0.000776157,0,0.000124768,-0.00352682,2.75567e-05,-0.00392827,3.06934e-05,2.89273e-11,0.999878
