step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,1,0,0,0,1.12494,1,0.1,0,0,0,0,0,,,,1
1,0.000753907,0.000753907,3.66702e-09,4.2555e-09,1.98334e-08,2.86487e-11,3.32463e-11,1.54949e-10,1,-1.45054e-20,-3.09167e-20,0,1.12493,0.860849,0.1,0,0,0,1,756,9.91966e-13,1.98334e-08,1.98334e-08,1
2,0.00144504,0.00069113,3.49117e-09,4.02643e-09,2.14964e-08,2.72753e-11,3.14575e-11,1.6794e-10,1,-1.27056e-19,-6.17581e-18,0,1.12493,0.765145,0.0999539,0,0,0,1,695,9.92766e-13,2.14964e-08,2.14964e-08,1
3,0.00209122,0.000646188,2.94901e-09,3.39577e-09,1.47749e-08,2.304e-11,2.65307e-11,1.15429e-10,1,1.96334e-20,6.65246e-18,0,1.12492,0.693415,0.0999561,0,0,0,1,660,9.90128e-13,1.47749e-08,1.47749e-08,1
4,0.00270389,0.000612662,2.83041e-09,3.27593e-09,1.19513e-08,2.21142e-11,2.55953e-11,9.3369e-11,1,-1.51298e-19,8.29941e-18,0,1.12492,0.639666,0.099877,0,0,0,1,665,9.97031e-13,1.19513e-08,1.19513e-08,1
5,0.00329516,0.000591278,2.66375e-09,3.11192e-09,8.847e-09,2.0813e-11,2.43144e-11,6.91169e-11,1,-2.21826e-20,-3.11204e-18,0,1.12491,0.598758,0.0997743,0,0,0,1,666,9.89364e-13,8.84697e-09,8.84697e-09,1
6,0.00387291,0.00057775,2.47135e-09,2.95887e-09,5.83827e-09,1.93096e-11,2.31177e-11,4.56084e-11,1,3.80945e-19,1.18906e-17,0,1.12491,0.567545,0.0996551,0,0,0,1,663,9.94613e-13,5.83827e-09,5.83827e-09,1
7,0.00444259,0.000569673,2.37834e-09,2.8936e-09,5.81895e-09,1.8583e-11,2.26075e-11,4.54574e-11,1,1.13294e-19,-2.98381e-17,0,1.1249,0.545249,0.099742,0,0,0,1,665,9.92417e-13,5.81895e-09,5.81895e-09,1
8,0.00500787,0.000565283,2.34136e-09,2.88093e-09,5.84586e-09,1.82932e-11,2.25081e-11,4.56678e-11,1,-5.40055e-20,-1.81983e-17,0,1.12489,0.529711,0.0997036,0,0,0,1,664,9.993e-13,5.84585e-09,5.84585e-09,1
9,0.00557088,0.000563006,2.45684e-09,2.92684e-09,9.45025e-09,1.92035e-11,2.28723e-11,7.38297e-11,1,1.68779e-19,-5.79094e-18,0,1.12489,0.520974,0.0996153,0,0,0,1,664,9.92201e-13,9.45023e-09,9.45023e-09,1
