step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,1,0,0,0,1.12494,1,0.1,0,0,0,0,0,,,,1
1,0.000753907,0.000753907,0.0511249,0.539259,11.927,0.000401603,0.00426853,0.0963463,1,-1.52068e-06,-1.52068e-06,0,1.12493,0.860849,0.0951623,0,0,0,2,0,,,,1
2,0.00144479,0.000690879,0.0813012,0.75042,14.6536,0.00063831,0.0059647,0.123042,1,-4.25746e-06,-4.25746e-06,0,1.12493,0.765005,0.0820454,0,0,0,2,0,,,,1
3,0.00209138,0.000646592,0.108433,0.971915,27.9432,0.000841383,0.00741405,0.182699,1,-8.87404e-06,-8.87404e-06,0,1.12493,0.693191,0.0622282,0,0,0,2,0,,,,1
4,0.00270529,0.000613917,0.135617,1.2117,36.4033,0.00103908,0.00887331,0.224803,1,-1.58736e-05,-1.58736e-05,0,1.12492,0.639468,0.0480263,0,0,0,2,0,,,,1
5,0.00329803,0.000592735,0.159454,1.40361,37.9422,0.00120988,0.0100804,0.22744,1,-2.50534e-05,-2.50534e-05,0,1.12492,0.598385,0.074409,0,0,0,2,0,,,,1
6,0.00387728,0.00057925,0.177336,1.53002,38.1899,0.00133363,0.0109125,0.222691,1,-3.59422e-05,-3.59422e-05,0,1.12492,0.567257,0.0558051,0,0,0,2,0,,,,1
7,0.00444836,0.000571078,0.190134,1.6165,35.8065,0.00141615,0.0114076,0.233778,1,-4.83435e-05,-4.83435e-05,0,1.12492,0.545204,0.0326306,0,0,0,2,0,,,,1
8,0.00501424,0.000565882,0.196983,1.67438,37.952,0.00145192,0.0115735,0.234284,1,-6.2169e-05,-6.2169e-05,0,1.12493,0.529732,0.0102727,0,0,0,2,0,,,,1
9,0.00557706,0.000562819,0.198908,1.70629,45.5459,0.00145014,0.0114461,0.231048,1,-7.7225e-05,-7.7225e-05,0,1.12493,0.520631,0.0172069,0,0,0,2,0,,,,1
10,0.00613806,0.000561,0.205504,1.71151,45.1796,0.00147776,0.0111778,0.224353,1,-9.31451e-05,-9.31451e-05,0,1.12493,0.516565,0.0266434,0,0,0,2,0,,,,1
11,0.00669843,0.000560372,0.213035,1.70516,38.8088,0.00151026,0.0109402,0.195339,1,-0.000109717,-0.000109717,0,1.12493,0.51585,1e-20,0,0,1,2,0,,,,1
