step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,1,0,0,0,1.12494,1,0.1,0,0,0,0,0,,,,1
1,0.000753907,0.000753907,0.0501963,0.530433,11.5973,0.000393466,0.00417424,0.0887691,1,-1.45054e-20,-3.09167e-20,0,1.12494,0.860849,0.0949804,0,0,0,2,0,,,,1
2,0.00144608,0.00069217,0.0800735,0.722021,14.0426,0.000626646,0.00569334,0.120846,1,7.75831e-21,1.85077e-19,0,1.12494,0.76519,0.0806581,0,0,0,2,0,,,,1
3,0.00209348,0.000647398,0.107097,0.939692,27.0498,0.00082844,0.00710236,0.177104,1,1.48184e-20,-4.3191e-19,0,1.12494,0.693656,0.0586268,0,0,0,2,0,,,,1
4,0.00270731,0.000613838,0.131927,1.18315,36.1591,0.00100824,0.00855045,0.224043,1,1.36723e-19,1.37588e-19,0,1.12494,0.640675,0.0419675,0,0,0,2,0,,,,1
5,0.00329985,0.000592535,0.154461,1.37075,39.2192,0.00116919,0.00966784,0.235741,1,8.41443e-20,-3.36801e-19,0,1.12494,0.600222,0.0720706,0,0,0,2,0,,,,1
6,0.00387877,0.00057892,0.173636,1.48482,38.3667,0.00130269,0.010365,0.225764,1,2.34083e-19,3.83074e-20,0,1.12494,0.569144,0.0530153,0,0,0,2,0,,,,1
7,0.00444948,0.000570712,0.186735,1.55926,35.0937,0.00138718,0.0107596,0.206152,1,-4.10704e-19,-1.72222e-18,0,1.12494,0.547048,0.0280061,0,0,0,2,0,,,,1
8,0.00501546,0.000565979,0.194222,1.6172,34.7897,0.00142801,0.0109295,0.194774,1,5.28654e-20,-2.21104e-18,0,1.12494,0.531827,0.00397453,0,0,0,2,0,,,,1
9,0.00557895,0.000563494,0.198625,1.65768,43.9063,0.00144451,0.0108799,0.222988,1,1.55929e-19,-3.18209e-19,0,1.12494,0.523397,0.00694442,0,0,0,2,0,,,,1
10,0.0061412,0.000562245,0.199589,1.67074,45.4052,0.00143867,0.0107048,0.226365,1,-2.62619e-19,1.08347e-18,0,1.12494,0.520129,0.0267007,0,0,0,2,0,,,,1
11,0.00670324,0.000562042,0.205492,1.66697,40.4507,0.00146401,0.0105278,0.201817,1,-7.24415e-19,5.46214e-19,0,1.12494,0.520205,1e-20,0,0,1,2,0,,,,1
