step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,1,0,0,0,1.12494,1,0.1,0,0,0,0,0,,,,1
1,0.000753907,0.000753907,0.0504253,0.533265,11.6817,0.000395266,0.00419661,0.0892974,1,-1.51826e-06,-1.51826e-06,0,1.12494,0.860849,0.0951638,0,0,0,2,0,,,,1
2,0.00144471,0.000690805,0.0806165,0.729567,14.0962,0.00063109,0.00575663,0.121637,1,-4.22798e-06,-4.22798e-06,0,1.12494,0.765006,0.0820676,0,0,0,2,0,,,,1
3,0.00209111,0.000646401,0.10751,0.945055,27.205,0.000831955,0.00715869,0.17799,1,-8.77176e-06,-8.77176e-06,0,1.12494,0.693148,0.0623233,0,0,0,2,0,,,,1
4,0.00270495,0.000613834,0.131928,1.18644,36.4497,0.00100847,0.00859083,0.225585,1,-1.56901e-05,-1.56901e-05,0,1.12493,0.63937,0.0482382,0,0,0,2,0,,,,1
5,0.00329755,0.0005926,0.154995,1.37543,39.6545,0.00117274,0.00970653,0.238331,1,-2.48137e-05,-2.48137e-05,0,1.12493,0.598247,0.0743871,0,0,0,2,0,,,,1
6,0.0038766,0.000579056,0.174075,1.48952,38.9573,0.00130578,0.0103933,0.229262,1,-3.56862e-05,-3.56862e-05,0,1.12493,0.566937,0.0559469,0,0,0,2,0,,,,1
7,0.00444746,0.000570856,0.187584,1.56224,34.8067,0.00139347,0.0107783,0.20387,1,-4.81201e-05,-4.81201e-05,0,1.12493,0.544726,0.0323885,0,0,0,2,0,,,,1
8,0.00501321,0.000565747,0.195123,1.62063,33.9177,0.0014338,0.01096,0.188268,1,-6.21079e-05,-6.21079e-05,0,1.12492,0.529187,0.0100853,0,0,0,2,0,,,,1
9,0.00557617,0.00056296,0.199552,1.6579,42.8149,0.00145101,0.0109068,0.219281,1,-7.74957e-05,-7.74957e-05,0,1.12492,0.520114,0.0141316,0,0,0,2,0,,,,1
10,0.00613763,0.000561467,0.200146,1.66581,44.5008,0.00144278,0.0107061,0.225096,1,-9.39357e-05,-9.39357e-05,0,1.12491,0.516017,0.0265247,0,0,0,2,0,,,,1
11,0.00669875,0.000561117,0.205613,1.65679,39.6225,0.00146553,0.010502,0.198952,1,-0.000111179,-0.000111179,0,1.12491,0.515361,1e-20,0,0,1,2,0,,,,1
