step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,1,0,0,0,1.12494,1,0.1,0,0,0,0,0,,,,1
1,0.000753907,0.000753907,0.0504253,0.533265,11.6817,0.000395266,0.00419661,0.0892974,1,-1.45054e-20,-3.09167e-20,0,1.12494,0.860849,0.0950082,0,0,0,2,0,,,,1
2,0.00144608,0.000692169,0.0806056,0.729211,14.0974,0.000630977,0.00575288,0.121376,1,-1.60784e-20,-2.77046e-20,0,1.12494,0.765184,0.0809149,0,0,0,2,0,,,,1
3,0.00209347,0.000647392,0.107384,0.945787,27.151,0.000830749,0.00715812,0.177711,1,-6.1587e-20,-3.51003e-19,0,1.12494,0.693641,0.0593255,0,0,0,2,0,,,,1
4,0.00270727,0.000613801,0.132024,1.18857,36.473,0.00100874,0.00859716,0.225806,1,2.49916e-21,-3.68219e-19,0,1.12494,0.640665,0.0431593,0,0,0,2,0,,,,1
5,0.00329974,0.000592472,0.154979,1.37736,39.622,0.00117216,0.00971474,0.238111,1,2.39745e-19,2.0738e-19,0,1.12494,0.600224,0.0734025,0,0,0,2,0,,,,1
6,0.00387856,0.000578818,0.174369,1.49284,38.7934,0.00130734,0.0104147,0.228227,1,-2.01283e-19,2.40069e-18,0,1.12494,0.569158,0.0540289,0,0,0,2,0,,,,1
7,0.00444912,0.000570566,0.187985,1.56803,34.7248,0.00139547,0.0108116,0.203955,1,7.23957e-20,-4.47247e-19,0,1.12494,0.547026,0.0295157,0,0,0,2,0,,,,1
8,0.00501492,0.000565792,0.195339,1.6263,34.2771,0.00143414,0.0109834,0.190976,1,2.03679e-19,2.68505e-18,0,1.12494,0.531752,0.00598255,0,0,0,2,0,,,,1
9,0.00557822,0.000563299,0.199697,1.66632,43.4808,0.00145046,0.0109313,0.220886,1,-7.33079e-20,1.58618e-18,0,1.12494,0.523274,0.00900682,0,0,0,2,0,,,,1
10,0.0061403,0.000562081,0.201165,1.67883,45.0933,0.00144796,0.0107518,0.226377,1,-9.10607e-20,-2.4239e-18,0,1.12494,0.519954,0.0283175,0,0,0,2,0,,,,1
11,0.00670221,0.000561909,0.207095,1.67479,40.256,0.00147356,0.0105737,0.200792,1,3.6552e-19,-3.05365e-18,0,1.12494,0.519992,1e-20,0,0,1,2,0,,,,1
