step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,1,0,0,0,1.12494,1,0.1,0,0,0,0,0,,,,1
1,0.000753907,0.000753907,0.085832,0.97753,20.8784,0.00067499,0.00772412,0.168665,1,-1.45054e-20,-3.09167e-20,0,1.12494,0.860849,0.1,0,0,0,0,0,,,,1
2,0.00144608,0.000692171,0.147127,1.49481,30.4897,0.00116584,0.0121013,0.284733,1,-3.99157e-20,-2.15269e-19,0,1.12494,0.765121,0.0999475,0,0,0,0,0,,,,1
3,0.00209375,0.000647669,0.198514,1.94651,47.1504,0.00155681,0.0153604,0.352579,1,-4.73291e-20,-6.78856e-19,0,1.12494,0.693409,0.0999857,0,0,0,0,0,,,,1
4,0.00270777,0.000614028,0.250554,2.55457,76.9287,0.00191793,0.018599,0.418984,1,-6.33192e-20,1.77408e-23,0,1.12494,0.64028,0.0999662,0,0,0,0,0,,,,1
5,0.00330012,0.000592348,0.305512,3.18248,99.7038,0.00228961,0.0216294,0.501854,1,-7.90534e-20,2.48423e-19,0,1.12494,0.599755,0.0999356,0,0,0,0,0,,,,1
6,0.00387849,0.000578363,0.343696,3.65559,118.577,0.00255513,0.0245146,0.59287,1,-2.47237e-19,-1.11688e-18,0,1.12494,0.568766,0.0998783,0,0,0,0,0,,,,1
7,0.0044483,0.000569819,0.363558,3.92203,123.189,0.00272902,0.0274047,0.830591,1,2.78755e-19,1.62796e-18,0,1.12494,0.546373,0.0999571,0,0,0,0,0,,,,1
8,0.00501328,0.00056498,0.385839,4.03488,113.463,0.00292813,0.0301654,1.07565,1,-4.466e-19,2.60889e-19,0,1.12494,0.530517,0.0999577,0,0,0,0,0,,,,1
9,0.00557567,0.000562385,0.406507,4.06115,96.5544,0.00309999,0.0322345,1.26154,1,-3.55331e-19,-4.32718e-18,0,1.12494,0.521759,0.0999143,0,0,0,0,0,,,,1
10,0.00613661,0.000560945,0.416996,4.01476,93.9374,0.00317074,0.0327391,1.33486,1,-7.54032e-19,3.03066e-18,0,1.12494,0.51834,0.0998755,0,0,0,0,0,,,,1
11,0.00669713,0.000560511,0.410231,3.92644,113.684,0.0031068,0.0314628,1.26182,1,2.86905e-19,-5.16849e-19,0,1.12494,0.518118,0.0998827,0,0,0,0,0,,,,1
12,0.00725817,0.000561046,0.395897,3.8509,117.774,0.00298309,0.0294984,1.10223,1,-6.57986e-19,4.9877e-18,0,1.12494,0.518283,0.0999082,0,0,0,0,0,,,,1
13,0.00782097,0.000562795,0.409226,3.81866,106.784,0.00300398,0.0275912,0.905067,1,-2.40872e-19,-4.50749e-20,0,1.12494,0.511965,0.0999381,0,0,0,0,0,,,,1
14,0.00838516,0.000564196,0.425399,3.80368,87.3634,0.00304744,0.0257397,0.69784,1,9.41742e-19,3.24566e-19,0,1.12494,0.508295,0.0999193,0,0,0,0,0,,,,1
15,0.00894809,0.00056293,0.430203,3.74625,94.8551,0.00304066,0.0244457,0.529777,1,-8.14269e-19,4.25551e-18,0,1.12494,0.507301,0.0999539,0,0,0,0,0,,,,1
16,0.00951039,0.000562301,0.420433,3.67191,100.527,0.00297877,0.0239194,0.593541,1,-6.76279e-19,4.57202e-18,0,1.12494,0.507307,0.0999489,0,0,0,0,0,,,,1
17,0.0100722,0.000561813,0.423566,3.64405,94.6013,0.00296958,0.0235004,0.593183,1,-6.4039e-19,3.58983e-18,0,1.12494,0.507022,0.0999463,0,0,0,0,0,,,,1
18,0.0106358,0.000563553,0.428717,3.61565,83.6591,0.00294298,0.0224552,0.560635,1,8.02353e-19,-9.7482e-18,0,1.12494,0.506664,0.0999165,0,0,0,0,0,,,,1
19,0.0112023,0.000566541,0.427899,3.565,80.5755,0.00289498,0.0214469,0.494303,1,-1.04485e-18,6.64922e-18,0,1.12494,0.505109,0.0999473,0,0,0,0,0,,,,1
20,0.0117715,0.000569218,0.426149,3.52629,83.1696,0.00286966,0.0211086,0.418041,1,-1.25035e-18,-2.26776e-18,0,1.12494,0.503994,0.0999503,0,0,0,0,0,,,,1
21,0.012343,0.000571471,0.437313,3.51959,80.1411,0.00291447,0.0209428,0.417145,1,-2.36323e-19,1.03953e-17,0,1.12494,0.503067,0.0999507,0,0,0,0,0,,,,1
22,0.0129167,0.000573682,0.443943,3.49749,72.5991,0.0029274,0.0204306,0.416649,1,-5.27883e-19,-6.72959e-18,0,1.12494,0.502242,0.0999373,0,0,0,0,0,,,,1
23,0.0134926,0.000575968,0.441641,3.43893,68.6143,0.00290297,0.0200552,0.428645,1,4.70167e-19,1.85355e-19,0,1.12494,0.501707,0.0998927,0,0,0,0,0,,,,1
24,0.014069,0.000576406,0.434442,3.39001,68.0294,0.00286312,0.0199704,0.415661,1,-7.03288e-19,8.49739e-18,0,1.12494,0.502587,0.0999264,0,0,0,0,0,,,,1
25,0.0146453,0.000576265,0.446794,3.37682,65.7622,0.00291283,0.0197237,0.400299,1,6.49506e-19,-3.61926e-18,0,1.12494,0.50434,0.0999531,0,0,0,0,0,,,,1
26,0.0152209,0.00057559,0.453862,3.34503,59.6032,0.00292947,0.019125,0.356163,1,1.47766e-19,-2.57607e-18,0,1.12494,0.501513,0.0999236,0,0,0,0,0,,,,1
27,0.0157971,0.000576248,0.44911,3.28718,61.3979,0.00289787,0.0188003,0.381372,1,2.47111e-18,4.90948e-18,0,1.12494,0.497383,0.0999121,0,0,0,0,0,,,,1
28,0.0163747,0.000577589,0.449117,3.25073,59.054,0.00290735,0.0187837,0.407857,1,4.91986e-19,3.32121e-19,0,1.12494,0.493636,0.0998729,0,0,0,0,0,,,,1
29,0.0169532,0.000578487,0.454735,3.24033,57.5023,0.00293201,0.0185775,0.380361,1,-2.04471e-18,-9.17176e-18,0,1.12494,0.490964,0.09992,0,0,0,0,0,,,,1
30,0.0175314,0.000578133,0.458144,3.21147,54.9612,0.00293886,0.0182339,0.33468,1,-2.16622e-18,6.18073e-18,0,1.12494,0.486722,0.0999441,0,0,0,0,0,,,,1
31,0.018108,0.000576615,0.453151,3.15745,56.2376,0.00291754,0.0181925,0.386289,1,-3.38993e-19,8.85876e-19,0,1.12494,0.483395,0.0998943,0,0,0,0,0,,,,1
32,0.0186833,0.00057533,0.454591,3.12712,58.2449,0.00293261,0.0182463,0.399217,1,-7.44943e-19,7.21041e-18,0,1.12494,0.478151,0.0998921,0,0,0,0,0,,,,1
33,0.0192579,0.000574625,0.46302,3.11596,55.7655,0.00296911,0.0179637,0.359366,1,-1.1638e-19,5.53378e-19,0,1.12494,0.472266,0.0998605,0,0,0,0,0,,,,1
34,0.0198324,0.00057452,0.467004,3.08318,52.4037,0.00298989,0.0176429,0.328341,1,5.37813e-19,-3.3761e-18,0,1.12494,0.466627,0.0999229,0,0,0,0,0,,,,1
35,0.0204075,0.000575067,0.463425,3.03933,53.3288,0.00298501,0.0176786,0.389778,1,-7.64165e-19,7.31323e-18,0,1.12494,0.460944,0.0999099,0,0,0,0,0,,,,1
36,0.0209839,0.000576416,0.463451,3.01889,56.8532,0.0030017,0.0177404,0.388854,1,-9.23674e-20,-3.34935e-18,0,1.12494,0.455466,0.0998731,0,0,0,0,0,,,,1
37,0.0215617,0.000577754,0.469962,3.00869,53.6965,0.00303548,0.0175079,0.352747,1,8.62502e-19,-1.94379e-18,0,1.12494,0.450151,0.0998984,0,0,0,0,0,,,,1
38,0.0221407,0.000579001,0.471997,2.97326,49.3629,0.00304447,0.0173158,0.325538,1,-1.5227e-18,-9.21546e-18,0,1.12494,0.445007,0.0999096,0,0,0,0,0,,,,1
39,0.0227203,0.00057963,0.464306,2.93355,53.4475,0.0030192,0.0174305,0.387233,1,-2.22789e-18,1.33473e-17,0,1.12494,0.440178,0.0998957,0,0,0,0,0,,,,1
40,0.0232991,0.000578807,0.471261,2.91881,55.1984,0.00306082,0.0174158,0.377488,1,7.21708e-19,3.38125e-18,0,1.12494,0.436105,0.0998985,0,0,0,0,0,,,,1
41,0.0238775,0.000578338,0.476202,2.90262,51.0501,0.0030825,0.0170802,0.344547,1,-8.42503e-19,-3.7762e-18,0,1.12494,0.432723,0.099855,0,0,0,0,0,,,,1
42,0.0244559,0.000578395,0.475044,2.86703,47.2192,0.00307895,0.016917,0.339256,1,1.53632e-18,1.28719e-18,0,1.12494,0.429493,0.0999259,0,0,0,0,0,,,,1
43,0.0250347,0.000578884,0.468191,2.83837,53.1515,0.00305635,0.0170445,0.37924,1,5.70207e-19,1.03398e-17,0,1.12494,0.423558,0.099887,0,0,0,0,0,,,,1
44,0.0256148,0.00058004,0.471764,2.83144,53.8659,0.00307572,0.017012,0.362289,1,2.48028e-19,-1.73145e-18,0,1.12494,0.417692,0.0998703,0,0,0,0,0,,,,1
45,0.0261965,0.000581691,0.475919,2.81582,50.101,0.00309122,0.0167237,0.327067,1,-2.73476e-18,-1.45707e-17,0,1.12494,0.412014,0.0998775,0,0,0,0,0,,,,1
46,0.0267797,0.000583185,0.472627,2.77898,46.6391,0.00307652,0.0166573,0.341603,1,2.73614e-18,-5.87398e-18,0,1.12494,0.406544,0.0998407,0,0,0,0,0,,,,1
47,0.0273641,0.000584456,0.46868,2.75743,52.7367,0.00306978,0.0167946,0.372558,1,3.29732e-18,1.57372e-18,0,1.12494,0.399914,0.0999185,0,0,0,0,0,,,,1
