step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,1,0,0,0,1.12494,1,0.1,0,0,0,0,0,,,,1
1,0.000753907,0.000753907,0.0104993,0.0722313,1.1614,8.21405e-05,0.000565745,0.00938102,1,-1.45054e-20,-3.09167e-20,0,1.12493,0.860849,0.1,0,0,0,3,0,,,,1
2,0.00144512,0.00069121,0.0169866,0.115279,2.08752,0.000133046,0.000903006,0.0148658,1,-1.23012e-19,6.50182e-19,0,1.12493,0.765136,0.0999506,0,0,0,3,0,,,,1
3,0.00209135,0.000646239,0.0241236,0.166586,3.15815,0.000188914,0.00130217,0.0235329,1,-1.69966e-19,-4.97901e-18,0,1.12492,0.693422,0.0999532,0,0,0,3,0,,,,1
4,0.00270405,0.00061269,0.0308841,0.214042,4.09731,0.000241731,0.00166549,0.0303104,1,-2.92453e-19,3.25957e-18,0,1.12492,0.63979,0.0998936,0,0,0,3,0,,,,1
5,0.00329533,0.000591285,0.0350122,0.249882,6.40448,0.000273021,0.00191061,0.0382763,1,6.61219e-20,-9.12365e-18,0,1.12491,0.598967,0.0998043,0,0,0,2,0,,,,1
6,0.00387307,0.000577739,0.038875,0.269269,6.31826,0.000302968,0.00205851,0.0422407,1,2.54178e-19,-8.65967e-18,0,1.1249,0.567734,0.0997067,0,0,0,2,0,,,,1
7,0.00444274,0.000569673,0.0424416,0.2849,5.73133,0.000329938,0.00216159,0.0418575,1,8.35031e-20,-1.66046e-17,0,1.12489,0.545455,0.0997953,0,0,0,2,0,,,,1
8,0.00500805,0.000565304,0.0456647,0.302663,6.22429,0.000353661,0.00225991,0.04119,1,-4.4478e-19,2.28684e-17,0,1.12488,0.529792,0.0996999,0,0,0,2,0,,,,1
9,0.00557109,0.000563039,0.0488949,0.321866,7.39205,0.000376488,0.00235511,0.0410201,1,-4.14561e-19,-4.40282e-18,0,1.12487,0.521043,0.0996637,0,0,0,2,0,,,,1
10,0.00613306,0.000561975,0.0520593,0.339348,7.55402,0.000398341,0.00243799,0.0423941,1,-1.59306e-19,-1.92339e-17,0,1.12486,0.517733,0.0996136,0,0,0,2,0,,,,1
11,0.00669498,0.000561922,0.0553034,0.354438,6.97735,0.000419855,0.00250558,0.0430023,1,-5.81629e-19,-1.88961e-17,0,1.12485,0.517744,0.0995469,0,0,0,2,0,,,,1
12,0.00725762,0.000562633,0.0583429,0.370625,7.81543,0.000438981,0.00257354,0.0463212,1,-6.65903e-19,5.70471e-18,0,1.12483,0.518805,0.0994798,0,0,0,2,0,,,,1
13,0.00782143,0.000563818,0.0612432,0.387355,8.75195,0.000456558,0.00264185,0.0490892,1,4.8068e-20,7.31019e-18,0,1.12482,0.512065,0.0995428,0,0,0,2,0,,,,1
14,0.00838388,0.000562447,0.06438,0.403804,8.74428,0.000474759,0.00271145,0.0497857,1,1.73656e-19,-1.24187e-17,0,1.12481,0.50761,0.0995701,0,0,0,2,0,,,,1
15,0.00894473,0.000560847,0.0671795,0.421044,8.18672,0.000489501,0.00278462,0.0489424,1,8.95152e-19,6.09814e-17,0,1.12479,0.505597,0.0996657,0,0,0,2,0,,,,1
16,0.00950487,0.000560146,0.0701592,0.439469,8.81563,0.000506058,0.00285443,0.0500866,1,-6.98041e-20,-1.73478e-17,0,1.12478,0.505388,0.0996917,0,0,0,2,0,,,,1
17,0.0100657,0.000560806,0.0732793,0.455969,9.59458,0.000524035,0.00291045,0.0496383,1,-7.61941e-19,1.8476e-17,0,1.12476,0.505523,0.0996798,0,0,0,2,0,,,,1
18,0.0106281,0.000562398,0.0762041,0.469246,9.5877,0.000540937,0.00295156,0.0463627,1,-3.9418e-19,4.12534e-19,0,1.12475,0.505361,0.0996293,0,0,0,2,0,,,,1
19,0.0111935,0.000565394,0.0794212,0.482824,9.21639,0.000559164,0.00299789,0.0470278,1,1.25964e-18,3.0882e-17,0,1.12473,0.504513,0.0996188,0,0,0,2,0,,,,1
20,0.011762,0.000568527,0.0824194,0.499795,9.62595,0.000576055,0.00306315,0.0489624,1,1.65454e-19,5.28364e-17,0,1.12472,0.503228,0.0996508,0,0,0,2,0,,,,1
21,0.0123331,0.000571072,0.085734,0.515877,10.3655,0.000597053,0.00312784,0.0492049,1,-1.28564e-18,-2.39297e-18,0,1.1247,0.502181,0.099627,0,0,0,2,0,,,,1
