step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,1,0,0,0,1.12494,1,0.1,0,0,0,0,0,,,,1
1,0.000753907,0.000753907,0.0867541,0.983944,22.9995,0.000683968,0.00782991,0.189891,1,-1.94236e-06,-1.94236e-06,0,1.12493,0.860849,0.0999976,0,0,0,1,0,,,,1
2,0.00144469,0.000690779,0.150879,1.54494,33.1135,0.00120317,0.0126996,0.301952,1,-7.0236e-06,-7.0236e-06,0,1.12493,0.76496,0.0999333,0,0,0,1,0,,,,1
3,0.00209093,0.000646241,0.208505,2.091,49.9013,0.0016528,0.016853,0.380339,1,-1.65286e-05,-1.65286e-05,0,1.12493,0.692936,0.099977,0,0,0,1,0,,,,1
4,0.00270446,0.000613537,0.277183,2.81692,79.327,0.00215586,0.0214033,0.46891,1,-3.28153e-05,-3.28153e-05,0,1.12493,0.638572,0.0999582,0,0,0,1,0,,,,1
5,0.00329662,0.00059216,0.349247,3.60085,99.0115,0.00268642,0.0266085,0.629001,1,-5.76711e-05,-5.76711e-05,0,1.12494,0.596581,0.0999039,0,0,0,1,0,,,,1
6,0.00387509,0.000578471,0.405031,4.32252,114.086,0.00313653,0.0329874,0.877688,1,-9.13741e-05,-9.13741e-05,0,1.12497,0.564494,0.0998316,0,0,0,1,0,,,,1
7,0.0044454,0.00057031,0.469136,4.95836,130.583,0.00370653,0.0404735,1.20884,1,-0.00013338,-0.00013338,0,1.12501,0.541585,0.0998244,0,0,0,1,0,,,,1
8,0.00501073,0.000565324,0.539226,5.5608,143.397,0.00436359,0.0485852,1.545,1,-0.000183422,-0.000183422,0,1.12508,0.525373,0.0997606,0,0,0,1,0,,,,1
9,0.00557347,0.000562742,0.60864,6.1933,164.125,0.00504432,0.0571685,1.92001,1,-0.000242062,-0.000242062,0,1.12517,0.513994,0.0996976,0,0,0,1,0,,,,1
10,0.00613553,0.000562061,0.679203,6.8559,174.513,0.00572573,0.0661726,2.47246,1,-0.000309644,-0.000309644,0,1.12529,0.507588,0.0998467,0,0,0,1,0,,,,1
11,0.00669174,0.000556204,0.765676,7.59798,186.96,0.00654736,0.0776689,3.49714,1,-0.000386247,-0.000386247,0,1.12544,0.50449,0.0997569,0,0,0,1,0,,,,1
12,0.00723792,0.000546186,0.86213,8.48173,201.514,0.0075732,0.0971205,5.30217,1,-0.000473004,-0.000473004,0,1.12563,0.503867,0.0996782,0,0,0,1,0,,,,1
13,0.0077707,0.000532782,0.967945,9.54253,238.381,0.00900404,0.137289,8.94506,1,-0.000572134,-0.000572134,0,1.12588,0.504278,0.09965,0,0,0,1,0,,,,1
14,0.00828499,0.000514289,1.0747,10.7909,290.148,0.0111535,0.217441,15.6562,1,-0.000686074,-0.000686074,0,1.12619,0.501289,0.0998171,0,0,0,1,0,,,,1
15,0.00877265,0.000487663,1.19032,12.2119,350.605,0.0128204,0.254303,14.629,1,-0.000816054,-0.000816054,0,1.12658,0.498301,0.0998193,0,0,0,1,0,,,,1
16,0.00922282,0.000450162,1.3376,13.8235,419.803,0.0133168,0.234092,14.6504,1,-0.000962475,-0.000962475,0,1.12707,0.480328,0.0997262,0,0,0,1,0,,,,1
17,0.00962567,0.000402856,1.49998,15.6343,497.526,0.0134214,0.193279,10.8568,1,-0.00112479,-0.00112479,0,1.12768,0.457262,0.0996753,0,0,0,1,0,,,,1
18,0.00997697,0.0003513,1.66341,17.4429,583.453,0.0138946,0.174303,8.48346,1,-0.00128957,-0.00128957,0,1.12834,0.431978,9.99497e-13,0,0,0,1,0,,,,1
19,0.0102975,0.000320497,1.83472,19.283,682.794,0.0146876,0.170266,7.0886,1,-0.00146235,-0.00146235,0,1.12905,0.407447,1.00068e-12,0,0,0,1,0,,,,1
20,0.0106071,0.00030968,2.01123,21.3757,777.265,0.0157423,0.178763,6.16865,1,-0.00166108,-0.00166108,0,1.12993,0.388228,1.00009e-12,0,0,0,1,0,,,,1
21,0.0109089,0.000301739,2.19278,23.6731,813.396,0.0171654,0.20597,9.9375,1,-0.00188599,-0.00188599,0,1.13099,0.376828,1.00009e-12,0,0,0,1,0,,,,1
22,0.0112062,0.000297346,2.41506,26.6051,846.798,0.0193686,0.267994,16.3205,1,-0.00217806,-0.00217806,0,1.13253,0.414787,1.00068e-12,0,0,0,1,0,,,,1
23,0.0115099,0.000303715,2.66167,29.7306,947.321,0.0215528,0.315664,16.3437,1,-0.00250435,-0.00250435,0,1.13437,0.40797,9.98905e-13,0,0,0,1,0,,,,1
24,0.0118207,0.000310718,2.90651,32.359,1064.87,0.0230224,0.343081,21.9554,1,-0.0028194,-0.0028194,0,1.13623,0.38235,9.98905e-13,0,0,0,1,0,,,,1
25,0.0121417,0.000321046,3.16728,35.0722,1201.06,0.0226081,0.272728,12.3735,1,-0.003155,-0.003155,0,1.13831,0.359121,9.99497e-13,0,0,0,1,0,,,,1
26,0.0124495,0.00030774,3.41538,37.2799,1277.24,0.0228086,0.250998,9.59003,1,-0.00349605,-0.00349605,0,1.14041,0.339605,9.99497e-13,0,0,0,1,0,,,,1
27,0.0127427,0.000293262,3.66583,39.1152,1270.25,0.0233931,0.244834,10.1102,1,-0.00385526,-0.00385526,0,1.14281,0.32358,9.98313e-13,0,0,0,1,0,,,,1
28,0.0130237,0.000280943,3.89754,40.7821,1253.95,0.0238262,0.235125,7.77406,1,-0.00418693,-0.00418693,0,1.1451,0.310955,9.98905e-13,0,0,0,1,0,,,,1
29,0.0132942,0.000270575,4.11048,42.4889,1191.45,0.0243496,0.232455,6.74723,1,-0.00455444,-0.00455444,0,1.14771,0.292392,9.98905e-13,0,0,0,1,0,,,,1
30,0.0135561,0.000261852,4.35132,44.4222,1157.08,0.0247873,0.230219,9.0058,1,-0.00491413,-0.00491413,0,1.15019,0.277684,9.98905e-13,0,0,0,1,0,,,,1
31,0.0138106,0.000254507,4.61712,45.9729,1050.25,0.0252614,0.224357,6.42679,1,-0.0052598,-0.0052598,0,1.1525,0.27099,9.99497e-13,0,0,0,1,0,,,,1
32,0.0140582,0.000247643,4.91933,47.97,1024.75,0.0264313,0.23619,7.45134,1,-0.00563264,-0.00563264,0,1.15508,0.263716,9.98905e-13,0,0,0,1,0,,,,1
33,0.0143011,0.000242824,5.20873,49.8475,1017.6,0.0278948,0.254152,8.92149,1,-0.00599512,-0.00599512,0,1.15763,0.260177,9.99497e-13,0,0,0,1,0,,,,1
34,0.014541,0.000239984,5.56635,52.0477,1112.38,0.0298652,0.282264,12.7279,1,-0.0064224,-0.0064224,0,1.16072,0.254042,9.98905e-13,0,0,0,1,0,,,,1
35,0.0147798,0.000238742,5.94438,54.4865,1140.46,0.0314822,0.300629,14.2358,1,-0.00689414,-0.00689414,0,1.16417,0.249086,9.98905e-13,0,0,0,1,0,,,,1
36,0.0150181,0.000238318,6.30047,56.6248,1164.06,0.0322747,0.287678,11.1017,1,-0.00738088,-0.00738088,0,1.16778,0.245355,9.98905e-13,0,0,0,1,0,,,,1
37,0.0152573,0.000239222,6.65407,58.6513,1181.13,0.0335333,0.296949,10.7382,1,-0.00787097,-0.00787097,0,1.17155,0.245625,9.98905e-13,0,0,0,1,0,,,,1
38,0.0155,0.000242663,7.02117,60.8487,1185.06,0.0353732,0.34685,25.0359,1,-0.00838928,-0.00838928,0,1.17567,0.252505,9.98905e-13,0,0,0,1,0,,,,1
39,0.015747,0.00024705,7.35778,62.8769,1176.62,0.0495807,1.8881,238.847,1,-0.00893988,-0.00893988,0,1.17991,0.256447,9.98313e-13,0,0,0,1,0,,,,1
40,0.0159994,0.000252329,7.69819,64.797,1168.36,0.0386401,0.376023,21.3359,1,-0.0094937,-0.0094937,0,1.18423,0.256199,9.92983e-13,0,0,0,1,0,,,,1
41,0.0162548,0.000255431,8.07079,66.6308,1268.21,0.0417477,0.557069,58.1906,1,-0.0100596,-0.0100596,0,1.1887,0.252056,9.81733e-13,0,0,0,1,0,,,,1
42,0.0165108,0.000256019,8.4339,68.6024,1325.84,0.0401278,0.344155,12.8399,1,-0.0106359,-0.0106359,0,1.19329,0.229044,9.69891e-13,0,0,0,1,0,,,,1
43,0.0167651,0.000254258,8.82127,70.7377,1284.75,0.0451841,0.576949,43.1784,1,-0.0112819,-0.0112819,0,1.19838,0.207688,9.69891e-13,0,0,0,1,0,,,,1
44,0.0170167,0.000251655,9.23098,72.8598,1176.32,0.042977,0.383775,19.2758,1,-0.011946,-0.011946,0,1.20375,0.191644,9.6693e-13,0,0,0,1,0,,,,1
45,0.0172581,0.000241379,9.60808,74.7096,1096.23,0.0490377,0.981659,118.336,1,-0.0125936,-0.0125936,0,1.20911,0.172429,9.6397e-13,0,0,0,1,0,,,,1
46,0.0174969,0.000238767,9.99103,76.7269,1442.36,0.0422507,0.324804,10.8306,1,-0.0133059,-0.0133059,0,1.21507,0.154936,9.61601e-13,0,0,0,1,0,,,,1
47,0.0177319,0.000235015,10.3667,78.4735,1522.94,0.0428585,0.330491,18.4581,1,-0.0139945,-0.0139945,0,1.22091,0.141773,9.59233e-13,0,0,0,1,0,,,,1
48,0.0179601,0.000228254,10.7224,79.8447,1527.24,0.045836,0.495845,50.7576,1,-0.0146413,-0.0146413,0,1.22641,0.133969,8.69527e-13,0,0,0,1,0,,,,1
49,0.0181834,0.000223254,11.0959,81.5048,1527.07,0.0499996,0.691036,77.6852,1,-0.0153001,-0.0153001,0,1.23196,0.130169,7.99361e-13,0,0,0,1,0,,,,1
50,0.0183971,0.000213695,11.4753,83.5378,1536.17,0.0487774,0.419775,22.8559,1,-0.0160087,-0.0160087,0,1.23822,0.12563,9.25186e-13,0,0,0,1,0,,,,1
51,0.0186006,0.000203536,11.8669,85.4024,1533.96,0.0483394,0.366719,13.649,1,-0.0166828,-0.0166828,0,1.24418,0.120668,9.166e-13,0,0,0,1,0,,,,1
52,0.0187955,0.000194899,12.2293,86.8935,1523.6,0.0482525,0.34174,9.80396,1,-0.0172765,-0.0172765,0,1.24944,0.11692,9.166e-13,0,0,0,1,0,,,,1
53,0.0189797,0.000184212,12.5749,88.2262,1524.4,0.0489378,0.342796,8.28167,1,-0.0178315,-0.0178315,0,1.25446,0.114054,9.20745e-13,0,0,0,1,0,,,,1
54,0.0191648,0.000185076,12.9419,89.7069,1512.01,0.0500849,0.351461,10.1538,1,-0.0184051,-0.0184051,0,1.25962,0.111768,9.21337e-13,0,0,0,1,0,,,,1
55,0.0193477,0.000182893,13.3349,91.3666,1472.03,0.0511316,0.352731,8.41355,1,-0.019049,-0.019049,0,1.26539,0.104508,9.0535e-13,0,0,0,1,0,,,,1
56,0.0195307,0.000183026,13.7161,93.1408,1412.64,0.0530229,0.377173,10.6738,1,-0.019737,-0.019737,0,1.27159,0.0987588,8.90547e-13,0,0,0,1,0,,,,1
57,0.0197122,0.000181417,14.1163,94.7714,1367.01,0.0544183,0.383372,12.0279,1,-0.0203883,-0.0203883,0,1.27773,0.0947133,8.80481e-13,0,0,0,1,0,,,,1
58,0.0198946,0.000182443,14.4997,96.4571,1254.22,0.0570611,0.438649,19.0651,1,-0.0210511,-0.0210511,0,1.28403,0.0910318,8.72783e-13,0,0,0,1,0,,,,1
59,0.020077,0.000182427,14.8666,98.1941,1232.79,0.0559458,0.38827,9.86871,1,-0.0217251,-0.0217251,0,1.29067,0.0887623,8.68638e-13,0,0,0,1,0,,,,1
60,0.0202571,0.000180078,15.1813,99.6358,1232.07,0.0568485,0.393146,12.0999,1,-0.0223412,-0.0223412,0,1.29682,0.0897029,8.51763e-13,0,0,0,1,0,,,,1
61,0.0204291,0.00017196,15.5007,100.982,1215.67,0.0685316,1.43317,176.008,1,-0.022915,-0.022915,0,1.30272,0.0931438,8.36072e-13,0,0,0,1,0,,,,1
62,0.0205961,0.000167061,15.8323,102.506,1203.65,0.0581113,0.398516,11.4529,1,-0.0235205,-0.0235205,0,1.30909,0.100689,8.20085e-13,0,0,0,1,0,,,,1
63,0.0207607,0.000164577,16.1349,103.946,1344.47,0.0581271,0.395949,11.9804,1,-0.0240867,-0.0240867,0,1.31524,0.109127,8.07946e-13,0,0,0,1,0,,,,1
64,0.0209228,0.000162067,16.4274,104.993,1392.66,0.057921,0.378635,8.79583,1,-0.0245732,-0.0245732,0,1.32047,0.114768,7.89295e-13,0,0,0,1,0,,,,1
65,0.0210831,0.000160302,16.7415,105.974,1405.04,0.0584059,0.370574,7.17941,1,-0.0250387,-0.0250387,0,1.3254,0.11872,7.69163e-13,0,0,0,1,0,,,,1
66,0.0212425,0.000159459,17.0628,107.077,1385.28,0.0591317,0.371241,8.08658,1,-0.0255337,-0.0255337,0,1.33045,0.121496,7.79821e-13,0,0,0,1,0,,,,1
