step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,1,0,0,0,1.12494,1,0.1,0,0,0,0,0,,,,1
1,0.000753907,0.000753907,0.0867541,0.983944,22.9995,0.000683968,0.00782991,0.189891,1,-1.94236e-06,-1.94236e-06,0,1.12493,0.860849,0.0999976,0,0,0,1,0,,,,1
2,0.00144469,0.000690779,0.151164,1.54852,33.3313,0.00120538,0.0127268,0.301584,1,-7.05767e-06,-7.05767e-06,0,1.12493,0.76496,0.0999333,0,0,0,2,0,,,,1
3,0.00209092,0.000646238,0.209331,2.09977,49.894,0.00165942,0.0169273,0.37915,1,-1.66853e-05,-1.66853e-05,0,1.12493,0.692935,0.099977,0,0,0,2,0,,,,1
4,0.00270446,0.000613537,0.279004,2.83619,79.3291,0.00217089,0.0215869,0.485541,1,-3.33086e-05,-3.33086e-05,0,1.12493,0.638544,0.0999581,0,0,0,3,0,,,,1
5,0.00329663,0.000592172,0.352428,3.63692,98.9702,0.00271324,0.026984,0.664867,1,-5.88006e-05,-5.88006e-05,0,1.12495,0.596501,0.0999036,0,0,0,3,0,,,,1
6,0.00387511,0.000578476,0.410427,4.38715,114.572,0.00318275,0.0336884,0.902292,1,-9.37654e-05,-9.37654e-05,0,1.12499,0.56436,0.0998319,0,0,0,4,0,,,,1
7,0.00444541,0.000570299,0.479114,5.06632,131.188,0.00379582,0.0416684,1.20968,1,-0.000137926,-0.000137926,0,1.12505,0.541416,0.0998267,0,0,0,4,0,,,,1
8,0.00501077,0.000565359,0.55479,5.73339,144.359,0.00450975,0.0506138,1.6288,1,-0.000191395,-0.000191395,0,1.12514,0.525109,0.0997581,0,0,0,4,0,,,,1
9,0.00557357,0.0005628,0.631706,6.46961,164.327,0.0052763,0.0609279,2.26609,1,-0.000255566,-0.000255566,0,1.12526,0.513623,0.0996954,0,0,0,5,0,,,,1
10,0.00613357,0.000560005,0.715895,7.28645,176.781,0.00612645,0.0739465,3.33603,1,-0.000331448,-0.000331448,0,1.12543,0.50686,0.0998464,0,0,0,5,0,,,,1
11,0.00668127,0.000547696,0.814079,8.24638,199.375,0.00720474,0.0958631,5.38534,1,-0.000419877,-0.000419877,0,1.12565,0.503789,0.0997571,0,0,0,5,0,,,,1
12,0.00721346,0.000532189,0.930571,9.43935,254.987,0.00889481,0.148208,10.2478,1,-0.000524532,-0.000524532,0,1.12594,0.503119,0.0996788,0,0,0,6,0,,,,1
13,0.00772312,0.000509662,1.06014,10.917,324.218,0.0114577,0.249695,18.6363,1,-0.000649352,-0.000649352,0,1.12633,0.498898,0.0996486,0,0,0,6,0,,,,1
14,0.00819892,0.000475801,1.20006,12.722,410.24,0.0125155,0.24295,14.0873,1,-0.000798969,-0.000798969,0,1.12686,0.49437,0.0997796,0,0,0,7,0,,,,1
15,0.00862524,0.00042632,1.35214,14.8485,515.461,0.0125414,0.201658,11.1229,1,-0.000974487,-0.000974487,0,1.12756,0.485849,0.0998404,0,0,0,8,0,,,,1
16,0.00890986,0.000365941,1.47793,16.5144,596.276,0.0128381,0.182714,9.3015,1,-0.00112371,-0.00112371,0,1.12822,0.456519,1e-20,0,0,1,9,0,,,,1
