step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
0,0,0.001,0,0,0,0,0,0
1,0.00084834,0.00084834,0,0,0,0,0,0
2,0.00168854,0.000840203,0,0,0,0,0,0
3,0.00252317,0.000834624,0,0,0,0,0,0
4,0.00335868,0.000835519,0,0,0,0,0,0
5,0.00419614,0.000837457,0,0,0,0,0,0
6,0.00502601,0.000829872,0,0,0,0,0,0
7,0.00584907,0.00082306,0,0,0,0,0,0
8,0.00666633,0.000817258,0,0,0,0,0,0
9,0.00747897,0.000812638,0,0,0,0,0,0
10,0.00828824,0.000809267,0,0,0,0,0,0
11,0.00909534,0.000807101,0,0,0,0,0,0
12,0.00990136,0.000806023,0,0,0,0,0,0
13,0.0107072,0.000805879,0,0,0,0,0,0
14,0.0115133,0.000806065,0,0,0,0,0,0
15,0.0123133,0.000799965,0,0,0,0,0,0
16,0.013108,0.000794706,0,0,0,0,0,0
17,0.0138984,0.000790379,0,0,0,0,0,0
18,0.0146854,0.000786998,0,0,0,0,0,0
19,0.0154699,0.000784525,0,0,0,0,0,0
20,0.0162528,0.00078289,0,0,0,0,0,0
21,0.0170348,0.000782012,0,0,0,0,0,0
22,0.0178166,0.000781801,0,0,0,0,0,0
23,0.0185988,0.000782175,0,0,0,0,0,0
24,0.019378,0.000779212,0,0,0,0,0,0
25,0.0201532,0.000775201,0,0,0,0,0,0
26,0.0209251,0.000771942,0,0,0,0,0,0
27,0.0216945,0.000769398,0,0,0,0,0,0
28,0.022462,0.000767521,0,0,0,0,0,0
29,0.0232283,0.000766256,0,0,0,0,0,0
30,0.0239938,0.000765548,0,0,0,0,0,0
31,0.0247592,0.000765341,0,0,0,0,0,0
32,0.0255248,0.000765585,0,0,0,0,0,0
33,0.0262895,0.000764722,0,0,0,0,0,0
34,0.0270511,0.00076159,0,0,0,0,0,0
35,0.0278101,0.000759034,0,0,0,0,0,0
36,0.0285671,0.000757019,0,0,0,0,0,0
37,0.0293226,0.000755506,0,0,0,0,0,0
38,0.0300771,0.000754457,0,0,0,0,0,0
39,0.0308309,0.000753833,0,0,0,0,0,0
40,0.0315845,0.000753598,0,0,0,0,0,0
41,0.0323382,0.000753718,0,0,0,0,0,0
42,0.0330924,0.000754161,0,0,0,0,0,0
43,0.0338443,0.000751916,0,0,0,0,0,0
44,0.0345941,0.000749825,0,0,0,0,0,0
45,0.0353423,0.000748152,0,0,0,0,0,0
46,0.0360892,0.000746868,0,0,0,0,0,0
47,0.0368351,0.000745945,0,0,0,0,0,0
48,0.0375805,0.000745356,0,0,0,0,0,0
49,0.0383255,0.000745076,0,0,0,0,0,0
50,0.0390706,0.00074508,0,0,0,0,0,0
51,0.039816,0.000745346,0,0,0,0,0,0
52,0.0405609,0.00074493,0,0,0,0,0,0
53,0.0413041,0.000743164,0,0,0,0,0,0
54,0.0420458,0.000741727,0,0,0,0,0,0
55,0.0427864,0.000740599,0,0,0,0,0,0
56,0.0435261,0.000739757,0,0,0,0,0,0
57,0.0442653,0.000739183,0,0,0,0,0,0
58,0.0450042,0.000738857,0,0,0,0,0,0
59,0.0457429,0.000738762,0,0,0,0,0,0
60,0.0464818,0.000738881,0,0,0,0,0,0
61,0.047221,0.0007392,0,0,0,0,0,0
62,0.0479593,0.000738293,0,0,0,0,0,0
63,0.0486963,0.000737033,0,0,0,0,0,0
64,0.0494324,0.000736021,0,0,0,0,0,0
65,0.0501676,0.000735241,0,0,0,0,0,0
66,0.0509023,0.000734677,0,0,0,0,0,0
67,0.0516366,0.000734316,0,0,0,0,0,0
68,0.0523707,0.000734143,0,0,0,0,0,0
69,0.0531049,0.000734147,0,0,0,0,0,0
70,0.0538392,0.000734317,0,0,0,0,0,0
71,0.0545739,0.000734641,0,0,0,0,0,0
72,0.0553074,0.000733583,0,0,0,0,0,0
73,0.0560401,0.000732666,0,0,0,0,0,0
74,0.056772,0.000731939,0,0,0,0,0,0
75,0.0575034,0.000731389,0,0,0,0,0,0
76,0.0582344,0.000731005,0,0,0,0,0,0
77,0.0589652,0.000730777,0,0,0,0,0,0
78,0.0596959,0.000730696,0,0,0,0,0,0
79,0.0604267,0.000730752,0,0,0,0,0,0
80,0.0611576,0.000730937,0,0,0,0,0,0
81,0.0618886,0.000731033,0,0,0,0,0,0
82,0.0626188,0.0007302,0,0,0,0,0,0
83,0.0633484,0.000729524,0,0,0,0,0,0
84,0.0640773,0.000728993,0,0,0,0,0,0
85,0.0648059,0.0007286,0,0,0,0,0,0
86,0.0655343,0.000728337,0,0,0,0,0,0
87,0.0662625,0.000728195,0,0,0,0,0,0
88,0.0669906,0.000728168,0,0,0,0,0,0
89,0.0677189,0.000728249,0,0,0,0,0,0
90,0.0684473,0.000728433,0,0,0,0,0,0
91,0.0691757,0.000728387,0,0,0,0,0,0
92,0.0699035,0.00072776,0,0,0,0,0,0
93,0.0706307,0.000727256,0,0,0,0,0,0
94,0.0713576,0.000726866,0,0,0,0,0,0
95,0.0720842,0.000726584,0,0,0,0,0,0
96,0.0728106,0.000726403,0,0,0,0,0,0
97,0.0735369,0.000726319,0,0,0,0,0,0
98,0.0742632,0.000726325,0,0,0,0,0,0
99,0.0749896,0.000726418,0,0,0,0,0,0
100,0.0757162,0.000726592,0,0,0,0,0,0
101,0.0764427,0.000726497,0,0,0,0,0,0
102,0.0771688,0.000726027,0,0,0,0,0,0
103,0.0778944,0.000725652,0,0,0,0,0,0
104,0.0786198,0.000725369,0,0,0,0,0,0
105,0.079345,0.000725172,0,0,0,0,0,0
106,0.08007,0.000725055,0,0,0,0,0,0
107,0.080795,0.000725016,0,0,0,0,0,0
108,0.0815201,0.000725051,0,0,0,0,0,0
109,0.0822452,0.000725155,0,0,0,0,0,0
110,0.0829706,0.000725326,0,0,0,0,0,0
111,0.0836958,0.000725293,0,0,0,0,0,0
112,0.0844208,0.000724956,0,0,0,0,0,0
113,0.0851455,0.000724697,0,0,0,0,0,0
114,0.08587,0.000724512,0,0,0,0,0,0
115,0.0865944,0.000724398,0,0,0,0,0,0
116,0.0873188,0.00072435,0,0,0,0,0,0
117,0.0880431,0.000724366,0,0,0,0,0,0
118,0.0887676,0.000724444,0,0,0,0,0,0
119,0.0894922,0.000724579,0,0,0,0,0,0
120,0.0902169,0.000724771,0,0,0,0,0,0
121,0.0909419,0.000725003,0,0,0,0,0,0
122,0.0916667,0.000724805,0,0,0,0,0,0
123,0.0923914,0.000724672,0,0,0,0,0,0
124,0.093116,0.000724601,0,0,0,0,0,0
125,0.0938406,0.000724589,0,0,0,0,0,0
126,0.0945652,0.000724633,0,0,0,0,0,0
127,0.09529,0.000724732,0,0,0,0,0,0
128,0.0960148,0.000724882,0,0,0,0,0,0
129,0.0967399,0.000725083,0,0,0,0,0,0
130,0.0974653,0.000725332,0,0,0,0,0,0
131,0.0981909,0.000725627,0,0,0,0,0,0
132,0.0989169,0.000725968,0,0,0,0,0,0
