step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
0,0,0.001,0,0,0,0,0,0,0.5625,0,0,0,1.33125,0.125,0.1,0,0,0
1,0.00084834,0.00084834,0,0,0,0,0,0,0.5625,0,0,0,1.33125,0.125,0.1,0,0,0
2,0.00168854,0.000840203,0,0,0,0,0,0,0.5625,4.23516e-22,-1.69407e-21,0,1.33125,0.124949,0.0999384,0,0,0
3,0.00252317,0.000834624,0,0,0,0,0,0,0.5625,8.47033e-22,-4.31987e-19,0,1.33125,0.124848,0.0997785,0,0,0
4,0.00335868,0.000835519,0,0,0,0,0,0,0.5625,8.47033e-22,0,0,1.33125,0.124739,0.0996757,0,0,0
5,0.00419614,0.000837457,0,0,0,0,0,0,0.5625,4.33681e-19,8.63974e-19,0,1.33125,0.124732,0.0995945,0,0,0
6,0.00502601,0.000829872,0,0,0,0,0,0,0.5625,5.0822e-21,8.63974e-19,0,1.33125,0.124576,0.0993816,0,0,0
7,0.00584907,0.00082306,0,0,0,0,0,0,0.5625,8.69056e-19,0,0,1.33125,0.124462,0.0992653,0,0,0
8,0.00666633,0.000817258,0,0,0,0,0,0,0.5625,1.69407e-21,6.77626e-21,0,1.33125,0.124455,0.0992217,0,0,0
9,0.00747897,0.000812638,0,0,0,0,0,0,0.5625,8.63974e-19,-1.73472e-18,0,1.33125,0.12432,0.0989902,0,0,0
10,0.00828824,0.000809267,0,0,0,0,0,0,0.5625,1.73642e-18,1.73472e-18,0,1.33125,0.124189,0.0988267,0,0,0
11,0.00909534,0.000807101,0,0,0,0,0,0,0.5625,1.73472e-18,1.7415e-18,0,1.33125,0.124128,0.0987922,0,0,0
12,0.00990136,0.000806023,0,0,0,0,0,0,0.5625,8.7075e-19,3.46945e-18,0,1.33125,0.124103,0.0986502,0,0,0
13,0.0107072,0.000805879,0,0,0,0,0,0,0.5625,1.73472e-18,3.46945e-18,0,1.33125,0.123953,0.098444,0,0,0
14,0.0115133,0.000806065,0,0,0,0,0,0,0.5625,0,6.77626e-21,0,1.33125,0.123847,0.0983132,0,0,0
15,0.0123133,0.000799965,0,0,0,0,0,0,0.5625,-1.7415e-18,3.44912e-18,0,1.33125,0.123806,0.0982963,0,0,0
16,0.013108,0.000794706,0,0,0,0,0,0,0.5625,1.7415e-18,1.35525e-20,0,1.33125,0.123764,0.0981372,0,0,0
17,0.0138984,0.000790379,0,0,0,0,0,0,0.5625,0,6.77626e-21,0,1.33125,0.12363,0.0979496,0,0,0
18,0.0146854,0.000786998,0,0,0,0,0,0,0.5625,3.46945e-18,-3.483e-18,0,1.33125,0.123533,0.097825,0,0,0
19,0.0154699,0.000784525,0,0,0,0,0,0,0.5625,1.74489e-18,-1.7415e-18,0,1.33125,0.123486,0.0977849,0,0,0
20,0.0162528,0.00078289,0,0,0,0,0,0,0.5625,-1.7415e-18,-6.77626e-21,0,1.33125,0.12347,0.0976863,0,0,0
21,0.0170348,0.000782012,0,0,0,0,0,0,0.5625,3.47284e-18,-3.45589e-18,0,1.33125,0.12334,0.0975019,0,0,0
22,0.0178166,0.000781801,0,0,0,0,0,0,0.5625,6.93551e-18,-3.483e-18,0,1.33125,0.12324,0.0973647,0,0,0
23,0.0185988,0.000782175,0,0,0,0,0,0,0.5625,3.46267e-18,-3.483e-18,0,1.33125,0.123176,0.0972887,0,0,0
24,0.019378,0.000779212,0,0,0,0,0,0,0.5625,5.19739e-18,-1.38778e-17,0,1.33125,0.123159,0.0972775,0,0,0
25,0.0201532,0.000775201,0,0,0,0,0,0,0.5625,3.46606e-18,-6.93212e-18,0,1.33125,0.123075,0.0970903,0,0,0
26,0.0209251,0.000771942,0,0,0,0,0,0,0.5625,3.483e-18,-6.77626e-21,0,1.33125,0.122968,0.096938,0,0,0
27,0.0216945,0.000769398,0,0,0,0,0,0,0.5625,1.01644e-20,-3.483e-18,0,1.33125,0.122887,0.0968286,0,0,0
28,0.022462,0.000767521,0,0,0,0,0,0,0.5625,-3.483e-18,3.38813e-20,0,1.33125,0.122838,0.0967712,0,0,0
29,0.0232283,0.000766256,0,0,0,0,0,0,0.5625,3.47622e-18,3.46267e-18,0,1.33125,0.122826,0.0967192,0,0,0
30,0.0239938,0.000765548,0,0,0,0,0,0,0.5625,1.7415e-18,1.04083e-17,0,1.33125,0.122722,0.0965518,0,0,0
31,0.0247592,0.000765341,0,0,0,0,0,0,0.5625,-1.73472e-18,-3.45589e-18,0,1.33125,0.122625,0.0964138,0,0,0
32,0.0255248,0.000765585,0,0,0,0,0,0,0.5625,0,6.92534e-18,0,1.33125,0.12255,0.0963112,0,0,0
33,0.0262895,0.000764722,0,0,0,0,0,0,0.5625,5.20756e-18,6.94567e-18,0,1.33125,0.122501,0.0962513,0,0,0
34,0.0270511,0.00076159,0,0,0,0,0,0,0.5625,1.04016e-17,0,0,1.33125,0.122483,0.0962008,0,0,0
35,0.0278101,0.000759034,0,0,0,0,0,0,0.5625,3.47284e-18,1.38507e-17,0,1.33125,0.122388,0.0960425,0,0,0
36,0.0285671,0.000757019,0,0,0,0,0,0,0.5625,6.95583e-18,2.03288e-20,0,1.33125,0.122295,0.0959086,0,0,0
37,0.0293226,0.000755506,0,0,0,0,0,0,0.5625,6.91857e-18,1.35525e-20,0,1.33125,0.122219,0.0958033,0,0,0
38,0.0300771,0.000754457,0,0,0,0,0,0,0.5625,-1.38778e-17,1.38981e-17,0,1.33125,0.122164,0.0957314,0,0,0
39,0.0308309,0.000753833,0,0,0,0,0,0,0.5625,1.04083e-17,1.38371e-17,0,1.33125,0.122134,0.095699,0,0,0
40,0.0315845,0.000753598,0,0,0,0,0,0,0.5625,3.46606e-18,-6.93212e-18,0,1.33125,0.122071,0.0955582,0,0,0
41,0.0323382,0.000753718,0,0,0,0,0,0,0.5625,1.69407e-20,-1.35525e-20,0,1.33125,0.121977,0.0954217,0,0,0
42,0.0330924,0.000754161,0,0,0,0,0,0,0.5625,6.93889e-18,-2.03288e-20,0,1.33125,0.121897,0.0953076,0,0,0
43,0.0338443,0.000751916,0,0,0,0,0,0,0.5625,-3.48978e-18,1.38642e-17,0,1.33125,0.121833,0.0952203,0,0,0
44,0.0345941,0.000749825,0,0,0,0,0,0,0.5625,1.73337e-17,2.07964e-17,0,1.33125,0.121789,0.095164,0,0,0
45,0.0353423,0.000748152,0,0,0,0,0,0,0.5625,6.93212e-18,-6.77626e-21,0,1.33125,0.121766,0.095093,0,0,0
46,0.0360892,0.000746868,0,0,0,0,0,0,0.5625,-3.46945e-18,1.35525e-20,0,1.33125,0.12167,0.0949528,0,0,0
47,0.0368351,0.000745945,0,0,0,0,0,0,0.5625,-6.93889e-18,1.35525e-20,0,1.33125,0.121585,0.0948305,0,0,0
48,0.0375805,0.000745356,0,0,0,0,0,0,0.5625,1.3871e-17,-2.07828e-17,0,1.33125,0.121514,0.0947288,0,0,0
49,0.0383255,0.000745076,0,0,0,0,0,0,0.5625,6.93889e-18,1.38778e-17,0,1.33125,0.121457,0.0946511,0,0,0
50,0.0390706,0.00074508,0,0,0,0,0,0,0.5625,3.38813e-21,-6.95245e-18,0,1.33125,0.121418,0.0946015,0,0,0
51,0.039816,0.000745346,0,0,0,0,0,0,0.5625,3.45589e-18,-2.03288e-20,0,1.33125,0.121377,0.0945064,0,0,0
52,0.0405609,0.00074493,0,0,0,0,0,0,0.5625,3.48978e-18,1.3871e-17,0,1.33125,0.121288,0.0943759,0,0,0
53,0.0413041,0.000743164,0,0,0,0,0,0,0.5625,-6.89824e-18,1.3932e-17,0,1.33125,0.121209,0.0942622,0,0,0
54,0.0420458,0.000741727,0,0,0,0,0,0,0.5625,-2.03288e-20,1.39252e-17,0,1.33125,0.121143,0.0941675,0,0,0
55,0.0427864,0.000740599,0,0,0,0,0,0,0.5625,-6.91857e-18,1.3932e-17,0,1.33125,0.12109,0.0940947,0,0,0
56,0.0435261,0.000739757,0,0,0,0,0,0,0.5625,-3.47961e-18,6.94567e-18,0,1.33125,0.121052,0.0940474,0,0,0
57,0.0442653,0.000739183,0,0,0,0,0,0,0.5625,-6.77626e-21,3.46538e-17,0,1.33125,0.121008,0.0939486,0,0,0
58,0.0450042,0.000738857,0,0,0,0,0,0,0.5625,6.89485e-18,6.92534e-18,0,1.33125,0.120924,0.0938261,0,0,0
59,0.0457429,0.000738762,0,0,0,0,0,0,0.5625,-6.93212e-18,-4.74338e-20,0,1.33125,0.12085,0.0937187,0,0,0
60,0.0464818,0.000738881,0,0,0,0,0,0,0.5625,-1.38676e-17,1.38575e-17,0,1.33125,0.120786,0.0936284,0,0,0
61,0.047221,0.0007392,0,0,0,0,0,0,0.5625,1.73438e-17,-2.71051e-20,0,1.33125,0.120736,0.0935579,0,0,0
62,0.0479593,0.000738293,0,0,0,0,0,0,0.5625,-6.93889e-18,0,0,1.33125,0.120699,0.0935105,0,0,0
63,0.0486963,0.000737033,0,0,0,0,0,0,0.5625,-6.92195e-18,-3.38813e-20,0,1.33125,0.120658,0.0934203,0,0,0
64,0.0494324,0.000736021,0,0,0,0,0,0,0.5625,-3.38813e-21,1.39794e-17,0,1.33125,0.120579,0.0933043,0,0,0
65,0.0501676,0.000735241,0,0,0,0,0,0,0.5625,-1.38913e-17,2.7803e-17,0,1.33125,0.120508,0.0932021,0,0,0
66,0.0509023,0.000734677,0,0,0,0,0,0,0.5625,6.95245e-18,-1.39184e-17,0,1.33125,0.120448,0.0931156,0,0,0
67,0.0516366,0.000734316,0,0,0,0,0,0,0.5625,-1.38541e-17,-1.39184e-17,0,1.33125,0.120399,0.093047,0,0,0
68,0.0523707,0.000734143,0,0,0,0,0,0,0.5625,0,-6.09864e-20,0,1.33125,0.120363,0.0929988,0,0,0
69,0.0531049,0.000734147,0,0,0,0,0,0,0.5625,-6.91518e-18,-3.38813e-20,0,1.33125,0.12033,0.0929248,0,0,0
70,0.0538392,0.000734317,0,0,0,0,0,0,0.5625,-6.90501e-18,-6.77626e-21,0,1.33125,0.120255,0.0928146,0,0,0
71,0.0545739,0.000734641,0,0,0,0,0,0,0.5625,-6.90501e-18,6.94567e-18,0,1.33125,0.120188,0.0927169,0,0,0
72,0.0553074,0.000733583,0,0,0,0,0,0,0.5625,-1.38304e-17,1.381e-17,0,1.33125,0.12013,0.0926334,0,0,0
73,0.0560401,0.000732666,0,0,0,0,0,0,0.5625,-6.93212e-18,6.09864e-20,0,1.33125,0.120082,0.092566,0,0,0
74,0.056772,0.000731939,0,0,0,0,0,0,0.5625,-4.74338e-20,1.38439e-17,0,1.33125,0.120046,0.0925169,0,0,0
75,0.0575034,0.000731389,0,0,0,0,0,0,0.5625,-6.96939e-18,6.77626e-21,0,1.33125,0.120022,0.0924597,0,0,0
76,0.0582344,0.000731005,0,0,0,0,0,0,0.5625,-2.08302e-17,1.38575e-17,0,1.33125,0.119951,0.0923548,0,0,0
77,0.0589652,0.000730777,0,0,0,0,0,0,0.5625,-1.39083e-17,2.03288e-20,0,1.33125,0.119887,0.092261,0,0,0
78,0.0596959,0.000730696,0,0,0,0,0,0,0.5625,1.69407e-20,-5.42101e-20,0,1.33125,0.119831,0.0921796,0,0,0
79,0.0604267,0.000730752,0,0,0,0,0,0,0.5625,1.39049e-17,-1.38168e-17,0,1.33125,0.119783,0.0921121,0,0,0
80,0.0611576,0.000730937,0,0,0,0,0,0,0.5625,6.94567e-18,-6.92534e-18,0,1.33125,0.119746,0.0920603,0,0,0
81,0.0618886,0.000731033,0,0,0,0,0,0,0.5625,-1.38981e-17,-1.38778e-17,0,1.33125,0.119721,0.0920109,0,0,0
82,0.0626188,0.0007302,0,0,0,0,0,0,0.5625,-2.08302e-17,1.39117e-17,0,1.33125,0.119655,0.0919073,0,0,0
83,0.0633484,0.000729524,0,0,0,0,0,0,0.5625,0,2.77624e-17,0,1.33125,0.119591,0.091813,0,0,0
84,0.0640773,0.000728993,0,0,0,0,0,0,0.5625,3.72694e-20,-5.42101e-20,0,1.33125,0.119534,0.0917289,0,0,0
85,0.0648059,0.0007286,0,0,0,0,0,0,0.5625,-1.69407e-20,-1.39252e-17,0,1.33125,0.119484,0.0916563,0,0,0
86,0.0655343,0.000728337,0,0,0,0,0,0,0.5625,-1.38642e-17,1.38575e-17,0,1.33125,0.119442,0.0915964,0,0,0
87,0.0662625,0.000728195,0,0,0,0,0,0,0.5625,-6.77626e-21,4.06576e-20,0,1.33125,0.119406,0.0915264,0,0,0
88,0.0669906,0.000728168,0,0,0,0,0,0,0.5625,-1.01644e-20,-1.39049e-17,0,1.33125,0.119331,0.091415,0,0,0
89,0.0677189,0.000728249,0,0,0,0,0,0,0.5625,1.39049e-17,3.38813e-20,0,1.33125,0.11926,0.0913102,0,0,0
90,0.0684473,0.000728433,0,0,0,0,0,0,0.5625,6.43745e-20,0,0,1.33125,0.119194,0.0912129,0,0,0
91,0.0691757,0.000728387,0,0,0,0,0,0,0.5625,-1.38947e-17,-2.77014e-17,0,1.33125,0.119134,0.091124,0,0,0
92,0.0699035,0.00072776,0,0,0,0,0,0,0.5625,-6.94228e-18,1.38575e-17,0,1.33125,0.11908,0.09104,0,0,0
93,0.0706307,0.000727256,0,0,0,0,0,0,0.5625,1.38371e-17,-4.16469e-17,0,1.33125,0.118995,0.0909032,0,0,0
94,0.0713576,0.000726866,0,0,0,0,0,0,0.5625,-1.38439e-17,-1.39523e-17,0,1.33125,0.118905,0.0907704,0,0,0
95,0.0720842,0.000726584,0,0,0,0,0,0,0.5625,2.07997e-17,-5.55518e-17,0,1.33125,0.118819,0.0906419,0,0,0
96,0.0728106,0.000726403,0,0,0,0,0,0,0.5625,-9.14796e-20,2.76878e-17,0,1.33125,0.118736,0.0905185,0,0,0
97,0.0735369,0.000726319,0,0,0,0,0,0,0.5625,1.38168e-17,-2.77556e-17,0,1.33125,0.118638,0.0903623,0,0,0
98,0.0742632,0.000726325,0,0,0,0,0,0,0.5625,1.38744e-17,1.35525e-20,0,1.33125,0.118525,0.0901939,0,0,0
99,0.0749896,0.000726418,0,0,0,0,0,0,0.5625,-1.38473e-17,-1.39049e-17,0,1.33125,0.118413,0.0900275,0,0,0
100,0.0757162,0.000726592,0,0,0,0,0,0,0.5625,1.38676e-17,-2.71051e-20,0,1.33125,0.118294,0.0898444,0,0,0
101,0.0764427,0.000726497,0,0,0,0,0,0,0.5625,1.01644e-20,0,0,1.33125,0.118157,0.0896422,0,0,0
102,0.0771688,0.000726027,0,0,0,0,0,0,0.5625,-1.01644e-20,5.54976e-17,0,1.33125,0.118015,0.0894279,0,0,0
103,0.0778944,0.000725652,0,0,0,0,0,0,0.5625,6.94906e-18,8.13152e-20,0,1.33125,0.117833,0.0891556,0,0,0
104,0.0786198,0.000725369,0,0,0,0,0,0,0.5625,1.37897e-17,-1.38236e-17,0,1.33125,0.117615,0.0888372,0,0,0
