step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.0198189,0.0700597,0.486104,7.60809e-05,0.00026775,0.00184213,1,1,0.5,0,2.6266,1,1,0,0,0,0,0,,,,1
1,0.000681806,0.000681806,0.0198067,0.0699704,0.485173,7.60355e-05,0.000267415,0.00183866,1,1,0.5,0,2.6266,0.999994,0.999769,0,0,0,2,0,,,,1
2,0.0013636,0.000681793,0.0197857,0.0698191,0.483607,7.59574e-05,0.000266847,0.00183282,1,1,0.5,0,2.6266,0.999987,0.999532,0,0,0,2,0,,,,1
3,0.00204536,0.000681762,0.0197567,0.0696117,0.481466,7.58494e-05,0.000266068,0.00182485,1,1,0.5,0,2.6266,0.999975,0.999289,0,0,0,2,0,,,,1
4,0.00272708,0.000681719,0.0197204,0.0693537,0.478805,7.57143e-05,0.000265099,0.00181495,1,1,0.5,0,2.6266,0.999959,0.99904,0,0,0,2,0,,,,1
5,0.00340875,0.000681671,0.0196777,0.0690504,0.475678,7.55548e-05,0.000263958,0.00180332,1,1,0.5,0,2.6266,0.99994,0.998784,0,0,0,2,0,,,,1
6,0.00409037,0.00068162,0.019629,0.0687063,0.472131,7.53732e-05,0.000262665,0.00179013,1,1,0.5,0,2.6266,0.999916,0.998523,0,0,0,2,0,,,,1
7,0.00477194,0.000681568,0.019575,0.0683261,0.46823,7.51718e-05,0.000261236,0.00177554,1,1,0.5,0,2.6266,0.999889,0.998256,0,0,0,2,0,,,,1
8,0.00545346,0.000681516,0.0195162,0.0679139,0.464043,7.49525e-05,0.000259686,0.00175972,1,1,0.5,0,2.6266,0.999857,0.997985,0,0,0,2,0,,,,1
9,0.00613492,0.000681464,0.0194532,0.0674734,0.459567,7.47173e-05,0.00025803,0.00174281,1,1,0.5,0,2.6266,0.999822,0.997709,0,0,0,2,0,,,,1
10,0.00681633,0.000681413,0.0193864,0.0670082,0.454837,7.44679e-05,0.000256281,0.00172494,1,1,0.5,0,2.6266,0.999784,0.997427,0,0,0,2,0,,,,1
