step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.0198189,0.0700597,0.486104,7.60809e-05,0.00026775,0.00184213,1,1,0.5,0,2.6266,1,1,0,0,0,0,0,,,,1
1,0.000681806,0.000681806,0.0198083,0.0699794,0.485259,7.60417e-05,0.000267448,0.00183895,1,1,0.5,0,2.6266,0.999998,0.999773,0,0,0,2,0,,,,1
2,0.0013636,0.000681792,0.019789,0.069837,0.483778,7.59697e-05,0.000266913,0.0018334,1,1,0.5,0,2.6266,0.999992,0.99954,0,0,0,2,0,,,,1
3,0.00204536,0.00068176,0.0197617,0.0696384,0.48172,7.58679e-05,0.000266166,0.00182571,1,1,0.5,0,2.6266,0.999982,0.9993,0,0,0,2,0,,,,1
4,0.00272707,0.000681717,0.0197271,0.0693892,0.47914,7.5739e-05,0.000265229,0.00181608,1,1,0.5,0,2.6266,0.999968,0.999054,0,0,0,2,0,,,,1
5,0.00340874,0.000681668,0.019686,0.0690944,0.476093,7.55856e-05,0.000264121,0.00180469,1,1,0.5,0,2.6266,0.99995,0.998801,0,0,0,2,0,,,,1
6,0.00409036,0.000681616,0.0196389,0.0687588,0.472625,7.541e-05,0.000262858,0.00179175,1,1,0.5,0,2.6266,0.999928,0.998542,0,0,0,2,0,,,,1
7,0.00477192,0.000681564,0.0195865,0.0683868,0.468783,7.52145e-05,0.00026146,0.00177741,1,1,0.5,0,2.6266,0.999902,0.998277,0,0,0,2,0,,,,1
8,0.00545343,0.000681511,0.0195294,0.0679826,0.464616,7.50012e-05,0.00025994,0.00176182,1,1,0.5,0,2.6266,0.999872,0.998007,0,0,0,2,0,,,,1
9,0.00613489,0.000681459,0.0194679,0.06755,0.460201,7.47718e-05,0.000258312,0.00174514,1,1,0.5,0,2.6266,0.999838,0.997731,0,0,0,2,0,,,,1
10,0.0068163,0.000681407,0.0194026,0.0670925,0.455529,7.45281e-05,0.000256592,0.00172748,1,1,0.5,0,2.6266,0.9998,0.997449,0,0,0,2,0,,,,1
11,0.00749766,0.000681356,0.0193339,0.0666133,0.450632,7.42717e-05,0.000254789,0.00170897,1,1,0.5,0,2.6266,0.999759,0.997164,0,0,0,2,0,,,,1
12,0.00817896,0.000681306,0.0192623,0.0661155,0.445543,7.40041e-05,0.000252917,0.00168974,1,1,0.5,0,2.6266,0.999714,0.996875,0,0,0,2,0,,,,1
13,0.00886022,0.000681258,0.019188,0.0656017,0.440291,7.37267e-05,0.000250984,0.0016699,1,1,0.5,0,2.6266,0.999664,0.996583,0,0,0,2,0,,,,1
14,0.00954143,0.000681211,0.0191114,0.0650746,0.434902,7.34406e-05,0.000249001,0.00164954,1,1,0.5,0,2.6266,0.999612,0.996288,0,0,0,2,0,,,,1
15,0.0102226,0.000681165,0.0190328,0.0645363,0.429395,7.3147e-05,0.000246975,0.00162874,1,1,0.5,0,2.6266,0.999555,0.995992,0,0,0,2,0,,,,1
16,0.0109037,0.000681121,0.0189525,0.0639891,0.42379,7.28471e-05,0.000244916,0.00160818,1,1,0.5,0,2.6266,0.999496,0.995691,0,0,0,2,0,,,,1
17,0.0115848,0.000681079,0.0188708,0.0634348,0.418106,7.25417e-05,0.00024283,0.00158738,1,1,0.5,0,2.6266,0.999433,0.995387,0,0,0,2,0,,,,1
18,0.0122658,0.000681038,0.0187879,0.0628752,0.412364,7.22317e-05,0.000240724,0.00156635,1,1,0.5,0,2.6266,0.999366,0.995083,0,0,0,2,0,,,,1
19,0.0129468,0.000680999,0.018704,0.0623118,0.406754,7.1918e-05,0.000238603,0.00154516,1,1,0.5,0,2.6266,0.999297,0.994778,0,0,0,2,0,,,,1
20,0.0136278,0.000680961,0.0186193,0.0617461,0.401131,7.16013e-05,0.000236474,0.00152387,1,1,0.5,0,2.6266,0.999224,0.994472,0,0,0,2,0,,,,1
21,0.0143087,0.000680925,0.018534,0.0611794,0.395499,7.12823e-05,0.00023434,0.00150256,1,1,0.5,0,2.6266,0.999148,0.994166,0,0,0,2,0,,,,1
22,0.0149896,0.00068089,0.0184483,0.0606127,0.389865,7.09617e-05,0.000232206,0.00148124,1,1,0.5,0,2.6266,0.99907,0.993861,0,0,0,2,0,,,,1
23,0.0156705,0.000680858,0.0183623,0.0600472,0.384236,7.06399e-05,0.000230076,0.00145994,1,1,0.5,0,2.6266,0.998988,0.993556,0,0,0,2,0,,,,1
24,0.0163513,0.000680827,0.0182762,0.0594837,0.378619,7.03176e-05,0.000227954,0.00143869,1,1,0.5,0,2.6266,0.998904,0.99325,0,0,0,2,0,,,,1
25,0.0170321,0.000680798,0.0181901,0.0589231,0.373017,6.99952e-05,0.000225842,0.00141753,1,1,0.5,0,2.6266,0.998817,0.992946,0,0,0,2,0,,,,1
26,0.0177129,0.000680771,0.018104,0.0583661,0.367434,6.9673e-05,0.000223743,0.00139715,1,1,0.5,0,2.6266,0.998727,0.992643,0,0,0,2,0,,,,1
27,0.0183936,0.000680745,0.0180182,0.0578134,0.361883,6.93516e-05,0.00022166,0.00137691,1,1,0.5,0,2.6266,0.998634,0.992341,0,0,0,2,0,,,,1
28,0.0190743,0.000680722,0.0179327,0.0572654,0.356576,6.90312e-05,0.000219595,0.00135684,1,1,0.5,0,2.6266,0.998539,0.992042,0,0,0,2,0,,,,1
29,0.019755,0.0006807,0.0178475,0.0567227,0.351332,6.87121e-05,0.000217549,0.00133697,1,1,0.5,0,2.6266,0.998442,0.991744,0,0,0,2,0,,,,1
30,0.0204357,0.000680679,0.0177628,0.0561857,0.346143,6.83947e-05,0.000215524,0.00131753,1,1,0.5,0,2.6266,0.998343,0.991448,0,0,0,2,0,,,,1
31,0.0211164,0.000680661,0.0176787,0.0556547,0.341012,6.80791e-05,0.000213522,0.00129841,1,1,0.5,0,2.6266,0.998242,0.991154,0,0,0,2,0,,,,1
32,0.021797,0.000680644,0.017595,0.0551301,0.335965,6.77656e-05,0.000211543,0.0012795,1,1,0.5,0,2.6266,0.998139,0.990863,0,0,0,2,0,,,,1
33,0.0224776,0.000680628,0.0175121,0.054612,0.331041,6.74544e-05,0.000209589,0.00126083,1,1,0.5,0,2.6266,0.998035,0.990575,0,0,0,2,0,,,,1
34,0.0231583,0.000680614,0.0174298,0.0541008,0.326182,6.71456e-05,0.00020766,0.00124241,1,1,0.5,0,2.6266,0.997928,0.990289,0,0,0,2,0,,,,1
35,0.0238389,0.000680602,0.0173482,0.0535966,0.321389,6.68394e-05,0.000205756,0.00122465,1,1,0.5,0,2.6266,0.99782,0.990006,0,0,0,2,0,,,,1
36,0.0245194,0.00068059,0.0172673,0.0530994,0.316662,6.6536e-05,0.00020388,0.00120734,1,1,0.5,0,2.6266,0.99771,0.989727,0,0,0,2,0,,,,1
37,0.0252,0.000680581,0.0171872,0.0526094,0.312118,6.62354e-05,0.00020203,0.00119026,1,1,0.5,0,2.6266,0.997598,0.98945,0,0,0,2,0,,,,1
38,0.0258806,0.000680572,0.017108,0.0521267,0.307689,6.59377e-05,0.000200207,0.00117344,1,1,0.5,0,2.6266,0.997485,0.989177,0,0,0,2,0,,,,1
39,0.0265612,0.000680565,0.0170295,0.0516513,0.303328,6.5643e-05,0.000198411,0.00115688,1,1,0.5,0,2.6266,0.997371,0.988908,0,0,0,2,0,,,,1
40,0.0272417,0.000680558,0.0169519,0.0511832,0.299033,6.53513e-05,0.000196643,0.00114057,1,1,0.5,0,2.6266,0.997255,0.988642,0,0,0,2,0,,,,1
41,0.0279223,0.000680553,0.0168751,0.0507224,0.294806,6.50628e-05,0.000194902,0.00112452,1,1,0.5,0,2.6266,0.997138,0.98838,0,0,0,2,0,,,,1
