step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.0198271,0.0700516,0.492007,0.000152225,0.000535426,0.00372446,1,1,0.5,0,2.6266,1,1,0,0,0,0,0,,,,1
1,0.00136361,0.00136361,2.73235e-09,3.31344e-09,2.14111e-08,2.13038e-11,2.58281e-11,1.67151e-10,1,1,0.5,0,2.62658,0.999991,0.999537,0,0,0,1,2290,9.97733e-13,2.14111e-08,2.14111e-08,1
2,0.00272734,0.00136373,3.64852e-09,4.28479e-09,2.66082e-08,2.84685e-11,3.34384e-11,2.0777e-10,1,1,0.5,0,2.62658,0.999967,0.999518,0,0,0,1,451,9.88895e-13,2.66082e-08,2.66082e-08,1
3,0.00409107,0.00136374,3.77157e-09,4.43066e-09,2.63005e-08,2.94298e-11,3.45793e-11,2.05367e-10,1,1,0.5,0,2.62658,0.999934,0.999473,0,0,0,1,449,9.93271e-13,2.63005e-08,2.63005e-08,1
4,0.00545482,0.00136375,3.79052e-09,4.45326e-09,2.54433e-08,2.95774e-11,3.47554e-11,1.98673e-10,1,1,0.5,0,2.62658,0.999886,0.999406,0,0,0,1,449,9.97931e-13,2.54433e-08,2.54433e-08,1
5,0.00681858,0.00136376,3.76113e-09,4.41838e-09,2.42105e-08,2.93477e-11,3.44827e-11,1.89046e-10,1,1,0.5,0,2.62658,0.99982,0.999321,0,0,0,1,450,9.89845e-13,2.42105e-08,2.42105e-08,1
6,0.00818235,0.00136377,3.7863e-09,4.44772e-09,2.32958e-08,2.95438e-11,3.47112e-11,1.81903e-10,1,1,0.5,0,2.62658,0.999738,0.999216,0,0,0,1,450,9.96367e-13,2.32958e-08,2.32958e-08,1
7,0.00954613,0.00136378,3.76359e-09,4.42092e-09,2.2074e-08,2.93662e-11,3.45014e-11,1.72362e-10,1,1,0.5,0,2.62658,0.99964,0.999096,0,0,0,1,451,9.90468e-13,2.20741e-08,2.20741e-08,1
8,0.0109099,0.00136379,3.79554e-09,4.45846e-09,2.17405e-08,2.9615e-11,3.47938e-11,1.69797e-10,1,1,0.5,0,2.62658,0.999527,0.998956,0,0,0,1,451,9.98614e-13,2.17406e-08,2.17406e-08,1
9,0.0122737,0.0013638,3.77893e-09,4.43849e-09,2.16285e-08,2.94849e-11,3.46374e-11,1.68917e-10,1,1,0.5,0,2.62658,0.999389,0.998795,0,0,0,1,452,9.93968e-13,2.16285e-08,2.16285e-08,1
10,0.0136375,0.00136381,3.76437e-09,4.42128e-09,2.15319e-08,2.93709e-11,3.45024e-11,1.68164e-10,1,1,0.5,0,2.62658,0.999234,0.998609,0,0,0,1,453,9.90299e-13,2.15319e-08,2.15319e-08,1
11,0.0150013,0.0013638,3.75243e-09,4.40718e-09,2.14546e-08,2.92772e-11,3.43916e-11,1.67554e-10,1,1,0.5,0,2.62658,0.999065,0.998371,0,0,0,1,454,9.8733e-13,2.14546e-08,2.14546e-08,1
12,0.0163651,0.00136379,3.79477e-09,4.45661e-09,2.16836e-08,2.96071e-11,3.47767e-11,1.69338e-10,1,1,0.5,0,2.62658,0.998882,0.998116,0,0,0,1,454,9.98179e-13,2.16836e-08,2.16836e-08,1
13,0.0177289,0.00136378,3.78731e-09,4.4476e-09,2.16253e-08,2.95484e-11,3.47057e-11,1.68884e-10,1,1,0.5,0,2.62658,0.998687,0.997839,0,0,0,1,455,9.9625e-13,2.16253e-08,2.16253e-08,1
14,0.0190927,0.00136376,3.78135e-09,4.44057e-09,2.15826e-08,2.95014e-11,3.46501e-11,1.68546e-10,1,1,0.5,0,2.62658,0.99848,0.997548,0,0,0,1,456,9.9499e-13,2.15826e-08,2.15826e-08,1
15,0.0204564,0.00136373,3.77758e-09,4.43581e-09,2.15463e-08,2.94715e-11,3.46123e-11,1.68257e-10,1,1,0.5,0,2.62658,0.998262,0.997199,0,0,0,1,457,9.9383e-13,2.15463e-08,2.15463e-08,1
16,0.0218201,0.0013637,3.77538e-09,4.43307e-09,2.15206e-08,2.94538e-11,3.45902e-11,1.68057e-10,1,1,0.5,0,2.62658,0.998033,0.996822,0,0,0,1,458,9.9336e-13,2.15206e-08,2.15206e-08,1
