step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.0198271,0.0700516,0.492007,0.000152225,0.000535426,0.00372446,1,1,0.5,0,2.6266,1,1,0,0,0,0,0,,,,1
1,0.00136361,0.00136361,0.019767,0.0696246,0.48798,0.000151778,0.000532219,0.00369078,1,1,0.5,0,2.6266,0.999991,0.999939,0,0,0,2,0,,,,1
2,0.00272722,0.0013636,0.0196793,0.0689795,0.481472,0.000151125,0.000527372,0.00364412,1,1,0.5,0,2.6266,0.999961,0.999875,0,0,0,2,0,,,,1
3,0.00409081,0.00136359,0.0195637,0.0681613,0.472893,0.000150263,0.000521221,0.00358173,1,1,0.5,0,2.6266,0.999906,0.9998,0,0,0,2,0,,,,1
4,0.00545441,0.0013636,0.0194291,0.0672086,0.462734,0.000149259,0.000514056,0.00350726,1,1,0.5,0,2.62659,0.999836,0.999717,0,0,0,2,0,,,,1
5,0.00681802,0.00136361,0.0192785,0.066154,0.451413,0.000148135,0.000506124,0.00342385,1,1,0.5,0,2.62659,0.999752,0.999625,0,0,0,2,0,,,,1
6,0.00818164,0.00136361,0.0191148,0.0650253,0.439287,0.000146912,0.000497631,0.00333419,1,1,0.5,0,2.62659,0.999654,0.999523,0,0,0,2,0,,,,1
7,0.00954525,0.00136361,0.0189435,0.0638455,0.427224,0.000145632,0.000488752,0.00324049,1,1,0.5,0,2.62659,0.999542,0.999412,0,0,0,2,0,,,,1
8,0.0109089,0.00136361,0.0187635,0.0626338,0.415045,0.000144287,0.00047963,0.00314658,1,1,0.5,0,2.62659,0.999416,0.99929,0,0,0,2,0,,,,1
9,0.0122725,0.00136361,0.0185816,0.0614059,0.402654,0.000142926,0.000470383,0.00305484,1,1,0.5,0,2.62659,0.999276,0.999148,0,0,0,2,0,,,,1
