step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.0198271,0.0700516,0.492007,0.000152225,0.000535426,0.00372446,1,1,0.5,0,2.6266,1,1,0,0,0,0,0,,,,1
1,0.00136361,0.00136361,0.0197846,0.0697289,0.488482,0.000151909,0.000533001,0.00369792,1,1,0.5,0,2.6266,0.999991,0.999539,0,0,0,2,0,,,,1
2,0.00272712,0.00136351,0.0197044,0.0691421,0.482242,0.000151311,0.000528587,0.00365089,1,1,0.5,0,2.6266,0.999965,0.99905,0,0,0,2,0,,,,1
3,0.00409044,0.00136331,0.0195871,0.0683005,0.473372,0.000150436,0.000522256,0.00358402,1,1,0.5,0,2.6266,0.999924,0.998528,0,0,0,2,0,,,,1
4,0.00545353,0.0013631,0.0194338,0.0672162,0.461981,0.000149291,0.000514095,0.0034996,1,1,0.5,0,2.6266,0.999869,0.997975,0,0,0,2,0,,,,1
5,0.0068164,0.00136287,0.0192457,0.0659038,0.448311,0.000147886,0.000504216,0.00339926,1,1,0.5,0,2.6266,0.999799,0.997397,0,0,0,2,0,,,,1
6,0.00817905,0.00136265,0.0190242,0.0643806,0.432843,0.00014623,0.000492746,0.00328477,1,1,0.5,0,2.6266,0.999714,0.996799,0,0,0,2,0,,,,1
7,0.00954148,0.00136243,0.0187708,0.0626657,0.415622,0.000144334,0.000479828,0.00315625,1,1,0.5,0,2.6266,0.999614,0.99617,0,0,0,2,0,,,,1
8,0.0109037,0.00136222,0.0184872,0.0607808,0.396826,0.00014221,0.000465623,0.00301383,1,1,0.5,0,2.6266,0.999499,0.99552,0,0,0,2,0,,,,1
9,0.0122657,0.00136202,0.018175,0.0587491,0.376369,0.000139869,0.000450306,0.00285882,1,1,0.5,0,2.6266,0.999372,0.99486,0,0,0,2,0,,,,1
10,0.0136276,0.00136183,0.0178363,0.0565961,0.354405,0.000137328,0.000434068,0.00269238,1,1,0.5,0,2.6266,0.999234,0.994196,0,0,0,2,0,,,,1
11,0.0149892,0.00136164,0.0174731,0.0543488,0.332171,0.0001346,0.00041711,0.00252924,1,1,0.5,0,2.6266,0.999086,0.993532,0,0,0,2,0,,,,1
12,0.0163507,0.00136147,0.0170874,0.0520358,0.30963,0.0001317,0.000399648,0.00235777,1,1,0.5,0,2.6266,0.998929,0.992875,0,0,0,2,0,,,,1
13,0.017712,0.00136131,0.0166811,0.0496875,0.286713,0.000128642,0.000381912,0.00218726,1,1,0.5,0,2.6266,0.998765,0.992197,0,0,0,2,0,,,,1
14,0.0190731,0.00136116,0.0162567,0.047336,0.265534,0.000125444,0.000364142,0.00202843,1,1,0.5,0,2.6266,0.998596,0.991538,0,0,0,2,0,,,,1
15,0.0204342,0.00136102,0.0158162,0.0450144,0.244936,0.000122121,0.000346589,0.00187421,1,1,0.5,0,2.6266,0.998423,0.990901,0,0,0,2,0,,,,1
16,0.021795,0.00136089,0.015362,0.0427576,0.226151,0.00011869,0.000329515,0.00173314,1,1,0.5,0,2.6266,0.998246,0.990287,0,0,0,2,0,,,,1
17,0.0231558,0.00136077,0.0148964,0.0406012,0.209968,0.000115169,0.000313191,0.0016105,1,1,0.5,0,2.6266,0.998069,0.9897,0,0,0,2,0,,,,1
18,0.0245165,0.00136065,0.0144215,0.0385814,0.195778,0.000111574,0.000297889,0.00150514,1,1,0.5,0,2.6266,0.997892,0.989146,0,0,0,2,0,,,,1
19,0.025877,0.00136053,0.0139411,0.0367336,0.184121,0.000107932,0.000283879,0.00141701,1,1,0.5,0,2.6266,0.997716,0.988623,0,0,0,2,0,,,,1
20,0.0272374,0.00136041,0.0134692,0.0350918,0.174268,0.000104349,0.000271418,0.0013425,1,1,0.5,0,2.6266,0.997542,0.988098,0,0,0,2,0,,,,1
21,0.0285977,0.0013603,0.0130421,0.0336858,0.165986,0.000101103,0.000260732,0.00127949,1,1,0.5,0,2.6266,0.997366,0.987616,0,0,0,2,0,,,,1
22,0.0299579,0.00136021,0.0127524,0.0325396,0.158722,9.88995e-05,0.000252004,0.0012245,1,1,0.5,0,2.6266,0.997189,0.987179,0,0,0,2,0,,,,1
23,0.0313181,0.00136014,0.012623,0.0316685,0.15292,9.7917e-05,0.000245355,0.00118043,1,1,0.5,0,2.6266,0.99702,0.986789,0,0,0,2,0,,,,1
24,0.0326781,0.00136001,0.0126248,0.0310776,0.147846,9.7939e-05,0.000240825,0.00114206,1,1,0.5,0,2.6266,0.996857,0.98645,0,0,0,2,0,,,,1
25,0.034038,0.00135991,0.0127352,0.0307605,0.143625,9.87935e-05,0.000238372,0.00110933,1,1,0.5,0,2.6266,0.996699,0.986165,0,0,0,2,0,,,,1
26,0.0353978,0.0013598,0.012928,0.0306996,0.139802,0.000100283,0.000237869,0.00108088,1,1,0.5,0,2.6266,0.996545,0.985858,0,0,0,2,0,,,,1
27,0.0367575,0.00135967,0.0131878,0.0308683,0.136517,0.000102289,0.00023912,0.00105558,1,1,0.5,0,2.6266,0.99639,0.985608,0,0,0,2,0,,,,1
28,0.038117,0.00135954,0.0135,0.0312338,0.134571,0.000104701,0.000241879,0.0010337,1,1,0.5,0,2.6266,0.996199,0.985411,0,0,0,2,0,,,,1
29,0.0394764,0.00135942,0.0138481,0.0317599,0.148332,0.000107393,0.000245877,0.00113419,1,1,0.5,0,2.6266,0.995981,0.985258,0,0,0,2,0,,,,1
30,0.0408357,0.00135928,0.0142265,0.0324101,0.160245,0.000110321,0.000250839,0.00122622,1,1,0.5,0,2.6266,0.995741,0.985164,0,0,0,2,0,,,,1
31,0.0421948,0.00135914,0.0146252,0.0331499,0.171786,0.000113408,0.000256502,0.00131473,1,1,0.5,0,2.6266,0.995446,0.985048,0,0,0,2,0,,,,1
32,0.0435539,0.00135902,0.0150343,0.0339482,0.182503,0.000116578,0.000262628,0.00139771,1,1,0.5,0,2.6266,0.995113,0.984971,0,0,0,2,0,,,,1
33,0.0449128,0.00135892,0.015454,0.0347776,0.191438,0.000119833,0.00026901,0.00146715,1,1,0.5,0,2.6266,0.994742,0.984953,0,0,0,2,0,,,,1
34,0.0462716,0.00135879,0.0158737,0.0356154,0.198998,0.000123091,0.000275469,0.00152615,1,1,0.5,0,2.6266,0.994362,0.984966,0,0,0,2,0,,,,1
35,0.0476302,0.00135865,0.0162961,0.0364425,0.206348,0.000126371,0.000281861,0.00158364,1,1,0.5,0,2.6266,0.993969,0.984952,0,0,0,2,0,,,,1
36,0.0489887,0.00135852,0.0167101,0.0372441,0.211926,0.000129589,0.000288068,0.00162753,1,1,0.5,0,2.6266,0.993537,0.984994,0,0,0,2,0,,,,1
37,0.0503471,0.00135837,0.0171217,0.0380084,0.215936,0.000132791,0.000293998,0.00165874,1,1,0.5,0,2.6266,0.993098,0.98508,0,0,0,2,0,,,,1
38,0.0517053,0.00135823,0.0175218,0.0387267,0.219744,0.000135905,0.000299584,0.00168832,1,1,0.5,0,2.6266,0.992652,0.98512,0,0,0,2,0,,,,1
39,0.0530634,0.00135811,0.0179138,0.0393929,0.222491,0.000138959,0.000304774,0.00171038,1,1,0.5,0,2.6266,0.992203,0.985214,0,0,0,2,0,,,,1
40,0.0544214,0.00135796,0.0182944,0.0400028,0.223897,0.000141926,0.000309537,0.00172226,1,1,0.5,0,2.6266,0.99175,0.985335,0,0,0,2,0,,,,1
41,0.0557792,0.00135784,0.0186612,0.0405541,0.224497,0.000144787,0.000313853,0.00172648,1,1,0.5,0,2.6266,0.991297,0.985419,0,0,0,2,0,,,,1
42,0.057137,0.00135771,0.019019,0.0410459,0.224644,0.00014758,0.000317713,0.00172839,1,1,0.5,0,2.6266,0.990844,0.985553,0,0,0,2,0,,,,1
43,0.0584945,0.00135758,0.0193594,0.0414787,0.223768,0.000150238,0.000321119,0.00172269,1,1,0.5,0,2.6266,0.990389,0.985681,0,0,0,2,0,,,,1
44,0.059852,0.00135747,0.0196909,0.0418536,0.22272,0.000152829,0.000324081,0.00171435,1,1,0.5,0,2.6266,0.989929,0.985799,0,0,0,2,0,,,,1
