step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.0198271,0.0700516,0.492007,0.000152225,0.000535426,0.00372446,1,1,0.5,0,2.6266,1,1,0,0,0,0,0,,,,1
1,0.00136361,0.00136361,0.0197855,0.0697347,0.488542,0.000151916,0.000533044,0.00369836,1,1,0.5,0,2.6266,0.999991,0.99994,0,0,0,2,0,,,,1
2,0.00272721,0.0013636,0.0197122,0.0691968,0.482801,0.00015137,0.000529,0.00365511,1,1,0.5,0,2.6266,0.999963,0.999877,0,0,0,2,0,,,,1
3,0.00409081,0.00136359,0.0196132,0.0684816,0.475229,0.000150632,0.000523621,0.00359805,1,1,0.5,0,2.6266,0.99991,0.999802,0,0,0,2,0,,,,1
4,0.0054544,0.00136359,0.0194934,0.0676267,0.46621,0.000149738,0.00051719,0.00353068,1,1,0.5,0,2.6266,0.999837,0.999717,0,0,0,2,0,,,,1
5,0.006818,0.0013636,0.019357,0.0666641,0.456079,0.00014872,0.000509949,0.00345717,1,1,0.5,0,2.62659,0.999746,0.999623,0,0,0,2,0,,,,1
6,0.00818161,0.00136361,0.0192078,0.0656213,0.445385,0.000147606,0.000502102,0.00337737,1,1,0.5,0,2.62659,0.999638,0.999517,0,0,0,2,0,,,,1
7,0.00954523,0.00136361,0.0190488,0.064521,0.43422,0.000146418,0.000493821,0.00329451,1,1,0.5,0,2.62659,0.999513,0.999399,0,0,0,2,0,,,,1
8,0.0109088,0.00136361,0.0188824,0.0633823,0.422645,0.000145175,0.000485249,0.00320953,1,1,0.5,0,2.62659,0.999372,0.99927,0,0,0,2,0,,,,1
9,0.0122725,0.00136361,0.0187109,0.062221,0.41111,0.000143893,0.000476506,0.00312269,1,1,0.5,0,2.62659,0.999214,0.999123,0,0,0,2,0,,,,1
10,0.0136361,0.00136361,0.0185361,0.0610501,0.399506,0.000142585,0.000467687,0.00303494,1,1,0.5,0,2.62659,0.99904,0.998959,0,0,0,2,0,,,,1
11,0.0149997,0.00136361,0.0183594,0.0598798,0.387881,0.000141263,0.00045887,0.00294705,1,1,0.5,0,2.62659,0.998851,0.998779,0,0,0,2,0,,,,1
12,0.0163633,0.00136361,0.0181823,0.0587185,0.376326,0.000139937,0.000450119,0.0028597,1,1,0.5,0,2.62659,0.998648,0.998574,0,0,0,2,0,,,,1
13,0.0177269,0.00136361,0.0180055,0.0575727,0.364913,0.000138613,0.000441481,0.00277345,1,1,0.5,0,2.62659,0.998432,0.998348,0,0,0,2,0,,,,1
14,0.0190905,0.00136361,0.0178299,0.0564474,0.353697,0.000137296,0.000432996,0.00268869,1,1,0.5,0,2.62659,0.998204,0.998094,0,0,0,2,0,,,,1
15,0.0204541,0.00136361,0.0176561,0.0553464,0.342724,0.000135994,0.00042469,0.0026077,1,1,0.5,0,2.62659,0.997965,0.997819,0,0,0,2,0,,,,1
16,0.0218178,0.00136361,0.0174848,0.0542724,0.332282,0.000134708,0.000416585,0.0025321,1,1,0.5,0,2.62659,0.997716,0.997515,0,0,0,2,0,,,,1
17,0.0231813,0.00136357,0.0173162,0.0532273,0.322553,0.000133443,0.000408694,0.00245833,1,1,0.5,0,2.62659,0.997458,0.997185,0,0,0,2,0,,,,1
18,0.0245449,0.00136353,0.0171508,0.0522123,0.313084,0.000132201,0.000401028,0.00238655,1,1,0.5,0,2.62659,0.997181,0.996827,0,0,0,2,0,,,,1
19,0.0259083,0.00136349,0.0169886,0.0512279,0.303909,0.000130983,0.00039359,0.002317,1,1,0.5,0,2.62659,0.996889,0.99645,0,0,0,2,0,,,,1
20,0.0272718,0.00136344,0.01683,0.0502744,0.295044,0.00012979,0.000386382,0.00224981,1,1,0.5,0,2.62659,0.99659,0.99605,0,0,0,2,0,,,,1
21,0.0286352,0.0013634,0.016675,0.0493517,0.286487,0.000128625,0.000379404,0.00218496,1,0.999999,0.5,0,2.62659,0.996286,0.995627,0,0,0,2,0,,,,1
22,0.0299985,0.00136335,0.0165238,0.0484592,0.278233,0.000127487,0.000372652,0.00212242,1,0.999999,0.5,0,2.62659,0.995977,0.99519,0,0,0,2,0,,,,1
23,0.0313618,0.0013633,0.0163763,0.0475963,0.270276,0.000126377,0.000366121,0.00206496,1,0.999999,0.5,0,2.62659,0.995663,0.994739,0,0,0,2,0,,,,1
24,0.0327251,0.00136324,0.0162325,0.0467624,0.263,0.000125294,0.000359806,0.0020104,1,0.999999,0.5,0,2.62659,0.995346,0.994272,0,0,0,2,0,,,,1
25,0.0340883,0.00136319,0.0160924,0.0459565,0.256066,0.000124238,0.000353701,0.0019577,1,0.999999,0.5,0,2.62659,0.995026,0.993797,0,0,0,2,0,,,,1
26,0.0354514,0.00136314,0.0159559,0.0451776,0.249374,0.000123209,0.000347798,0.00190685,1,0.999999,0.5,0,2.62659,0.994704,0.993316,0,0,0,2,0,,,,1
27,0.0368145,0.00136308,0.0158228,0.0444248,0.242915,0.000122206,0.000342091,0.00185777,1,0.999999,0.5,0,2.62659,0.994383,0.99283,0,0,0,2,0,,,,1
28,0.0381775,0.00136302,0.0156931,0.043697,0.236683,0.000121227,0.000336571,0.00181061,1,0.999999,0.5,0,2.62659,0.994062,0.992343,0,0,0,2,0,,,,1
29,0.0395405,0.00136296,0.0155665,0.0429933,0.230672,0.000120272,0.000331231,0.00176608,1,0.999999,0.5,0,2.62659,0.993735,0.991855,0,0,0,2,0,,,,1
30,0.0409034,0.0013629,0.0154431,0.0423127,0.224992,0.00011934,0.000326065,0.00172312,1,0.999999,0.5,0,2.62659,0.993409,0.991369,0,0,0,2,0,,,,1
31,0.0422662,0.00136284,0.0153229,0.0416541,0.219544,0.000118432,0.000321064,0.00168166,1,0.999999,0.5,0,2.62659,0.993085,0.990884,0,0,0,2,0,,,,1
32,0.043629,0.00136278,0.0152057,0.0410167,0.21429,0.000117546,0.000316221,0.00164207,1,0.999999,0.5,0,2.62659,0.992765,0.990406,0,0,0,2,0,,,,1
33,0.0449917,0.00136272,0.0150915,0.0403994,0.209351,0.000116683,0.00031153,0.00160493,1,0.999999,0.5,0,2.62659,0.992449,0.989934,0,0,0,2,0,,,,1
34,0.0463544,0.00136266,0.0149801,0.0398014,0.204636,0.00011584,0.000306984,0.00156916,1,0.999999,0.5,0,2.62659,0.992138,0.989471,0,0,0,2,0,,,,1
35,0.0477169,0.00136259,0.0148712,0.0392219,0.200075,0.000115017,0.000302577,0.00153506,1,0.999999,0.5,0,2.62659,0.991833,0.989016,0,0,0,2,0,,,,1
36,0.0490795,0.00136253,0.0147649,0.0386601,0.195695,0.000114212,0.000298303,0.00150202,1,0.999999,0.5,0,2.62659,0.991536,0.98857,0,0,0,2,0,,,,1
37,0.0504419,0.00136247,0.0146611,0.0381151,0.191499,0.000113426,0.000294156,0.00147001,1,0.999999,0.5,0,2.62659,0.991249,0.988135,0,0,0,2,0,,,,1
38,0.0518043,0.0013624,0.0145595,0.0375862,0.187439,0.000112657,0.00029013,0.00143904,1,0.999999,0.5,0,2.62659,0.990974,0.98771,0,0,0,2,0,,,,1
