step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
0,0,0.001,0.0198271,0.0700516,0.492007,0.000152225,0.000535426,0.00372446,1,1,0.5,0,2.6266,1,1,0,0,0
1,0.00136361,0.00136361,0.0197875,0.0697605,0.488851,0.000151932,0.000533244,0.00370079,1,1,0.5,0,2.6266,0.999977,0.999528,0,0,0
2,0.00272714,0.00136352,0.0197162,0.0692469,0.48341,0.000151401,0.000529389,0.00365986,1,1,0.5,0,2.6266,0.999947,0.999031,0,0,0
3,0.00409047,0.00136334,0.0196188,0.0685543,0.476123,0.000150675,0.000524186,0.00360502,1,1,0.5,0,2.6266,0.999902,0.998513,0,0,0
4,0.00545361,0.00136313,0.0195004,0.0677199,0.46737,0.000149793,0.000517916,0.00353913,1,1,0.5,0,2.6266,0.999842,0.997974,0,0,0
5,0.00681653,0.00136292,0.0193653,0.0667758,0.457479,0.000148784,0.000510819,0.00346616,1,1,0.5,0,2.6266,0.999766,0.997413,0,0,0
6,0.00817925,0.00136272,0.019217,0.0657494,0.446726,0.000147678,0.000503101,0.00338845,1,1,0.5,0,2.6266,0.999678,0.996839,0,0,0
7,0.00954177,0.00136252,0.0190586,0.0646636,0.435707,0.000146495,0.000494933,0.00330797,1,1,0.5,0,2.6266,0.999576,0.996255,0,0,0
8,0.0109041,0.00136234,0.0188928,0.0635375,0.424496,0.000145256,0.000486461,0.00322431,1,1,0.5,0,2.6266,0.99946,0.995664,0,0,0
9,0.0122663,0.00136217,0.0187216,0.0623871,0.413169,0.000143977,0.000477803,0.00313864,1,1,0.5,0,2.6266,0.999332,0.99507,0,0,0
10,0.0136283,0.00136201,0.018547,0.0612255,0.401705,0.000142671,0.000469058,0.00305193,1,1,0.5,0,2.6266,0.999193,0.994476,0,0,0
11,0.0149901,0.00136186,0.0183705,0.0600631,0.390209,0.00014135,0.000460304,0.002965,1,1,0.5,0,2.6266,0.999044,0.993883,0,0,0
12,0.0163519,0.00136172,0.0181932,0.0589085,0.378772,0.000140023,0.000451605,0.00287851,1,1,0.5,0,2.6266,0.998887,0.993295,0,0,0
13,0.0177135,0.0013616,0.0180162,0.0577683,0.367465,0.000138698,0.000443012,0.00279301,1,1,0.5,0,2.6266,0.998722,0.992714,0,0,0
14,0.019075,0.00136149,0.0178404,0.0566477,0.356346,0.00013738,0.000434563,0.00270894,1,1,0.5,0,2.6266,0.99855,0.99214,0,0,0
15,0.0204364,0.0013614,0.0176664,0.0555505,0.345461,0.000136075,0.000426288,0.00262765,1,1,0.5,0,2.6266,0.998369,0.991576,0,0,0
16,0.0217977,0.00136132,0.0174947,0.0544796,0.334971,0.000134788,0.000418207,0.00255262,1,1,0.5,0,2.6266,0.998181,0.991023,0,0,0
17,0.0231589,0.00136125,0.0173259,0.053437,0.325325,0.00013352,0.000410336,0.00247943,1,1,0.5,0,2.6266,0.997988,0.990478,0,0,0
18,0.0245201,0.00136119,0.0171601,0.0524239,0.315941,0.000132275,0.000402685,0.00240822,1,1,0.5,0,2.6266,0.997788,0.989946,0,0,0
19,0.0258813,0.00136114,0.0169976,0.051441,0.306832,0.000131054,0.000395259,0.00233912,1,1,0.5,0,2.6266,0.997584,0.989428,0,0,0
20,0.0272424,0.00136111,0.0168386,0.0504886,0.298008,0.000129859,0.00038806,0.00227218,1,1,0.5,0,2.6266,0.997377,0.988925,0,0,0
21,0.0286035,0.00136108,0.0166832,0.0495666,0.289475,0.00012869,0.000381088,0.00220745,1,1,0.5,0,2.6266,0.997168,0.988437,0,0,0
