step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.0198271,0.0700516,0.492007,0.000152225,0.000535426,0.00372446,1,1,0.5,0,2.6266,1,1,0,0,0,0,0,,,,1
1,0.00136361,0.00136361,0.019827,0.0700514,0.491994,0.000152225,0.000535426,0.00372439,1,1,0.5,0,2.6266,0.999991,0.999537,0,0,0,0,0,,,,1
2,0.00272715,0.00136354,0.019827,0.070051,0.49197,0.000152226,0.000535428,0.00372427,1,1,0.5,0,2.6266,0.999965,0.999054,0,0,0,0,0,,,,1
3,0.00409052,0.00136337,0.0198269,0.0700506,0.491923,0.000152226,0.000535432,0.00372402,1,1,0.5,0,2.6266,0.999924,0.998552,0,0,0,0,0,,,,1
4,0.0054537,0.00136318,0.0198269,0.0700501,0.491846,0.000152228,0.000535439,0.00372357,1,1,0.5,0,2.6266,0.999867,0.998031,0,0,0,0,0,,,,1
5,0.00681667,0.00136297,0.0198269,0.0700496,0.491787,0.00015223,0.000535448,0.00372295,1,1,0.5,0,2.6266,0.999795,0.997493,0,0,0,0,0,,,,1
6,0.00817943,0.00136276,0.0198269,0.0700491,0.491792,0.000152232,0.00053546,0.00372217,1,1,0.5,0,2.6266,0.999705,0.996937,0,0,0,0,0,,,,1
7,0.00954199,0.00136256,0.0198269,0.0700485,0.491792,0.000152236,0.000535475,0.00372129,1,1,0.5,0,2.6266,0.999598,0.996365,0,0,0,0,0,,,,1
8,0.0109043,0.00136236,0.019827,0.0700481,0.491779,0.000152241,0.000535493,0.00372031,1,1,0.5,0,2.6266,0.999473,0.995776,0,0,0,0,0,,,,1
9,0.0122665,0.00136216,0.0198272,0.0700477,0.491771,0.000152246,0.000535515,0.00371913,1,1,0.5,0,2.6266,0.999331,0.99517,0,0,0,0,0,,,,1
10,0.0136285,0.00136196,0.0198273,0.0700473,0.491767,0.000152252,0.00053554,0.00371878,1,1,0.5,0,2.6266,0.999172,0.994545,0,0,0,0,0,,,,1
11,0.0149902,0.00136176,0.0198275,0.0700471,0.491717,0.000152258,0.000535568,0.00371875,1,1,0.5,0,2.6266,0.998996,0.993906,0,0,0,0,0,,,,1
12,0.0163518,0.00136157,0.0198277,0.070047,0.491591,0.000152265,0.000535599,0.00371815,1,1,0.5,0,2.6266,0.998804,0.993254,0,0,0,0,0,,,,1
13,0.0177132,0.00136138,0.019828,0.0700471,0.491361,0.000152274,0.000535634,0.00371678,1,1,0.5,0,2.6266,0.998597,0.992591,0,0,0,0,0,,,,1
14,0.0190744,0.00136119,0.0198283,0.0700472,0.491058,0.000152282,0.000535673,0.00371486,1,1,0.5,0,2.6266,0.998375,0.991918,0,0,0,0,0,,,,1
15,0.0204354,0.00136101,0.0198284,0.0700475,0.49072,0.00015229,0.000535715,0.00371269,1,1,0.5,0,2.6266,0.998139,0.991236,0,0,0,0,0,,,,1
16,0.0217962,0.00136082,0.0198285,0.0700481,0.490365,0.000152298,0.000535761,0.00371104,1,1,0.5,0,2.6266,0.997891,0.990546,0,0,0,0,0,,,,1
17,0.0231568,0.00136064,0.0198283,0.0700488,0.490014,0.000152304,0.00053581,0.00370967,1,1,0.5,0,2.6266,0.997631,0.989847,0,0,0,0,0,,,,1
18,0.0245173,0.00136046,0.019828,0.0700498,0.48968,0.00015231,0.000535864,0.00370814,1,1,0.5,0,2.6266,0.997356,0.989142,0,0,0,0,0,,,,1
19,0.0258776,0.00136028,0.0198277,0.070051,0.489369,0.000152317,0.000535923,0.00370649,1,1,0.5,0,2.6266,0.997068,0.988432,0,0,0,0,0,,,,1
20,0.0272377,0.0013601,0.0198278,0.0700526,0.489087,0.000152326,0.000535985,0.00370479,1,1,0.5,0,2.6266,0.996769,0.987717,0,0,0,0,0,,,,1
21,0.0285976,0.00135993,0.0198279,0.0700544,0.48884,0.000152336,0.000536052,0.00370308,1,1,0.5,0,2.6266,0.996459,0.987,0,0,0,0,0,,,,1
22,0.0299574,0.00135975,0.0198282,0.0700567,0.488632,0.000152348,0.000536123,0.00370142,1,1,0.5,0,2.6266,0.996135,0.986281,0,0,0,0,0,,,,1
23,0.0313169,0.00135957,0.0198287,0.0700593,0.488468,0.000152362,0.000536199,0.00369981,1,1,0.5,0,2.6266,0.995801,0.985561,0,0,0,0,0,,,,1
24,0.0326763,0.0013594,0.0198294,0.0700623,0.488349,0.000152378,0.00053628,0.00369823,1,1,0.5,0,2.6266,0.995459,0.98484,0,0,0,0,0,,,,1
25,0.0340356,0.00135923,0.0198301,0.0700658,0.488261,0.000152393,0.000536366,0.00369771,1,1,0.5,0,2.6266,0.995111,0.984118,0,0,0,0,0,,,,1
26,0.0353946,0.00135906,0.0198305,0.0700696,0.488195,0.000152407,0.000536456,0.00369793,1,1,0.5,0,2.6266,0.994756,0.983397,0,0,0,0,0,,,,1
27,0.0367535,0.00135889,0.019831,0.0700739,0.488154,0.000152423,0.000536551,0.00370009,1,1,0.5,0,2.6266,0.994397,0.982676,0,0,0,0,0,,,,1
28,0.0381122,0.00135871,0.0198317,0.0700785,0.488139,0.000152439,0.00053665,0.00370252,1,1,0.5,0,2.6266,0.994032,0.981956,0,0,0,0,0,,,,1
29,0.0394707,0.00135853,0.0198324,0.0700835,0.48816,0.000152456,0.000536753,0.00370529,1,1,0.5,0,2.6266,0.993656,0.981235,0,0,0,0,0,,,,1
30,0.0408291,0.00135835,0.019833,0.0700888,0.488238,0.000152473,0.00053686,0.0037084,1,1,0.5,0,2.6266,0.993275,0.980508,0,0,0,0,0,,,,1
31,0.0421873,0.00135817,0.0198337,0.0700946,0.488573,0.000152491,0.00053697,0.00371173,1,1,0.5,0,2.6266,0.992889,0.979782,0,0,0,0,0,,,,1
32,0.0435452,0.00135799,0.019835,0.0701007,0.488983,0.000152513,0.000537084,0.00371503,1,1,0.5,0,2.6266,0.9925,0.97906,0,0,0,0,0,,,,1
33,0.044903,0.0013578,0.0198365,0.0701071,0.48936,0.000152538,0.000537202,0.00371806,1,1,0.5,0,2.6266,0.992109,0.978342,0,0,0,0,0,,,,1
34,0.0462607,0.00135762,0.0198382,0.0701139,0.489695,0.000152563,0.000537323,0.00372077,1,1,0.5,0,2.6266,0.991722,0.977629,0,0,0,0,0,,,,1
35,0.0476181,0.00135744,0.0198399,0.0701209,0.489991,0.000152589,0.000537447,0.00372317,1,1,0.5,0,2.6266,0.991341,0.976921,0,0,0,0,0,,,,1
36,0.0489754,0.00135726,0.0198415,0.0701283,0.490214,0.000152615,0.000537574,0.00372499,1,1,0.5,0,2.6266,0.99096,0.976218,0,0,0,0,0,,,,1
37,0.0503324,0.00135707,0.0198433,0.0701362,0.490365,0.000152642,0.000537705,0.00372626,1,1,0.5,0,2.6266,0.990573,0.975521,0,0,0,0,0,,,,1
38,0.0516893,0.00135689,0.0198452,0.0701446,0.490569,0.00015267,0.00053784,0.00372727,1,1,0.5,0,2.6266,0.990188,0.974829,0,0,0,0,0,,,,1
39,0.053046,0.00135671,0.0198473,0.0701536,0.490742,0.0001527,0.000537979,0.00372813,1,1,0.5,0,2.6266,0.989804,0.974143,0,0,0,0,0,,,,1
40,0.0544026,0.00135653,0.0198494,0.0701631,0.490818,0.00015273,0.000538123,0.00372929,1,1,0.5,0,2.6266,0.98942,0.973462,0,0,0,0,0,,,,1
41,0.0557589,0.00135635,0.0198517,0.0701731,0.490924,0.000152761,0.00053827,0.00373083,1,1,0.5,0,2.6266,0.98904,0.972787,0,0,0,0,0,,,,1
