step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.0198271,0.0700516,0.492007,0.000152225,0.000535426,0.00372446,1,1,0.5,0,2.6266,1,1,0,0,0,0,0,,,,1
1,0.00136361,0.00136361,0.0196138,0.0685545,0.476163,0.000150629,0.000524148,0.00360473,1,1,0.5,0,2.6266,0.999991,0.999537,0,0,0,5,0,,,,1
2,0.00272716,0.00136354,0.0194072,0.0671198,0.461026,0.000149084,0.000513338,0.0034904,1,1,0.5,0,2.62659,0.999966,0.999069,0,0,0,5,0,,,,1
3,0.00409055,0.00136339,0.0192071,0.065744,0.446553,0.000147586,0.000502969,0.00338537,1,1,0.5,0,2.62659,0.999925,0.998596,0,0,0,5,0,,,,1
4,0.00545375,0.00136321,0.0190131,0.0644235,0.432935,0.000146134,0.000493015,0.00328684,1,1,0.5,0,2.62659,0.99987,0.998119,0,0,0,5,0,,,,1
5,0.00681677,0.00136302,0.0188249,0.063155,0.420448,0.000144724,0.000483452,0.00319228,1,1,0.5,0,2.62659,0.999801,0.997638,0,0,0,5,0,,,,1
6,0.00817962,0.00136285,0.0186421,0.0619355,0.408453,0.000143355,0.000474256,0.00310149,1,1,0.5,0,2.62659,0.999716,0.997153,0,0,0,5,0,,,,1
7,0.0095423,0.00136268,0.0184647,0.0607623,0.396927,0.000142026,0.000465408,0.00301429,1,1,0.5,0,2.62659,0.999616,0.996665,0,0,0,5,0,,,,1
8,0.0109048,0.00136251,0.0182923,0.0596329,0.385848,0.000140734,0.000456887,0.00293051,1,1,0.5,0,2.62659,0.999501,0.996171,0,0,0,5,0,,,,1
9,0.0122672,0.00136236,0.0181247,0.0585447,0.375193,0.000139477,0.000448677,0.00284997,1,1,0.5,0,2.62659,0.999371,0.995668,0,0,0,5,0,,,,1
10,0.0136294,0.00136221,0.0179617,0.0574957,0.364946,0.000138255,0.00044076,0.00277254,1,1,0.5,0,2.62659,0.999227,0.995163,0,0,0,5,0,,,,1
11,0.0149914,0.00136207,0.017803,0.0564837,0.355086,0.000137065,0.000433121,0.00269806,1,1,0.5,0,2.62659,0.999071,0.994658,0,0,0,5,0,,,,1
12,0.0163534,0.00136193,0.0176486,0.0555069,0.345597,0.000135906,0.000425746,0.0026264,1,1,0.5,0,2.62659,0.998902,0.994154,0,0,0,5,0,,,,1
13,0.0177152,0.00136181,0.0174981,0.0545634,0.33646,0.000134776,0.000418621,0.00255741,1,1,0.5,0,2.62659,0.998721,0.993651,0,0,0,5,0,,,,1
14,0.0190769,0.00136169,0.0173515,0.0536515,0.32766,0.000133675,0.000411733,0.00249397,1,1,0.5,0,2.62659,0.99853,0.99315,0,0,0,5,0,,,,1
15,0.0204384,0.00136157,0.0172085,0.0527698,0.31937,0.000132601,0.000405072,0.00243341,1,1,0.5,0,2.62659,0.998328,0.992651,0,0,0,5,0,,,,1
16,0.0217999,0.00136146,0.017069,0.0519168,0.311646,0.000131554,0.000398626,0.0023749,1,1,0.5,0,2.62659,0.998117,0.992156,0,0,0,5,0,,,,1
17,0.0231612,0.00136135,0.0169328,0.0510911,0.304182,0.000130531,0.000392384,0.00231838,1,1,0.5,0,2.62659,0.997897,0.991665,0,0,0,5,0,,,,1
18,0.0245225,0.00136124,0.0168,0.0502914,0.296969,0.000129532,0.000386339,0.00226377,1,1,0.5,0,2.62659,0.997666,0.99118,0,0,0,5,0,,,,1
19,0.0258836,0.00136114,0.0166702,0.0495166,0.289997,0.000128556,0.000380479,0.00221098,1,1,0.5,0,2.62659,0.997427,0.990701,0,0,0,5,0,,,,1
20,0.0272447,0.00136104,0.0165435,0.0487654,0.283256,0.000127603,0.000374798,0.00215994,1,1,0.5,0,2.62659,0.99718,0.990229,0,0,0,5,0,,,,1
21,0.0286056,0.00136095,0.0164196,0.0480369,0.276737,0.000126672,0.000369287,0.00211059,1,1,0.5,0,2.62659,0.996926,0.989765,0,0,0,5,0,,,,1
22,0.0299665,0.00136085,0.0162986,0.0473301,0.270431,0.000125761,0.000363938,0.00206285,1,1,0.5,0,2.62659,0.996664,0.989307,0,0,0,5,0,,,,1
23,0.0313272,0.00136076,0.0161802,0.0466439,0.26433,0.00012487,0.000358744,0.00201666,1,1,0.5,0,2.62659,0.996393,0.988858,0,0,0,5,0,,,,1
24,0.0326879,0.00136068,0.0160644,0.0459776,0.258427,0.000123997,0.0003537,0.00197196,1,1,0.5,0,2.62659,0.996116,0.988409,0,0,0,5,0,,,,1
25,0.0340485,0.00136059,0.015951,0.0453303,0.252713,0.000123144,0.000348798,0.00192967,1,1,0.5,0,2.62659,0.995836,0.987967,0,0,0,5,0,,,,1
26,0.035409,0.00136051,0.0158401,0.0447011,0.247187,0.000122308,0.000344033,0.00189,1,1,0.5,0,2.62659,0.995553,0.987535,0,0,0,5,0,,,,1
27,0.0367694,0.00136043,0.0157314,0.0440894,0.242119,0.000121489,0.000339399,0.0018515,1,1,0.5,0,2.62659,0.995262,0.987113,0,0,0,5,0,,,,1
28,0.0381298,0.00136035,0.015625,0.0434944,0.237201,0.000120688,0.00033489,0.00181414,1,1,0.5,0,2.62659,0.994968,0.986703,0,0,0,5,0,,,,1
29,0.03949,0.00136026,0.0155208,0.0429154,0.232426,0.000119902,0.000330502,0.00177787,1,1,0.5,0,2.62659,0.994672,0.986305,0,0,0,5,0,,,,1
30,0.0408502,0.00136017,0.0154186,0.0423519,0.227789,0.000119131,0.000326231,0.00174264,1,1,0.5,0,2.62659,0.994376,0.985918,0,0,0,5,0,,,,1
31,0.0422103,0.00136008,0.0153184,0.0418032,0.223287,0.000118375,0.00032207,0.00170843,1,1,0.5,0,2.62659,0.99408,0.985544,0,0,0,5,0,,,,1
32,0.0435703,0.00135999,0.0152203,0.0412688,0.218914,0.000117635,0.000318017,0.00167543,1,1,0.5,0,2.62659,0.993785,0.985168,0,0,0,5,0,,,,1
33,0.0449302,0.0013599,0.015124,0.040748,0.214666,0.000116908,0.000314066,0.0016438,1,1,0.5,0,2.62659,0.993493,0.984803,0,0,0,5,0,,,,1
34,0.04629,0.00135981,0.0150295,0.0402404,0.210551,0.000116195,0.000310215,0.00161304,1,1,0.5,0,2.62659,0.993208,0.984449,0,0,0,5,0,,,,1
35,0.0476497,0.00135973,0.0149367,0.0397455,0.20662,0.000115495,0.000306459,0.00158312,1,1,0.5,0,2.62659,0.99293,0.984106,0,0,0,5,0,,,,1
36,0.0490093,0.00135964,0.0148457,0.0392628,0.202796,0.000114807,0.000302795,0.00155401,1,1,0.5,0,2.62659,0.992648,0.983773,0,0,0,5,0,,,,1
37,0.0503689,0.00135955,0.0147564,0.0387919,0.199076,0.000114132,0.000299219,0.00152569,1,1,0.5,0,2.62659,0.99236,0.983451,0,0,0,5,0,,,,1
38,0.0517284,0.00135947,0.0146686,0.0383323,0.195456,0.000113469,0.000295729,0.00149813,1,1,0.5,0,2.62659,0.992075,0.983139,0,0,0,5,0,,,,1
39,0.0530878,0.00135938,0.0145823,0.0378836,0.191933,0.000112817,0.000292321,0.0014713,1,1,0.5,0,2.62659,0.991792,0.982837,0,0,0,5,0,,,,1
40,0.0544471,0.0013593,0.0144975,0.0374455,0.188503,0.000112176,0.000288993,0.00144533,1,1,0.5,0,2.62659,0.991517,0.982545,0,0,0,5,0,,,,1
41,0.0558063,0.00135921,0.0144142,0.0370176,0.185165,0.000111546,0.000285741,0.00142114,1,1,0.5,0,2.62659,0.991251,0.982264,0,0,0,5,0,,,,1
42,0.0571654,0.00135912,0.0143324,0.0365995,0.18203,0.000110927,0.000282563,0.00139754,1,1,0.5,0,2.62659,0.990985,0.981993,0,0,0,5,0,,,,1
43,0.0585244,0.00135903,0.0142519,0.0361908,0.179013,0.000110318,0.000279456,0.00137451,1,1,0.5,0,2.62659,0.990725,0.981731,0,0,0,5,0,,,,1
44,0.0598834,0.00135895,0.0141728,0.0357914,0.17607,0.000109719,0.000276419,0.00135349,1,1,0.5,0,2.62659,0.990472,0.981479,0,0,0,5,0,,,,1
