step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.0198271,0.0700516,0.492007,0.000152225,0.000535426,0.00372446,1,1,0.5,0,2.6266,1,1,0,0,0,0,0,,,,1
1,0.00136361,0.00136361,0.0198106,0.0699526,0.49155,0.000152103,0.000534687,0.00371767,1,1,0.5,0,2.6266,0.999991,0.999976,0,0,0,1,0,,,,1
2,0.00272724,0.00136363,0.0197979,0.0698537,0.490815,0.00015201,0.000533951,0.00371461,1,1,0.5,0,2.6266,0.999961,0.999948,0,0,0,1,0,,,,1
3,0.00409089,0.00136365,0.0197829,0.0697547,0.489647,0.000151899,0.000533217,0.00370831,1,1,0.5,0,2.6266,0.999906,0.999904,0,0,0,1,0,,,,1
4,0.00545457,0.00136368,0.0197686,0.0696557,0.48806,0.000151795,0.000532487,0.00369885,1,1,0.5,0,2.6266,0.999835,0.999843,0,0,0,1,0,,,,1
5,0.00681829,0.00136372,0.019755,0.0695568,0.486863,0.000151696,0.00053176,0.00368632,1,1,0.5,0,2.6266,0.999752,0.999763,0,0,0,1,0,,,,1
6,0.00818206,0.00136377,0.0197396,0.0694579,0.486367,0.000151584,0.000531035,0.0036807,1,1,0.5,0,2.6266,0.999655,0.999659,0,0,0,1,0,,,,1
7,0.00954588,0.00136383,0.0197267,0.0693591,0.485434,0.000151492,0.000530314,0.0036763,1,1,0.5,0,2.6266,0.999544,0.999526,0,0,0,1,0,,,,1
8,0.0109098,0.0013639,0.0197107,0.0692603,0.48408,0.000151376,0.000529596,0.00366871,1,1,0.5,0,2.62659,0.999422,0.999361,0,0,0,1,0,,,,1
9,0.0122737,0.00136391,0.0196984,0.0691617,0.482314,0.000151289,0.000528881,0.00365801,1,1,0.5,0,2.62659,0.999286,0.999165,0,0,0,1,0,,,,1
10,0.0136376,0.00136389,0.0196834,0.0690631,0.480332,0.000151182,0.000528169,0.00364434,1,1,0.5,0,2.62659,0.999123,0.99894,0,0,0,1,0,,,,1
11,0.0150014,0.00136386,0.0196699,0.0689647,0.479424,0.000151087,0.000527461,0.00363159,1,1,0.5,0,2.62659,0.998941,0.998681,0,0,0,1,0,,,,1
12,0.0163653,0.00136384,0.0196564,0.0688664,0.478366,0.000150991,0.000526756,0.00362592,1,1,0.5,0,2.62659,0.998736,0.998394,0,0,0,1,0,,,,1
13,0.0177291,0.00136381,0.0196409,0.0687683,0.477891,0.000150882,0.000526055,0.00362026,1,1,0.5,0,2.62659,0.998525,0.998081,0,0,0,1,0,,,,1
14,0.0190929,0.00136377,0.0196287,0.0686703,0.476993,0.000150798,0.000525357,0.00361622,1,1,0.5,0,2.62659,0.998304,0.997744,0,0,0,1,0,,,,1
15,0.0204566,0.00136374,0.0196132,0.0685726,0.475674,0.000150689,0.000524663,0.00360901,1,1,0.5,0,2.62659,0.99806,0.997383,0,0,0,1,0,,,,1
16,0.0218203,0.0013637,0.0196015,0.068475,0.473963,0.000150609,0.000523972,0.0035988,1,1,0.5,0,2.62659,0.997809,0.997003,0,0,0,1,0,,,,1
17,0.023184,0.00136366,0.0195867,0.0683777,0.472507,0.000150506,0.000523285,0.00358566,1,0.999999,0.5,0,2.62659,0.997549,0.996608,0,0,0,1,0,,,,1
18,0.0245476,0.00136362,0.0195732,0.0682807,0.471856,0.000150414,0.000522601,0.00357876,1,0.999999,0.5,0,2.62659,0.997277,0.996195,0,0,0,1,0,,,,1
19,0.0259111,0.00136357,0.0195602,0.0681839,0.470806,0.000150325,0.000521921,0.00357359,1,0.999999,0.5,0,2.62659,0.996992,0.995765,0,0,0,1,0,,,,1
20,0.0272747,0.00136353,0.019545,0.0680873,0.469375,0.00015022,0.000521245,0.0035655,1,0.999999,0.5,0,2.62659,0.996697,0.99532,0,0,0,1,0,,,,1
21,0.0286382,0.00136348,0.019534,0.0679911,0.467582,0.000150148,0.000520573,0.00355463,1,0.999999,0.5,0,2.62659,0.996397,0.994864,0,0,0,1,0,,,,1
22,0.0300016,0.00136343,0.0195191,0.0678951,0.466012,0.000150046,0.000519904,0.00354134,1,0.999999,0.5,0,2.62659,0.996095,0.994402,0,0,0,1,0,,,,1
23,0.031365,0.00136338,0.0195073,0.0677995,0.464524,0.000149968,0.000519238,0.0035324,1,0.999999,0.5,0,2.62659,0.995793,0.993933,0,0,0,1,0,,,,1
24,0.0327283,0.00136332,0.0194925,0.0677042,0.463916,0.000149867,0.000518577,0.00352237,1,0.999999,0.5,0,2.62659,0.995489,0.993459,0,0,0,1,0,,,,1
25,0.0340915,0.00136326,0.0194801,0.0676092,0.463388,0.000149785,0.000517919,0.0035205,1,0.999999,0.5,0,2.62659,0.995177,0.992982,0,0,0,1,0,,,,1
26,0.0354548,0.00136321,0.0194681,0.0675146,0.462461,0.000149706,0.000517265,0.0035162,1,0.999999,0.5,0,2.62659,0.994864,0.992503,0,0,0,1,0,,,,1
27,0.0368179,0.00136315,0.0194532,0.0674204,0.461159,0.000149605,0.000516615,0.00350902,1,0.999999,0.5,0,2.62659,0.994555,0.992028,0,0,0,1,0,,,,1
28,0.038181,0.00136309,0.0194417,0.0673265,0.459502,0.00014953,0.000515968,0.00349911,1,0.999999,0.5,0,2.62659,0.994248,0.991553,0,0,0,1,0,,,,1
29,0.039544,0.00136303,0.0194265,0.067233,0.457819,0.000149428,0.000515325,0.00348654,1,0.999999,0.5,0,2.62659,0.993936,0.991063,0,0,0,1,0,,,,1
30,0.040907,0.00136296,0.0194164,0.0671399,0.457235,0.000149364,0.000514685,0.00347864,1,0.999999,0.5,0,2.62659,0.993627,0.990574,0,0,0,1,0,,,,1
31,0.0422699,0.0013629,0.0194021,0.0670472,0.456287,0.000149269,0.000514049,0.00347408,1,0.999999,0.5,0,2.62659,0.993309,0.990089,0,0,0,1,0,,,,1
32,0.0436327,0.00136283,0.0193897,0.0669549,0.454994,0.000149188,0.000513416,0.00346685,1,0.999999,0.5,0,2.62659,0.992997,0.989616,0,0,0,1,0,,,,1
33,0.0449955,0.00136277,0.0193777,0.066863,0.45343,0.00014911,0.000512787,0.0034571,1,0.999999,0.5,0,2.62659,0.992694,0.989156,0,0,0,1,0,,,,1
34,0.0463582,0.0013627,0.0193626,0.0667716,0.45238,0.000149009,0.000512162,0.00344873,1,0.999999,0.5,0,2.62659,0.992403,0.988698,0,0,0,1,0,,,,1
35,0.0477208,0.00136263,0.0193526,0.0666806,0.450992,0.000148947,0.00051154,0.00344069,1,0.999999,0.5,0,2.62659,0.992124,0.988257,0,0,0,1,0,,,,1
36,0.0490834,0.00136257,0.0193383,0.06659,0.450438,0.000148852,0.000510921,0.00343089,1,0.999999,0.5,0,2.62659,0.991854,0.987831,0,0,0,1,0,,,,1
37,0.0504459,0.0013625,0.0193289,0.0664998,0.450013,0.000148795,0.000510305,0.00343017,1,0.999999,0.5,0,2.62659,0.991582,0.987421,0,0,0,1,0,,,,1
38,0.0518083,0.00136243,0.019316,0.06641,0.449241,0.000148711,0.000509693,0.00342677,1,0.999999,0.499999,0,2.62659,0.991323,0.987034,0,0,0,1,0,,,,1
39,0.0531707,0.00136236,0.0193037,0.0663207,0.448138,0.000148632,0.000509083,0.00342081,1,0.999999,0.499999,0,2.62659,0.991079,0.98667,0,0,0,1,0,,,,1
40,0.054533,0.00136229,0.0192929,0.0662318,0.446715,0.000148564,0.000508477,0.00341235,1,0.999999,0.499999,0,2.62659,0.990851,0.986309,0,0,0,1,0,,,,1
41,0.0558952,0.00136222,0.0192795,0.0661434,0.44505,0.000148476,0.000507874,0.00340125,1,0.999999,0.499999,0,2.62659,0.990637,0.985963,0,0,0,1,0,,,,1
42,0.0572573,0.00136215,0.0192701,0.0660555,0.444662,0.000148418,0.000507275,0.00339383,1,0.999999,0.499999,0,2.62659,0.990414,0.985616,0,0,0,1,0,,,,1
43,0.0586194,0.00136208,0.0192546,0.065968,0.443911,0.000148315,0.000506678,0.00339044,1,0.999999,0.499999,0,2.62659,0.990192,0.985291,0,0,0,1,0,,,,1
44,0.0599814,0.00136201,0.0192462,0.065881,0.442814,0.000148266,0.000506084,0.00338436,1,0.999999,0.499999,0,2.62659,0.989985,0.984967,0,0,0,1,0,,,,1
45,0.0613434,0.00136195,0.0192334,0.0657945,0.441389,0.000148183,0.000505494,0.00337573,1,0.999999,0.499999,0,2.62659,0.989795,0.984668,0,0,0,1,0,,,,1
46,0.0627053,0.00136188,0.0192222,0.0657084,0.440314,0.000148112,0.000504906,0.00336694,1,0.999999,0.499999,0,2.62659,0.989618,0.984395,0,0,0,1,0,,,,1
47,0.0640671,0.00136181,0.0192111,0.0656228,0.439117,0.000148041,0.000504321,0.00335999,1,0.999999,0.499999,0,2.62659,0.989447,0.984148,0,0,0,1,0,,,,1
48,0.0654288,0.00136174,0.019199,0.0655376,0.43885,0.000147963,0.000503738,0.00335289,1,0.999999,0.499999,0,2.62659,0.98929,0.983929,0,0,0,1,0,,,,1
49,0.0667905,0.00136168,0.0191898,0.0654529,0.43856,0.000147908,0.000503159,0.00335284,1,0.999999,0.499999,0,2.62659,0.989147,0.983731,0,0,0,1,0,,,,1
50,0.0681521,0.00136161,0.0191752,0.0653687,0.437927,0.000147811,0.000502581,0.00335014,1,0.999999,0.499999,0,2.62659,0.989023,0.983545,0,0,0,1,0,,,,1
