step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.00047808,0.00573404,0.124373,1.68476e+06,3.17091e+07,9.71668e+08,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
1,0.00136404,0.00136404,3.69178e-09,4.33751e-09,2.14577e-08,7.02115e-05,0.000238436,0.00850644,1,1,1,0,2.5,1,1,0,0,0,1,563,9.88437e-13,2.14577e-08,2.14577e-08,1
2,0.00272807,0.00136404,2.09162e-09,2.79469e-09,1.65428e-08,4.61757e-05,0.000330866,0.0258972,1,1,1,0,2.5,1,1,0,0,0,1,147,9.90726e-13,1.65428e-08,1.65428e-08,1
3,0.00409211,0.00136404,2.0367e-09,2.77498e-09,1.7686e-08,4.42911e-05,0.000156347,0.00399355,1,1,1,0,2.5,1,1,0,0,0,1,153,9.99967e-13,1.7686e-08,1.7686e-08,1
4,0.00545614,0.00136404,2.02564e-09,2.75962e-09,1.74611e-08,4.33047e-05,0.000142507,0.00364811,1,1,1,0,2.5,1,1,0,0,0,1,155,9.83953e-13,1.74611e-08,1.74611e-08,1
5,0.00682018,0.00136404,2.07097e-09,2.81385e-09,1.75331e-08,4.84794e-05,0.0005098,0.0445633,1,1,1,0,2.5,1,1,0,0,0,1,156,9.93941e-13,1.75331e-08,1.75331e-08,1
6,0.00818422,0.00136404,2.06438e-09,2.79857e-09,1.7231e-08,4.34667e-05,0.000165894,0.00971607,1,1,1,0,2.5,1,1,0,0,0,1,157,9.81089e-13,1.7231e-08,1.7231e-08,1
7,0.00954825,0.00136404,2.06965e-09,2.79843e-09,1.70033e-08,4.21812e-05,0.000126248,0.00388253,1,1,1,0,2.5,1,1,0,0,0,1,157,9.78256e-13,1.70033e-08,1.70033e-08,1
8,0.0109123,0.00136404,2.12559e-09,2.86314e-09,1.70799e-08,4.43261e-05,0.000226224,0.0175696,1,1,1,0,2.5,1,1,0,0,0,1,156,9.99795e-13,1.70799e-08,1.70799e-08,1
9,0.0122763,0.00136404,2.07861e-09,2.79653e-09,1.65746e-08,4.28206e-05,0.000198973,0.0147848,1,1,1,0,2.5,1,1,0,0,0,1,157,9.74277e-13,1.65746e-08,1.65746e-08,1
