step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.00047808,0.00573404,0.124373,1.68476e+06,3.17091e+07,9.71668e+08,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
1,0.00136404,0.00136404,0.000264415,0.00189191,0.0368156,968.172,23030.2,1.41495e+06,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
2,0.00272807,0.00136404,0.000196685,0.0011077,0.0150444,23.4377,634.33,25643.5,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
3,0.00409211,0.00136404,0.000173336,0.000860507,0.0107575,2.31248,45.1881,1909.81,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
4,0.00545614,0.00136404,0.000159965,0.000736827,0.00799289,0.785509,14.402,1125.22,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
5,0.00682018,0.00136404,0.000152528,0.000657078,0.00678984,0.492267,4.44863,215.943,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
6,0.00818422,0.00136404,0.00014697,0.000600222,0.00587301,0.367892,2.16588,29.6024,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
7,0.00954825,0.00136404,0.000142198,0.000556701,0.00512081,0.332583,1.77481,24.5673,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
8,0.0109123,0.00136404,0.00013815,0.000520886,0.00450274,0.306961,1.48409,19.458,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
9,0.0122763,0.00136404,0.000134352,0.000490438,0.00399124,0.291432,1.30401,15.6842,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
10,0.0136404,0.00136404,0.000130886,0.000464985,0.00367514,0.281223,1.17482,13.4874,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
11,0.0150044,0.00136404,0.000128033,0.000444457,0.00346068,0.275167,1.08187,11.5292,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
12,0.0163684,0.00136404,0.000125524,0.0004274,0.00333472,0.270972,1.01075,10.0014,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
13,0.0177325,0.00136404,0.000123319,0.000412398,0.00323932,0.267251,0.949052,8.77415,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
14,0.0190965,0.00136404,0.000121191,0.000398807,0.0033726,0.264116,0.898242,8.07831,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
15,0.0204605,0.00136404,0.000119351,0.000386744,0.00339342,0.261555,0.854899,7.32196,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
16,0.0218246,0.00136404,0.000117716,0.000376078,0.00334241,0.260367,0.819558,6.6713,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
17,0.0231886,0.00136404,0.000116197,0.000366464,0.00313596,0.260316,0.791768,6.11817,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
18,0.0245526,0.00136404,0.000114778,0.000357619,0.00293095,0.260416,0.767247,5.70488,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
19,0.0259167,0.00136404,0.000113538,0.000349768,0.00305084,0.26027,0.743662,5.39265,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
20,0.0272807,0.00136404,0.000112575,0.000342918,0.00307716,0.260054,0.722402,5.08535,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
21,0.0286448,0.00136404,0.000111725,0.000336798,0.00299138,0.26019,0.70335,4.79692,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
22,0.0300088,0.00136404,0.000110944,0.000331167,0.0028526,0.260832,0.686924,4.53441,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
23,0.0313728,0.00136404,0.000110235,0.000326031,0.00269144,0.262035,0.673503,4.3099,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
24,0.0327369,0.00136404,0.000109746,0.000321532,0.00277378,0.263061,0.660629,4.11148,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
25,0.0341009,0.00136404,0.000109314,0.000317515,0.0028419,0.263891,0.648019,3.94758,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
26,0.0354649,0.00136404,0.000108821,0.000313824,0.00279629,0.264489,0.636062,3.79718,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
27,0.036829,0.00136404,0.000108352,0.000310384,0.00270936,0.265271,0.624903,3.64505,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
28,0.038193,0.00136404,0.000108221,0.000307329,0.0025931,0.266618,0.615373,3.51805,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
29,0.039557,0.00136404,0.000108169,0.000304612,0.00257746,0.268251,0.607246,3.41599,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
30,0.0409211,0.00136404,0.000108101,0.000302072,0.00265235,0.269495,0.599071,3.322,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
31,0.0422851,0.00136404,0.000107893,0.000299636,0.00264185,0.270488,0.590741,3.23196,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
32,0.0436491,0.00136404,0.000107649,0.000297355,0.00259141,0.27139,0.582702,3.13988,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
33,0.0450132,0.00136404,0.000107432,0.000295329,0.00250576,0.272556,0.57528,3.05299,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
34,0.0463772,0.00136404,0.000107552,0.000293455,0.00239447,0.274151,0.568854,2.96996,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
35,0.0477413,0.00136404,0.000107608,0.000291614,0.00247176,0.275781,0.562988,2.88943,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
36,0.0491053,0.00136404,0.000107562,0.000289759,0.00249667,0.277032,0.556969,2.81211,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
37,0.0504693,0.00136404,0.000107484,0.000288016,0.00247404,0.278054,0.550911,2.73906,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
38,0.0518334,0.00136404,0.000107421,0.000286445,0.00242269,0.279206,0.545076,2.66778,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
39,0.0531974,0.00136404,0.000107372,0.000284951,0.00234015,0.280827,0.540311,2.62053,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
40,0.0545614,0.00136404,0.000107441,0.000283447,0.00229259,0.282433,0.535148,2.53142,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
41,0.0559255,0.00136404,0.000107421,0.000281925,0.00235849,0.283784,0.530203,2.47895,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
42,0.0572895,0.00136404,0.000107386,0.000280505,0.0023622,0.284953,0.52544,2.42596,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
43,0.0586535,0.00136404,0.000107367,0.0002792,0.00232885,0.285991,0.520691,2.37204,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
44,0.0600176,0.00136404,0.000107365,0.000277934,0.0022679,0.287266,0.516131,2.31772,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
45,0.0613816,0.00136404,0.00010737,0.000276652,0.00217995,0.288791,0.511934,2.26551,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
46,0.0627457,0.00136404,0.000107382,0.000275366,0.00220988,0.290414,0.508085,2.21274,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
47,0.0641097,0.00136404,0.000107388,0.000274178,0.00223062,0.291729,0.504266,2.16379,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
48,0.0654737,0.00136404,0.000107377,0.000273086,0.0022271,0.292739,0.500357,2.11504,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
49,0.0668378,0.00136404,0.000107394,0.000272015,0.00218903,0.293668,0.496458,2.06847,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
50,0.0682018,0.00136404,0.000107415,0.000270914,0.00211892,0.294757,0.492724,2.02359,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
51,0.0695658,0.00136404,0.000107382,0.000269807,0.00206306,0.295918,0.48923,1.97946,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
52,0.0709299,0.00136404,0.000107428,0.000268787,0.00212,0.296796,0.485739,1.93825,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
53,0.0722939,0.00136404,0.000107451,0.000267844,0.0021305,0.297033,0.481924,1.89711,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
54,0.0736579,0.00136404,0.000107498,0.000266921,0.00211389,0.296548,0.477626,1.85859,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
55,0.075022,0.00136404,0.000107541,0.000265965,0.00207328,0.295674,0.472867,1.82068,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
56,0.076386,0.00136404,0.000107534,0.000264994,0.00200594,0.294775,0.467841,1.7841,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
57,0.07775,0.00136404,0.000107561,0.000264095,0.00200747,0.293797,0.462593,1.74904,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
58,0.0791141,0.00136404,0.000107602,0.000263256,0.00203371,0.292296,0.457115,1.71423,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
59,0.0804781,0.00136404,0.000107627,0.000262437,0.00203968,0.290835,0.456074,5.97671,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
60,0.0818422,0.00136404,0.000107658,0.000261584,0.00201368,0.287593,0.445078,1.6489,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
61,0.0832062,0.00136404,0.000107701,0.000260705,0.00195928,0.285148,0.438729,1.61808,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
62,0.0845702,0.00136404,0.000107734,0.000259889,0.00188737,0.283004,0.432579,1.58735,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
63,0.0859343,0.00136404,0.000107797,0.000259131,0.00193773,0.280691,0.426613,1.55881,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
64,0.0872983,0.00136404,0.000107804,0.000258388,0.00195317,0.278367,0.423118,4.48631,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
65,0.0886623,0.00136404,0.000107826,0.000257618,0.00194552,0.274971,0.414247,1.50884,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
66,0.0900264,0.00136404,0.000107853,0.000256807,0.00191613,0.271887,0.40787,1.4845,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
67,0.0913904,0.00136404,0.000107902,0.000256038,0.00186165,0.269212,0.401774,1.46143,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
68,0.0927544,0.00136404,0.000107969,0.000255333,0.00184392,0.266569,0.395912,1.43828,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
69,0.0941185,0.00136404,0.000108014,0.000254648,0.00187382,0.266289,0.461722,22.4033,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
70,0.0954825,0.00136404,0.000108016,0.000253943,0.00188465,0.260647,0.384188,1.52147,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
71,0.0968465,0.00136404,0.000108009,0.000253193,0.00186771,0.257336,0.378108,1.37279,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
72,0.0982106,0.00136404,0.000108067,0.000252459,0.00182617,0.254398,0.372318,1.35142,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
73,0.0995746,0.00136404,0.000108127,0.000251787,0.00176262,0.2516,0.366718,1.33086,1,1,1,0,2.5,1,0.999999,0,0,0,2,0,,,,1
74,0.100939,0.00136404,0.00010818,0.000251144,0.00178875,0.249088,0.363584,3.92151,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
75,0.102303,0.00136404,0.000108188,0.000250491,0.00180851,0.245746,0.355881,1.65299,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
76,0.103667,0.00136404,0.000108164,0.000249797,0.00180669,0.242459,0.350062,1.26986,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
77,0.105031,0.00136404,0.000108174,0.000249093,0.00178539,0.239315,0.344625,1.25027,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
78,0.106395,0.00136404,0.00010825,0.000248441,0.00174141,0.236464,0.339347,1.23037,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
79,0.107759,0.00136404,0.000108329,0.000247826,0.00170391,0.233759,0.334536,1.62698,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
80,0.109123,0.00136404,0.000108354,0.000247216,0.00173923,0.230837,0.329663,2.12939,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
81,0.110487,0.00136404,0.000108335,0.000246575,0.00175383,0.227577,0.323819,1.18304,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
82,0.111851,0.00136404,0.000108296,0.000245899,0.00174482,0.224404,0.318721,1.16739,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
83,0.113215,0.00136404,0.000108309,0.000245261,0.00171247,0.221518,0.313763,1.15206,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
84,0.114579,0.00136404,0.000108427,0.00024467,0.00166075,0.218838,0.309034,1.13667,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
85,0.115943,0.00136404,0.000108486,0.000244092,0.00166636,0.216503,0.308635,4.72475,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
86,0.117307,0.00136404,0.000108477,0.000243494,0.00168714,0.212974,0.299329,1.10588,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
87,0.118671,0.00136404,0.00010844,0.000242857,0.00169109,0.209865,0.294525,1.09022,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
88,0.120035,0.00136404,0.000108381,0.000242227,0.00167506,0.206986,0.28987,1.0745,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
89,0.121399,0.00136404,0.000108451,0.000241645,0.00163933,0.204336,0.285339,1.05897,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
90,0.122763,0.00136404,0.000108536,0.00024109,0.00158474,0.201957,0.282443,2.43114,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
91,0.124127,0.00136404,0.00010856,0.00024053,0.001622,0.198862,0.276567,1.03293,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
92,0.125491,0.00136404,0.000108538,0.000239936,0.00163913,0.195827,0.271923,1.02017,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
93,0.126855,0.00136404,0.000108483,0.000239322,0.00163817,0.192995,0.267549,1.00687,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
94,0.128219,0.00136404,0.000108459,0.000238744,0.0016136,0.190398,0.263268,0.992951,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
95,0.129583,0.00136404,0.000108554,0.000238204,0.00157146,0.187868,0.25918,0.979731,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
96,0.130947,0.00136404,0.000108599,0.000237671,0.00155879,0.185314,0.25561,1.69895,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
97,0.132311,0.00136404,0.000108589,0.000237118,0.00158016,0.182355,0.250793,0.951523,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
98,0.133676,0.00136404,0.000108545,0.000236529,0.00159117,0.179591,0.24667,0.937179,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
99,0.13504,0.00136404,0.000108489,0.000235951,0.00157981,0.177089,0.242642,0.925303,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
100,0.136404,0.00136404,0.000108501,0.000235416,0.00155174,0.174622,0.238706,0.914169,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
101,0.137768,0.00136404,0.000108588,0.000234902,0.00150513,0.172294,0.235904,2.07936,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
102,0.139132,0.00136404,0.000108596,0.000234382,0.00151817,0.169479,0.231018,0.888835,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
103,0.140496,0.00136404,0.000108554,0.000233832,0.00154115,0.166803,0.227115,0.875703,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
104,0.14186,0.00136404,0.000108513,0.000233264,0.00154435,0.164427,0.223329,0.863001,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
105,0.143224,0.00136404,0.000108461,0.000232729,0.00152743,0.162061,0.219618,0.850273,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
106,0.144588,0.00136404,0.000108499,0.000232224,0.00149132,0.159683,0.21602,0.839187,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
107,0.145952,0.00136404,0.000108556,0.000231726,0.00146063,0.15727,0.21269,1.1076,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
108,0.147316,0.00136404,0.000108533,0.000231211,0.00148829,0.154667,0.208787,0.815519,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
109,0.14868,0.00136404,0.00010849,0.000230666,0.00150247,0.152407,0.205232,0.803565,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
