step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.00047808,0.00573404,0.124373,1.68476e+06,3.17091e+07,9.71668e+08,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
1,0.00136404,0.00136404,0.000329587,0.00283237,0.0629076,349.231,7849.56,397208,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
2,0.00272807,0.00136404,0.000244696,0.00164932,0.0317257,5.9369,148.841,5950.13,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
3,0.00409211,0.00136404,0.00020678,0.00118804,0.0180759,0.822692,10.4806,424.158,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
4,0.00545614,0.00136404,0.000186703,0.000982937,0.0147609,0.457552,3.76083,110.851,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
5,0.00682018,0.00136404,0.000173024,0.000866918,0.011507,0.362361,2.27907,53.039,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
6,0.00818422,0.00136404,0.000164378,0.00078672,0.00907209,0.319389,1.72457,22.0424,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
7,0.00954825,0.00136404,0.000158598,0.000724961,0.0082086,0.295901,1.46578,22.6552,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
8,0.0109123,0.00136404,0.00015308,0.000674248,0.00732578,0.279353,1.2752,14.188,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
9,0.0122763,0.00136404,0.000147694,0.000630917,0.00670262,0.267455,1.14066,11.3903,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
10,0.0136404,0.00136404,0.000142849,0.000594179,0.00615088,0.259649,1.04696,9.67226,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
11,0.0150044,0.00136404,0.000139612,0.00056411,0.00584035,0.253519,0.971581,8.49371,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
12,0.0163684,0.00136404,0.000136746,0.0005393,0.00568235,0.248996,0.911984,7.83449,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
13,0.0177325,0.00136404,0.000133801,0.000517867,0.00544229,0.244862,0.859875,7.12425,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
14,0.0190965,0.00136404,0.000131027,0.000498252,0.00524557,0.241746,0.817216,6.45846,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
15,0.0204605,0.00136404,0.000129096,0.000480655,0.00486196,0.239019,0.78068,5.84476,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
16,0.0218246,0.00136404,0.000127061,0.000465434,0.00474117,0.237525,0.750396,5.42837,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
17,0.0231886,0.00136404,0.000125173,0.000451947,0.00475822,0.237243,0.724716,5.0444,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
18,0.0245526,0.00136404,0.000123456,0.00043947,0.00459123,0.237074,0.702254,4.80866,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
19,0.0259167,0.00136404,0.000121808,0.000427797,0.00432962,0.237467,0.685681,6.56629,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
20,0.0272807,0.00136404,0.000120482,0.000417516,0.00411692,0.236714,0.663803,4.30621,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
21,0.0286448,0.00136404,0.000119423,0.000408553,0.00419839,0.236443,0.646717,4.11328,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
22,0.0300088,0.00136404,0.000118323,0.000400281,0.00412716,0.236408,0.631635,3.91189,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
23,0.0313728,0.00136404,0.000117314,0.000392259,0.00401545,0.236175,0.616867,3.75259,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
24,0.0327369,0.00136404,0.000116466,0.000384765,0.00385774,0.235877,0.603168,3.6249,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
25,0.0341009,0.00136404,0.000115598,0.000378243,0.00372834,0.235678,0.590855,3.4724,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
26,0.0354649,0.00136404,0.000114929,0.000372474,0.00376443,0.235721,0.579752,3.32716,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
27,0.036829,0.00136404,0.000114237,0.000366946,0.00373899,0.236603,0.569708,3.20155,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
28,0.038193,0.00136404,0.000113626,0.000361414,0.00367048,0.237495,0.560646,3.12723,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
29,0.039557,0.00136404,0.000113242,0.000356339,0.00348388,0.238214,0.551923,3.03224,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
30,0.0409211,0.00136404,0.000112781,0.000351851,0.00341655,0.238803,0.543535,2.90791,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
31,0.0422851,0.00136404,0.000112133,0.000347707,0.00344506,0.23939,0.535694,2.80667,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
32,0.0436491,0.00136404,0.000111655,0.000343554,0.00346875,0.240206,0.529295,3.50577,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
33,0.0450132,0.00136404,0.000111179,0.000339438,0.00337845,0.240704,0.521845,3.2807,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
34,0.0463772,0.00136404,0.000110838,0.000335736,0.00329234,0.240921,0.513775,2.59466,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
35,0.0477413,0.00136404,0.000110505,0.000332407,0.00313691,0.241359,0.507138,2.54391,1,1,1,0,2.5,1,1,0,0,0,2,0,,,,1
