step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
0,0,0.001,0.00047808,0.00573404,0.124373,1.68476e+06,3.17091e+07,9.71668e+08,1,1,1,0,2.5,1,1,0,0,0
1,0.00136404,0.00136404,0.000321778,0.00263249,0.05792,3142.56,63043.1,1.70117e+06,1,1,1,0,2.5,1,1,0,0,0
2,0.00272807,0.00136404,0.000231936,0.00147558,0.0239435,34.1182,708.649,23423.2,1,1,1,0,2.5,1,1,0,0,0
3,0.00409211,0.00136404,0.000194417,0.00107228,0.0171215,0.473386,7.70548,308.299,1,1,1,0,2.5,1,1,0,0,0
4,0.00545614,0.00136404,0.000170913,0.000862586,0.0128044,0.149991,0.96165,23.7395,1,1,1,0,2.5,1,1,0,0,0
5,0.00682018,0.00136404,0.000152972,0.000724596,0.00899483,0.140008,0.887978,29.7266,1,1,1,0,2.5,1,1,0,0,0
6,0.00818422,0.00136404,0.000140818,0.000634899,0.00768488,0.161783,1.48849,82.2284,1,1,1,0,2.5,1,1,0,0,0
7,0.00954825,0.00136404,0.000132376,0.000570159,0.00637108,0.171834,1.59668,74.4735,1,1,1,0,2.5,1,1,0,0,0
8,0.0109123,0.00136404,0.000124734,0.000517498,0.00556684,0.163719,1.29289,53.3552,1,1,1,0,2.5,1,1,0,0,0
9,0.0122763,0.00136404,0.000117918,0.000474122,0.00494242,0.166457,1.26588,56.2764,1,1,1,0,2.5,1,1,0,0,0
10,0.0136404,0.00136404,0.000112318,0.000439327,0.00433787,0.1576,0.946432,34.2628,1,1,1,0,2.5,1,1,0,0,0
11,0.0150044,0.00136404,0.000107649,0.000411667,0.00388776,0.150649,0.777185,29.0783,1,1,1,0,2.5,1,1,0,0,0
12,0.0163684,0.00136404,0.00010378,0.000389209,0.00357655,0.147792,0.697687,24.2621,1,1,1,0,2.5,1,1,0,0,0
13,0.0177325,0.00136404,0.000100733,0.000370215,0.00333957,0.145469,0.6291,17.9056,1,1,1,0,2.5,1,1,0,0,0
14,0.0190965,0.00136404,9.80403e-05,0.000353536,0.00314224,0.14584,0.59322,12.9416,1,1,1,0,2.5,1,1,0,0,0
15,0.0204605,0.00136404,9.54754e-05,0.000338602,0.00299285,0.145194,0.558801,9.9062,1,1,1,0,2.5,1,1,0,0,0
16,0.0218246,0.00136404,9.31773e-05,0.00032519,0.00288594,0.14553,0.536948,8.39889,1,1,1,0,2.5,1,1,0,0,0
17,0.0231886,0.00136404,9.11808e-05,0.000313185,0.00276451,0.146024,0.521395,7.72491,1,1,1,0,2.5,1,1,0,0,0
18,0.0245526,0.00136404,8.9394e-05,0.000302463,0.00263648,0.147686,0.515102,7.19824,1,1,1,0,2.5,1,1,0,0,0
19,0.0259167,0.00136404,8.77637e-05,0.000292867,0.00250861,0.148342,0.499985,5.82145,1,1,1,0,2.5,1,1,0,0,0
20,0.0272807,0.00136404,8.62487e-05,0.000284235,0.00239767,0.149955,0.492738,5.10046,1,1,1,0,2.5,1,1,0,0,0
21,0.0286448,0.00136404,8.48668e-05,0.000276422,0.00229962,0.152149,0.487881,4.71612,1,1,1,0,2.5,1,1,0,0,0
22,0.0300088,0.00136404,8.3631e-05,0.000269312,0.00220318,0.154607,0.48346,4.57637,1,1,1,0,2.5,1,1,0,0,0
23,0.0313728,0.00136404,8.25578e-05,0.000262814,0.00212474,0.157082,0.479076,4.31056,1,1,1,0,2.5,1,1,0,0,0
24,0.0327369,0.00136404,8.16693e-05,0.000256857,0.00206122,0.15944,0.474564,4.05158,1,1,1,0,2.5,1,1,0,0,0
25,0.0341009,0.00136404,8.08703e-05,0.000251381,0.00199961,0.161818,0.469815,3.95339,1,1,1,0,2.5,1,1,0,0,0
26,0.0354649,0.00136404,8.01261e-05,0.000246332,0.00193986,0.164229,0.465845,3.67444,1,1,1,0,2.5,1,1,0,0,0
27,0.036829,0.00136404,7.94089e-05,0.000241664,0.00188558,0.166222,0.460015,3.57066,1,1,1,0,2.5,1,1,0,0,0
28,0.038193,0.00136404,7.87302e-05,0.000237336,0.00184243,0.16817,0.454632,3.43021,1,1,1,0,2.5,1,1,0,0,0
