step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.00047808,0.00573404,0.124373,1.68476e+06,3.17091e+07,9.71668e+08,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
1,0.00136404,0.00136404,0.000467262,0.00507124,0.109268,30453.2,905019,5.0182e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
2,0.00272807,0.00136404,0.000458666,0.00456966,0.09533,22333.7,986168,7.81561e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
3,0.00409211,0.00136404,0.00045541,0.00422091,0.083142,2904.58,118106,8.87464e+06,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
4,0.00545614,0.00136404,0.000455338,0.00399026,0.0763681,9699.81,383291,2.67336e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
5,0.00682018,0.00136404,0.000460677,0.00381827,0.077382,15602,680711,4.59069e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
6,0.00818422,0.00136404,0.000471389,0.00368356,0.0777619,8864.9,432774,3.38643e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
7,0.00954825,0.00136404,0.000483221,0.00358908,0.0775963,10065.5,416929,2.40632e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
8,0.0109123,0.00136404,0.00049864,0.0035362,0.0769051,12776.6,536278,3.44981e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
9,0.0122763,0.00136404,0.00051715,0.00351469,0.0757952,12722.8,566169,3.67889e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
10,0.0136404,0.00136404,0.000535209,0.00351483,0.0745001,14194.6,593146,4.1254e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
11,0.0150044,0.00136404,0.000551007,0.00352557,0.0732226,12251.7,577284,3.47797e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
12,0.0163684,0.00136404,0.000566787,0.00353817,0.0720716,7185.2,328842,2.31396e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
13,0.0177325,0.00136404,0.000585668,0.00355227,0.0710238,16025,626095,3.93172e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
14,0.0190965,0.00136404,0.000604415,0.00357333,0.0700101,7659.73,360857,2.71422e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
15,0.0204605,0.00136404,0.000622839,0.00360333,0.0689055,9577.18,397945,2.83619e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
16,0.0218246,0.00136404,0.000642654,0.00364002,0.0675128,12377.1,496393,2.89317e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
17,0.0231886,0.00136404,0.00066385,0.00367652,0.0656555,15271.9,618093,3.65977e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
18,0.0245526,0.00136404,0.00068648,0.00370986,0.0632705,11645.6,480005,3.0647e+07,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
19,0.0259167,0.00136404,0.000708882,0.00374566,0.0604143,10273,444469,2.87089e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
20,0.0272807,0.00136404,0.000730952,0.00378744,0.0569722,9851.22,451129,3.17099e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
21,0.0286448,0.00136404,0.000751517,0.00383546,0.0530015,7934.27,337376,2.17525e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
22,0.0300088,0.00136404,0.000773073,0.00388785,0.04869,10325.5,452106,2.66562e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
23,0.0313728,0.00136404,0.000794314,0.00394084,0.0467493,7058.71,318780,2.13137e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
24,0.0327369,0.00136404,0.00081482,0.0039954,0.0475447,7285.69,296000,1.99739e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
25,0.0341009,0.00136404,0.000838052,0.00405286,0.0495445,9435.84,416394,2.44062e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
26,0.0354649,0.00136404,0.000863484,0.00411288,0.0517062,14181.1,574319,3.63728e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
27,0.036829,0.00136404,0.000887823,0.00417569,0.0539164,11734.5,466917,2.82557e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
28,0.038193,0.00136404,0.000915292,0.00424259,0.0559301,11003,500805,3.31337e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
29,0.039557,0.00136404,0.000941737,0.00431484,0.0575086,10276.1,448152,2.69536e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
30,0.0409211,0.00136404,0.000968195,0.00439438,0.0583748,10200.3,404796,2.70274e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
31,0.0422851,0.00136404,0.000998508,0.0044784,0.0583502,9117.71,409868,2.70935e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
32,0.0436491,0.00136404,0.00103016,0.00456533,0.057584,7188.22,315044,2.17952e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
33,0.0450132,0.00136404,0.00106506,0.00465672,0.0562878,11057.6,430865,2.34615e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
34,0.0463772,0.00136404,0.00110251,0.0047547,0.0561487,6567.52,297825,1.87079e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
35,0.0477413,0.00136404,0.00114035,0.00486016,0.0579794,10210.4,427073,3.06787e+07,1,1,1,0,2.5,1,0.999999,0,0,0,0,0,,,,1
