step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.00047808,0.00573404,0.124373,1.68476e+06,3.17091e+07,9.71668e+08,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
1,0.00136404,0.00136404,0.000118017,0.000553093,0.00742981,11.8957,351.646,18162.9,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
2,0.00272807,0.00136404,8.25889e-05,0.000329825,0.00377698,0.269522,1.76615,49.1071,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
3,0.00409211,0.00136404,6.83966e-05,0.000249393,0.00242122,0.216833,0.959456,11.872,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
4,0.00545614,0.00136404,6.02583e-05,0.000208328,0.0018838,0.205341,0.751067,6.4089,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
5,0.00682018,0.00136404,5.50259e-05,0.000183579,0.00153734,0.20312,0.655092,6.06094,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
6,0.00818422,0.00136404,5.15079e-05,0.000167311,0.00132538,0.200182,0.5872,3.62296,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
7,0.00954825,0.00136404,4.903e-05,0.000155948,0.00117926,0.199916,0.543554,3.06481,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
8,0.0109123,0.00136404,4.71024e-05,0.000147581,0.00106114,0.200546,0.512035,2.6714,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
9,0.0122763,0.00136404,4.5546e-05,0.000141169,0.000966017,0.201887,0.487827,2.40099,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
10,0.0136404,0.00136404,4.42162e-05,0.000136074,0.000894109,0.203664,0.469326,2.7923,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
11,0.0150044,0.00136404,4.30531e-05,0.00013186,0.00083157,0.204942,0.452296,2.00166,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
12,0.0163684,0.00136404,4.20237e-05,0.00012819,0.000787414,0.206621,0.439996,3.5399,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
13,0.0177325,0.00136404,4.10753e-05,0.000124906,0.000750835,0.20776,0.42649,1.72001,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
14,0.0190965,0.00136404,4.02013e-05,0.000121888,0.000741565,0.209222,0.416015,1.61862,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
15,0.0204605,0.00136404,3.9432e-05,0.000119104,0.000732806,0.210642,0.406779,1.53034,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
16,0.0218246,0.00136404,3.86732e-05,0.000116418,0.000716812,0.211931,0.398358,1.45144,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
17,0.0231886,0.00136404,3.79342e-05,0.000113822,0.000703253,0.213294,0.390862,1.37927,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
18,0.0245526,0.00136404,3.72473e-05,0.000111329,0.000689116,0.214754,0.384317,1.46266,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
19,0.0259167,0.00136404,3.65934e-05,0.000108985,0.000682734,0.215936,0.377741,1.26691,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
20,0.0272807,0.00136404,3.59927e-05,0.00010676,0.000673342,0.21722,0.371989,1.21767,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
21,0.0286448,0.00136404,3.5421e-05,0.000104626,0.000682171,0.218508,0.366692,1.17253,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
22,0.0300088,0.00136404,3.48821e-05,0.000102548,0.000672648,0.219835,0.361816,1.13419,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
23,0.0313728,0.00136404,3.43292e-05,0.000100505,0.000657283,0.221119,0.357282,1.09621,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
24,0.0327369,0.00136404,3.38107e-05,9.8587e-05,0.000635661,0.222395,0.35306,1.06254,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
25,0.0341009,0.00136404,3.33466e-05,9.6784e-05,0.000642584,0.223645,0.349114,1.03156,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
26,0.0354649,0.00136404,3.28949e-05,9.50903e-05,0.000638837,0.224861,0.345373,1.00117,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
27,0.036829,0.00136404,3.24662e-05,9.34468e-05,0.000636583,0.226041,0.341811,0.975344,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
28,0.038193,0.00136404,3.20643e-05,9.18737e-05,0.000621877,0.22725,0.338512,0.94926,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
29,0.039557,0.00136404,3.16708e-05,9.03708e-05,0.000621041,0.228297,0.335177,0.926357,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
30,0.0409211,0.00136404,3.13195e-05,8.89678e-05,0.000609018,0.229379,0.332099,0.903778,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
31,0.0422851,0.00136404,3.09793e-05,8.76644e-05,0.000607576,0.230428,0.329164,0.883206,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
32,0.0436491,0.00136404,3.06767e-05,8.64178e-05,0.000608609,0.23148,0.326381,0.863169,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
33,0.0450132,0.00136404,3.03725e-05,8.52197e-05,0.000608077,0.232494,0.323753,0.844602,1,1,1,0,2.5,1,1,0,0,0,5,0,,,,1
34,0.0463772,0.00136404,3.00902e-05,8.4087e-05,0.000607828,0.233506,0.32131,0.826879,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
35,0.0477413,0.00136404,2.98506e-05,8.30506e-05,0.000605016,0.234483,0.3191,0.809898,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
36,0.0491053,0.00136404,2.96253e-05,8.20812e-05,0.000598828,0.235409,0.317192,0.794288,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
37,0.0504693,0.00136404,2.94018e-05,8.11642e-05,0.000593328,0.236261,0.315675,0.77931,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
38,0.0518334,0.00136404,2.91911e-05,8.02772e-05,0.000597855,0.237029,0.314658,0.764637,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
39,0.0531974,0.00136404,2.89872e-05,7.94509e-05,0.000594983,0.237656,0.314232,0.9601,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
40,0.0545614,0.00136404,2.88288e-05,7.86983e-05,0.000597628,0.238143,0.314483,1.26744,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
41,0.0559255,0.00136404,2.87104e-05,7.80175e-05,0.000589714,0.238443,0.315453,1.64645,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
42,0.0572895,0.00136404,2.85632e-05,7.73826e-05,0.000590528,0.238475,0.3171,2.11999,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
43,0.0586535,0.00136404,2.84288e-05,7.67471e-05,0.000586347,0.238285,0.319265,2.69635,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
44,0.0600176,0.00136404,2.83016e-05,7.61462e-05,0.000588352,0.237829,0.32154,3.1919,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
45,0.0613816,0.00136404,2.8224e-05,7.5606e-05,0.000588474,0.237072,0.323501,3.69821,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
46,0.0627456,0.00136404,2.81445e-05,7.51319e-05,0.000588678,0.236049,0.324768,3.98355,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
47,0.0641097,0.00136404,2.80795e-05,7.46905e-05,0.000584504,0.234785,0.325078,4.2445,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
48,0.0654737,0.00136404,2.80031e-05,7.42808e-05,0.000581901,0.233306,0.324355,4.28581,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
49,0.0668378,0.00136404,2.79299e-05,7.38516e-05,0.000580085,0.231649,0.322704,4.33206,1,1,1,0,2.5,1,0.999999,0,0,0,5,0,,,,1
