step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0.00047808,0.00573404,0.124373,1.68476e+06,3.17091e+07,9.71668e+08,1,1,1,0,2.5,1,1,0,0,0,0,0,,,,1
1,0.00136404,0.00136404,0.000360487,0.0032263,0.0677807,7598.43,190859,8.7616e+06,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
2,0.00272807,0.00136404,0.000296941,0.00220559,0.0410794,175.541,5076.7,202745,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
3,0.00409211,0.00136404,0.000255658,0.00168561,0.0265199,11.257,478.289,33069.2,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
4,0.00545614,0.00136404,0.000227028,0.00138246,0.0241305,2.28252,62.6969,3907,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
5,0.00682018,0.00136404,0.000209252,0.00118779,0.0205937,1.10948,16.5796,800.508,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
6,0.00818422,0.00136404,0.000196619,0.0010583,0.0168566,0.752136,9.26453,387.586,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
7,0.00954825,0.00136404,0.000186211,0.000970768,0.0140469,0.590519,6.32869,244.801,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
8,0.0109123,0.00136404,0.000178971,0.000904317,0.0116366,0.52257,5.05865,199.915,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
9,0.0122763,0.00136404,0.000172141,0.000853515,0.0117782,0.449536,3.8824,133.733,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
10,0.0136404,0.00136404,0.00016804,0.0008169,0.0114296,0.407924,3.5939,146.342,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
11,0.0150044,0.00136404,0.000166241,0.00079185,0.011321,0.35145,2.36894,50.9457,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
12,0.0163684,0.00136404,0.000165623,0.000774065,0.010405,0.319514,2.00976,38.8131,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
13,0.0177325,0.00136404,0.000164512,0.000759767,0.00968849,0.301479,1.83927,37.3563,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
14,0.0190965,0.00136404,0.000163011,0.000747291,0.0100312,0.285988,1.65722,27.1118,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
15,0.0204605,0.00136404,0.000162632,0.000738044,0.00976495,0.274242,1.51714,24.3461,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
16,0.0218246,0.00136404,0.00016249,0.000732552,0.00961833,0.270658,1.471,27.1183,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
17,0.0231886,0.00136404,0.000162971,0.000728545,0.0091059,0.264156,1.46092,54.3258,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
18,0.0245526,0.00136404,0.000163963,0.000726049,0.00904972,0.259102,1.385,43.214,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
19,0.0259167,0.00136404,0.000164668,0.000723545,0.00924486,0.252417,1.33744,51.4309,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
20,0.0272807,0.00136404,0.000165205,0.000721752,0.00923129,0.246097,1.22994,32.6288,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
21,0.0286448,0.00136404,0.000165778,0.0007213,0.00873156,0.242834,1.22213,45.1384,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
22,0.0300088,0.00136404,0.000167392,0.000721361,0.00928128,0.235,1.08368,17.3415,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
23,0.0313728,0.00136404,0.000169246,0.000721894,0.00868971,0.232289,1.04763,20.0419,1,1,1,0,2.5,1,1,0,0,0,1,0,,,,1
