step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,0.221049,-3.41672e-19,2.779e-17,0,0.349257,0.221049,0.132629,0,0,0,0,0,,,,1
1,0.00141135,0.00141135,2.00606e-09,2.57038e-09,1.89601e-08,7.78873e-11,1.8995e-10,9.5025e-09,0.221049,-7.09957e-18,7.66565e-20,0,0.349257,0.220974,0.132564,0,0,0,1,901,9.99639e-13,1.89601e-08,1.89601e-08,1
2,0.0028213,0.00140995,2.00407e-09,2.56812e-09,1.882e-08,7.7769e-11,1.88978e-10,9.36497e-09,0.221049,-7.93957e-17,-1.87231e-18,0,0.349257,0.220855,0.132456,0,0,0,1,901,9.98939e-13,1.882e-08,1.882e-08,1
3,0.00423018,0.00140888,2.00057e-09,2.56404e-09,1.87096e-08,7.75989e-11,1.87965e-10,9.24374e-09,0.221049,-4.38822e-17,2.83703e-19,0,0.349257,0.22069,0.132307,0,0,0,1,901,9.97138e-13,1.87096e-08,1.87096e-08,1
4,0.00563808,0.0014079,1.99675e-09,2.5595e-09,1.86141e-08,7.74071e-11,1.86856e-10,9.13125e-09,0.221049,7.55628e-17,-4.3474e-19,0,0.349257,0.220479,0.132117,0,0,0,1,901,9.9484e-13,1.86141e-08,1.86141e-08,1
5,0.00704478,0.0014067,1.99291e-09,2.55465e-09,1.85283e-08,7.72017e-11,1.8567e-10,9.02475e-09,0.221049,2.53041e-16,1.15302e-19,0,0.349257,0.220223,0.131888,0,0,0,1,901,9.92152e-13,1.85283e-08,1.85283e-08,1
6,0.00845038,0.0014056,2.01037e-09,2.5774e-09,1.86697e-08,7.78634e-11,1.86722e-10,9.02929e-09,0.221049,1.38741e-16,6.86097e-20,0,0.349257,0.21992,0.131621,0,0,0,1,900,9.9993e-13,1.86697e-08,1.86697e-08,1
7,0.00985501,0.00140463,2.0063e-09,2.5722e-09,1.85804e-08,7.76369e-11,1.85487e-10,8.92261e-09,0.221049,1.42603e-16,-6.69209e-19,0,0.349257,0.219572,0.131317,0,0,0,1,900,9.97048e-13,1.85804e-08,1.85804e-08,1
8,0.0112585,0.00140348,2.00171e-09,2.56626e-09,1.84825e-08,7.73858e-11,1.84178e-10,8.81295e-09,0.221049,-1.88838e-16,1.05143e-18,0,0.349257,0.21918,0.130978,0,0,0,1,900,9.93859e-13,1.84825e-08,1.84825e-08,1
9,0.0126609,0.00140243,1.99697e-09,2.56009e-09,1.83803e-08,7.71257e-11,1.82842e-10,8.7023e-09,0.221049,2.30385e-16,2.70521e-19,0,0.349257,0.218747,0.130603,0,0,0,1,900,9.90576e-13,1.83803e-08,1.83803e-08,1
10,0.0140621,0.0014012,2.01334e-09,2.58122e-09,1.84961e-08,7.77256e-11,1.83683e-10,8.69527e-09,0.221049,-2.52618e-16,-1.37881e-18,0,0.349257,0.218271,0.130193,0,0,0,1,899,9.97582e-13,1.84961e-08,1.84961e-08,1
11,0.0154625,0.00140034,2.00831e-09,2.57459e-09,1.83851e-08,7.74495e-11,1.82337e-10,8.58203e-09,0.221049,-1.81288e-16,5.69365e-19,0,0.349257,0.217756,0.12975,0,0,0,1,899,9.94107e-13,1.83851e-08,1.83851e-08,1
12,0.0168616,0.00139911,2.00247e-09,2.56685e-09,1.82632e-08,7.71391e-11,1.809e-10,8.46496e-09,0.221049,4.93869e-16,-9.05266e-21,0,0.349257,0.217201,0.129277,0,0,0,1,899,9.90199e-13,1.82632e-08,1.82632e-08,1
13,0.0182572,0.00139563,2.01492e-09,2.58275e-09,1.83292e-08,7.75748e-11,1.81292e-10,8.4357e-09,0.221049,-1.06297e-16,8.74138e-19,0,0.349257,0.21661,0.128775,0,0,0,1,898,9.95114e-13,1.83292e-08,1.83292e-08,1
14,0.0196491,0.00139194,2.02694e-09,2.59803e-09,1.83858e-08,7.79936e-11,1.81619e-10,8.4023e-09,0.221049,-2.43816e-16,-2.86297e-19,0,0.349257,0.215982,0.128244,0,0,0,1,897,9.99744e-13,1.83858e-08,1.83858e-08,1
15,0.0210375,0.0013884,2.01682e-09,2.58459e-09,1.82119e-08,7.75132e-11,1.79785e-10,8.26457e-09,0.221049,2.10038e-16,-1.86771e-18,0,0.349257,0.21532,0.127671,0,0,0,1,897,9.93616e-13,1.82119e-08,1.82119e-08,1
16,0.0224224,0.00138487,2.02856e-09,2.59929e-09,1.8255e-08,7.79224e-11,1.80139e-10,8.22638e-09,0.221049,4.23149e-16,4.94667e-18,0,0.349257,0.214625,0.127029,0,0,0,1,896,9.9794e-13,1.8255e-08,1.8255e-08,1
17,0.0238039,0.00138148,2.01797e-09,2.58505e-09,1.80673e-08,7.74211e-11,1.78254e-10,8.08527e-09,0.221049,6.3093e-17,1.50158e-18,0,0.349257,0.213899,0.126358,0,0,0,1,896,9.91465e-13,1.80673e-08,1.80673e-08,1
18,0.0251819,0.00137797,2.02919e-09,2.59881e-09,1.80933e-08,7.77978e-11,1.78381e-10,8.04104e-09,0.221049,2.47133e-16,-1.96935e-20,0,0.349257,0.213142,0.125657,0,0,0,1,895,9.95315e-13,1.80933e-08,1.80933e-08,1
19,0.0265563,0.00137446,2.04023e-09,2.6122e-09,1.81105e-08,7.8164e-11,1.78425e-10,7.99353e-09,0.221049,-2.20264e-16,3.91234e-18,0,0.349257,0.212354,0.12493,0,0,0,1,894,9.98949e-13,1.81105e-08,1.81105e-08,1
20,0.0279274,0.0013711,2.02864e-09,2.59631e-09,1.78974e-08,7.76178e-11,1.76372e-10,7.8458e-09,0.221049,-1.86797e-16,-3.7171e-18,0,0.349257,0.211539,0.124176,0,0,0,1,894,9.91727e-13,1.78974e-08,1.78974e-08,1
21,0.0292953,0.00136789,2.03956e-09,2.60926e-09,1.78995e-08,7.7987e-11,1.76579e-10,7.79388e-09,0.221049,3.03448e-16,6.29674e-18,0,0.349257,0.210697,0.123399,0,0,0,1,893,9.95177e-13,1.78995e-08,1.78995e-08,1
22,0.03066,0.0013647,2.05032e-09,2.62182e-09,1.78914e-08,7.83492e-11,1.7676e-10,7.73837e-09,0.221049,2.24883e-16,-1.48813e-19,0,0.349257,0.20983,0.122598,0,0,0,1,892,9.98394e-13,1.78914e-08,1.78914e-08,1
23,0.0320216,0.00136156,2.03798e-09,2.60454e-09,1.76516e-08,7.77716e-11,1.74605e-10,7.58427e-09,0.221049,-2.47553e-16,2.96266e-18,0,0.349257,0.20894,0.121776,0,0,0,1,892,9.90529e-13,1.76516e-08,1.76516e-08,1
24,0.0333799,0.00135834,2.04813e-09,2.61598e-09,1.76217e-08,7.80902e-11,1.74385e-10,7.52203e-09,0.221049,-2.25139e-16,3.82239e-18,0,0.349257,0.208027,0.120935,0,0,0,1,891,9.93137e-13,1.76217e-08,1.76217e-08,1
25,0.0347351,0.00135518,2.05822e-09,2.62713e-09,1.75817e-08,7.84055e-11,1.74161e-10,7.45661e-09,0.221049,3.09124e-16,1.34212e-18,0,0.349257,0.207093,0.120074,0,0,0,1,890,9.95514e-13,1.75817e-08,1.75817e-08,1
26,0.0360872,0.00135213,2.06838e-09,2.6381e-09,1.75322e-08,7.87319e-11,1.74141e-10,7.38838e-09,0.221049,-3.87381e-16,-2.16491e-18,0,0.349257,0.206139,0.119197,0,0,0,1,889,9.97683e-13,1.75322e-08,1.75322e-08,1
27,0.0374365,0.00134928,2.0787e-09,2.64904e-09,1.74742e-08,7.90715e-11,1.74302e-10,7.31781e-09,0.221049,-3.20292e-16,2.48207e-18,0,0.349257,0.205166,0.118303,0,0,0,1,888,9.99698e-13,1.74742e-08,1.74742e-08,1
28,0.0387829,0.00134641,2.06511e-09,2.62938e-09,1.71855e-08,7.84493e-11,1.7214e-10,7.15253e-09,0.221049,-2.19356e-16,-4.76837e-18,0,0.349257,0.204175,0.117395,0,0,0,1,888,9.90481e-13,1.71855e-08,1.71855e-08,1
29,0.0401265,0.00134358,2.07493e-09,2.63943e-09,1.7106e-08,7.87477e-11,1.71823e-10,7.0763e-09,0.221049,3.88166e-16,3.14085e-18,0,0.349257,0.203168,0.116473,0,0,0,1,887,9.9189e-13,1.7106e-08,1.7106e-08,1
30,0.0414671,0.00134064,2.08445e-09,2.64897e-09,1.70142e-08,7.90272e-11,1.71349e-10,6.99646e-09,0.221049,2.9694e-17,4.6761e-18,0,0.349257,0.202145,0.115539,0,0,0,1,886,9.92939e-13,1.70142e-08,1.70142e-08,1
31,0.042805,0.00133785,2.09405e-09,2.6585e-09,1.69136e-08,7.93145e-11,1.70985e-10,6.91454e-09,0.221049,1.08486e-16,-3.58004e-18,0,0.349257,0.201108,0.114594,0,0,0,1,885,9.93808e-13,1.69136e-08,1.69136e-08,1
32,0.04414,0.00133508,2.10356e-09,2.66782e-09,1.68028e-08,7.96236e-11,1.71234e-10,6.83006e-09,0.221049,-1.32282e-16,-1.90318e-19,0,0.349257,0.200058,0.113639,0,0,0,1,884,9.9442e-13,1.68028e-08,1.68028e-08,1
33,0.0454726,0.00133254,2.11328e-09,2.67736e-09,1.66845e-08,7.99509e-11,1.71785e-10,6.74418e-09,0.221049,-1.84721e-17,2.90569e-18,0,0.349257,0.198995,0.112674,0,0,0,1,883,9.94966e-13,1.66845e-08,1.66845e-08,1
34,0.0468026,0.00133004,2.12301e-09,2.68681e-09,1.6557e-08,8.02406e-11,1.71259e-10,6.65627e-09,0.221049,3.15313e-16,2.72602e-18,0,0.349257,0.19792,0.111702,0,0,0,1,882,9.95342e-13,1.6557e-08,1.6557e-08,1
35,0.0481302,0.00132763,2.13277e-09,2.69633e-09,1.64213e-08,8.05253e-11,1.70771e-10,6.5668e-09,0.221049,-2.01925e-16,-3.41487e-18,0,0.349257,0.196834,0.110723,0,0,0,1,881,9.95564e-13,1.64213e-08,1.64213e-08,1
