step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,0.221049,-3.41672e-19,2.779e-17,0,0.349257,0.221049,0.132629,0,0,0,0,0,,,,1
1,0.00141135,0.00141135,0.000779522,0.00092299,0.00309648,2.48373e-05,3.11514e-05,0.000493124,0.221049,-1.61587e-09,-1.35674e-09,0,0.349257,0.221015,0.132596,0,0,0,2,0,,,,1
2,0.00282126,0.00140991,0.00155625,0.00182969,0.00589625,4.96565e-05,6.21043e-05,0.00103406,0.221049,-7.88448e-09,-6.06492e-09,0,0.349257,0.220942,0.132522,0,0,0,2,0,,,,1
3,0.00422984,0.00140857,0.0023324,0.00273056,0.00844861,7.45633e-05,9.32023e-05,0.00156883,0.221049,-2.18059e-08,-1.6071e-08,0,0.349257,0.220819,0.132396,0,0,0,2,0,,,,1
4,0.00563683,0.00140699,0.00310828,0.0036308,0.0108434,9.96163e-05,0.000124683,0.0020427,0.221049,-4.63353e-08,-3.32694e-08,0,0.349257,0.22065,0.132225,0,0,0,2,0,,,,1
5,0.00704232,0.00140548,0.00388424,0.0045317,0.0131165,0.000124861,0.000156753,0.00243221,0.221049,-8.43886e-08,-5.95096e-08,0,0.349257,0.220431,0.132009,0,0,0,2,0,,,,1
6,0.00844637,0.00140406,0.0046601,0.00543314,0.0153416,0.000150334,0.000189611,0.00317315,0.221049,-1.38842e-07,-9.6597e-08,0,0.349257,0.220163,0.131742,0,0,0,2,0,,,,1
7,0.00984878,0.00140241,0.00543746,0.00633446,0.0174811,0.000176105,0.000223406,0.00398033,0.221049,-2.12511e-07,-1.46279e-07,0,0.349257,0.219849,0.131428,0,0,0,2,0,,,,1
8,0.0112497,0.00140097,0.00621725,0.00723772,0.0195362,0.000202217,0.000258269,0.0047155,0.221049,-3.0819e-07,-2.10276e-07,0,0.349257,0.219486,0.131068,0,0,0,2,0,,,,1
9,0.0126491,0.00139936,0.00699849,0.00814516,0.0215161,0.000228679,0.000294342,0.00529786,0.221049,-4.28598e-07,-2.90243e-07,0,0.349257,0.219077,0.13066,0,0,0,2,0,,,,1
