step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
0,0,0.001,0,0,0,0,0,0,0.221049,-3.41672e-19,2.779e-17,0,0.349257,0.221049,0.132629,0,0,0
1,0.00141135,0.00141135,0.00089918,0.00123437,0.00338561,2.9565e-05,4.42455e-05,0.000622116,0.221049,-7.09957e-18,7.66565e-20,0,0.349257,0.220974,0.132564,0,0,0
2,0.00282137,0.00141002,0.00179137,0.00245511,0.00680343,5.9071e-05,8.84632e-05,0.00137445,0.221049,3.97153e-19,-3.00167e-20,0,0.349257,0.220855,0.132457,0,0,0
3,0.0042303,0.00140893,0.00267605,0.0036608,0.0102428,8.85473e-05,0.000133149,0.00245638,0.221049,-6.79686e-18,-5.11502e-19,0,0.349257,0.22069,0.13231,0,0,0
4,0.00563838,0.00140809,0.00355328,0.00485025,0.0136936,0.000118047,0.000178824,0.00356333,0.221049,-2.14241e-18,6.0854e-19,0,0.349257,0.220479,0.132123,0,0,0
5,0.00704518,0.0014068,0.00442289,0.0060222,0.0171444,0.000147581,0.000224821,0.00425535,0.221049,-1.40769e-17,4.86303e-19,0,0.349257,0.220224,0.131898,0,0,0
6,0.0084509,0.00140572,0.00528433,0.0071763,0.0205852,0.000177102,0.000270836,0.00500463,0.221049,1.34774e-18,-5.808e-19,0,0.349257,0.219921,0.131635,0,0,0
7,0.00985579,0.00140488,0.00613788,0.00831219,0.024005,0.000206617,0.000316987,0.00619941,0.221049,-1.25722e-17,1.63107e-19,0,0.349257,0.219573,0.131336,0,0,0
8,0.0112595,0.0014037,0.00698457,0.0094292,0.0273892,0.000236159,0.000363721,0.00758164,0.221049,1.91583e-18,1.07256e-19,0,0.349257,0.219182,0.131001,0,0,0
9,0.0126621,0.00140263,0.0078256,0.0105271,0.0307206,0.000265829,0.000411641,0.00898285,0.221049,3.32603e-18,-1.78353e-19,0,0.349257,0.218749,0.130633,0,0,0
10,0.0140639,0.00140179,0.00866105,0.0116057,0.0339761,0.000295581,0.000460474,0.00971746,0.221049,-7.52779e-18,-9.04155e-19,0,0.349257,0.218274,0.13023,0,0,0
11,0.0154647,0.00140078,0.00948982,0.0126648,0.0371751,0.000325326,0.00050942,0.0109322,0.221049,3.6577e-18,-1.44784e-18,0,0.349257,0.217759,0.129795,0,0,0
12,0.0168644,0.00139972,0.0103117,0.0137048,0.0402896,0.000355065,0.000557952,0.0126256,0.221049,5.21587e-18,-1.66897e-18,0,0.349257,0.217205,0.129329,0,0,0
13,0.0182604,0.00139597,0.0111242,0.014724,0.0432818,0.000384719,0.000606483,0.0140635,0.221049,2.42736e-17,-2.77207e-18,0,0.349257,0.216614,0.128836,0,0,0
14,0.0196527,0.00139233,0.0119282,0.0157235,0.046148,0.000414342,0.000656518,0.0155751,0.221049,2.05689e-17,1.09225e-18,0,0.349257,0.215988,0.128314,0,0,0
15,0.0210415,0.00138883,0.0127245,0.016704,0.0489366,0.000443928,0.000707979,0.0163673,0.221049,-6.55942e-18,1.70068e-18,0,0.349257,0.215327,0.127766,0,0,0
16,0.0224269,0.00138535,0.0135132,0.0176666,0.0515733,0.000473414,0.000760211,0.0181161,0.221049,8.55747e-18,3.6216e-19,0,0.349257,0.214633,0.127158,0,0,0
17,0.0238088,0.00138191,0.014295,0.0186128,0.0540369,0.00050287,0.000812502,0.0205716,0.221049,1.49418e-17,-1.27711e-18,0,0.349257,0.213907,0.126504,0,0,0
18,0.0251872,0.00137844,0.0150716,0.0195439,0.0563684,0.000532355,0.000863662,0.0221521,0.221049,-2.13135e-18,-1.87597e-18,0,0.349257,0.213151,0.125821,0,0,0
19,0.0265622,0.00137496,0.0158431,0.0204617,0.0589305,0.00056186,0.000915124,0.0233057,0.221049,-7.80101e-18,3.28596e-19,0,0.349257,0.212365,0.125112,0,0,0
20,0.0279339,0.00137165,0.0166107,0.021368,0.0617762,0.000591454,0.000968657,0.0251229,0.221049,7.54992e-18,-2.16232e-18,0,0.349257,0.211552,0.124378,0,0,0
21,0.0293023,0.00136848,0.0173759,0.0222647,0.0647077,0.000621132,0.00102356,0.0267768,0.221049,-3.1751e-17,-5.1939e-19,0,0.349257,0.210712,0.12362,0,0,0
22,0.0306677,0.00136535,0.0181367,0.0231538,0.0676813,0.000650804,0.00107957,0.0300607,0.221049,-1.15398e-17,7.73447e-20,0,0.349257,0.209846,0.122839,0,0,0
23,0.0320298,0.00136211,0.0188946,0.0240377,0.0707863,0.000680578,0.00113513,0.0326985,0.221049,8.3833e-18,2.37206e-18,0,0.349257,0.208957,0.122038,0,0,0
24,0.0333887,0.00135895,0.0196498,0.0249188,0.0740358,0.000710231,0.00118869,0.0337463,0.221049,-3.33244e-18,-3.92706e-19,0,0.349257,0.208045,0.121217,0,0,0
25,0.0347445,0.00135581,0.0204008,0.0257998,0.0774879,0.000739804,0.00124332,0.0337304,0.221049,6.12452e-18,-3.73293e-18,0,0.349257,0.207112,0.120377,0,0,0
26,0.0360974,0.00135282,0.0211482,0.0266833,0.0821805,0.000769627,0.00130216,0.035573,0.221049,8.93551e-18,-1.41147e-18,0,0.349257,0.206158,0.11952,0,0,0
27,0.0374473,0.00134999,0.0218947,0.0275721,0.0871032,0.000799881,0.00136522,0.0403305,0.221049,2.08762e-17,-1.53149e-18,0,0.349257,0.205186,0.118647,0,0,0
28,0.0387945,0.00134718,0.0226387,0.0284688,0.0919947,0.000830028,0.00143063,0.0458817,0.221049,7.95099e-19,-2.90278e-18,0,0.349257,0.204195,0.11776,0,0,0
29,0.0401388,0.00134423,0.0233809,0.0293756,0.0964601,0.000859942,0.00149415,0.0483415,0.221049,-2.20176e-19,1.45012e-18,0,0.349257,0.203188,0.116859,0,0,0
30,0.0414801,0.00134135,0.0241223,0.0302956,0.102024,0.000889878,0.00155376,0.047782,0.221049,1.87295e-17,3.85056e-18,0,0.349257,0.202166,0.115946,0,0,0
31,0.0428187,0.00133857,0.0248621,0.0312315,0.108755,0.000920457,0.00161461,0.0475116,0.221049,-1.40142e-17,3.15313e-18,0,0.349257,0.201128,0.115021,0,0,0
32,0.0441545,0.00133587,0.0256025,0.0321861,0.115044,0.000951264,0.00168297,0.0502085,0.221049,1.34316e-17,-1.284e-18,0,0.349257,0.200077,0.114087,0,0,0
33,0.0454879,0.00133338,0.0263428,0.0331617,0.120814,0.000982198,0.00176035,0.0586477,0.221049,2.02122e-17,-2.46741e-18,0,0.349257,0.199014,0.113144,0,0,0
34,0.0468188,0.00133089,0.0270829,0.0341604,0.126333,0.00101287,0.00184154,0.0673967,0.221049,1.67739e-18,-2.83057e-18,0,0.349257,0.197939,0.112193,0,0,0
35,0.0481471,0.00132835,0.0278235,0.0351841,0.132085,0.00104385,0.00191503,0.0697093,0.221049,-4.31574e-18,-1.01437e-18,0,0.349257,0.196854,0.111235,0,0,0
36,0.0494729,0.00132572,0.0285672,0.0362343,0.138877,0.00107516,0.00197779,0.0660065,0.221049,-2.37981e-17,1.35578e-19,0,0.349257,0.195759,0.110271,0,0,0
37,0.0507962,0.00132331,0.0293145,0.0373127,0.147152,0.00110642,0.00204004,0.0618694,0.221049,3.85559e-19,-2.22944e-18,0,0.349257,0.194656,0.109301,0,0,0
38,0.0521171,0.00132089,0.0300626,0.0384213,0.154468,0.00113774,0.00211476,0.0640258,0.221049,1.19571e-17,1.20914e-19,0,0.349257,0.193544,0.108324,0,0,0
39,0.0534357,0.00131866,0.0308113,0.0395617,0.16142,0.00116973,0.00221047,0.0796517,0.221049,-9.56978e-18,-2.59192e-19,0,0.349257,0.192426,0.107343,0,0,0
40,0.0547523,0.00131656,0.031564,0.040735,0.168115,0.00120265,0.00232103,0.0969482,0.221049,7.21603e-18,2.32998e-18,0,0.349257,0.191302,0.106359,0,0,0
