step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
0,0,0.001,0,0,0,0,0,0,0.221049,-3.41672e-19,2.779e-17,0,0.349257,0.221049,0.132629,0,0,0
1,0.00141135,0.00141135,0.00089918,0.00123437,0.00338561,2.9565e-05,4.42455e-05,0.000622116,0.221049,-1.69972e-09,-1.67158e-09,0,0.349257,0.220974,0.132564,0,0,0
2,0.00282137,0.00141002,0.00179181,0.00245592,0.0068038,5.91049e-05,8.85976e-05,0.00137904,0.221049,-8.46513e-09,-8.29598e-09,0,0.349257,0.220855,0.132457,0,0,0
3,0.0042303,0.00140893,0.00267796,0.00366427,0.0102443,8.86819e-05,0.000133668,0.00247736,0.221049,-2.36157e-08,-2.3066e-08,0,0.349257,0.220689,0.132309,0,0,0
4,0.00563838,0.00140808,0.00355815,0.00485929,0.0136975,0.000118375,0.000180092,0.00362634,0.221049,-5.04291e-08,-4.90916e-08,0,0.349257,0.220478,0.13212,0,0,0
5,0.00704518,0.0014068,0.00443293,0.00604082,0.0171523,0.000148234,0.000227386,0.00438933,0.221049,-9.21171e-08,-8.93777e-08,0,0.349257,0.220222,0.131893,0,0,0
6,0.0084509,0.00140572,0.00530237,0.0072096,0.0205991,0.000178276,0.000275396,0.00512763,0.221049,-1.51856e-07,-1.46855e-07,0,0.349257,0.219918,0.131628,0,0,0
7,0.00985578,0.00140488,0.00616736,0.00836636,0.0240282,0.000208537,0.000324321,0.0064543,0.221049,-2.32782e-07,-2.24377e-07,0,0.349257,0.21957,0.131324,0,0,0
8,0.0112595,0.00140369,0.00702799,0.00951145,0.0274272,0.000239003,0.000374623,0.00800215,0.221049,-3.37947e-07,-3.24676e-07,0,0.349257,0.219177,0.130983,0,0,0
9,0.0126621,0.00140262,0.00788629,0.0106456,0.0307835,0.000269746,0.000426931,0.00959221,0.221049,-4.70373e-07,-4.50424e-07,0,0.349257,0.218743,0.130608,0,0,0
10,0.0140639,0.00140178,0.00874313,0.0117695,0.0340824,0.00030084,0.000481146,0.0105291,0.221049,-6.33059e-07,-6.0423e-07,0,0.349257,0.218266,0.130199,0,0,0
11,0.0154646,0.00140076,0.00959794,0.0128838,0.037307,0.000332247,0.000536698,0.0119466,0.221049,-8.28904e-07,-7.88578e-07,0,0.349257,0.21775,0.129758,0,0,0
12,0.0168643,0.00139971,0.0104502,0.0139895,0.040488,0.000363948,0.000593116,0.0137227,0.221049,-1.06077e-06,-1.00588e-06,0,0.349257,0.217194,0.129286,0,0,0
13,0.0182603,0.00139591,0.0112988,0.0150853,0.0435829,0.000395882,0.000650656,0.0155855,0.221049,-1.33084e-06,-1.2579e-06,0,0.349257,0.2166,0.128786,0,0,0
14,0.0196525,0.00139226,0.0121444,0.0161728,0.04658,0.000428137,0.000710771,0.017477,0.221049,-1.64167e-06,-1.5467e-06,0,0.349257,0.215972,0.128257,0,0,0
15,0.0210413,0.00138875,0.0129875,0.0172529,0.0494707,0.000460704,0.000773647,0.019275,0.221049,-1.99572e-06,-1.87424e-06,0,0.349257,0.215308,0.127686,0,0,0
16,0.0224265,0.00138526,0.0138272,0.0183268,0.052245,0.00049351,0.000838804,0.0216205,0.221049,-2.39537e-06,-2.24239e-06,0,0.349257,0.214611,0.127047,0,0,0
17,0.0238083,0.00138181,0.0146637,0.0193958,0.0549449,0.000526557,0.000905552,0.0241033,0.221049,-2.84292e-06,-2.65292e-06,0,0.349257,0.213883,0.126378,0,0,0
18,0.0251867,0.00137833,0.0154987,0.0204614,0.0582349,0.000559956,0.00097241,0.0267191,0.221049,-3.34058e-06,-3.10749e-06,0,0.349257,0.213124,0.125681,0,0,0
19,0.0265615,0.00137484,0.0163318,0.0215248,0.0617669,0.000593605,0.00104054,0.029439,0.221049,-3.8905e-06,-3.60768e-06,0,0.349257,0.212335,0.124957,0,0,0
20,0.027933,0.00137152,0.0171641,0.0225876,0.0655919,0.00062759,0.0011123,0.0321261,0.221049,-4.49485e-06,-4.15507e-06,0,0.349257,0.211518,0.124207,0,0,0
21,0.0293014,0.00136833,0.0179953,0.0236512,0.0705784,0.000661925,0.00118767,0.0347274,0.221049,-5.15573e-06,-4.75118e-06,0,0.349257,0.210675,0.123434,0,0,0
22,0.0306666,0.00136519,0.018826,0.0247166,0.0758525,0.000696575,0.00126592,0.0373476,0.221049,-5.87516e-06,-5.39741e-06,0,0.349257,0.209807,0.122637,0,0,0
23,0.0320285,0.00136195,0.019658,0.0257856,0.0809333,0.000731616,0.00134448,0.0402775,0.221049,-6.65502e-06,-6.09504e-06,0,0.349257,0.208914,0.12182,0,0,0
24,0.0333873,0.00135877,0.0204904,0.0268598,0.0869786,0.000766838,0.00142098,0.042894,0.221049,-7.49724e-06,-6.84537e-06,0,0.349257,0.207999,0.120983,0,0,0
