step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
0,0,0.001,0,0,0,0,0,0,0.221049,-3.41672e-19,2.779e-17,0,0.349257,0.221049,0.132629,0,0,0
1,0.00141135,0.00141135,0.00089918,0.00123437,0.00338561,2.9565e-05,4.42455e-05,0.000622116,0.221049,-7.09957e-18,7.66565e-20,0,0.349257,0.220974,0.132564,0,0,0
2,0.00282137,0.00141002,0.00179181,0.00245592,0.00680379,5.91049e-05,8.85976e-05,0.00137906,0.221049,3.97153e-19,-3.00167e-20,0,0.349257,0.220855,0.132457,0,0,0
3,0.0042303,0.00140893,0.00267796,0.00366427,0.0102443,8.86819e-05,0.000133668,0.00247747,0.221049,1.69279e-17,2.25755e-18,0,0.349257,0.22069,0.13231,0,0,0
4,0.00563838,0.00140809,0.00355815,0.00485929,0.0136975,0.000118375,0.000180093,0.00362664,0.221049,1.07893e-17,8.33322e-19,0,0.349257,0.220479,0.132123,0,0,0
5,0.00704518,0.0014068,0.00443293,0.00604081,0.0171521,0.000148234,0.000227388,0.00438987,0.221049,1.40726e-17,-9.71017e-19,0,0.349257,0.220224,0.131898,0,0,0
6,0.0084509,0.00140572,0.00530237,0.00720959,0.0205989,0.000178276,0.000275399,0.00512849,0.221049,5.67422e-18,-1.93012e-18,0,0.349257,0.219921,0.131634,0,0,0
7,0.00985579,0.00140489,0.00616736,0.00836634,0.0240278,0.000208537,0.000324326,0.00645588,0.221049,-1.16288e-17,-2.02933e-18,0,0.349257,0.219573,0.131334,0,0,0
8,0.0112595,0.0014037,0.007028,0.00951142,0.0274265,0.000239003,0.000374632,0.00800521,0.221049,-2.03446e-17,-1.96014e-18,0,0.349257,0.219182,0.130999,0,0,0
9,0.0126621,0.00140263,0.0078863,0.0106456,0.0307825,0.000269746,0.000426947,0.00959688,0.221049,-3.48964e-17,-8.35651e-19,0,0.349257,0.218749,0.13063,0,0,0
10,0.0140639,0.00140179,0.00874314,0.0117695,0.0340811,0.000300842,0.00048117,0.0105348,0.221049,7.96211e-18,-2.07147e-18,0,0.349257,0.218275,0.130226,0,0,0
11,0.0154647,0.00140078,0.00959795,0.0128837,0.0373052,0.000332248,0.000536733,0.0119545,0.221049,9.60599e-18,-1.2228e-18,0,0.349257,0.21776,0.12979,0,0,0
12,0.0168644,0.00139973,0.0104502,0.0139893,0.040486,0.00036395,0.000593165,0.0137313,0.221049,2.47472e-17,-4.28122e-19,0,0.349257,0.217206,0.129323,0,0,0
13,0.0182604,0.00139597,0.0112988,0.0150852,0.0435804,0.000395886,0.000650726,0.0155992,0.221049,-7.00565e-18,-2.5618e-18,0,0.349257,0.216615,0.128829,0,0,0
14,0.0196527,0.00139233,0.0121445,0.0161726,0.0465771,0.000428144,0.00071087,0.017496,0.221049,4.87505e-18,4.3654e-19,0,0.349257,0.215989,0.128306,0,0,0
15,0.0210416,0.00138884,0.0129876,0.0172528,0.0494674,0.000460713,0.000773782,0.0192937,0.221049,-1.69098e-17,-2.55433e-18,0,0.349257,0.215328,0.127757,0,0,0
16,0.0224269,0.00138536,0.0138274,0.0183266,0.0522414,0.000493523,0.000838984,0.0216433,0.221049,1.60052e-18,1.93335e-19,0,0.349257,0.214635,0.127135,0,0,0
17,0.0238088,0.00138191,0.0146639,0.0193956,0.0549401,0.000526576,0.000905784,0.0241302,0.221049,1.7145e-17,9.13737e-20,0,0.349257,0.213909,0.126476,0,0,0
18,0.0251873,0.00137844,0.0154989,0.0204611,0.058221,0.00055998,0.000972703,0.0267504,0.221049,3.65828e-18,-5.93611e-19,0,0.349257,0.213153,0.125789,0,0,0
19,0.0265622,0.00137497,0.0163321,0.0215245,0.0617488,0.000593635,0.00104091,0.0294725,0.221049,-9.34246e-18,-1.113e-18,0,0.349257,0.212367,0.125075,0,0,0
20,0.0279339,0.00137166,0.0171643,0.0225874,0.0655754,0.000627625,0.00111275,0.0321607,0.221049,4.95355e-19,-1.16684e-18,0,0.349257,0.211553,0.124336,0,0,0
21,0.0293024,0.00136849,0.0179956,0.0236509,0.0706296,0.000661968,0.00118822,0.0347645,0.221049,-8.20696e-18,-1.2805e-18,0,0.349257,0.210713,0.123573,0,0,0
22,0.0306678,0.00136536,0.0188264,0.0247163,0.0758862,0.00069663,0.00126659,0.0373878,0.221049,1.64381e-17,-1.42529e-18,0,0.349257,0.209848,0.122787,0,0,0
23,0.0320299,0.00136212,0.0196585,0.0257852,0.081061,0.000731682,0.00134529,0.0403687,0.221049,6.87579e-19,-1.49835e-18,0,0.349257,0.208959,0.12198,0,0,0
24,0.0333888,0.00135896,0.020491,0.0268594,0.0870908,0.000766916,0.00142193,0.0429432,0.221049,-1.09234e-17,8.30992e-19,0,0.349257,0.208047,0.121152,0,0,0
25,0.0347447,0.00135583,0.0213237,0.0279406,0.0928093,0.0008024,0.0015003,0.045973,0.221049,6.55524e-18,-4.83868e-20,0,0.349257,0.207115,0.120307,0,0,0
26,0.0360975,0.00135284,0.0221572,0.0290303,0.0992836,0.000838303,0.00158571,0.0492016,0.221049,7.25468e-18,-1.58925e-18,0,0.349257,0.206162,0.119444,0,0,0
27,0.0374475,0.00135002,0.0229933,0.0301304,0.105789,0.000874807,0.00167909,0.052633,0.221049,5.6612e-18,-2.25358e-18,0,0.349257,0.205191,0.118565,0,0,0
28,0.0387948,0.00134721,0.0238311,0.031242,0.112943,0.000911628,0.00177612,0.0600161,0.221049,7.64114e-18,-1.39178e-18,0,0.349257,0.204202,0.117671,0,0,0
29,0.040139,0.00134426,0.02467,0.0323663,0.119718,0.000948392,0.00186866,0.0641563,0.221049,2.98997e-18,-3.35886e-18,0,0.349257,0.203196,0.116764,0,0,0
30,0.0414804,0.00134138,0.0255097,0.0335053,0.127418,0.000985035,0.00195435,0.0641909,0.221049,1.55442e-17,-2.41627e-18,0,0.349257,0.202176,0.115845,0,0,0
31,0.042819,0.00133862,0.0263527,0.0346604,0.134404,0.00102214,0.00204279,0.0684674,0.221049,-4.69701e-18,-1.69052e-18,0,0.349257,0.201141,0.114914,0,0,0
32,0.0441549,0.00133592,0.0271999,0.0358334,0.142352,0.00106006,0.00214526,0.072936,0.221049,6.44094e-18,-2.61686e-18,0,0.349257,0.200093,0.113974,0,0,0
33,0.0454884,0.00133343,0.0280492,0.0370255,0.149973,0.00109855,0.00226438,0.0816191,0.221049,-2.11022e-17,1.80577e-19,0,0.349257,0.199033,0.113026,0,0,0
34,0.0468193,0.00133095,0.0288991,0.0382374,0.158807,0.00113705,0.00238739,0.0955072,0.221049,-1.56367e-17,-3.82695e-18,0,0.349257,0.197962,0.112069,0,0,0
35,0.0481477,0.0013284,0.029751,0.0394701,0.16802,0.0011751,0.00249074,0.099312,0.221049,-1.32582e-18,-2.33993e-20,0,0.349257,0.196882,0.111106,0,0,0
36,0.0494735,0.00132578,0.0306039,0.040724,0.177648,0.0012127,0.00257386,0.0934707,0.221049,-3.19631e-17,-2.77403e-19,0,0.349257,0.19579,0.110137,0,0,0
37,0.0507969,0.00132337,0.0314585,0.0419999,0.187171,0.00125055,0.00266094,0.0951786,0.221049,-1.45751e-17,1.70518e-19,0,0.349257,0.194689,0.109164,0,0,0
38,0.0521178,0.00132097,0.0323154,0.043299,0.196659,0.00128935,0.00277478,0.0997771,0.221049,-7.09517e-18,-2.96747e-18,0,0.349257,0.193581,0.108184,0,0,0
39,0.0534366,0.00131875,0.0331727,0.0446222,0.206314,0.00132907,0.00292965,0.11997,0.221049,-2.70333e-17,8.16487e-19,0,0.349257,0.192466,0.107199,0,0,0
40,0.0547533,0.00131667,0.0340314,0.0459698,0.21614,0.00136909,0.00310815,0.150534,0.221049,7.89244e-18,3.24101e-18,0,0.349257,0.191345,0.106212,0,0,0
41,0.0560679,0.0013146,0.0348912,0.0473423,0.226075,0.00140775,0.00322788,0.158093,0.221049,1.75322e-17,-3.36256e-18,0,0.349257,0.190219,0.105223,0,0,0
