step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,0.221049,-3.41672e-19,2.779e-17,0,0.349257,0.221049,0.132629,0,0,0,0,0,,,,1
1,0.00141135,0.00141135,0.000781671,0.000925577,0.00312743,2.48453e-05,3.10346e-05,0.00047914,0.221049,-2.50508e-17,1.33725e-19,0,0.349257,0.221015,0.132596,0,0,0,0,0,,,,1
2,0.00282126,0.00140991,0.00156017,0.00183794,0.00611925,4.96019e-05,6.17459e-05,0.00100322,0.221049,6.60114e-18,-2.63163e-19,0,0.349257,0.220942,0.132523,0,0,0,0,0,,,,1
3,0.00422984,0.00140857,0.00233604,0.00274375,0.00905046,7.43051e-05,9.23077e-05,0.00151903,0.221049,-3.12621e-17,-3.0562e-19,0,0.349257,0.220819,0.1324,0,0,0,0,0,,,,1
4,0.00563683,0.00140699,0.00311083,0.00364584,0.0119092,9.90051e-05,0.000122783,0.00196531,0.221049,4.55788e-18,-1.2184e-18,0,0.349257,0.22065,0.13223,0,0,0,0,0,,,,1
5,0.00704231,0.00140548,0.00388634,0.00454653,0.0147977,0.000123761,0.000153258,0.00231309,0.221049,5.79498e-18,1.08277e-18,0,0.349257,0.220431,0.132013,0,0,0,0,0,,,,1
6,0.00844637,0.00140405,0.00466119,0.0054484,0.0176188,0.000148557,0.000183862,0.00269045,0.221049,-1.07033e-17,-1.95241e-19,0,0.349257,0.220164,0.131745,0,0,0,0,0,,,,1
7,0.00984877,0.00140241,0.00543482,0.00635274,0.0203231,0.000173395,0.000214683,0.00332575,0.221049,-3.41211e-18,-1.12195e-18,0,0.349257,0.219849,0.131431,0,0,0,0,0,,,,1
8,0.0112497,0.00140096,0.00620933,0.00726006,0.0229504,0.000198357,0.000245753,0.00388574,0.221049,-2.44114e-17,1.9027e-18,0,0.349257,0.219487,0.131071,0,0,0,0,0,,,,1
9,0.0126491,0.00139935,0.00698514,0.00817158,0.0255385,0.000223465,0.000277111,0.00430916,0.221049,-1.61012e-17,-1.77062e-18,0,0.349257,0.219077,0.130663,0,0,0,0,0,,,,1
10,0.0140468,0.00139768,0.00776238,0.00908719,0.0286402,0.000248756,0.00030884,0.00458952,0.221049,-1.48983e-17,-1.63901e-19,0,0.349257,0.218621,0.13021,0,0,0,0,0,,,,1
11,0.0154431,0.00139634,0.00853922,0.0100072,0.0334812,0.000274207,0.000341059,0.0047644,0.221049,-2.47238e-18,-1.05927e-18,0,0.349257,0.21812,0.129713,0,0,0,0,0,,,,1
12,0.0168379,0.00139478,0.00931544,0.0109313,0.0401252,0.000299829,0.000373844,0.00522921,0.221049,1.48296e-17,-9.61435e-19,0,0.349257,0.217576,0.129174,0,0,0,0,0,,,,1
13,0.018231,0.0013931,0.0100935,0.011859,0.0468925,0.000325686,0.000407224,0.00589996,0.221049,-1.18919e-17,-1.14381e-18,0,0.349257,0.21699,0.128594,0,0,0,0,0,,,,1
14,0.019621,0.00139003,0.0108744,0.0127896,0.0535626,0.000351807,0.000441215,0.00636884,0.221049,-8.59347e-18,-1.77586e-18,0,0.349257,0.216363,0.127975,0,0,0,0,0,,,,1
15,0.0210073,0.00138628,0.0116557,0.0137236,0.0596012,0.000378141,0.000475948,0.00664822,0.221049,1.21308e-17,3.70048e-19,0,0.349257,0.215697,0.12732,0,0,0,0,0,,,,1
16,0.0223896,0.00138235,0.0124385,0.0146625,0.06443,0.000404721,0.0005116,0.00680197,0.221049,-2.18256e-17,-6.42157e-19,0,0.349257,0.214995,0.12663,0,0,0,0,0,,,,1
17,0.0237682,0.00137855,0.0132196,0.015607,0.0679838,0.000431522,0.000548251,0.00689802,0.221049,6.4888e-19,2.08942e-18,0,0.349257,0.214258,0.125907,0,0,0,0,0,,,,1
18,0.025143,0.00137481,0.0140006,0.0165575,0.0712846,0.000458585,0.000585879,0.00783343,0.221049,2.68739e-17,-8.61485e-19,0,0.349257,0.213487,0.125152,0,0,0,0,0,,,,1
19,0.0265142,0.00137117,0.0147808,0.0175142,0.0747838,0.000485903,0.000624547,0.00849698,0.221049,4.25899e-18,5.11343e-19,0,0.349257,0.212684,0.124368,0,0,0,0,0,,,,1
20,0.0278819,0.00136776,0.0155655,0.0184795,0.0780124,0.000513649,0.000664585,0.00888799,0.221049,-5.91864e-20,6.09123e-19,0,0.349257,0.21185,0.123557,0,0,0,0,0,,,,1
21,0.0292462,0.00136425,0.0163547,0.0194553,0.0815675,0.00054185,0.00070639,0.00909775,0.221049,-1.52905e-18,1.89487e-18,0,0.349257,0.210988,0.12272,0,0,0,0,0,,,,1
22,0.0306067,0.00136055,0.0171467,0.0204432,0.0860037,0.000570473,0.000750098,0.00952778,0.221049,-1.94833e-18,-1.70741e-18,0,0.349257,0.210099,0.121859,0,0,0,0,0,,,,1
23,0.0319637,0.00135701,0.0179435,0.021445,0.0901518,0.000599543,0.000795398,0.0111042,0.221049,1.01443e-18,1.84791e-18,0,0.349257,0.209184,0.120976,0,0,0,0,0,,,,1
24,0.0333173,0.00135356,0.0187465,0.0224616,0.0946315,0.000629087,0.000841976,0.0122008,0.221049,2.10782e-17,-2.01393e-18,0,0.349257,0.208245,0.120072,0,0,0,0,0,,,,1
25,0.0346675,0.00135021,0.0195565,0.0234953,0.100433,0.000659184,0.000890297,0.0127832,0.221049,9.26479e-18,-2.7374e-18,0,0.349257,0.207283,0.119148,0,0,0,0,0,,,,1
26,0.0360146,0.0013471,0.0203704,0.0245479,0.105877,0.00068982,0.000941492,0.0130193,0.221049,2.38859e-17,-1.23423e-18,0,0.349257,0.206299,0.118207,0,0,0,0,0,,,,1
27,0.0373585,0.00134388,0.0211892,0.02562,0.110651,0.000721011,0.000996425,0.0154392,0.221049,7.82923e-19,-8.3311e-19,0,0.349257,0.205295,0.117249,0,0,0,0,0,,,,1
28,0.0386989,0.00134045,0.0220112,0.0267133,0.119069,0.000752675,0.00105463,0.0184714,0.221049,8.44825e-18,-1.69968e-18,0,0.349257,0.204268,0.116272,0,0,0,0,0,,,,1
29,0.0400361,0.00133716,0.0228461,0.0278315,0.129883,0.000785012,0.00111434,0.0205699,0.221049,9.20735e-18,-4.76668e-19,0,0.349257,0.20322,0.11528,0,0,0,0,0,,,,1
30,0.0413701,0.00133405,0.023691,0.0289786,0.140057,0.000817939,0.00117474,0.0214307,0.221049,-8.83508e-19,7.73288e-19,0,0.349257,0.202158,0.114276,0,0,0,0,0,,,,1
31,0.0427011,0.00133097,0.0245447,0.0301551,0.148296,0.000851523,0.0012378,0.0214077,0.221049,-2.65264e-18,2.14411e-18,0,0.349257,0.201081,0.113263,0,0,0,0,0,,,,1
32,0.0440293,0.00132816,0.0254071,0.031362,0.155019,0.000885874,0.00130689,0.0245044,0.221049,1.52077e-17,4.53533e-19,0,0.349257,0.19999,0.112241,0,0,0,0,0,,,,1
33,0.0453545,0.00132527,0.0262817,0.0326028,0.162156,0.000921098,0.00138381,0.0304447,0.221049,7.55871e-19,2.51368e-18,0,0.349257,0.198882,0.111206,0,0,0,0,0,,,,1
34,0.0466767,0.00132219,0.0271672,0.0338827,0.172157,0.00095703,0.00146567,0.0352377,0.221049,-2.4903e-17,-2.71559e-18,0,0.349257,0.197761,0.110163,0,0,0,0,0,,,,1
35,0.0479959,0.00131915,0.0280696,0.0352048,0.183019,0.000993629,0.00154622,0.0372045,0.221049,3.33448e-17,-5.33684e-19,0,0.349257,0.19663,0.109114,0,0,0,0,0,,,,1
36,0.0493122,0.00131635,0.0289834,0.0365717,0.194122,0.00103075,0.00162402,0.0365792,0.221049,4.14206e-17,-7.65347e-19,0,0.349257,0.195488,0.10806,0,0,0,0,0,,,,1
37,0.0506258,0.00131357,0.0299018,0.037987,0.201266,0.00106837,0.00170537,0.0348099,0.221049,-1.65095e-17,-1.54292e-18,0,0.349257,0.194339,0.107003,0,0,0,0,0,,,,1
38,0.0519368,0.00131103,0.0308311,0.0394526,0.207496,0.00110699,0.00179965,0.039524,0.221049,-1.51739e-17,-2.35279e-18,0,0.349257,0.193182,0.105943,0,0,0,0,0,,,,1
39,0.0532454,0.00130858,0.0317838,0.0409703,0.208018,0.00114705,0.00191191,0.0504656,0.221049,-1.0862e-17,-2.18111e-19,0,0.349257,0.19202,0.104882,0,0,0,0,0,,,,1
40,0.0545512,0.00130586,0.0327533,0.0425419,0.205272,0.00118812,0.00203285,0.0586321,0.221049,1.67631e-17,1.78777e-18,0,0.349257,0.190852,0.103821,0,0,0,0,0,,,,1
41,0.0558544,0.00130312,0.0337328,0.0441695,0.211099,0.00122923,0.00214319,0.0599265,0.221049,1.88366e-17,-4.26852e-19,0,0.349257,0.18968,0.10276,0,0,0,0,0,,,,1
42,0.0571549,0.00130056,0.0347188,0.0458527,0.220427,0.00127029,0.00223886,0.0574398,0.221049,2.61356e-17,2.99543e-18,0,0.349257,0.188504,0.1017,0,0,0,0,0,,,,1
43,0.0584531,0.0012982,0.0357233,0.0475954,0.231778,0.00131216,0.00233558,0.0550021,0.221049,3.49835e-18,3.18267e-18,0,0.349257,0.187325,0.100641,0,0,0,0,0,,,,1
44,0.059749,0.0012959,0.0367449,0.0494042,0.250126,0.00135562,0.00245773,0.0570975,0.221049,2.23652e-17,2.26904e-18,0,0.349257,0.186136,0.0995788,0,0,0,0,0,,,,1
45,0.0610429,0.00129388,0.0377777,0.0512812,0.264561,0.00140095,0.00262399,0.0776683,0.221049,8.99088e-18,2.60727e-19,0,0.349257,0.184943,0.0985166,0,0,0,0,0,,,,1
