step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
0,0,0.001,0,0,0,0,0,0
1,0.00141135,0.00141135,0.000891482,0.00121686,0.0033868,3.04584e-05,5.21722e-05,0.00105473
2,0.00282137,0.00141002,0.00175432,0.00239274,0.00678551,5.81797e-05,8.76393e-05,0.0012513
3,0.00423029,0.00140893,0.00264694,0.0036144,0.018377,9.33525e-05,0.000175766,0.00450664
4,0.00563837,0.00140808,0.00368816,0.00534621,0.0850425,0.000143827,0.000370886,0.00828981
5,0.00704516,0.00140679,0.00570058,0.0135931,0.429065,0.000281557,0.00127419,0.0346344
6,0.00845088,0.00140571,0.0127749,0.0656029,2.22723,0.000820243,0.00589495,0.191993
7,0.00985575,0.00140487,0.0470287,0.361837,11.8922,0.00350008,0.0325303,1.22328
8,0.0112594,0.00140367,0.232285,2.04237,64.5209,0.0182158,0.220754,16.0927
9,0.012662,0.00140261,1.27166,11.6215,354.346,0.0558832,0.408284,26.7761
10,0.0138801,0.0012181,6.08846,55.6431,1636.28,0.145438,0.703006,21.3481
11,0.0141946,0.000314473,3.62127,30.9216,816.996,0.109866,0.635783,32.8048
12,0.014798,0.000603397,7.26315,60.3368,1538.33,0.162148,0.717612,26.2284
13,0.0151514,0.000353439,5.77697,45.8256,1100.12,0.1505,0.965304,91.2957
14,0.0156326,0.000481165,8.19856,63.0152,1450.47,0.18299,0.831466,36.5437
15,0.0160172,0.000384641,7.7818,57.6928,1264.74,0.184404,0.882528,41.982
16,0.0164275,0.000410249,8.35716,59.9709,1256.29,0.192714,0.877721,45.6523
17,0.0168242,0.000396728,8.43171,58.6898,1175.88,0.201926,1.19476,112.654
18,0.017226,0.000401751,8.71013,58.8752,1130.37,0.209725,1.28609,116.857
19,0.0176253,0.00039936,8.90196,58.5777,1078.07,0.208996,0.874279,42.8613
20,0.0180149,0.000389544,8.67255,55.5933,981.13,0.208361,0.97112,77.5624
21,0.018429,0.000414072,9.48801,59.4295,1005.13,0.22238,0.875379,33.8942
22,0.0187883,0.000359327,7.8534,48.0353,789.365,0.19817,0.756342,20.4356
23,0.0192438,0.000455497,10.1805,61.0654,966.011,0.238103,0.942115,38.775
24,0.0195713,0.000327534,nan,-nan,626.047,nan,nan,26.6348
25,0.0200869,0.000515589,nan,-nan,811.493,nan,nan,31.9987
26,0.0206457,0.000558811,nan,-nan,572.503,nan,nan,45.7334
27,0.0213179,0.000672166,nan,-nan,657.419,nan,nan,26.0774
28,0.0219591,0.00064126,nan,-nan,1076.88,nan,nan,126.911
29,0.0223613,0.000402143,nan,-nan,674.105,nan,nan,118.661
30,0.0231355,0.00077425,nan,-nan,1864.44,nan,nan,99.9691
31,0.0234251,0.00028956,nan,nan,831.563,nan,nan,430.052
32,0.0240606,0.000635527,nan,nan,1519.18,nan,nan,51.8255
33,0.024425,0.000364378,nan,nan,1134.52,nan,nan,57.6128
34,0.0248327,0.000407756,nan,nan,1184.68,nan,nan,87.9062
35,0.0252748,0.000442019,nan,-nan,1297.06,nan,nan,55.4512
36,0.025598,0.000323191,nan,-nan,806.353,nan,nan,46.3286
37,0.0261712,0.000573262,nan,nan,1409.7,nan,nan,28.5336
38,0.0264648,0.000293589,nan,-nan,355.759,nan,nan,33.8753
39,0.0274574,0.000992561,nan,-nan,1249.72,nan,nan,54.9521
40,0.0278315,0.000374124,nan,nan,766.678,nan,nan,13.6247
41,0.028345,0.000513456,nan,nan,590.322,nan,nan,10.8305
42,0.0289452,0.000600225,nan,-nan,729.04,nan,nan,27.4231
43,0.0295184,0.000573179,nan,nan,903.302,nan,nan,4.60555
44,0.0299672,0.000448837,nan,nan,6.1732,nan,nan,0.218079
45,0.0314274,0.00146016,nan,-nan,0.974992,nan,nan,0.0304303
46,0.032921,0.00149366,nan,-nan,0,nan,nan,0
47,0.5,0.467079,nan,nan,0,nan,nan,0
