step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,0.221049,-3.41672e-19,2.779e-17,0,0.349257,0.221049,0.132629,0,0,0,0,0,,,,1
1,0.00141135,0.00141135,0.00090441,0.00124509,0.00345015,3.00946e-05,4.78198e-05,0.000987109,0.221049,-1.69972e-09,-1.67158e-09,0,0.349257,0.220974,0.132563,0,0,0,1,0,,,,1
2,0.00282137,0.00141002,0.00180896,0.00249298,0.00697716,6.06514e-05,9.98809e-05,0.00256131,0.221049,-8.14839e-09,-7.00549e-09,0,0.349257,0.220855,0.132456,0,0,0,1,0,,,,1
3,0.00423029,0.00140893,0.00271809,0.00374697,0.0103809,9.19202e-05,0.000156679,0.00495529,0.221049,-2.23709e-08,-1.79404e-08,0,0.349257,0.220689,0.132306,0,0,0,1,0,,,,1
4,0.00563837,0.00140808,0.0036322,0.00500938,0.0158704,0.000124046,0.000221153,0.00814846,0.221049,-4.73713e-08,-3.63663e-08,0,0.349257,0.220478,0.132117,0,0,0,1,0,,,,1
5,0.00704516,0.00140679,0.00455178,0.00628269,0.0228611,0.000157077,0.000295884,0.0121881,0.221049,-8.61095e-08,-6.41064e-08,0,0.349257,0.220222,0.131888,0,0,0,1,0,,,,1
6,0.00845086,0.00140571,0.00548174,0.00757136,0.0311796,0.000191333,0.000381415,0.0171283,0.221049,-1.41529e-07,-1.02943e-07,0,0.349257,0.219918,0.131622,0,0,0,1,0,,,,1
7,0.00985573,0.00140486,0.00642405,0.00888036,0.0409585,0.000226865,0.000477649,0.0230297,0.221049,-2.16556e-07,-1.54613e-07,0,0.349257,0.219569,0.131318,0,0,0,1,0,,,,1
8,0.0112594,0.00140366,0.00738017,0.0102149,0.0524705,0.000263749,0.000584034,0.0299575,0.221049,-3.14046e-07,-2.20778e-07,0,0.349257,0.219176,0.130976,0,0,0,1,0,,,,1
9,0.012662,0.00140259,0.00835109,0.0115828,0.0655194,0.000302048,0.000700778,0.0379867,0.221049,-4.36852e-07,-3.03065e-07,0,0.349257,0.21874,0.130599,0,0,0,1,0,,,,1
10,0.0140637,0.00140174,0.00933971,0.0129932,0.0802413,0.000341887,0.000829492,0.0471975,0.221049,-5.87815e-07,-4.03071e-07,0,0.349257,0.218263,0.130188,0,0,0,1,0,,,,1
11,0.0154644,0.0014007,0.0103596,0.0144588,0.0971659,0.000384064,0.000973082,0.05767,0.221049,-7.69698e-07,-5.2231e-07,0,0.349257,0.217744,0.129745,0,0,0,1,0,,,,1
12,0.0168641,0.00139964,0.0114129,0.0159989,0.115968,0.000428598,0.00113303,0.0694935,0.221049,-9.85244e-07,-6.62262e-07,0,0.349258,0.217187,0.129271,0,0,0,1,0,,,,1
13,0.01826,0.00139597,0.0125044,0.0176395,0.136276,0.000475726,0.0013099,0.0827408,0.221049,-1.23662e-06,-8.23994e-07,0,0.349258,0.216592,0.128767,0,0,0,1,0,,,,1
14,0.0196524,0.00139233,0.013643,0.0194246,0.157906,0.000526032,0.00150652,0.0975129,0.221049,-1.52627e-06,-1.00877e-06,0,0.349258,0.215961,0.128233,0,0,0,1,0,,,,1
15,0.0210412,0.00138883,0.0148437,0.0214196,0.18078,0.000580148,0.00172615,0.113923,0.221049,-1.85664e-06,-1.21783e-06,0,0.349258,0.215296,0.127625,0,0,0,1,0,,,,1
16,0.0224266,0.00138536,0.0161312,0.0237205,0.23707,0.000638757,0.00197235,0.132097,0.221049,-2.23007e-06,-1.45235e-06,0,0.349259,0.214597,0.126977,0,0,0,1,0,,,,1
17,0.0238085,0.0013819,0.017534,0.0264716,0.310972,0.000703195,0.00225316,0.152173,0.221049,-2.64886e-06,-1.71352e-06,0,0.349259,0.213866,0.126298,0,0,0,1,0,,,,1
18,0.0251869,0.00137844,0.0190939,0.0298839,0.419172,0.000775568,0.00257694,0.174305,0.221049,-3.11526e-06,-2.00249e-06,0,0.349259,0.213105,0.12559,0,0,0,1,0,,,,1
19,0.0265619,0.00137497,0.0208344,0.0342579,0.560125,0.000856294,0.00295247,0.198249,0.221049,-3.63149e-06,-2.32047e-06,0,0.34926,0.212316,0.124855,0,0,0,1,0,,,,1
20,0.0279335,0.00137166,0.0228187,0.0400093,0.741767,0.00094847,0.00339251,0.223538,0.221049,-4.19979e-06,-2.66885e-06,0,0.34926,0.211498,0.124093,0,0,0,1,0,,,,1
21,0.029302,0.0013685,0.025135,0.0476975,0.973465,0.00105551,0.00391667,0.250064,0.221049,-4.82243e-06,-3.04921e-06,0,0.349261,0.210655,0.123307,0,0,0,1,0,,,,1
22,0.0306674,0.00136537,0.0278896,0.0580577,1.26615,0.00118082,0.00455449,0.277854,0.221049,-5.50167e-06,-3.46357e-06,0,0.349262,0.209782,0.122498,0,0,0,1,0,,,,1
23,0.0320295,0.00136212,0.0312247,0.0720465,1.63241,0.00132992,0.00534996,0.30692,0.221049,-6.23974e-06,-3.91463e-06,0,0.349262,0.208883,0.121668,0,0,0,1,0,,,,1
24,0.0333885,0.00135896,0.0353265,0.090909,2.08667,0.00150996,0.00636095,0.337268,0.221049,-7.03913e-06,-4.40653e-06,0,0.349263,0.207961,0.120817,0,0,0,1,0,,,,1
25,0.0347443,0.00135583,0.0404521,0.116271,2.64519,0.00173078,0.00766395,0.368888,0.221049,-7.90259e-06,-4.94579e-06,0,0.349264,0.207017,0.119948,0,0,0,1,0,,,,1
26,0.0360971,0.00135285,0.046942,0.150275,3.36722,0.00200464,0.00935863,0.401751,0.221049,-8.83345e-06,-5.54317e-06,0,0.349265,0.206053,0.119061,0,0,0,1,0,,,,1
27,0.0374472,0.00135003,0.0552413,0.19577,4.29867,0.00234745,0.0115732,0.435811,0.221049,-9.83592e-06,-6.2169e-06,0,0.349266,0.20507,0.118158,0,0,0,1,0,,,,1
28,0.0387944,0.00134724,0.0659239,0.25655,5.5355,0.0027793,0.0144735,0.470987,0.221049,-1.09156e-05,-6.99818e-06,0,0.349267,0.204068,0.11724,0,0,0,1,0,,,,1
29,0.0401387,0.00134425,0.0797941,0.337684,7.21027,0.00332798,0.0182742,0.507163,0.221049,-1.20802e-05,-7.94112e-06,0,0.349268,0.20305,0.116309,0,0,0,1,0,,,,1
30,0.04148,0.00134138,0.0979608,0.445987,9.43405,0.00403096,0.0232505,0.569144,0.221049,-1.33417e-05,-9.14079e-06,0,0.34927,0.202016,0.115366,0,0,0,1,0,,,,1
31,0.0428187,0.00133863,0.121712,0.590637,12.3444,0.00492796,0.0297467,0.774489,0.221049,-1.47184e-05,-1.07647e-05,0,0.349272,0.200968,0.114412,0,0,0,1,0,,,,1
32,0.0441546,0.00133594,0.15299,0.784022,16.0358,0.00608159,0.0381784,1.05278,0.221049,-1.62388e-05,-1.31096e-05,0,0.349276,0.199906,0.113448,0,0,0,1,0,,,,1
33,0.0454881,0.00133347,0.194167,1.04298,20.6941,0.00755071,0.0489972,1.46876,0.221049,-1.79473e-05,-1.67037e-05,0,0.349281,0.198832,0.112475,0,0,0,1,0,,,,1
34,0.0468191,0.001331,0.24906,1.39048,27.6518,0.00943013,0.0625566,1.90463,0.221049,-1.99118e-05,-2.2491e-05,0,0.349289,0.197746,0.111494,0,0,0,1,0,,,,1
35,0.0481475,0.00132841,0.321943,1.85817,37.8674,0.0117728,0.0788752,2.49289,0.221049,-2.22335e-05,-3.21684e-05,0,0.349302,0.19665,0.110507,0,0,0,1,0,,,,1
36,0.0494733,0.0013258,0.418935,2.49051,51.6179,0.0146376,0.0975581,2.94991,0.221049,-2.50578e-05,-4.8809e-05,0,0.349326,0.195544,0.109514,0,0,0,1,0,,,,1
37,0.0507967,0.00132341,0.548594,3.35188,71.6267,0.0180632,0.117899,3.44365,0.221049,-2.85781e-05,-7.80438e-05,0,0.349367,0.19443,0.108247,0,0,0,1,0,,,,1
38,0.0521161,0.0013194,0.723414,4.53836,100.154,0.0221043,0.139597,4.14603,0.221049,-3.30038e-05,-0.000130292,0,0.349442,0.193309,0.0904746,0,0,0,1,0,,,,1
39,0.0533485,0.00123241,0.947778,6.10213,138.905,0.0265821,0.160751,3.96365,0.221049,-3.79195e-05,-0.000219514,0,0.349575,0.192255,0.0238219,0,0,0,1,0,,,,1
40,0.0543921,0.00104353,1.20715,8.00368,188.496,0.0310119,0.180344,5.08169,0.221049,-4.17734e-05,-0.000356564,0,0.349791,0.191356,-0.0992582,0,0,1,1,0,,,,1
