step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure,cleaning_subcycles_step,projection_iterations_step,projection_solver_update_residual,projection_final_residual,projection_true_residual,projection_converged
0,0,0.001,0,0,0,0,0,0,0.221049,-3.41672e-19,2.779e-17,0,0.349257,0.221049,0.132629,0,0,0,0,0,,,,1
1,0.00141135,0.00141135,0.000780482,0.000923443,0.00313844,2.48246e-05,3.10523e-05,0.000486024,0.221049,-1.70238e-09,-1.69582e-09,0,0.349257,0.221015,0.132596,0,0,0,1,0,,,,1
2,0.00282126,0.00140991,0.00155816,0.00183315,0.0061564,4.95782e-05,6.18343e-05,0.00102841,0.221049,-8.15909e-09,-7.07835e-09,0,0.349257,0.220942,0.132523,0,0,0,1,0,,,,1
3,0.00422984,0.00140857,0.00233621,0.0027395,0.00911791,7.43617e-05,9.2597e-05,0.00157576,0.221049,-2.24016e-08,-1.80905e-08,0,0.349257,0.220819,0.132398,0,0,0,1,0,,,,1
4,0.00563683,0.00140699,0.00311429,0.00364657,0.0119988,9.91956e-05,0.000123449,0.00206314,0.221049,-4.74322e-08,-3.66208e-08,0,0.349257,0.220649,0.132227,0,0,0,1,0,,,,1
5,0.00704231,0.00140548,0.00389224,0.00455416,0.0148966,0.000124099,0.000154464,0.00245431,0.221049,-8.62295e-08,-6.45105e-08,0,0.349257,0.220431,0.132009,0,0,0,1,0,,,,1
6,0.00844636,0.00140405,0.00466966,0.00546104,0.0176983,0.000149109,0.000185745,0.00298879,0.221049,-1.41747e-07,-1.03552e-07,0,0.349257,0.220163,0.131741,0,0,0,1,0,,,,1
7,0.00984876,0.0014024,0.00544862,0.00636684,0.0207144,0.000174276,0.000217372,0.00377189,0.221049,-2.16894e-07,-1.55476e-07,0,0.349257,0.219849,0.131426,0,0,0,1,0,,,,1
8,0.0112497,0.00140095,0.00623005,0.00727542,0.0236779,0.000199628,0.000249425,0.00449953,0.221049,-3.1457e-07,-2.21977e-07,0,0.349257,0.219486,0.131063,0,0,0,1,0,,,,1
9,0.012649,0.00139934,0.00701262,0.00819105,0.0265727,0.000225153,0.000281994,0.00509105,0.221049,-4.37615e-07,-3.04683e-07,0,0.349257,0.219077,0.130653,0,0,0,1,0,,,,1
10,0.0140467,0.00139766,0.0077987,0.00911511,0.0293802,0.000250939,0.000315225,0.00552324,0.221049,-5.88839e-07,-4.0517e-07,0,0.349257,0.218621,0.130198,0,0,0,1,0,,,,1
11,0.015443,0.00139632,0.00859451,0.0100513,0.0319786,0.000277162,0.000349362,0.00582619,0.221049,-7.71069e-07,-5.25006e-07,0,0.349257,0.21812,0.129699,0,0,0,1,0,,,,1
12,0.0168378,0.00139475,0.00940054,0.0110059,0.0424661,0.000303847,0.000384615,0.00692464,0.221049,-9.8703e-07,-6.65659e-07,0,0.349257,0.217576,0.129157,0,0,0,1,0,,,,1
13,0.0182309,0.00139308,0.0102191,0.0119879,0.0602703,0.000331094,0.000421138,0.00799225,0.221049,-1.23941e-06,-8.28551e-07,0,0.349257,0.21699,0.128575,0,0,0,1,0,,,,1
14,0.0196209,0.00139,0.0110576,0.0130067,0.0846758,0.000359089,0.000459108,0.008811,0.221049,-1.53055e-06,-1.01484e-06,0,0.349257,0.216363,0.127953,0,0,0,1,0,,,,1
15,0.0210071,0.00138624,0.011921,0.014076,0.113816,0.000387979,0.000498972,0.00937292,0.221049,-1.86274e-06,-1.22566e-06,0,0.349257,0.215698,0.127295,0,0,0,1,0,,,,1
16,0.0223894,0.0013823,0.012822,0.0152176,0.148432,0.000418111,0.000541426,0.00974581,0.221049,-2.23832e-06,-1.46214e-06,0,0.349257,0.214996,0.126602,0,0,0,1,0,,,,1
17,0.0237679,0.0013785,0.0137767,0.0164693,0.190832,0.000449901,0.000587258,0.0107343,0.221049,-2.65963e-06,-1.72541e-06,0,0.349257,0.214258,0.125876,0,0,0,1,0,,,,1
18,0.0251427,0.00137476,0.0148067,0.0178936,0.243371,0.000483865,0.00063742,0.0124056,0.221049,-3.12897e-06,-2.01656e-06,0,0.349257,0.213488,0.125119,0,0,0,1,0,,,,1
19,0.0265138,0.00137112,0.0159357,0.0195797,0.306921,0.000520613,0.000693498,0.0136456,0.221049,-3.64858e-06,-2.33663e-06,0,0.349257,0.212685,0.124332,0,0,0,1,0,,,,1
20,0.0278815,0.0013677,0.0171954,0.0216493,0.379046,0.00056098,0.000758327,0.0144495,0.221049,-4.22076e-06,-2.68671e-06,0,0.349257,0.211851,0.123518,0,0,0,1,0,,,,1
21,0.0292457,0.00136417,0.0186442,0.0242755,0.452745,0.000606515,0.000836271,0.0149471,0.221049,-4.84764e-06,-3.06775e-06,0,0.349257,0.210989,0.122677,0,0,0,1,0,,,,1
22,0.0306061,0.00136046,0.0203388,0.0277024,0.517671,0.000658706,0.000933174,0.0156624,0.221049,-5.53126e-06,-3.48068e-06,0,0.349257,0.210099,0.121813,0,0,0,1,0,,,,1
23,0.031963,0.00135692,0.0223686,0.0322648,0.588496,0.000719895,0.00105686,0.0184457,0.221049,-6.2738e-06,-3.9266e-06,0,0.349257,0.209184,0.120927,0,0,0,1,0,,,,1
24,0.0333165,0.00135349,0.0248294,0.0384252,0.736609,0.000792581,0.00121912,0.0205043,0.221049,-7.07745e-06,-4.40666e-06,0,0.349257,0.208244,0.120019,0,0,0,1,0,,,,1
