step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
1,0.000753907,0.000753907,0,1,1,0.1,0.0999976,20.8784
2,0.00144469,0.000690779,0,1,1,0.0999333,0.0999333,31.0075
3,0.00209093,0.000646241,0,1,1,0.0999773,0.099977,48.8553
4,0.00270446,0.000613537,0,1,1,0.0999583,0.0999582,79.211
5,0.00329662,0.00059216,0,1,1,0.0999039,0.0999039,99.9615
6,0.00387509,0.000578471,0,1,1,0.0998316,0.0998316,112.448
7,0.0044454,0.00057031,0,1,1,0.0998239,0.0998244,126.149
8,0.00501073,0.000565324,0,1,1,0.099767,0.0997606,127.518
9,0.00557347,0.000562742,0,1,1,0.0997335,0.0996976,150.189
10,0.00613553,0.000562061,0,1,1,0.0998475,0.0998467,164.935
11,0.00669174,0.000556204,0,1,1,0.0997587,0.0997569,170.269
12,0.00723792,0.000546186,0,1,1,0.099681,0.0996782,181.412
13,0.0077707,0.000532782,0,1,1,0.0996788,0.09965,196.58
14,0.00828499,0.000514289,0,1,1,0.099856,0.0998171,215.734
15,0.00877265,0.000487663,0,1,1,0.0998195,0.0998193,261.222
16,0.00922282,0.000450162,0,1,1,0.0997287,0.0997262,317.364
17,0.00962567,0.000402856,0,1,1,0.0996857,0.0996753,382.716
18,0.00997697,0.0003513,2,0.564606,0.564606,0.09972,1.00009e-12,456.991
19,0.0102975,0.000320497,2,0.168878,0.168878,0.0998122,1.00009e-12,537.049
20,0.0106071,0.00030968,3,0.12286,0.3443,0.0998508,1.00009e-12,626.232
21,0.0109089,0.000301739,3,0.0859152,0.169574,0.0984495,1.00009e-12,708.714
22,0.0112062,0.000297346,1,0.318624,0.318624,0.0997424,1.00068e-12,738.927
23,0.0115099,0.000303715,9,0.305689,0.574873,0.0997135,1.00009e-12,764.932
24,0.0118207,0.000310718,13,0.129304,0.322253,0.0997019,1.00009e-12,837.729
25,0.0121417,0.000321046,21,0.0855616,0.410116,0.0997308,1.00009e-12,930.103
26,0.0124495,0.00030774,23,0.029667,0.295798,0.0272884,1.00009e-12,1043.8
27,0.0127427,0.000293262,23,0.0699684,0.276466,0.099846,1.00009e-12,1102.87
28,0.0130237,0.000280943,27,0.0314246,0.215014,0.0536257,1.00009e-12,1096.64
29,0.0132942,0.000270575,31,0.0379495,0.312188,0.0866302,1.00009e-12,1045.79
30,0.0135561,0.000261852,37,0.0206338,0.279752,0.0154079,1.00009e-12,1036.85
31,0.0138106,0.000254507,37,0.00869364,0.184068,0.00427245,1.00009e-12,962.738
32,0.0140582,0.000247643,41,0.0068155,0.215714,0.0032401,1.00009e-12,927.468
33,0.0143011,0.000242824,45,0.00526493,0.14708,0.00245009,1.00009e-12,939.907
34,0.014541,0.000239984,50,0.00516131,0.193415,0.00236137,1.00009e-12,933.517
35,0.0147798,0.000238742,56,0.00536305,0.204594,0.00243843,1.00009e-12,1009.62
36,0.0150181,0.000238318,67,0.00462128,0.219797,0.00216635,1.00009e-12,1035.54
37,0.0152573,0.000239222,71,0.00459654,0.180373,0.00217021,1.00009e-12,1057.52
38,0.0155,0.000242663,79,0.00465601,0.189574,0.00266822,1.00009e-12,1065.13
39,0.015747,0.00024705,93,0.0026125,0.212209,0.00538178,1.00009e-12,1065.34
40,0.0159994,0.000252329,96,0,0.153579,9.92391e-13,9.92391e-13,1059.91
41,0.0162548,0.000255431,103,0,0.152869,9.81141e-13,9.81141e-13,1075
42,0.0165108,0.000256019,111,0,0.146448,9.69299e-13,9.69299e-13,1140.98
43,0.0167651,0.000254258,120,0,0.178788,9.69891e-13,9.69891e-13,1208.71
44,0.0170167,0.000251655,128,0,0.182209,9.67522e-13,9.67522e-13,1177.76
45,0.0172581,0.000241379,132,0,0.171712,9.64562e-13,9.64562e-13,1054.79
46,0.0174969,0.000238767,143,0,0.1935,9.61601e-13,9.61601e-13,1035.47
47,0.0177319,0.000235015,157,0,0.182283,9.59825e-13,9.59825e-13,1349.18
48,0.0179601,0.000228254,157,0,0.152591,8.69527e-13,8.69527e-13,1442.53
49,0.0181834,0.000223254,163,0,0.145319,7.99361e-13,7.99361e-13,1466.07
50,0.0183971,0.000213695,167,0,0.152096,9.24002e-13,9.24002e-13,1486.25
