step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
1,0.00141135,0.00141135,0,1,1,0.132564,0.132563,0.00339695
2,0.00282137,0.00141002,0,1,1,0.132456,0.132456,0.00684772
3,0.00423029,0.00140893,0,1,1,0.132307,0.132306,0.0103417
4,0.00563837,0.00140808,0,1,1,0.132117,0.132117,0.0152182
5,0.00704516,0.00140679,0,1,1,0.131889,0.131888,0.0224092
6,0.00845086,0.00140571,0,1,1,0.131622,0.131622,0.0310043
7,0.00985573,0.00140486,0,1,1,0.131319,0.131318,0.0410412
8,0.0112594,0.00140366,0,1,1,0.130978,0.130976,0.0525595
9,0.012662,0.00140259,0,1,1,0.1306,0.130599,0.0656094
10,0.0140637,0.00140174,0,1,1,0.13019,0.130188,0.0802423
11,0.0154644,0.0014007,0,1,1,0.129747,0.129745,0.0965028
12,0.0168641,0.00139964,0,1,1,0.129273,0.129271,0.114443
13,0.01826,0.00139597,0,1,1,0.12877,0.128767,0.134082
14,0.0196524,0.00139233,0,1,1,0.128237,0.128233,0.155473
15,0.0210412,0.00138883,0,1,1,0.127629,0.127625,0.178675
16,0.0224266,0.00138536,0,1,1,0.126981,0.126977,0.203752
17,0.0238085,0.0013819,0,1,1,0.126302,0.126298,0.233539
18,0.0251869,0.00137844,0,1,1,0.125594,0.12559,0.310954
19,0.0265619,0.00137497,0,1,1,0.124858,0.124855,0.418179
20,0.0279335,0.00137166,0,1,1,0.124096,0.124093,0.557749
21,0.029302,0.0013685,0,1,1,0.123309,0.123307,0.737463
22,0.0306674,0.00136537,0,1,1,0.122499,0.122498,0.966522
23,0.0320295,0.00136212,0,1,1,0.121668,0.121668,1.25565
24,0.0333885,0.00135896,0,1,1,0.120817,0.120817,1.6172
25,0.0347443,0.00135583,0,1,1,0.119946,0.119948,2.06529
26,0.0360971,0.00135285,0,1,1,0.119059,0.119061,2.61586
27,0.0374472,0.00135003,0,1,1,0.118155,0.118158,3.33182
28,0.0387944,0.00134724,0,1,1,0.117237,0.11724,4.24994
29,0.0401387,0.00134425,0,1,1,0.116305,0.116309,5.46586
30,0.04148,0.00134138,0,1,1,0.115362,0.115366,7.11658
31,0.0428187,0.00133863,0,1,1,0.114407,0.114412,9.31446
32,0.0441546,0.00133594,0,1,1,0.113442,0.113448,12.1812
33,0.0454881,0.00133347,0,1,1,0.112469,0.112475,15.8142
34,0.0468191,0.001331,0,1,1,0.111487,0.111494,20.5465
35,0.0481475,0.00132841,0,1,1,0.110499,0.110507,27.5866
36,0.0494733,0.0013258,0,1,1,0.109506,0.109514,37.7044
37,0.0507967,0.00132341,0,1,1,0.108508,0.108247,51.3747
38,0.0521161,0.0013194,0,1,1,0.107507,0.0904746,71.3556
39,0.0533485,0.00123241,0,1,1,0.100154,0.0238219,99.6937
40,0.0543921,0.00104353,3,0.357362,0.516195,0.0432363,1.00001e-12,138.215
41,0.0553551,0.000963014,20,0.092131,0.536056,0.013875,1.00001e-12,170.239
42,0.0562637,0.000908657,37,0.0197402,0.294575,0.00239587,1.00001e-12,181.373
43,0.0571493,0.00088553,55,9.02254e-14,0.216213,1.0113e-12,1.00001e-12,185.098
44,0.0580227,0.000873453,73,7.8748e-14,0.164957,1.00967e-12,1.00001e-12,188.426
45,0.0588765,0.000853758,97,0,0.187638,9.89486e-13,9.89486e-13,191.332
46,0.0597102,0.00083376,124,0,0.17159,9.8721e-13,9.8721e-13,193.655
47,0.060536,0.000825757,167,0,0.205409,9.86378e-13,9.86378e-13,195.122
48,0.0613506,0.000814571,209,0,0.192578,9.83436e-13,9.83436e-13,196.801
49,0.0621516,0.000801029,252,0,0.160657,9.80882e-13,9.80882e-13,198.387
50,0.0629408,0.000789242,289,0,0.139769,9.80327e-13,9.80327e-13,200.116
51,0.0637232,0.000782413,320,0,0.117008,9.80586e-13,9.80586e-13,201.544
52,0.0645021,0.000778853,355,0,0.120872,9.79032e-13,9.79032e-13,202.559
53,0.0652781,0.00077604,409,0,0.132697,9.78255e-13,9.78255e-13,204.102
54,0.0660517,0.00077357,460,0,0.118714,9.53682e-13,9.53682e-13,205.984
55,0.0668175,0.000765838,510,0,0.105978,9.22151e-13,9.22151e-13,207.319
56,0.0675782,0.000760676,564,0,0.107527,9.0139e-13,9.0139e-13,207.857
57,0.0683356,0.000757435,607,0,0.0894784,8.86994e-13,8.86994e-13,211.279
58,0.0690906,0.000754949,665,0,0.0963505,8.82442e-13,8.82442e-13,212.72
59,0.069843,0.000752418,717,0,0.092401,8.98466e-13,8.98466e-13,214.084
60,0.070593,0.000749963,766,0,0.0884821,9.04018e-13,9.04018e-13,214.933
61,0.0713406,0.000747612,841,0,0.106302,9.02981e-13,9.02981e-13,215.205
62,0.0720836,0.000743032,923,0,0.0988296,9.02722e-13,9.02722e-13,214.858
63,0.0728193,0.000735715,997,0,0.0974206,9.21152e-13,9.21152e-13,216.226
64,0.0735559,0.000736546,1075,0,0.0908304,9.37879e-13,9.37879e-13,218.578
65,0.074289,0.000733113,1183,0,0.101894,9.38286e-13,9.38286e-13,219.883
66,0.0750117,0.000722724,1292,0,0.104921,9.53682e-13,9.53682e-13,220.567
67,0.075727,0.000715272,1390,0,0.0958584,9.52534e-13,9.52534e-13,222.036
68,0.0764443,0.000717271,1496,0,0.0973629,9.53163e-13,9.53163e-13,222.412
69,0.0771539,0.000709637,1592,0,0.0863767,9.54385e-13,9.54385e-13,224.638
70,0.0778654,0.000711516,1711,0,0.0910462,9.47871e-13,9.47871e-13,225.811
71,0.0785749,0.000709509,1814,0,0.0794813,9.39397e-13,9.39397e-13,227.155
72,0.0792762,0.000701292,1921,0,0.0780074,9.32717e-13,9.32717e-13,229.706
73,0.0799664,0.000690209,2026,0,0.0774483,9.27508e-13,9.27508e-13,229.885
74,0.080632,0.00066562,2116,0,0.0725562,9.22059e-13,9.22059e-13,230.5
75,0.0812782,0.00064613,2201,0,0.0719315,9.16193e-13,9.16193e-13,233.345
76,0.0819091,0.000630878,2291,0,0.0675508,9.09846e-13,9.09846e-13,235.739
77,0.0825285,0.00061945,2369,0,0.0650513,9.03453e-13,9.03453e-13,236.811
78,0.0831533,0.000624788,2441,0,0.0629997,8.93359e-13,8.93359e-13,237.637
79,0.0838078,0.000654554,2534,0,0.063203,8.8185e-13,8.8185e-13,245.561
80,0.0844781,0.000670222,2611,0,0.0592944,8.70433e-13,8.70433e-13,253.725
81,0.0851486,0.00067049,2711,0,0.0613187,8.59646e-13,8.59646e-13,261.916
82,0.0858057,0.00065719,2794,0,0.0597738,8.49894e-13,8.49894e-13,270.347
83,0.0864435,0.000637772,2862,0,0.0574588,8.41253e-13,8.41253e-13,277.92
84,0.0870737,0.000630163,2941,0,0.0581066,8.33592e-13,8.33592e-13,284.684
85,0.0877079,0.000634243,3024,0,0.0579217,8.26987e-13,8.26987e-13,298.555
86,0.0883376,0.000629649,3111,0,0.0571699,8.21676e-13,8.21676e-13,308.16
87,0.0889594,0.000621816,3180,0,0.0578314,8.17753e-13,8.46305e-13,313.42
88,0.0895711,0.00061173,3247,0,0.0544162,8.40772e-13,8.40772e-13,321.594
89,0.0901697,0.000598532,3333,0,0.0579223,8.3672e-13,8.3672e-13,325.841
90,0.0907556,0.000585966,3379,0,0.0520283,8.32723e-13,8.32723e-13,329.411
91,0.0913308,0.000575147,3448,0,0.0545771,8.29004e-13,8.29004e-13,334.158
92,0.0918967,0.000565978,3506,0,0.0528214,8.25691e-13,8.25691e-13,338.129
93,0.0924552,0.000558417,3591,0,0.0556406,8.22546e-13,8.22546e-13,341.427
94,0.0930076,0.000552438,3659,0,0.0547766,8.19548e-13,8.19548e-13,343.989
95,0.0935554,0.000547783,3733,0,0.0551231,8.16976e-13,8.16976e-13,345.013
96,0.0940997,0.000544275,3801,0,0.053921,8.14774e-13,8.14774e-13,346.245
97,0.0946422,0.000542537,3870,0,0.0542558,8.13257e-13,8.13257e-13,345.662
98,0.0951798,0.000537623,3934,0,0.0527005,8.1285e-13,8.28837e-13,342.416
99,0.0957135,0.000533699,4012,0,0.0522408,8.27209e-13,8.27209e-13,347.004
100,0.0962443,0.000530814,4075,0,0.0510786,8.25765e-13,8.25765e-13,351.878
101,0.0967731,0.000528804,4149,0,0.0517888,8.24526e-13,8.24526e-13,356.354
102,0.0973014,0.000528222,4242,0,0.0549746,8.1544e-13,8.1544e-13,360.18
103,0.0978308,0.00052947,4315,0,0.0522503,8.06429e-13,8.06429e-13,363.652
104,0.0983638,0.000532943,4401,0,0.0538871,7.97732e-13,7.97732e-13,366.789
105,0.0988955,0.000531745,4490,0,0.0539554,7.8948e-13,7.8948e-13,369.656
106,0.0994219,0.000526427,4559,0,0.0509116,7.81967e-13,7.81967e-13,372.288
107,0.0999477,0.00052576,4625,0,0.0515954,7.75047e-13,7.75047e-13,374.591
108,0.100468,0.000520514,4711,0,0.0524454,7.68885e-13,7.68885e-13,377.776
109,0.100984,0.000516044,4794,0,0.0520378,7.63426e-13,7.63426e-13,379.343
110,0.101499,0.000514954,4874,0,0.0531253,7.59133e-13,7.59133e-13,384.081
111,0.102009,0.00051025,4935,0,0.0519889,7.54045e-13,7.54045e-13,389.241
112,0.102515,0.000505634,5006,0,0.051572,7.47513e-13,7.47513e-13,394.017
113,0.103016,0.000501117,5091,0,0.0512211,7.40796e-13,7.40796e-13,399.675
114,0.103513,0.000496633,5154,0,0.0499587,7.59874e-13,7.59874e-13,404.339
115,0.104005,0.000492294,5230,0,0.0508999,7.55396e-13,7.55396e-13,408.003
116,0.104493,0.000488084,5309,0,0.0510746,7.51269e-13,7.51269e-13,410.698
117,0.104977,0.000483924,5379,0,0.0501145,7.4755e-13,7.4755e-13,412.37
