problem,method,nx,ny,reconstruction,limiter,damping_mode,glm_ch_factor,glm_cd,glm_cr,glm_subcycles,glm_ch,glm_cp,glm_effective_cd,glm_effective_cr,status,final_time_reached,final_L2_norm_fv,peak_L2_norm_fv,time_integrated_L2_norm_fv,final_Linf_norm_fv,peak_Linf_norm_fv,min_pressure,min_density,has_nonfinite,has_negative_density,has_negative_pressure,energy_drift,total_wall_time_sec,seconds_per_step,cell_updates_per_second,cleaning_subcycles_total,failure_reason,summary_file,diagnostic_file,sweep_mode
divergence_advection,gi_mixed_eglm,64,64,plm,mc,none,1.0,,,1,2.2917,0.2,0.885877,0.0174543,finished,1,0.000531061,0.00107025,4.0032775000000006e-05,0.00255144,0.00758195,0.990221,0.991399,0.0,0.0,0.0,-2.12269e-06,0.961183,0.0505886,80966.9,37,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n64_gi_mixed_eglm_ch1_sub1_none_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n64_gi_mixed_eglm_ch1_sub1_none_gi_mixed_eglm.csv,default
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,4.0,,0.1,1,9.16682,0.957435,0.98609,0.1,finished,1,2.93936e-05,0.000535426,1.412049e-05,8.04032e-05,0.00372446,0.989156,0.991929,0.0,0.0,0.0,-4.15611e-06,3.57523,0.0966278,169558.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p1_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p1_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,4.0,,0.18,1,9.16682,1.28453,0.992258,0.18,finished,1,8.10855e-05,0.000535426,1.5412787500000002e-05,0.000228099,0.00372446,0.989059,0.992,0.0,0.0,0.0,-4.00445e-06,3.4071,0.0920838,177925.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p18_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p18_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,2.0,,0.1,1,4.58341,0.677009,0.986056,0.1,finished,1,0.000114439,0.000535426,1.6246625e-05,0.000335885,0.00372446,0.988164,0.991729,0.0,0.0,0.0,-3.85048e-06,2.63135,0.0711177,230379.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p1_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p1_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,4.0,,0.3,1,9.16682,1.65833,0.99535,0.3,finished,1,0.00013733,0.000535426,1.68189e-05,0.000385926,0.00372446,0.98901,0.99204,0.0,0.0,0.0,-3.66333e-06,3.3633,0.0909,180242.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p3_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p3_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,2.0,,0.18,1,4.58341,0.908303,0.992234,0.18,finished,1,0.000167407,0.000535426,1.7570825e-05,0.000556782,0.00372446,0.987991,0.991781,0.0,0.0,0.0,-3.7322e-06,2.57058,0.0694752,235825.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p18_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p18_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,4.0,,0.5,1,9.16682,2.14089,0.997208,0.5,finished,1,0.000187016,0.000535426,1.806105e-05,0.00052599,0.00372446,0.98898,0.992065,0.0,0.0,0.0,-3.23123e-06,3.31417,0.0895721,182914.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p5_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cr0p5_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cd,4.0,0.8,,1,9.16682,0.241836,0.8,0.00638002,finished,1,0.000200271,0.000535426,1.8392425e-05,0.000841005,0.00372446,0.99076,0.99108,0.0,0.0,0.0,-2.18026e-06,3.31358,0.0895561,182947.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cd0p8_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cd0p8_gi_mixed_eglm.csv,cd
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,2.0,,0.3,1,4.58341,1.17261,0.995335,0.3,finished,1,0.000211505,0.000535426,1.8673275e-05,0.000759861,0.00372446,0.987891,0.99181,0.0,0.0,0.0,-3.51329e-06,3.0427,0.082235,199234.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p3_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p3_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,2.0,,0.5,1,4.58341,1.51384,0.997199,0.5,finished,1,0.000245131,0.000535426,1.9513925e-05,0.000905984,0.00372446,0.987825,0.991829,0.0,0.0,0.0,-3.28682e-06,3.28407,0.0887586,184591.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p5_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p5_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,128,128,plm,mc,none,1.0,,,1,2.2917,0.2,0.941345,0.0174543,finished,1,0.000285671,0.000535426,2.0527425e-05,0.00139726,0.00372446,0.988515,0.991471,0.0,0.0,0.0,-2.05288e-06,2.26478,0.0612104,267667.0,74,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch1_sub1_none_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch1_sub1_none_gi_mixed_eglm.csv,default
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cd,4.0,0.5,,1,9.16682,0.137638,0.5,0.00206662,finished,1,0.000291676,0.000535426,2.067755e-05,0.00147183,0.00372446,0.991567,0.990693,0.0,0.0,0.0,-9.95128e-07,3.30373,0.0892901,183492.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cd0p5_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch4_sub1_cd0p5_gi_mixed_eglm.csv,cd
divergence_advection,gi_mixed_eglm,256,256,plm,mc,cr,4.0,,0.1,1,9.16683,0.957436,0.992841,0.1,finished,1,1.66415e-05,0.00026775,7.1097875e-06,4.75434e-05,0.00184213,0.987905,0.991871,0.0,0.0,0.0,-4.24743e-06,28.0567,0.379144,172852.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cr0p1_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cr0p1_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,256,256,plm,mc,cr,4.0,,0.18,1,9.16683,1.28453,0.996025,0.18,finished,1,4.77224e-05,0.00026775,7.88681e-06,0.000141941,0.00184213,0.987863,0.991914,0.0,0.0,0.0,-4.08126e-06,25.595,0.345878,189477.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cr0p18_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cr0p18_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,256,256,plm,mc,cr,2.0,,0.1,1,4.58341,0.677009,0.994585,0.1,finished,1,6.24445e-05,0.00026775,8.2548625e-06,0.000186481,0.00184213,0.987292,0.991752,0.0,0.0,0.0,-3.88534e-06,18.5364,0.250492,261629.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch2_sub1_cr0p1_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch2_sub1_cr0p1_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,256,256,plm,mc,cr,4.0,,0.3,1,9.16683,1.65833,0.997616,0.3,finished,1,8.11773e-05,0.00026775,8.723182499999999e-06,0.000242321,0.00184213,0.987843,0.991939,0.0,0.0,0.0,-3.70095e-06,25.5577,0.345374,189754.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cr0p3_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cr0p3_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,256,256,plm,mc,cr,2.0,,0.18,1,4.58341,0.908303,0.996992,0.18,finished,1,9.29375e-05,0.00026775,9.0171875e-06,0.000309513,0.00184213,0.98721,0.991786,0.0,0.0,0.0,-3.73462e-06,19.1568,0.258875,253157.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch2_sub1_cr0p18_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch2_sub1_cr0p18_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,256,256,plm,mc,cr,4.0,,0.5,1,9.16683,2.14089,0.99857,0.5,finished,1,0.000110826,0.00026775,9.4644e-06,0.000330147,0.00184213,0.987831,0.991954,0.0,0.0,0.0,-3.21114e-06,24.5672,0.33199,197404.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cr0p5_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cr0p5_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,256,256,plm,mc,cr,2.0,,0.3,1,4.58341,1.17261,0.998195,0.3,finished,1,0.000117714,0.00026775,9.6366e-06,0.000422886,0.00184213,0.987162,0.991804,0.0,0.0,0.0,-3.48311e-06,18.5015,0.25002,262123.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch2_sub1_cr0p3_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch2_sub1_cr0p3_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,256,256,plm,mc,cr,2.0,,0.5,1,4.58341,1.51384,0.998917,0.5,finished,1,0.000136491,0.00026775,1.0106025e-05,0.000505184,0.00184213,0.987132,0.991817,0.0,0.0,0.0,-3.22727e-06,18.5799,0.251079,261017.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch2_sub1_cr0p5_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch2_sub1_cr0p5_gi_mixed_eglm.csv,cr
divergence_advection,gi_mixed_eglm,256,256,plm,mc,cd,4.0,0.8,,1,9.16683,0.175041,0.8,0.00334241,finished,1,0.000145125,0.00026775,1.0321874999999998e-05,0.000726389,0.00184213,0.989206,0.99118,0.0,0.0,0.0,-1.58231e-06,23.4761,0.317245,206579.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cd0p8_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cd0p8_gi_mixed_eglm.csv,cd
divergence_advection,gi_mixed_eglm,256,256,plm,mc,none,1.0,,,1,2.29171,0.2,0.96919,0.0174542,finished,1,0.00014858,0.00026775,1.040825e-05,0.000734289,0.00184213,0.987473,0.991585,0.0,0.0,0.0,-2.01552e-06,13.4309,0.181499,361082.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch1_sub1_none_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch1_sub1_none_gi_mixed_eglm.csv,default
divergence_advection,gi_mixed_eglm,256,256,plm,mc,cd,4.0,0.5,,1,9.16683,0.0997523,0.5,0.00108549,finished,1,0.000187987,0.00026775,1.1393425e-05,0.00107046,0.00184213,0.989678,0.990992,0.0,0.0,0.0,-6.41598e-07,23.5276,0.31794,206127.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cd0p5_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_gi_mixed_eglm_ch4_sub1_cd0p5_gi_mixed_eglm.csv,cd
divergence_advection,hyperbolic_glm,64,64,plm,mc,none,1.0,,,1,2.2917,,,,finished,1,0.000499377,0.00107025,3.9240675e-05,0.00263963,0.00758195,0.985372,0.993669,0.0,0.0,0.0,2.70519e-15,1.06164,0.0558759,73305.3,37,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n64_hyperbolic_glm_ch1_sub1_none_hyperbolic_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n64_hyperbolic_glm_ch1_sub1_none_hyperbolic_glm.csv,default
divergence_advection,hyperbolic_glm,128,128,plm,mc,none,1.0,,,1,2.2917,,,,finished,1,0.000292443,0.000535426,2.0696725e-05,0.00165182,0.00372446,0.985063,0.993211,0.0,0.0,0.0,1.91054e-14,2.46789,0.0666997,245638.0,74,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_hyperbolic_glm_ch1_sub1_none_hyperbolic_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_hyperbolic_glm_ch1_sub1_none_hyperbolic_glm.csv,default
divergence_advection,hyperbolic_glm,256,256,plm,mc,none,1.0,,,1,2.29171,,,,finished,1,0.000158717,0.00026775,1.0661675e-05,0.000919684,0.00184213,0.984827,0.992954,0.0,0.0,0.0,5.12294e-14,12.5781,0.169974,385564.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_hyperbolic_glm_ch1_sub1_none_hyperbolic_glm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_hyperbolic_glm_ch1_sub1_none_hyperbolic_glm.csv,default
divergence_advection,mixed_eglm,64,64,plm,mc,none,1.0,,,1,2.2917,0.2,0.885818,0.0174543,finished,1,0.000565579,0.00107025,4.0895725e-05,0.00282267,0.00758195,0.989468,0.991025,0.0,0.0,0.0,-1.52802e-06,1.27907,0.0673197,60844.0,37,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n64_mixed_eglm_ch1_sub1_none_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n64_mixed_eglm_ch1_sub1_none_mixed_eglm.csv,default
divergence_advection,mixed_eglm,128,128,plm,mc,cr,4.0,,0.1,1,9.16682,0.957435,0.98609,0.1,finished,1,2.97602e-05,0.000535426,1.4129654999999998e-05,8.32346e-05,0.00372446,0.989034,0.99182,0.0,0.0,0.0,-4.05536e-06,3.22978,0.0872913,187693.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p1_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p1_mixed_eglm.csv,cr
divergence_advection,mixed_eglm,128,128,plm,mc,cr,4.0,,0.18,1,9.16682,1.28453,0.992257,0.18,finished,1,8.23168e-05,0.000535426,1.544357e-05,0.000234675,0.00372446,0.988937,0.99189,0.0,0.0,0.0,-3.90539e-06,3.35318,0.0906264,180786.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p18_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p18_mixed_eglm.csv,cr
divergence_advection,mixed_eglm,128,128,plm,mc,cr,2.0,,0.1,1,4.58341,0.677009,0.98605,0.1,finished,1,0.000116784,0.000535426,1.630525e-05,0.000345554,0.00372446,0.987993,0.991575,0.0,0.0,0.0,-3.70199e-06,3.11508,0.0841915,194604.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p1_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p1_mixed_eglm.csv,cr
divergence_advection,mixed_eglm,128,128,plm,mc,cr,4.0,,0.3,1,9.16682,1.65833,0.99535,0.3,finished,1,0.000139563,0.000535426,1.6874725e-05,0.000397026,0.00372446,0.988885,0.991931,0.0,0.0,0.0,-3.5591e-06,3.3199,0.089727,182598.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p3_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p3_mixed_eglm.csv,cr
divergence_advection,mixed_eglm,128,128,plm,mc,cr,2.0,,0.18,1,4.58341,0.908303,0.992229,0.18,finished,1,0.000171095,0.000535426,1.7663025000000002e-05,0.000561559,0.00372446,0.987801,0.991606,0.0,0.0,0.0,-3.58373e-06,3.33105,0.0900284,181987.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p18_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p18_mixed_eglm.csv,cr
divergence_advection,mixed_eglm,128,128,plm,mc,cr,4.0,,0.5,1,9.16682,2.14089,0.997208,0.5,finished,1,0.000190153,0.000535426,1.8139475e-05,0.000538865,0.00372446,0.988853,0.991956,0.0,0.0,0.0,-3.11861e-06,4.24357,0.114691,142853.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p5_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p5_mixed_eglm.csv,cr
divergence_advection,mixed_eglm,128,128,plm,mc,cd,4.0,0.8,,1,9.16682,0.241866,0.8,0.0063816,finished,1,0.000205003,0.000535426,1.8510725e-05,0.000866162,0.00372446,0.990434,0.990993,0.0,0.0,0.0,-1.98283e-06,3.21528,0.0868995,188540.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cd0p8_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cd0p8_mixed_eglm.csv,cd
divergence_advection,mixed_eglm,128,128,plm,mc,cr,2.0,,0.3,1,4.58341,1.17261,0.995331,0.3,finished,1,0.000216126,0.000535426,1.87888e-05,0.000765721,0.00372446,0.987695,0.991632,0.0,0.0,0.0,-3.36042e-06,3.22518,0.0871671,187961.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p3_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p3_mixed_eglm.csv,cr
divergence_advection,mixed_eglm,128,128,plm,mc,cr,2.0,,0.5,1,4.58341,1.51384,0.997196,0.5,finished,1,0.000250421,0.000535426,1.9646175e-05,0.000911664,0.00372446,0.987622,0.991649,0.0,0.0,0.0,-3.1288e-06,2.90422,0.0784925,208733.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p5_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p5_mixed_eglm.csv,cr
divergence_advection,mixed_eglm,128,128,plm,mc,none,1.0,,,1,2.2917,0.2,0.941359,0.0174543,finished,1,0.000295492,0.000535426,2.077295e-05,0.00148032,0.00372446,0.988274,0.991341,0.0,0.0,0.0,-1.73021e-06,2.33519,0.0631132,259597.0,74,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch1_sub1_none_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch1_sub1_none_mixed_eglm.csv,default
divergence_advection,mixed_eglm,128,128,plm,mc,cd,4.0,0.5,,1,9.16682,0.137625,0.5,0.00206623,finished,1,0.00030185,0.000535426,2.09319e-05,0.00153901,0.00372446,0.990749,0.990592,0.0,0.0,0.0,-7.34468e-07,3.24285,0.0876447,186937.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cd0p5_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cd0p5_mixed_eglm.csv,cd
divergence_advection,mixed_eglm,256,256,plm,mc,cr,4.0,,0.1,1,9.16683,0.957436,0.992841,0.1,finished,1,1.67698e-05,0.00026775,7.112994999999999e-06,4.84171e-05,0.00184213,0.98782,0.991809,0.0,0.0,0.0,-4.19333e-06,24.1625,0.32652,200711.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p1_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p1_mixed_eglm.csv,cr
divergence_advection,mixed_eglm,256,256,plm,mc,cr,4.0,,0.18,1,9.16683,1.28453,0.996025,0.18,finished,1,4.81635e-05,0.00026775,7.8978375e-06,0.000144606,0.00184213,0.987774,0.991849,0.0,0.0,0.0,-4.02756e-06,23.6806,0.320008,204795.0,587,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p18_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n256_mixed_eglm_ch4_sub1_cr0p18_mixed_eglm.csv,cr
