problem,method,reconstruction,limiter,glm_ch_factor,glm_cd,glm_cr,glm_subcycles,glm_ch,glm_cp,glm_effective_cd,glm_effective_cr,nx,ny,ncell,tfinal,steps,status,total_wall_time_sec,initialization_time_sec,hydro_time_sec,cleaning_time_sec,diagnostics_compute_time_sec,diagnostics_write_time_sec,snapshot_write_time_sec,summary_write_time_sec,output_time_sec,total_cell_updates,seconds_per_step,cell_updates_per_second,cleaning_subcycles_total,projection_iterations_total,final_L2_fv,final_Linf_fv,final_L2_norm_fv,final_Linf_norm_fv,peak_L2_norm_fv,peak_Linf_norm_fv,time_integrated_L2_norm_fv,min_pressure,min_density,has_nonfinite,has_negative_density,has_negative_pressure,energy_drift,failure_reason,summary_file,diagnostic_file
divergence_advection,none,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.027014,0.000637366,0.0192076,5.139e-06,0.00314997,5.3268e-05,0.0,0.000101573,0.000154841,10240,0.0027014,379063.0,0,0,0.0695517,0.539306,0.00213257,0.0163139,0.00213531,0.0163139,0.000106697,0.97705,0.991338,0.0,0.0,0.0,-1.69074e-16,,results/mhd_runner/summaries/perf_da_plm_n32_none_none_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_none_none.csv
divergence_advection,mixed_glm,plm,mc,4.0,nan,0.1,1,9.16663,0.957425,0.951512,0.1,32,32,1024,0.05,10,finished,0.0825439,0.00547158,0.03027,0.0321847,0.00429622,0.000100267,0.0,0.000172668,0.000272935,10240,0.00825439,124055.0,74,0,0.00310682,0.00739481,9.69031e-05,0.000230068,0.00213531,0.0155421,5.58053275e-05,0.993813,0.990651,0.0,0.0,0.0,5.07222e-16,,results/mhd_runner/summaries/perf_da_plm_n32_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_mixed_glm_mixed_glm.csv
divergence_advection,mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16663,0.957425,0.957678,0.1,32,32,1024,0.05,10,finished,0.0619965,0.00054833,0.0206754,0.0329954,0.00299748,4.8704e-05,0.0,9.5591e-05,0.000144295,10240,0.00619965,165171.0,74,0,0.00309866,0.00766391,9.66487e-05,0.000238435,0.00213531,0.0155421,5.579896750000001e-05,0.994102,0.992439,0.0,0.0,0.0,-3.37032e-06,,results/mhd_runner/summaries/perf_da_plm_n32_mixed_eglm_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_mixed_eglm_mixed_eglm.csv
divergence_advection,elliptic_projection,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.127291,0.00548863,0.0662591,0.0428098,0.00293516,0.000111927,0.0,0.000153735,0.000265662,10240,0.0127291,80445.9,10,1002,2.04489e-10,1.36027e-09,6.37785e-12,4.23767e-11,0.00213531,0.0155421,5.338275015944626e-05,0.990688,0.993356,0.0,0.0,0.0,-4.42204e-06,,results/mhd_runner/summaries/perf_da_plm_n32_elliptic_projection_elliptic_projection_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_elliptic_projection_elliptic_projection.csv
divergence_advection,none,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,64,64,4096,0.05,19,finished,0.188948,0.000945052,0.143999,1.2236e-05,0.0204582,9.9607e-05,0.0,0.000140623,0.00024023,77824,0.00994466,411879.0,0,0,0.070093,0.502166,0.00107463,0.00761596,0.00107463,0.00761596,5.3622e-05,0.97584,0.990759,0.0,0.0,0.0,4.05778e-15,,results/mhd_runner/summaries/perf_da_plm_n64_none_none_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_none_none.csv
divergence_advection,mixed_glm,plm,mc,4.0,nan,0.1,1,9.16679,0.957434,0.975319,0.1,64,64,4096,0.05,19,finished,0.812602,0.000823375,0.557124,0.180828,0.0165571,7.4754e-05,0.0,0.000129212,0.000203966,77824,0.0427685,95771.4,148,0,0.00331826,0.00843287,5.17744e-05,0.000131675,0.00107025,0.00758195,2.8050610000000003e-05,0.994262,0.988637,0.0,0.0,0.0,6.76296e-16,,results/mhd_runner/summaries/perf_da_plm_n64_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_mixed_glm_mixed_glm.csv
divergence_advection,mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16679,0.957434,0.972159,0.1,64,64,4096,0.05,19,finished,0.62752,0.000703983,0.331112,0.235416,0.0172263,7.3845e-05,0.0,0.000136596,0.000210441,77824,0.0330274,124018.0,147,0,0.00332545,0.00843627,5.18849e-05,0.000131727,0.00107025,0.00758195,2.80533725e-05,0.991007,0.991847,0.0,0.0,0.0,-3.80638e-06,,results/mhd_runner/summaries/perf_da_plm_n64_mixed_eglm_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_mixed_eglm_mixed_eglm.csv
divergence_advection,elliptic_projection,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,64,64,4096,0.05,19,finished,0.805321,0.00138297,0.328204,0.423266,0.0149059,5.4383e-05,0.0,8.4617e-05,0.000139,77824,0.0423853,96637.3,19,3760,9.71488e-10,4.10617e-09,1.51543e-11,6.40645e-11,0.00107025,0.00758195,2.6756250378857498e-05,0.98866,0.992676,0.0,0.0,0.0,-4.38996e-06,,results/mhd_runner/summaries/perf_da_plm_n64_elliptic_projection_elliptic_projection_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_elliptic_projection_elliptic_projection.csv
divergence_advection,none,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,128,128,16384,0.05,37,finished,2.27974,0.00245873,1.94556,6.8581e-05,0.117213,0.000118442,0.0,0.000127984,0.000246426,606208,0.0616146,265911.0,0,0,0.0701342,0.490334,0.000537672,0.003726,0.000537672,0.003726,2.682745e-05,0.975691,0.990668,0.0,0.0,0.0,3.71963e-15,,results/mhd_runner/summaries/perf_da_plm_n128_none_none_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_none_none.csv
divergence_advection,mixed_glm,plm,mc,4.0,nan,0.1,1,9.16682,0.957435,0.985853,0.1,128,128,16384,0.05,37,finished,2.98002,0.00241062,1.47627,1.20471,0.113381,9.542e-05,0.0,9.4235e-05,0.000189655,606208,0.080541,203424.0,295,0,0.00380675,0.0106596,2.97042e-05,8.3213e-05,0.000535426,0.00372446,1.4128255000000002e-05,0.994733,0.987809,0.0,0.0,0.0,1.3695e-14,,results/mhd_runner/summaries/perf_da_plm_n128_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_mixed_glm_mixed_glm.csv
divergence_advection,mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16682,0.957435,0.98609,0.1,128,128,16384,0.05,37,finished,3.53839,0.00240137,1.69065,1.53514,0.105809,6.4201e-05,0.0,9.1102e-05,0.000155303,606208,0.0956322,171323.0,294,0,0.00381401,0.0106623,2.97602e-05,8.32346e-05,0.000535426,0.00372446,1.4129654999999998e-05,0.989034,0.99182,0.0,0.0,0.0,-4.05536e-06,,results/mhd_runner/summaries/perf_da_plm_n128_mixed_eglm_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_mixed_eglm_mixed_eglm.csv
divergence_advection,elliptic_projection,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,128,128,16384,0.05,37,finished,8.60177,0.00253167,1.66587,6.6274,0.115634,0.000103911,0.0,9.3572e-05,0.000197483,606208,0.23248,70474.8,37,18900,4.44337e-09,2.15106e-08,3.46617e-11,1.67863e-10,0.000535426,0.00372446,1.33856508665425e-05,0.987488,0.992271,0.0,0.0,0.0,-4.38144e-06,,results/mhd_runner/summaries/perf_da_plm_n128_elliptic_projection_elliptic_projection_summary.csv,results/mhd_runner/divergence/perf_da_plm_n128_elliptic_projection_elliptic_projection.csv
divergence_advection,none,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,256,256,65536,0.05,74,finished,10.4662,0.00760965,8.40079,0.000152947,0.829184,6.7687e-05,0.0,0.000120819,0.000188506,4849664,0.141435,463366.0,0,0,0.070111,0.48606,0.000268758,0.00184605,0.000268758,0.00184605,1.3412700000000001e-05,0.975698,0.990641,0.0,0.0,0.0,3.29694e-14,,results/mhd_runner/summaries/perf_da_plm_n256_none_none_summary.csv,results/mhd_runner/divergence/perf_da_plm_n256_none_none.csv
divergence_advection,mixed_glm,plm,mc,4.0,nan,0.1,1,9.16683,0.957436,0.99257,0.1,256,256,65536,0.05,74,finished,19.5786,0.00774257,8.21008,9.31539,0.843404,6.3877e-05,0.0,9.3034e-05,0.000156911,4849664,0.264576,247702.0,589,0,0.00429469,0.0124029,1.67563e-05,4.84081e-05,0.00026775,0.00184213,7.112657499999999e-06,0.995035,0.987447,0.0,0.0,0.0,4.90315e-14,,results/mhd_runner/summaries/perf_da_plm_n256_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n256_mixed_glm_mixed_glm.csv
