problem,method,reconstruction,limiter,glm_ch_factor,glm_cd,glm_cr,glm_subcycles,glm_ch,glm_cp,glm_effective_cd,glm_effective_cr,nx,ny,ncell,tfinal,steps,status,total_wall_time_sec,initialization_time_sec,hydro_time_sec,cleaning_time_sec,diagnostics_compute_time_sec,diagnostics_write_time_sec,snapshot_write_time_sec,summary_write_time_sec,output_time_sec,total_cell_updates,seconds_per_step,cell_updates_per_second,cleaning_subcycles_total,projection_iterations_total,final_L2_fv,final_Linf_fv,final_L2_norm_fv,final_Linf_norm_fv,peak_L2_norm_fv,peak_Linf_norm_fv,time_integrated_L2_norm_fv,min_pressure,min_density,has_nonfinite,has_negative_density,has_negative_pressure,energy_drift,failure_reason,summary_file,diagnostic_file
divergence_advection,none,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.562702,0.00919258,0.49129,5.325e-06,0.00279087,0.000104334,0.0,0.000135812,0.000240146,10240,0.0562702,18197.9,0,0,0.0695517,0.539306,0.00213257,0.0163139,0.00213531,0.0163139,0.000106697,0.97705,0.991338,0.0,0.0,0.0,-1.69074e-16,,results/mhd_runner/summaries/perf_da_plm_n32_none_none_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_none_none.csv
divergence_advection,parabolic,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.0520016,0.000963362,0.0351209,0.00779166,0.00365244,0.000121536,0.0,0.000198632,0.000320168,10240,0.00520016,196917.0,19,0,0.0387572,0.199995,0.00119581,0.00613705,0.00213531,0.0155421,8.3278e-05,0.983654,0.992518,0.0,0.0,0.0,-2.0913e-06,,results/mhd_runner/summaries/perf_da_plm_n32_parabolic_parabolic_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_parabolic_parabolic.csv
divergence_advection,hyperbolic_glm,plm,mc,4.0,nan,nan,1,9.16663,nan,nan,nan,32,32,1024,0.05,10,finished,0.550516,0.00451272,0.48069,0.032535,0.00357286,0.00015986,0.0,0.00023192,0.00039178,10240,0.0550516,18600.7,74,0,0.0200186,0.0490015,0.000623867,0.00152272,0.00213531,0.0155421,6.8979425e-05,0.993564,0.989488,0.0,0.0,0.0,1.69074e-16,,results/mhd_runner/summaries/perf_da_plm_n32_hyperbolic_glm_hyperbolic_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_hyperbolic_glm_hyperbolic_glm.csv
divergence_advection,mixed_glm,plm,mc,4.0,nan,0.1,1,9.16663,0.957425,0.951512,0.1,32,32,1024,0.05,10,finished,0.594754,0.00424632,0.515184,0.0403498,0.00356507,8.2036e-05,0.0,0.000150893,0.000232929,10240,0.0594754,17217.2,74,0,0.00310682,0.00739481,9.69031e-05,0.000230068,0.00213531,0.0155421,5.58053275e-05,0.993813,0.990651,0.0,0.0,0.0,5.07222e-16,,results/mhd_runner/summaries/perf_da_plm_n32_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_mixed_glm_mixed_glm.csv
divergence_advection,mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16663,0.957425,0.957678,0.1,32,32,1024,0.05,10,finished,0.608714,0.0172901,0.521491,0.0354288,0.00301961,0.000109397,0.0,0.000143982,0.000253379,10240,0.0608714,16822.3,74,0,0.00309866,0.00766391,9.66487e-05,0.000238435,0.00213531,0.0155421,5.579896750000001e-05,0.994102,0.992439,0.0,0.0,0.0,-3.37032e-06,,results/mhd_runner/summaries/perf_da_plm_n32_mixed_eglm_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_mixed_eglm_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16663,0.957425,0.957736,0.1,32,32,1024,0.05,10,finished,0.0674527,0.000601451,0.0223862,0.0363313,0.00314298,0.000102156,0.0,0.000187363,0.000289519,10240,0.00674527,151810.0,74,0,0.00295695,0.00705185,9.2227e-05,0.000219334,0.00213531,0.0155421,5.5688425e-05,0.994174,0.992624,0.0,0.0,0.0,-3.68143e-06,,results/mhd_runner/summaries/perf_da_plm_n32_gi_mixed_eglm_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_gi_mixed_eglm_gi_mixed_eglm.csv
divergence_advection,elliptic_projection,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.245664,0.00417023,0.175815,0.0473782,0.00313253,8.3506e-05,0.0,0.000147062,0.000230568,10240,0.0245664,41683.0,10,1002,2.04489e-10,1.36027e-09,6.37785e-12,4.23767e-11,0.00213531,0.0155421,5.338275015944626e-05,0.990688,0.993356,0.0,0.0,0.0,-4.42204e-06,,results/mhd_runner/summaries/perf_da_plm_n32_elliptic_projection_elliptic_projection_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_elliptic_projection_elliptic_projection.csv
divergence_advection,powell_source,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.037755,0.000687109,0.0221739,0.00369255,0.00300796,9.5113e-05,0.0,0.00013605,0.000231163,10240,0.0037755,271222.0,10,0,0.0574736,0.369508,0.00176762,0.0113226,0.00213531,0.0155421,9.757325e-05,0.989716,0.992196,0.0,0.0,0.0,-2.00681e-06,,results/mhd_runner/summaries/perf_da_plm_n32_powell_source_powell_source_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_powell_source_powell_source.csv
divergence_advection,none,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,64,64,4096,0.05,19,finished,0.637641,0.0054042,0.559352,0.000827612,0.0251707,0.000138171,0.0,0.00023715,0.000375321,77824,0.03356,122050.0,0,0,0.070093,0.502166,0.00107463,0.00761596,0.00107463,0.00761596,5.3622e-05,0.97584,0.990759,0.0,0.0,0.0,4.05778e-15,,results/mhd_runner/summaries/perf_da_plm_n64_none_none_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_none_none.csv
divergence_advection,parabolic,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,64,64,4096,0.05,19,finished,1.21154,0.0101621,1.00526,0.0850727,0.0244625,9.1133e-05,0.0,0.000166439,0.000257572,77824,0.0637652,64235.7,55,0,0.0388875,0.201429,0.00059989,0.00308378,0.00107025,0.00758195,4.1753500000000006e-05,0.983449,0.992366,0.0,0.0,0.0,-2.08275e-06,,results/mhd_runner/summaries/perf_da_plm_n64_parabolic_parabolic_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_parabolic_parabolic.csv
divergence_advection,hyperbolic_glm,plm,mc,4.0,nan,nan,1,9.16679,nan,nan,nan,64,64,4096,0.05,19,finished,1.08742,0.00529804,0.761832,0.215827,0.0212139,8.1339e-05,0.0,0.000162142,0.000243481,77824,0.0572324,71567.8,148,0,0.0295501,0.0778306,0.000460263,0.00121001,0.00107025,0.00758195,3.8262825000000004e-05,0.992417,0.987368,0.0,0.0,0.0,3.21241e-15,,results/mhd_runner/summaries/perf_da_plm_n64_hyperbolic_glm_hyperbolic_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_hyperbolic_glm_hyperbolic_glm.csv
divergence_advection,mixed_glm,plm,mc,4.0,nan,0.1,1,9.16679,0.957434,0.975319,0.1,64,64,4096,0.05,19,finished,0.657819,0.0101807,0.353034,0.219334,0.0216525,0.000102438,0.0,0.000196754,0.000299192,77824,0.0346221,118306.0,148,0,0.00331826,0.00843287,5.17744e-05,0.000131675,0.00107025,0.00758195,2.8050610000000003e-05,0.994262,0.988637,0.0,0.0,0.0,6.76296e-16,,results/mhd_runner/summaries/perf_da_plm_n64_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_mixed_glm_mixed_glm.csv
divergence_advection,mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16679,0.957434,0.972159,0.1,64,64,4096,0.05,19,finished,0.736112,0.00611563,0.381137,0.281582,0.0186137,9.1873e-05,0.0,0.000166792,0.000258665,77824,0.0387427,105723.0,147,0,0.00332545,0.00843627,5.18849e-05,0.000131727,0.00107025,0.00758195,2.80533725e-05,0.991007,0.991847,0.0,0.0,0.0,-3.80638e-06,,results/mhd_runner/summaries/perf_da_plm_n64_mixed_eglm_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_mixed_eglm_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,plm,mc,4.0,nan,0.1,1,9.16679,0.957434,0.972173,0.1,64,64,4096,0.05,19,finished,0.775751,0.010331,0.424757,0.270025,0.0162725,9.1718e-05,0.0,0.000159366,0.000251084,77824,0.040829,100321.0,147,0,0.00325923,0.007937,5.08441e-05,0.000123945,0.00107025,0.00758195,2.8027352500000002e-05,0.991142,0.992023,0.0,0.0,0.0,-3.98653e-06,,results/mhd_runner/summaries/perf_da_plm_n64_gi_mixed_eglm_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_gi_mixed_eglm_gi_mixed_eglm.csv
divergence_advection,elliptic_projection,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,64,64,4096,0.05,19,finished,0.787256,0.0064095,0.252007,0.47447,0.0159896,7.6267e-05,0.0,0.000112506,0.000188773,77824,0.0414345,98854.7,19,3760,9.71488e-10,4.10617e-09,1.51543e-11,6.40645e-11,0.00107025,0.00758195,2.6756250378857498e-05,0.98866,0.992676,0.0,0.0,0.0,-4.38996e-06,,results/mhd_runner/summaries/perf_da_plm_n64_elliptic_projection_elliptic_projection_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_elliptic_projection_elliptic_projection.csv
divergence_advection,powell_source,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,64,64,4096,0.05,19,finished,1.12341,0.0185951,0.9565,0.0352489,0.0261908,9.1932e-05,0.0,0.000198645,0.000290577,77824,0.059127,69274.7,19,0,0.063319,0.422984,0.000972459,0.00645924,0.00107025,0.00758195,5.106772500000001e-05,0.988543,0.99171,0.0,0.0,0.0,-1.12929e-06,,results/mhd_runner/summaries/perf_da_plm_n64_powell_source_powell_source_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_powell_source_powell_source.csv
