problem,method,reconstruction,limiter,glm_ch_factor,glm_cd,glm_cr,glm_subcycles,glm_ch,glm_cp,glm_effective_cd,glm_effective_cr,nx,ny,ncell,tfinal,steps,status,total_wall_time_sec,initialization_time_sec,hydro_time_sec,cleaning_time_sec,diagnostics_compute_time_sec,diagnostics_write_time_sec,snapshot_write_time_sec,summary_write_time_sec,output_time_sec,total_cell_updates,seconds_per_step,cell_updates_per_second,cleaning_subcycles_total,projection_iterations_total,final_L2_fv,final_Linf_fv,final_L2_norm_fv,final_Linf_norm_fv,peak_L2_norm_fv,peak_Linf_norm_fv,time_integrated_L2_norm_fv,min_pressure,min_density,has_nonfinite,has_negative_density,has_negative_pressure,energy_drift,failure_reason,summary_file,diagnostic_file
orszag_tang,none,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.0233584,0.000619982,0.0161703,4.019e-06,0.00257377,7.8732e-05,0.0,9.8287e-05,0.000177019,10240,0.00233584,438386.0,0,0,0.146985,0.550533,0.0240687,0.192361,0.0240687,0.192361,0.0006017175,0.107238,0.194703,0.0,0.0,0.0,9.53645e-16,,results/mhd_runner/summaries/perf_ot_plm_n32_none_none_summary.csv,results/mhd_runner/divergence/perf_ot_plm_n32_none_none.csv
orszag_tang,parabolic,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.0372472,0.00091644,0.0214417,0.00755945,0.00351312,8.4006e-05,0.0,0.00013666,0.000220666,10240,0.00372472,274920.0,19,0,0.106309,0.312997,0.0161041,0.112373,0.0161041,0.112373,0.0004026025,0.107146,0.194719,0.0,0.0,0.0,-2.88846e-05,,results/mhd_runner/summaries/perf_ot_plm_n32_parabolic_parabolic_summary.csv,results/mhd_runner/divergence/perf_ot_plm_n32_parabolic_parabolic.csv
orszag_tang,hyperbolic_glm,plm,mc,4.0,nan,nan,1,8.81124,nan,nan,nan,32,32,1024,0.05,10,finished,0.0567283,0.000647144,0.0224571,0.0264848,0.00329909,8.5445e-05,0.0,8.4742e-05,0.000170187,10240,0.00567283,180509.0,73,0,0.102339,0.285187,0.0167017,0.127394,0.0167017,0.127394,0.00041754250000000003,0.108332,0.194697,0.0,0.0,0.0,9.53645e-16,,results/mhd_runner/summaries/perf_ot_plm_n32_hyperbolic_glm_hyperbolic_glm_summary.csv,results/mhd_runner/divergence/perf_ot_plm_n32_hyperbolic_glm_hyperbolic_glm.csv
orszag_tang,mixed_glm,plm,mc,4.0,nan,0.1,1,8.81124,0.938682,0.968036,0.1,32,32,1024,0.05,10,finished,0.608086,0.00503562,0.521055,0.0409658,0.00449442,0.00018542,0.0,0.000217306,0.000402726,10240,0.0608086,16839.7,73,0,0.110146,0.340136,0.0212112,0.168518,0.0212112,0.168518,0.00053028,0.108464,0.194672,0.0,0.0,0.0,2.06623e-15,,results/mhd_runner/summaries/perf_ot_plm_n32_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_ot_plm_n32_mixed_glm_mixed_glm.csv
orszag_tang,mixed_eglm,plm,mc,4.0,nan,0.1,1,8.81124,0.938682,0.966843,0.1,32,32,1024,0.05,10,finished,0.619244,0.00509283,0.532686,0.0460965,0.00408728,9.4584e-05,0.0,0.000137699,0.000232283,10240,0.0619244,16536.3,73,0,0.110135,0.340893,0.0212023,0.168533,0.0212023,0.168533,0.0005300575000000001,0.108417,0.194674,0.0,0.0,0.0,-9.22686e-05,,results/mhd_runner/summaries/perf_ot_plm_n32_mixed_eglm_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_ot_plm_n32_mixed_eglm_mixed_eglm.csv
orszag_tang,gi_mixed_eglm,plm,mc,4.0,nan,0.1,1,8.81124,0.938682,0.967388,0.1,32,32,1024,0.05,10,finished,0.0812871,0.000785834,0.0301862,0.0425972,0.00371538,0.00010541,0.0,0.000136176,0.000241586,10240,0.00812871,125973.0,73,0,0.110208,0.365019,0.0216751,0.168967,0.0216751,0.168967,0.0005418775,0.108389,0.194669,0.0,0.0,0.0,-0.000129641,,results/mhd_runner/summaries/perf_ot_plm_n32_gi_mixed_eglm_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/perf_ot_plm_n32_gi_mixed_eglm_gi_mixed_eglm.csv
orszag_tang,elliptic_projection,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.668228,0.004062,0.509308,0.103832,0.00429021,9.0905e-05,0.0,0.000121961,0.000212866,10240,0.0668228,15324.1,10,1491,2.28408e-10,9.0287e-10,3.86964e-11,3.37696e-10,3.86964e-11,3.37696e-10,9.6741e-13,0.1069,0.194656,0.0,0.0,0.0,-1.55297e-05,,results/mhd_runner/summaries/perf_ot_plm_n32_elliptic_projection_elliptic_projection_summary.csv,results/mhd_runner/divergence/perf_ot_plm_n32_elliptic_projection_elliptic_projection.csv
orszag_tang,powell_source,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.0425486,0.000859631,0.0279172,0.00527988,0.00410503,6.9338e-05,0.0,0.00010851,0.000177848,10240,0.00425486,240666.0,10,0,0.157529,0.627618,0.0277176,0.237576,0.0277176,0.237576,0.00069294,0.106655,0.194461,0.0,0.0,0.0,2.28778e-05,,results/mhd_runner/summaries/perf_ot_plm_n32_powell_source_powell_source_summary.csv,results/mhd_runner/divergence/perf_ot_plm_n32_powell_source_powell_source.csv
orszag_tang,powell_source_limited,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.060994,0.00156317,0.0359544,0.011461,0.00551389,0.000110291,0.0,0.000183354,0.000293645,10240,0.0060994,167885.0,10,0,0.157529,0.627618,0.0277176,0.237576,0.0277176,0.237576,0.00069294,0.106655,0.194461,0.0,0.0,0.0,2.28778e-05,,results/mhd_runner/summaries/perf_ot_plm_n32_powell_source_limited_powell_source_limited_summary.csv,results/mhd_runner/divergence/perf_ot_plm_n32_powell_source_limited_powell_source_limited.csv
orszag_tang,powell_source_subcycled,plm,mc,4.0,nan,nan,1,nan,nan,nan,nan,32,32,1024,0.05,10,finished,0.183718,0.0165024,0.137785,0.00474788,0.003927,7.7331e-05,0.0,9.9343e-05,0.000176674,10240,0.0183718,55737.5,10,0,0.157529,0.627618,0.0277176,0.237576,0.0277176,0.237576,0.00069294,0.106655,0.194461,0.0,0.0,0.0,2.28778e-05,,results/mhd_runner/summaries/perf_ot_plm_n32_powell_source_subcycled_powell_source_subcycled_summary.csv,results/mhd_runner/divergence/perf_ot_plm_n32_powell_source_subcycled_powell_source_subcycled.csv
